LEFT,RIGHT,DIFF
-136.10625,-110.0859375,26.0203125
-128.3859375,-101.221875,27.1640625
-121.2375,-92.64375,28.59375
-114.6609375,-85.4953125,29.165625
-109.8,-80.0625,29.7375
-106.940625,-76.63125,30.309375
-106.36875,-76.059375,30.309375
-108.3703125,-78.0609375,30.309375
-112.3734375,-82.6359375,29.7375
-118.378125,-88.9265625,29.4515625
-125.5265625,-96.3609375,29.165625
-132.9609375,-103.7953125,29.165625
-139.8234375,-110.6578125,29.165625
-145.5421875,-115.8046875,29.7375
-148.6875,-118.6640625,30.0234375
-149.259375,-118.6640625,30.5953125
-147.2578125,-115.8046875,31.453125
-142.396875,-110.371875,32.025
-135.534375,-102.9375,32.596875
-127.2421875,-94.359375,32.8828125
-118.378125,-85.4953125,32.8828125
-109.5140625,-76.9171875,32.596875
-102.0796875,-69.4828125,32.596875
-96.075,-63.7640625,32.3109375
-92.3578125,-60.3328125,32.025
-90.6421875,-58.903125,31.7390625
-90.928125,-59.1890625,31.7390625
-92.9296875,-61.4765625,31.453125
-96.3609375,-64.621875,31.7390625
-100.3640625,-68.3390625,32.025
-104.653125,-72.05625,32.596875
-108.9421875,-75.7734375,33.16875
-112.9453125,-78.91875,34.0265625
-116.3765625,-81.4921875,34.884375
-119.2359375,-83.2078125,36.028125
-121.2375,-84.065625,37.171875
-122.6671875,-84.3515625,38.315625
-123.2390625,-83.7796875,39.459375
-122.6671875,-82.0640625,40.603125
-120.9515625,-79.7765625,41.175
-118.378125,-76.3453125,42.0328125
-114.375,-72.05625,42.31875
-109.5140625,-66.6234375,42.890625
-103.2234375,-60.61875,42.6046875
-96.646875,-53.75625,42.890625
-89.4984375,-46.89375,42.6046875
-82.35,-40.3171875,42.0328125
-76.059375,-34.3125,41.746875
-71.1984375,-29.4515625,41.746875
-67.48125,-26.5921875,40.8890625
-66.0515625,-25.1625,40.8890625
-66.3375,-26.0203125,40.3171875
-68.9109375,-29.165625,39.7453125
-73.2,-33.740625,39.459375
-79.2046875,-40.3171875,38.8875
-86.6390625,-47.7515625,38.8875
-94.6453125,-56.04375,38.6015625
-103.509375,-64.621875,38.8875
-112.0875,-73.2,38.8875
-120.665625,-81.20625,39.459375
-128.671875,-88.3546875,40.3171875
-135.8203125,-94.0734375,41.746875
-141.825,-98.6484375,43.1765625
-146.4,-101.79375,44.60625
-149.259375,-103.2234375,46.0359375
-150.1171875,-103.2234375,46.89375
-149.259375,-101.79375,47.465625
-146.971875,-99.2203125,47.7515625
-143.2546875,-96.075,47.1796875
-138.965625,-92.64375,46.321875
-134.6765625,-89.784375,44.8921875
-131.53125,-88.06875,43.4625
-130.1015625,-88.3546875,41.746875
-131.2453125,-90.6421875,40.603125
-135.2484375,-95.503125,39.7453125
-142.396875,-102.6515625,39.7453125
-152.11875,-111.515625,40.603125
-163.2703125,-121.809375,41.4609375
-175.2796875,-132.103125,43.1765625
-186.43125,-141.253125,45.178125
-195.2953125,-148.115625,47.1796875
-200.728125,-152.11875,48.609375
-202.1578125,-152.11875,50.0390625
-199.0125,-148.4015625,50.6109375
-191.578125,-141.5390625,50.0390625
-180.7125,-131.8171875,48.8953125
-168.13125,-120.665625,47.465625
-155.55,-109.8,45.75
-144.3984375,-100.3640625,44.034375
-136.10625,-93.7875,42.31875
-132.103125,-90.35625,41.746875
-132.675,-90.928125,41.746875
-137.821875,-95.2171875,42.6046875
-146.4,-102.0796875,44.3203125
-157.265625,-110.6578125,46.6078125
-168.703125,-119.8078125,48.8953125
-179.56875,-128.1,51.46875
-188.4328125,-134.6765625,53.75625
-194.7234375,-138.965625,55.7578125
-197.5828125,-141.253125,56.3296875
-197.5828125,-140.9671875,56.615625
-195.58125,-139.5375,56.04375
-192.4359375,-137.5359375,54.9
-189.290625,-135.534375,53.75625
-186.7171875,-134.390625,52.3265625
-185.5734375,-134.390625,51.1828125
-185.859375,-135.2484375,50.6109375
-187.003125,-136.678125,50.325
-189.0046875,-137.821875,51.1828125
-190.434375,-138.6796875,51.7546875
