LEFT,RIGHT,DIFF
-343.125,-303.3796875,39.7453125
-345.4125,-305.0953125,40.3171875
-344.26875,-303.3796875,40.8890625
-338.8359375,-297.946875,40.8890625
-329.971875,-289.0828125,40.8890625
-317.9625,-277.93125,40.03125
-304.809375,-265.6359375,39.1734375
-291.9421875,-254.1984375,37.74375
-281.0765625,-245.0484375,36.028125
-274.2140625,-239.9015625,34.3125
-272.4984375,-239.615625,32.8828125
-276.7875,-245.334375,31.453125
-286.7953125,-257.0578125,29.7375
-302.521875,-273.35625,29.165625
-322.2515625,-293.94375,28.3078125
-344.5546875,-316.246875,28.3078125
-367.14375,-338.8359375,28.3078125
-388.5890625,-359.709375,28.8796875
-406.603125,-377.1515625,29.4515625
-420.328125,-389.446875,30.88125
-428.334375,-396.5953125,31.7390625
-430.9078125,-397.7390625,33.16875
-428.0484375,-393.7359375,34.3125
-420.9,-384.871875,36.028125
-409.7484375,-372.5765625,37.171875
-396.5953125,-357.99375,38.6015625
-381.7265625,-342.2671875,39.459375
-366.571875,-325.96875,40.603125
-351.9890625,-310.2421875,41.746875
-337.978125,-295.659375,42.31875
-325.1109375,-281.934375,43.1765625
-313.1015625,-269.925,43.1765625
-302.8078125,-259.059375,43.7484375
-293.6578125,-249.909375,43.7484375
-285.9375,-242.475,43.4625
-280.21875,-237.0421875,43.1765625
-276.5015625,-233.896875,42.6046875
-275.071875,-233.0390625,42.0328125
-275.9296875,-234.7546875,41.175
-279.075,-238.1859375,40.8890625
-283.65,-243.61875,40.03125
-289.0828125,-250.1953125,38.8875
-295.0875,-256.771875,38.315625
-300.234375,-262.7765625,37.4578125
-303.9515625,-267.065625,36.8859375
-305.6671875,-269.353125,36.3140625
-305.0953125,-269.353125,35.7421875
-301.95,-266.7796875,35.1703125
-297.375,-262.490625,34.884375
-291.3703125,-257.0578125,34.3125
-285.6515625,-251.3390625,34.3125
-280.5046875,-246.478125,34.0265625
-277.359375,-243.046875,34.3125
-275.9296875,-241.6171875,34.3125
-277.0734375,-242.1890625,34.884375
-280.21875,-244.7625,35.45625
-284.79375,-248.4796875,36.3140625
-289.940625,-253.0546875,36.8859375
-294.8015625,-257.0578125,37.74375
-298.2328125,-259.63125,38.6015625
-300.234375,-261.0609375,39.1734375
-300.234375,-260.4890625,39.7453125
-298.51875,-258.2015625,40.3171875
-295.659375,-254.7703125,40.8890625
-291.9421875,-251.053125,40.8890625
-288.225,-247.05,41.175
-285.365625,-244.190625,41.175
-283.3640625,-241.903125,41.4609375
-282.2203125,-240.759375,41.4609375
-281.6484375,-239.9015625,41.746875
-281.3625,-239.04375,42.31875
-280.21875,-237.6140625,42.6046875
-277.93125,-234.7546875,43.1765625
-273.928125,-230.465625,43.4625
-268.209375,-224.4609375,43.7484375
-261.346875,-217.0265625,44.3203125
-253.6265625,-209.5921875,44.034375
-246.478125,-202.7296875,43.7484375
-241.0453125,-197.86875,43.1765625
-238.7578125,-195.8671875,42.890625
-239.9015625,-198.1546875,41.746875
-245.0484375,-204.4453125,40.603125
-254.484375,-215.025,39.459375
-267.065625,-228.4640625,38.6015625
-281.6484375,-243.9046875,37.74375
-296.5171875,-259.63125,36.8859375
-310.528125,-273.928125,36.6
-321.965625,-285.365625,36.6
-329.6859375,-292.8,36.8859375
-333.1171875,-295.9453125,37.171875
-332.259375,-294.8015625,37.4578125
-327.9703125,-290.2265625,37.74375
-321.39375,-283.078125,38.315625
-313.3875,-275.3578125,38.0296875
-305.953125,-267.9234375,38.0296875
-299.9484375,-262.490625,37.4578125
-296.5171875,-259.63125,36.8859375
-295.9453125,-259.63125,36.3140625
-297.946875,-262.490625,35.45625
-302.521875,-267.065625,35.45625
-307.9546875,-272.784375,35.1703125
-313.6734375,-278.2171875,35.45625
-318.534375,-282.50625,36.028125
-321.39375,-284.5078125,36.8859375
-321.965625,-283.9359375,38.0296875
-320.25,-280.5046875,39.7453125
-315.675,-274.7859375,40.8890625
-309.6703125,-267.6375,42.0328125
-302.2359375,-259.3453125,42.890625
-294.515625,-251.3390625,43.1765625
-287.08125,-244.190625,42.890625
-280.5046875,-238.471875,42.0328125
-275.64375,-234.46875,41.175
-271.9265625,-232.4671875,39.459375
-269.925,-231.609375,38.315625
-269.0671875,-232.18125,36.8859375
-269.0671875,-233.325,35.7421875
-269.925,-234.46875,35.45625
-270.7828125,-235.8984375,34.884375
-271.640625,-236.75625,34.884375
-272.4984375,-237.0421875,35.45625
-273.0703125,-237.0421875,36.028125
-273.35625,-236.75625,36.6
-273.35625,-235.8984375,37.4578125
-272.784375,-234.7546875,38.0296875
-271.3546875,-233.325,38.0296875
-269.6390625,-231.3234375,38.315625
-267.065625,-228.75,38.315625
-263.9203125,-225.31875,38.6015625
-260.203125,-221.315625,38.8875
-256.2,-216.740625,39.459375
-252.4828125,-212.165625,40.3171875
-249.6234375,-207.8765625,41.746875
-247.621875,-204.73125,42.890625
-247.3359375,-203.015625,44.3203125
-248.765625,-203.015625,45.75
-251.9109375,-205.5890625,46.321875
-257.0578125,-210.1640625,46.89375
-263.3484375,-216.4546875,46.89375
-270.496875,-224.4609375,46.0359375
-277.6453125,-232.753125,44.8921875
-284.221875,-241.0453125,43.1765625
-289.6546875,-248.4796875,41.175
-293.371875,-254.1984375,39.1734375
-295.3734375,-258.2015625,37.171875
-295.9453125,-259.9171875,36.028125
-295.0875,-259.9171875,35.1703125
-293.0859375,-258.4875,34.5984375
-291.084375,-256.2,34.884375
-288.796875,-253.9125,34.884375
-286.7953125,-251.625,35.1703125
-285.365625,-250.1953125,35.1703125
-284.5078125,-249.3375,35.1703125
-283.65,-249.6234375,34.0265625
-282.7921875,-250.1953125,32.596875
-281.6484375,-250.7671875,30.88125
-279.9328125,-251.053125,28.8796875
-277.6453125,-251.053125,26.5921875
-275.071875,-250.1953125,24.8765625
-272.4984375,-248.765625,23.7328125
-270.496875,-247.3359375,23.1609375
-269.353125,-245.6203125,23.7328125
-269.6390625,-244.4765625,25.1625
-271.3546875,-244.190625,27.1640625
-274.5,-244.7625,29.7375
-279.075,-246.478125,32.596875
-283.9359375,-248.765625,35.1703125
-288.796875,-251.625,37.171875
-292.5140625,-254.1984375,38.315625
-294.515625,-256.2,38.315625
-294.2296875,-256.771875,37.4578125
-291.9421875,-256.2,35.7421875
-287.9390625,-254.484375,33.4546875
-282.50625,-251.625,30.88125
-276.7875,-248.4796875,28.3078125
-271.9265625,-245.334375,26.5921875
-268.4953125,-243.3328125,25.1625
