LEFT,RIGHT,DIFF
-8.00625,21.159375,29.165625
-2.2875,26.30625,28.59375
4.2890625,32.596875,28.3078125
11.1515625,39.459375,28.3078125
17.728125,46.0359375,28.3078125
22.875,51.7546875,28.8796875
26.5921875,55.7578125,29.165625
28.021875,58.0453125,30.0234375
27.45,58.33125,30.88125
24.8765625,56.3296875,31.453125
20.3015625,52.6125,32.3109375
14.0109375,47.1796875,33.16875
6.8625,40.8890625,34.0265625
0.0,34.3125,34.3125
-6.8625,27.7359375,34.5984375
-12.8671875,22.0171875,34.884375
-17.15625,17.728125,34.884375
-19.7296875,15.1546875,34.884375
-20.3015625,14.296875,34.5984375
-18.871875,15.1546875,34.0265625
-16.0125,17.4421875,33.4546875
-12.2953125,20.5875,32.8828125
-8.578125,24.01875,32.596875
-5.146875,27.1640625,32.3109375
-2.5734375,29.4515625,32.025
-1.715625,30.309375,32.025
-2.859375,29.7375,32.596875
-5.71875,27.1640625,32.8828125
-10.29375,23.1609375,33.4546875
-15.7265625,18.3,34.0265625
-21.4453125,13.153125,34.5984375
-27.1640625,8.00625,35.1703125
-31.7390625,4.003125,35.7421875
-34.5984375,1.4296875,36.028125
-35.45625,0.8578125,36.3140625
-34.5984375,2.0015625,36.6
-31.7390625,4.575,36.3140625
-27.45,8.578125,36.028125
-22.5890625,13.153125,35.7421875
-18.0140625,17.728125,35.7421875
-13.725,21.73125,35.45625
-10.865625,24.3046875,35.1703125
-9.721875,25.1625,34.884375
-10.29375,24.3046875,34.5984375
-12.58125,22.303125,34.884375
-16.2984375,18.871875,35.1703125
-20.5875,14.86875,35.45625
-25.4484375,10.5796875,36.028125
-30.0234375,6.8625,36.8859375
-34.0265625,3.7171875,37.74375
-37.171875,1.4296875,38.6015625
-39.459375,0.2859375,39.7453125
-40.8890625,0.0,40.8890625
-41.4609375,-0.2859375,41.175
-42.0328125,-0.2859375,41.746875
-42.31875,-0.2859375,42.0328125
-42.31875,-0.571875,41.746875
-42.6046875,-0.8578125,41.746875
-42.6046875,-1.14375,41.4609375
-42.31875,-1.14375,41.175
-41.175,-0.571875,40.603125
-38.8875,0.8578125,39.7453125
-35.7421875,4.003125,39.7453125
-31.7390625,8.2921875,40.03125
-27.1640625,13.153125,40.3171875
-22.303125,18.3,40.603125
-18.3,23.1609375,41.4609375
-16.0125,26.30625,42.31875
-15.7265625,27.1640625,42.890625
-18.0140625,25.1625,43.1765625
-22.875,20.3015625,43.1765625
-30.309375,12.8671875,43.1765625
-39.1734375,3.43125,42.6046875
-48.3234375,-6.290625,42.0328125
-56.3296875,-15.440625,40.8890625
-62.0484375,-22.0171875,40.03125
-64.05,-25.1625,38.8875
-61.7625,-24.01875,37.74375
-54.9,-17.728125,37.171875
-44.034375,-7.1484375,36.8859375
-30.5953125,6.290625,36.8859375
-15.440625,21.73125,37.171875
-1.14375,37.171875,38.315625
10.865625,50.0390625,39.1734375
18.871875,59.1890625,40.3171875
22.5890625,63.478125,40.8890625
21.159375,62.6203125,41.4609375
15.440625,57.1875,41.746875
6.5765625,48.0375,41.4609375
-3.43125,37.4578125,40.8890625
-13.153125,26.878125,40.03125
