LEFT,RIGHT,DIFF
79.7765625,130.1015625,50.325
85.209375,134.6765625,49.4671875
90.6421875,139.8234375,49.18125
95.7890625,144.684375,48.8953125
99.7921875,148.6875,48.8953125
102.0796875,151.546875,49.4671875
102.9375,152.9765625,50.0390625
101.79375,153.2625,51.46875
99.7921875,152.4046875,52.6125
96.9328125,150.975,54.0421875
93.7875,149.259375,55.471875
90.928125,147.54375,56.615625
88.640625,145.5421875,56.9015625
86.6390625,144.1125,57.4734375
85.209375,142.396875,57.1875
84.065625,140.68125,56.615625
82.921875,138.6796875,55.7578125
82.35,136.678125,54.328125
81.778125,134.6765625,52.8984375
81.778125,132.9609375,51.1828125
82.35,132.103125,49.753125
84.065625,132.103125,48.0375
86.925,133.5328125,46.6078125
90.928125,136.678125,45.75
95.503125,140.68125,45.178125
100.65,145.25625,44.60625
105.225,149.83125,44.60625
108.9421875,153.5484375,44.60625
110.371875,155.55,45.178125
109.8,155.55,45.75
106.36875,153.2625,46.89375
100.65,148.6875,48.0375
92.9296875,142.396875,49.4671875
84.9234375,135.534375,50.6109375
77.203125,128.9578125,51.7546875
71.1984375,123.525,52.3265625
68.053125,120.665625,52.6125
68.053125,120.665625,52.6125
71.1984375,123.2390625,52.040625
77.4890625,128.1,50.6109375
85.4953125,134.6765625,49.18125
94.359375,141.5390625,47.1796875
102.0796875,147.2578125,45.178125
107.7984375,150.975,43.1765625
110.371875,152.11875,41.746875
109.5140625,149.83125,40.3171875
104.9390625,145.25625,40.3171875
97.790625,138.39375,40.603125
89.2125,130.959375,41.746875
80.3484375,124.096875,43.7484375
73.2,118.95,45.75
68.625,116.6625,48.0375
67.48125,117.80625,50.325
69.76875,122.0953125,52.3265625
75.4875,128.671875,53.184375
83.2078125,136.678125,53.4703125
92.071875,144.9703125,52.8984375
100.3640625,151.8328125,51.46875
106.940625,156.4078125,49.4671875
110.6578125,158.1234375,47.465625
111.2296875,156.4078125,45.178125
108.65625,152.11875,43.4625
103.7953125,145.828125,42.0328125
97.5046875,139.2515625,41.746875
90.928125,132.9609375,42.0328125
85.209375,128.671875,43.4625
81.20625,126.6703125,45.4640625
79.7765625,127.528125,47.7515625
