LEFT,RIGHT,DIFF
33.740625,129.815625,96.075
21.159375,116.9484375,95.7890625
13.153125,108.3703125,95.2171875
10.29375,105.5109375,95.2171875
12.58125,108.084375,95.503125
20.015625,115.51875,95.503125
30.88125,127.2421875,96.3609375
43.7484375,141.253125,97.5046875
57.1875,155.55,98.3625
68.9109375,168.4171875,99.50625
78.0609375,178.1390625,100.078125
83.7796875,184.14375,100.3640625
85.209375,185.5734375,100.3640625
83.2078125,183.0,99.7921875
78.0609375,176.9953125,98.934375
71.1984375,168.9890625,97.790625
63.7640625,160.125,96.3609375
56.615625,151.546875,94.93125
50.896875,144.9703125,94.0734375
47.1796875,140.3953125,93.215625
45.178125,138.1078125,92.9296875
44.3203125,138.1078125,93.7875
44.60625,139.2515625,94.6453125
44.8921875,141.253125,96.3609375
44.60625,142.6828125,98.0765625
43.1765625,143.2546875,100.078125
40.3171875,142.6828125,102.365625
36.3140625,140.3953125,104.08125
31.7390625,136.9640625,105.225
26.878125,132.9609375,106.0828125
22.875,128.9578125,106.0828125
20.5875,126.384375,105.796875
20.5875,125.240625,104.653125
23.1609375,126.384375,103.2234375
28.021875,129.815625,101.79375
35.45625,135.2484375,99.7921875
44.3203125,142.396875,98.0765625
53.4703125,149.83125,96.3609375
62.334375,157.265625,94.93125
69.4828125,163.55625,94.0734375
74.34375,167.8453125,93.5015625
76.059375,169.846875,93.7875
74.34375,168.703125,94.359375
69.76875,164.9859375,95.2171875
62.6203125,159.2671875,96.646875
53.75625,151.546875,97.790625
44.3203125,143.2546875,98.934375
34.884375,134.9625,100.078125
27.1640625,127.528125,100.3640625
21.159375,121.809375,100.65
18.0140625,118.378125,100.3640625
17.728125,116.9484375,99.2203125
20.3015625,118.0921875,97.790625
24.8765625,120.9515625,96.075
30.88125,125.5265625,94.6453125
37.4578125,130.6734375,93.215625
44.034375,135.8203125,91.7859375
49.18125,140.3953125,91.2140625
52.3265625,143.540625,91.2140625
53.4703125,145.25625,91.7859375
52.3265625,144.9703125,92.64375
48.8953125,142.96875,94.0734375
43.7484375,139.5375,95.7890625
37.74375,134.9625,97.21875
31.1671875,129.815625,98.6484375
25.1625,124.66875,99.50625
20.3015625,119.8078125,99.50625
16.8703125,116.090625,99.2203125
14.86875,113.23125,98.3625
14.5828125,111.515625,96.9328125
15.440625,110.94375,95.503125
17.4421875,110.94375,93.5015625
20.3015625,112.0875,91.7859375
23.1609375,113.5171875,90.35625
26.0203125,115.2328125,89.2125
28.8796875,117.5203125,88.640625
31.453125,119.8078125,88.3546875
33.740625,122.38125,88.640625
36.3140625,125.5265625,89.2125
38.8875,128.671875,89.784375
41.4609375,132.3890625,90.928125
44.034375,135.8203125,91.7859375
46.6078125,138.965625,92.3578125
48.8953125,141.5390625,92.64375
50.6109375,143.2546875,92.64375
51.7546875,144.1125,92.3578125
51.7546875,144.1125,92.3578125
50.896875,142.6828125,91.7859375
49.4671875,140.9671875,91.5
47.465625,138.6796875,91.2140625
45.4640625,136.678125,91.2140625
44.034375,135.2484375,91.2140625
43.1765625,134.9625,91.7859375
43.1765625,135.534375,92.3578125
44.3203125,136.9640625,92.64375
46.0359375,139.5375,93.5015625
48.0375,142.1109375,94.0734375
49.753125,144.3984375,94.6453125
50.896875,145.828125,94.93125
50.896875,145.828125,94.93125
49.753125,144.1125,94.359375
46.89375,140.9671875,94.0734375
43.4625,136.3921875,92.9296875
39.1734375,130.959375,91.7859375
34.884375,125.5265625,90.6421875
31.453125,120.665625,89.2125
29.165625,116.9484375,87.7828125
28.3078125,114.6609375,86.353125
28.8796875,114.375,85.4953125
30.309375,115.2328125,84.9234375
32.3109375,117.234375,84.9234375
34.3125,119.2359375,84.9234375
35.1703125,120.665625,85.4953125
34.3125,120.665625,86.353125
31.7390625,119.2359375,87.496875
27.1640625,115.8046875,88.640625
21.159375,110.6578125,89.4984375
14.296875,104.653125,90.35625
7.434375,98.0765625,90.6421875
1.4296875,92.3578125,90.928125
-2.2875,88.3546875,90.6421875
-4.2890625,86.353125,90.6421875
-3.43125,86.6390625,90.0703125
-0.2859375,89.4984375,89.784375
4.575,94.359375,89.784375
10.5796875,100.078125,89.4984375
16.584375,106.0828125,89.4984375
22.0171875,111.515625,89.4984375
25.734375,115.51875,89.784375
27.7359375,117.80625,90.0703125
28.021875,117.80625,89.784375
26.5921875,116.3765625,89.784375
24.3046875,113.803125,89.4984375
21.73125,110.6578125,88.9265625
19.44375,107.7984375,88.3546875
18.3,105.796875,87.496875
18.3,104.9390625,86.6390625
19.1578125,105.225,86.0671875
20.5875,106.0828125,85.4953125
21.73125,106.940625,85.209375
21.73125,106.940625,85.209375
20.015625,105.225,85.209375
15.7265625,101.5078125,85.78125
9.15,95.2171875,86.0671875
0.2859375,86.353125,86.0671875
-9.4359375,76.059375,85.4953125
-20.3015625,64.621875,84.9234375
-30.0234375,54.0421875,84.065625
-38.0296875,44.8921875,82.921875
-42.890625,38.6015625,81.4921875
-44.3203125,35.7421875,80.0625
-42.0328125,37.171875,79.2046875
-36.028125,42.0328125,78.0609375
-27.7359375,50.325,78.0609375
-17.728125,60.61875,78.346875
-7.434375,71.484375,78.91875
1.4296875,81.778125,80.3484375
8.578125,90.35625,81.778125
13.153125,95.7890625,82.6359375
14.5828125,98.3625,83.7796875
13.725,97.5046875,83.7796875
10.5796875,94.359375,83.7796875
6.290625,89.2125,82.921875
2.0015625,83.7796875,81.778125
-0.8578125,78.91875,79.7765625
-2.5734375,75.4875,78.0609375
-2.2875,74.34375,76.63125
0.0,75.7734375,75.7734375
4.2890625,79.7765625,75.4875
10.0078125,85.78125,75.7734375
16.0125,92.9296875,76.9171875
21.4453125,100.65,79.2046875
26.0203125,107.5125,81.4921875
28.59375,112.659375,84.065625
29.165625,115.51875,86.353125
27.45,116.090625,88.640625
23.7328125,113.803125,90.0703125
18.5859375,109.5140625,90.928125
12.58125,103.509375,90.928125
6.290625,96.3609375,90.0703125
0.2859375,89.2125,88.9265625
-4.2890625,82.921875,87.2109375
-7.434375,77.4890625,84.9234375
-9.15,74.0578125,83.2078125
-8.578125,72.628125,81.20625
-6.290625,73.4859375,79.7765625
-2.0015625,76.3453125,78.346875
3.1453125,80.9203125,77.775
10.0078125,86.925,76.9171875
17.15625,94.0734375,76.9171875
24.8765625,101.5078125,76.63125
32.3109375,109.228125,76.9171875
39.1734375,116.6625,77.4890625
44.8921875,123.2390625,78.346875
49.4671875,128.671875,79.2046875
52.6125,133.246875,80.634375
54.6140625,136.3921875,81.778125
55.471875,138.39375,82.921875
54.9,139.5375,84.6375
53.75625,139.5375,85.78125
52.040625,139.2515625,87.2109375
50.325,138.39375,88.06875
48.3234375,137.25,88.9265625
46.321875,135.8203125,89.4984375
44.034375,134.390625,90.35625
41.746875,132.3890625,90.6421875
38.6015625,129.815625,91.2140625
34.884375,126.6703125,91.7859375
30.0234375,122.38125,92.3578125
24.590625,117.234375,92.64375
18.3,111.2296875,92.9296875
11.7234375,104.9390625,93.215625
5.4328125,98.6484375,93.215625
0.0,93.5015625,93.5015625
-3.1453125,89.784375,92.9296875
-4.2890625,88.3546875,92.64375
-2.859375,89.4984375,92.3578125
1.4296875,93.5015625,92.071875
8.2921875,100.3640625,92.071875
17.15625,108.9421875,91.7859375
