LEFT,RIGHT,DIFF
-1229.2453125,-951.028125,278.2171875
-1225.528125,-945.5953125,279.9328125
-1221.525,-940.4484375,281.0765625
-1217.8078125,-935.5875,282.2203125
-1214.090625,-931.584375,282.50625
-1210.9453125,-928.153125,282.7921875
-1208.6578125,-925.5796875,283.078125
-1206.9421875,-923.8640625,283.078125
-1206.65625,-923.2921875,283.3640625
-1207.228125,-923.2921875,283.9359375
-1208.6578125,-923.578125,285.0796875
-1210.9453125,-924.15,286.7953125
-1213.2328125,-924.721875,288.5109375
-1214.9484375,-924.15,290.7984375
-1216.0921875,-922.434375,293.6578125
-1215.5203125,-919.2890625,296.23125
-1213.2328125,-914.428125,298.8046875
-1208.94375,-907.8515625,301.0921875
-1202.9390625,-900.4171875,302.521875
-1195.21875,-892.125,303.09375
-1186.9265625,-883.8328125,303.09375
-1178.3484375,-876.1125,302.2359375
-1170.3421875,-869.821875,300.5203125
-1163.765625,-865.5328125,298.2328125
-1159.190625,-862.959375,296.23125
-1156.6171875,-862.3875,294.2296875
-1156.0453125,-863.2453125,292.8
-1157.475,-864.9609375,292.5140625
-1159.7625,-866.9625,292.8
-1162.621875,-868.10625,294.515625
-1164.909375,-868.10625,296.803125
-1166.625,-866.6765625,299.9484375
-1166.9109375,-863.53125,303.3796875
-1165.7671875,-858.95625,306.8109375
-1163.4796875,-853.809375,309.6703125
-1160.334375,-848.6625,311.671875
-1157.1890625,-844.0875,313.1015625
-1154.3296875,-840.9421875,313.3875
-1152.6140625,-839.5125,313.1015625
-1152.328125,-840.3703125,311.9578125
-1153.471875,-842.6578125,310.8140625
-1156.0453125,-846.375,309.6703125
-1159.4765625,-850.6640625,308.8125
-1163.19375,-854.38125,308.8125
-1166.625,-856.9546875,309.6703125
-1168.6265625,-857.8125,310.8140625
-1168.9125,-856.096875,312.815625
-1167.196875,-852.3796875,314.8171875
-1163.4796875,-846.375,317.1046875
-1157.7609375,-838.940625,318.8203125
-1150.8984375,-830.934375,319.9640625
-1143.75,-822.928125,320.821875
-1136.6015625,-815.7796875,320.821875
-1130.596875,-810.346875,320.25
-1126.3078125,-806.34375,319.9640625
-1123.4484375,-804.3421875,319.10625
-1122.590625,-804.05625,318.534375
-1123.1625,-804.628125,318.534375
-1124.5921875,-805.771875,318.8203125
-1126.3078125,-806.6296875,319.678125
-1127.7375,-806.915625,320.821875
-1128.5953125,-806.0578125,322.5375
-1128.0234375,-804.05625,323.9671875
-1126.021875,-800.3390625,325.6828125
-1122.8765625,-795.7640625,327.1125
-1118.8734375,-790.33125,328.5421875
-1113.7265625,-784.6125,329.1140625
-1108.865625,-779.1796875,329.6859375
-1104.0046875,-774.31875,329.6859375
-1100.0015625,-770.6015625,329.4
-1097.1421875,-767.7421875,329.4
-1095.140625,-766.3125,328.828125
-1094.56875,-766.0265625,328.5421875
-1094.8546875,-766.884375,327.9703125
-1095.9984375,-768.3140625,327.684375
-1097.7140625,-770.6015625,327.1125
-1099.715625,-773.175,326.540625
-1102.003125,-775.7484375,326.2546875
-1104.0046875,-778.0359375,325.96875
-1106.00625,-780.0375,325.96875
-1107.4359375,-781.4671875,325.96875
-1108.865625,-782.325,326.540625
-1110.2953125,-782.6109375,327.684375
-1111.4390625,-782.6109375,328.828125
-1112.5828125,-782.325,330.2578125
-1113.440625,-782.0390625,331.4015625
-1114.584375,-781.753125,332.83125
-1115.728125,-781.4671875,334.2609375
-1116.871875,-781.753125,335.11875
-1118.015625,-782.325,335.690625
-1119.159375,-783.1828125,335.9765625
-1120.0171875,-784.040625,335.9765625
-1120.875,-784.8984375,335.9765625
-1121.446875,-785.4703125,335.9765625
-1121.446875,-785.4703125,335.9765625
-1121.1609375,-784.3265625,336.834375
-1120.303125,-782.325,337.978125
-1118.5875,-779.1796875,339.4078125
-1116.5859375,-775.1765625,341.409375
-1113.7265625,-770.315625,343.4109375
-1110.2953125,-764.8828125,345.4125
-1106.578125,-759.45,347.128125
-1102.575,-754.0171875,348.5578125
-1098.571875,-749.4421875,349.1296875
-1095.140625,-745.725,349.415625
-1091.9953125,-742.5796875,349.415625
-1089.99375,-740.578125,349.415625
-1088.5640625,-738.8625,349.7015625
-1088.278125,-737.71875,350.559375
-1088.5640625,-736.575,351.9890625
-1089.421875,-735.1453125,354.2765625
-1090.2796875,-732.8578125,357.421875
-1091.1375,-729.9984375,361.1390625
-1091.709375,-726.28125,365.428125
-1091.4234375,-721.70625,369.7171875
-1090.565625,-716.8453125,373.7203125
-1088.5640625,-711.984375,376.5796875
-1085.990625,-707.6953125,378.2953125
-1082.8453125,-703.978125,378.8671875
-1079.7,-701.4046875,378.2953125
-1076.5546875,-699.975,376.5796875
-1073.6953125,-699.975,373.7203125
-1071.69375,-701.11875,370.575
-1070.2640625,-702.834375,367.4296875
-1069.40625,-705.4078125,363.9984375
-1069.40625,-707.6953125,361.7109375
-1069.40625,-709.696875,359.709375
-1069.40625,-710.840625,358.565625
-1068.834375,-710.5546875,358.2796875
-1067.4046875,-709.125,358.2796875
-1065.1171875,-706.265625,358.8515625
-1061.6859375,-702.5484375,359.1375
-1057.396875,-697.6875,359.709375
-1052.821875,-692.2546875,360.5671875
-1047.9609375,-687.1078125,360.853125
-1043.3859375,-682.5328125,360.853125
-1039.9546875,-678.815625,361.1390625
-1037.6671875,-676.528125,361.1390625
-1036.809375,-675.6703125,361.1390625
-1037.6671875,-676.2421875,361.425
-1039.9546875,-678.24375,361.7109375
-1043.671875,-681.103125,362.56875
-1047.9609375,-684.8203125,363.140625
-1052.5359375,-688.5375,363.9984375
-1056.825,-691.6828125,365.1421875
-1059.9703125,-693.9703125,366.0
-1062.2578125,-695.1140625,367.14375
-1062.8296875,-694.828125,368.0015625
-1061.6859375,-692.8265625,368.859375
-1059.3984375,-689.109375,370.2890625
-1055.9671875,-684.534375,371.4328125
-1051.678125,-679.1015625,372.5765625
-1046.8171875,-673.096875,373.7203125
-1042.528125,-667.6640625,374.8640625
-1038.525,-662.803125,375.721875
-1035.665625,-659.0859375,376.5796875
-1033.6640625,-656.7984375,376.865625
-1032.80625,-655.6546875,377.1515625
-1033.0921875,-655.940625,377.1515625
-1033.95,-656.7984375,377.1515625
-1035.09375,-657.9421875,377.1515625
-1036.2375,-659.0859375,377.1515625
-1036.5234375,-659.0859375,377.4375
-1036.2375,-657.65625,378.58125
-1034.2359375,-654.796875,379.4390625
-1031.090625,-649.9359375,381.1546875
-1026.2296875,-643.6453125,382.584375
-1020.225,-635.925,384.3
-1013.3625,-627.6328125,385.7296875
-1005.6421875,-619.0546875,386.5875
-998.2078125,-611.334375,386.8734375
-991.3453125,-605.04375,386.3015625
-985.9125,-600.46875,385.44375
-981.909375,-597.8953125,384.0140625
-979.621875,-597.3234375,382.2984375
-979.3359375,-598.753125,380.5828125
-980.4796875,-601.6125,378.8671875
-983.053125,-605.3296875,377.7234375
-986.484375,-609.046875,377.4375
-990.2015625,-612.7640625,377.4375
-993.6328125,-615.909375,377.7234375
-996.4921875,-618.196875,378.2953125
-999.065625,-619.9125,379.153125
-1000.78125,-621.05625,379.725
-1002.496875,-622.771875,379.725
-1004.2125,-624.7734375,379.4390625
-1006.5,-628.2046875,378.2953125
-1009.93125,-632.7796875,377.1515625
-1014.7921875,-638.784375,376.0078125
-1020.796875,-645.9328125,374.8640625
-1028.23125,-653.3671875,374.8640625
-1035.9515625,-660.515625,375.4359375
-1043.3859375,-665.6625,377.7234375
-1049.390625,-668.521875,380.86875
-1053.1078125,-667.6640625,385.44375
-1053.965625,-663.0890625,390.8765625
-1050.534375,-653.9390625,396.5953125
-1043.671875,-640.7859375,402.8859375
-1032.80625,-624.4875,408.31875
-1019.08125,-606.1875,412.89375
-1003.3546875,-587.0296875,416.325
-987.05625,-568.7296875,418.3265625
-971.615625,-552.43125,419.184375
-958.1765625,-539.278125,418.8984375
-947.596875,-530.128125,417.46875
-940.734375,-525.553125,415.18125
-937.5890625,-524.6953125,412.89375
-937.5890625,-527.26875,410.3203125
-940.4484375,-532.1296875,408.31875
-944.7375,-538.4203125,406.3171875
-949.5984375,-544.425,405.1734375
-953.8875,-549.8578125,404.0296875
-956.746875,-553.575,403.171875
-957.6046875,-555.290625,402.3140625
-956.4609375,-555.0046875,401.45625
-953.6015625,-553.003125,400.5984375
-949.3125,-549.571875,399.740625
-944.165625,-546.140625,398.025
-939.3046875,-542.709375,396.5953125
-935.3015625,-540.1359375,395.165625
-932.4421875,-538.70625,393.7359375
-931.2984375,-538.9921875,392.30625
-931.8703125,-540.1359375,391.734375
-933.5859375,-542.1375,391.4484375
-935.8734375,-544.7109375,391.1625
-938.7328125,-547.284375,391.4484375
-941.0203125,-549.0,392.0203125
-942.45,-549.571875,392.878125
-943.021875,-549.0,394.021875
-942.1640625,-546.9984375,395.165625
-940.4484375,-543.5671875,396.88125
-937.875,-539.5640625,398.3109375
-935.015625,-534.9890625,400.0265625
-931.8703125,-530.128125,401.7421875
-929.296875,-525.553125,403.74375
-927.2953125,-521.55,405.7453125
-926.1515625,-518.690625,407.4609375
-925.5796875,-516.1171875,409.4625
-925.5796875,-514.6875,410.8921875
-925.5796875,-513.54375,412.0359375
-925.5796875,-512.4,413.1796875
-925.29375,-511.5421875,413.7515625
-924.4359375,-510.3984375,414.0375
-922.7203125,-508.6828125,414.0375
-920.71875,-506.68125,414.0375
-917.859375,-504.1078125,413.7515625
-915.2859375,-501.2484375,414.0375
-912.4265625,-498.675,413.7515625
-910.1390625,-496.1015625,414.0375
-908.4234375,-493.8140625,414.609375
-907.2796875,-492.0984375,415.18125
-906.99375,-491.240625,415.753125
-907.2796875,-490.66875,416.6109375
-907.565625,-490.3828125,417.1828125
-908.1375,-490.3828125,417.7546875
-908.4234375,-490.3828125,418.040625
-908.1375,-490.096875,418.040625
-907.2796875,-489.2390625,418.040625
-905.5640625,-487.5234375,418.040625
-903.2765625,-485.521875,417.7546875
-900.4171875,-482.6625,417.7546875
-897.5578125,-479.23125,418.3265625
-894.4125,-476.0859375,418.3265625
-891.8390625,-472.940625,418.8984375
-889.8375,-470.08125,419.75625
-888.4078125,-467.79375,420.6140625
-887.55,-466.078125,421.471875
-887.2640625,-465.2203125,422.04375
-887.2640625,-465.2203125,422.04375
-887.2640625,-465.2203125,422.04375
-887.55,-465.7921875,421.7578125
-887.2640625,-466.078125,421.1859375
-886.6921875,-466.65,420.0421875
-885.834375,-466.65,419.184375
-884.690625,-466.65,418.040625
-883.546875,-466.3640625,417.1828125
-882.6890625,-466.3640625,416.325
-882.403125,-466.3640625,416.0390625
-882.6890625,-466.65,416.0390625
-883.546875,-467.5078125,416.0390625
-884.9765625,-468.9375,416.0390625
-886.978125,-470.653125,416.325
-888.9796875,-472.6546875,416.325
-890.98125,-474.65625,416.325
-892.4109375,-476.371875,416.0390625
-892.9828125,-477.8015625,415.18125
-892.9828125,-478.3734375,414.609375
-892.125,-478.3734375,413.7515625
-890.409375,-477.2296875,413.1796875
-888.4078125,-475.8,412.6078125
-886.1203125,-473.7984375,412.321875
-883.8328125,-471.225,412.6078125
-882.403125,-468.9375,413.465625
-881.259375,-466.9359375,414.3234375
-880.9734375,-464.934375,416.0390625
-881.259375,-463.790625,417.46875
-882.403125,-462.9328125,419.4703125
-883.8328125,-462.646875,421.1859375
-885.2625,-462.646875,422.615625
-886.40625,-462.9328125,423.4734375
-887.55,-463.5046875,424.0453125
-888.121875,-464.0765625,424.0453125
-888.4078125,-464.6484375,423.759375
-888.121875,-465.2203125,422.9015625
-887.8359375,-465.7921875,422.04375
-887.2640625,-466.3640625,420.9
-886.6921875,-466.65,420.0421875
-886.1203125,-466.9359375,419.184375
