LEFT,RIGHT,DIFF
-14.0109375,3.43125,17.4421875
-12.8671875,3.7171875,16.584375
-12.009375,3.1453125,15.1546875
-12.2953125,1.715625,14.0109375
-13.725,-0.2859375,13.4390625
-16.0125,-3.7171875,12.2953125
-18.871875,-7.434375,11.4375
-22.5890625,-11.4375,11.1515625
-26.30625,-15.1546875,11.1515625
-29.7375,-18.3,11.4375
-32.596875,-20.5875,12.009375
-34.3125,-21.4453125,12.8671875
-34.884375,-21.159375,13.725
-34.0265625,-19.1578125,14.86875
-32.025,-16.2984375,15.7265625
-29.165625,-12.58125,16.584375
-25.4484375,-8.578125,16.8703125
-22.0171875,-4.8609375,17.15625
-18.5859375,-1.715625,16.8703125
-16.2984375,0.2859375,16.584375
-14.5828125,1.715625,16.2984375
-14.296875,2.0015625,16.2984375
-14.86875,1.4296875,16.2984375
-16.0125,0.2859375,16.2984375
-17.728125,-0.8578125,16.8703125
-19.44375,-1.715625,17.728125
-20.5875,-2.5734375,18.0140625
-21.4453125,-2.859375,18.5859375
-21.4453125,-2.5734375,18.871875
-20.8734375,-2.0015625,18.871875
-20.015625,-1.14375,18.871875
-18.871875,-0.8578125,18.0140625
-18.0140625,-0.8578125,17.15625
-17.728125,-1.715625,16.0125
-18.0140625,-3.1453125,14.86875
-19.44375,-5.4328125,14.0109375
-21.4453125,-8.2921875,13.153125
-24.3046875,-11.1515625,13.153125
-27.1640625,-13.725,13.4390625
-30.309375,-15.7265625,14.5828125
-32.596875,-16.8703125,15.7265625
-34.3125,-16.8703125,17.4421875
-35.1703125,-15.7265625,19.44375
-34.884375,-14.0109375,20.8734375
-33.740625,-11.4375,22.303125
-32.025,-9.15,22.875
-30.0234375,-6.8625,23.1609375
-27.7359375,-5.71875,22.0171875
-26.0203125,-5.4328125,20.5875
-24.8765625,-6.0046875,18.871875
-24.590625,-8.00625,16.584375
-25.1625,-10.5796875,14.5828125
-26.5921875,-13.725,12.8671875
-28.3078125,-17.15625,11.1515625
-30.5953125,-20.015625,10.5796875
-33.16875,-22.303125,10.865625
-35.45625,-23.7328125,11.7234375
-37.171875,-24.3046875,12.8671875
-38.8875,-24.01875,14.86875
-39.7453125,-23.1609375,16.584375
-40.603125,-22.0171875,18.5859375
-40.8890625,-20.8734375,20.015625
-41.175,-20.015625,21.159375
-41.4609375,-20.015625,21.4453125
-41.746875,-20.3015625,21.4453125
-42.31875,-21.73125,20.5875
-42.890625,-23.446875,19.44375
-43.4625,-25.734375,17.728125
-44.3203125,-27.7359375,16.584375
-44.8921875,-29.7375,15.1546875
-44.8921875,-31.1671875,13.725
-44.60625,-31.453125,13.153125
-44.034375,-31.1671875,12.8671875
-42.31875,-29.7375,12.58125
-40.603125,-27.7359375,12.8671875
-38.0296875,-25.1625,12.8671875
-35.45625,-22.303125,13.153125
-32.8828125,-19.7296875,13.153125
-30.88125,-17.728125,13.153125
-29.165625,-16.584375,12.58125
-28.59375,-16.2984375,12.2953125
-28.8796875,-16.8703125,12.009375
-30.0234375,-18.871875,11.1515625
-32.3109375,-21.4453125,10.865625
-35.45625,-24.3046875,11.1515625
-38.6015625,-27.45,11.1515625
-42.0328125,-30.309375,11.7234375
-44.8921875,-32.596875,12.2953125
-47.1796875,-34.0265625,13.153125
-48.3234375,-34.0265625,14.296875
-48.0375,-33.16875,14.86875
-46.89375,-31.453125,15.440625
-44.3203125,-29.165625,15.1546875
-41.175,-26.30625,14.86875
-37.74375,-23.446875,14.296875
-34.3125,-21.159375,13.153125
-31.453125,-19.1578125,12.2953125
-29.165625,-18.3,10.865625
-27.7359375,-18.0140625,9.721875
-27.45,-18.3,9.15
-27.7359375,-19.1578125,8.578125
-28.59375,-19.7296875,8.8640625
-29.165625,-20.3015625,8.8640625
-29.7375,-20.015625,9.721875
-29.7375,-19.1578125,10.5796875
-29.165625,-17.728125,11.4375
-27.7359375,-15.440625,12.2953125
-25.734375,-12.8671875,12.8671875
-23.7328125,-10.29375,13.4390625
-21.4453125,-8.00625,13.4390625
-20.015625,-6.290625,13.725
-18.871875,-5.146875,13.725
-18.871875,-5.146875,13.725
-19.7296875,-5.71875,14.0109375
-21.4453125,-6.8625,14.5828125
-23.1609375,-8.00625,15.1546875
-25.1625,-8.8640625,16.2984375
-26.878125,-9.4359375,17.4421875
-27.7359375,-8.8640625,18.871875
-27.7359375,-7.7203125,20.015625
-26.878125,-5.71875,21.159375
-24.8765625,-2.859375,22.0171875
-22.5890625,-0.2859375,22.303125
-19.7296875,2.2875,22.0171875
-17.15625,4.575,21.73125
-14.86875,6.0046875,20.8734375
-13.153125,7.1484375,20.3015625
-11.7234375,7.434375,19.1578125
-10.865625,7.7203125,18.5859375
-10.0078125,7.7203125,17.728125
-9.15,8.2921875,17.4421875
-8.00625,9.721875,17.728125
-6.290625,11.7234375,18.0140625
-4.003125,14.296875,18.3
-1.715625,17.4421875,19.1578125
0.2859375,20.5875,20.3015625
2.0015625,23.446875,21.4453125
3.1453125,25.1625,22.0171875
2.859375,25.4484375,22.5890625
1.4296875,24.590625,23.1609375
-1.14375,22.0171875,23.1609375
-5.146875,18.5859375,23.7328125
-9.4359375,14.86875,24.3046875
-13.725,11.4375,25.1625
-16.8703125,8.8640625,25.734375
-18.5859375,7.7203125,26.30625
-18.5859375,8.578125,27.1640625
-16.584375,11.1515625,27.7359375
-12.8671875,15.440625,28.3078125
-7.7203125,20.8734375,28.59375
-2.2875,26.5921875,28.8796875
2.859375,32.025,29.165625
7.434375,36.028125,28.59375
10.5796875,38.6015625,28.021875
11.7234375,39.1734375,27.45
11.4375,38.0296875,26.5921875
9.4359375,35.7421875,26.30625
6.5765625,32.8828125,26.30625
3.7171875,29.7375,26.0203125
1.4296875,27.7359375,26.30625
0.0,26.878125,26.878125
0.571875,27.1640625,26.5921875
2.2875,28.8796875,26.5921875
5.4328125,31.453125,26.0203125
9.15,34.0265625,24.8765625
12.8671875,36.3140625,23.446875
15.7265625,37.4578125,21.73125
17.4421875,36.6,19.1578125
16.8703125,34.3125,17.4421875
14.5828125,30.309375,15.7265625
10.29375,25.1625,14.86875
5.146875,19.44375,14.296875
-0.571875,14.296875,14.86875
-6.5765625,10.0078125,16.584375
-11.4375,7.434375,18.871875
-15.1546875,6.8625,22.0171875
-17.15625,8.00625,25.1625
-17.728125,10.29375,28.021875
-16.8703125,13.725,30.5953125
-15.1546875,16.8703125,32.025
-13.4390625,19.44375,32.8828125
-11.7234375,20.8734375,32.596875
-10.5796875,20.8734375,31.453125
-10.29375,19.44375,29.7375
-10.865625,16.8703125,27.7359375
-11.4375,14.296875,25.734375
-12.009375,11.7234375,23.7328125
-12.2953125,10.5796875,22.875
-11.4375,10.5796875,22.0171875
-9.4359375,12.8671875,22.303125
-6.290625,16.584375,22.875
-2.2875,21.4453125,23.7328125
2.2875,27.1640625,24.8765625
6.8625,32.8828125,26.0203125
11.1515625,37.74375,26.5921875
14.296875,41.175,26.878125
16.2984375,42.890625,26.5921875
16.584375,42.890625,26.30625
16.0125,41.175,25.1625
14.5828125,38.8875,24.3046875
12.58125,35.7421875,23.1609375
10.865625,33.16875,22.303125
9.721875,31.1671875,21.4453125
9.4359375,30.309375,20.8734375
9.721875,30.309375,20.5875
10.5796875,30.88125,20.3015625
11.7234375,31.7390625,20.015625
12.58125,32.025,19.44375
12.58125,31.453125,18.871875
11.4375,29.7375,18.3
8.8640625,26.5921875,17.728125
5.4328125,22.303125,16.8703125
1.14375,17.4421875,16.2984375
-3.1453125,12.58125,15.7265625
-7.1484375,8.8640625,16.0125
-9.721875,6.5765625,16.2984375
-10.865625,6.290625,17.15625
-9.721875,8.578125,18.3
-6.290625,13.153125,19.44375
-1.14375,19.44375,20.5875
5.146875,26.878125,21.73125
12.009375,34.5984375,22.5890625
18.5859375,41.175,22.5890625
23.7328125,46.0359375,22.303125
27.1640625,48.3234375,21.159375
28.021875,48.3234375,20.3015625
26.30625,45.75,19.44375
22.303125,41.175,18.871875
16.8703125,35.45625,18.5859375
10.5796875,29.4515625,18.871875
4.2890625,24.01875,19.7296875
-0.571875,20.015625,20.5875
-4.003125,18.0140625,22.0171875
-4.8609375,18.3,23.1609375
-3.43125,20.8734375,24.3046875
0.2859375,25.4484375,25.1625
6.290625,31.1671875,24.8765625
13.725,37.4578125,23.7328125
21.73125,43.7484375,22.0171875
29.7375,49.18125,19.44375
36.8859375,53.4703125,16.584375
42.6046875,56.04375,13.4390625
46.0359375,56.9015625,10.865625
47.465625,56.3296875,8.8640625
46.6078125,54.0421875,7.434375
43.7484375,50.896875,7.1484375
39.459375,46.89375,7.434375
33.740625,42.6046875,8.8640625
27.1640625,38.0296875,10.865625
20.5875,33.4546875,12.8671875
14.296875,29.165625,14.86875
8.2921875,25.1625,16.8703125
3.7171875,21.73125,18.0140625
0.2859375,18.871875,18.5859375
-1.4296875,17.15625,18.5859375
-2.0015625,16.584375,18.5859375
-0.571875,17.15625,17.728125
1.715625,19.1578125,17.4421875
6.0046875,22.875,16.8703125
11.4375,27.7359375,16.2984375
17.4421875,34.0265625,16.584375
24.3046875,41.175,16.8703125
31.1671875,48.3234375,17.15625
37.4578125,55.1859375,17.728125
42.6046875,60.9046875,18.3
46.321875,64.621875,18.3
48.3234375,66.3375,18.0140625
48.3234375,65.4796875,17.15625
46.321875,62.0484375,15.7265625
42.0328125,56.3296875,14.296875
36.3140625,49.18125,12.8671875
29.4515625,40.8890625,11.4375
22.303125,32.8828125,10.5796875
15.440625,25.4484375,10.0078125
9.4359375,20.3015625,10.865625
5.146875,17.15625,12.009375
2.859375,16.8703125,14.0109375
2.859375,19.1578125,16.2984375
4.8609375,23.7328125,18.871875
8.2921875,30.0234375,21.73125
12.8671875,37.171875,24.3046875
18.0140625,44.034375,26.0203125
22.5890625,49.753125,27.1640625
25.734375,53.75625,28.021875
27.1640625,55.471875,28.3078125
26.5921875,54.6140625,28.021875
24.01875,51.46875,27.45
19.44375,46.6078125,27.1640625
13.4390625,40.603125,27.1640625
6.5765625,34.3125,27.7359375
0.2859375,28.8796875,28.59375
-5.146875,24.3046875,29.4515625
-9.15,21.4453125,30.5953125
-11.1515625,20.5875,31.7390625
-11.4375,21.4453125,32.8828125
-9.4359375,23.7328125,33.16875
-6.0046875,26.878125,32.8828125
-2.0015625,30.0234375,32.025
2.0015625,32.8828125,30.88125
5.71875,34.884375,29.165625
8.2921875,35.45625,27.1640625
9.4359375,34.884375,25.4484375
9.15,32.8828125,23.7328125
7.7203125,30.309375,22.5890625
5.146875,27.1640625,22.0171875
2.2875,24.3046875,22.0171875
0.0,22.0171875,22.0171875
-2.0015625,20.8734375,22.875
-2.5734375,20.5875,23.1609375
-2.0015625,21.73125,23.7328125
0.0,23.7328125,23.7328125
2.859375,26.5921875,23.7328125
6.5765625,30.0234375,23.446875
10.5796875,33.4546875,22.875
14.296875,36.3140625,22.0171875
17.15625,38.8875,21.73125
18.871875,40.3171875,21.4453125
19.44375,40.603125,21.159375
18.3,40.03125,21.73125
16.0125,38.315625,22.303125
12.58125,36.028125,23.446875
8.578125,32.8828125,24.3046875
4.575,29.4515625,24.8765625
0.571875,26.0203125,25.4484375
-2.5734375,22.5890625,25.1625
-4.8609375,19.44375,24.3046875
-6.290625,17.15625,23.446875
-6.8625,15.7265625,22.5890625
-6.0046875,15.440625,21.4453125
-4.2890625,16.584375,20.8734375
-1.4296875,18.5859375,20.015625
1.715625,22.0171875,20.3015625
5.71875,26.0203125,20.3015625
10.0078125,30.5953125,20.5875
14.296875,35.1703125,20.8734375
18.3,39.7453125,21.4453125
22.0171875,43.4625,21.4453125
25.1625,46.6078125,21.4453125
27.45,48.609375,21.159375
29.165625,50.0390625,20.8734375
30.0234375,50.6109375,20.5875
30.5953125,50.6109375,20.015625
30.5953125,50.896875,20.3015625
30.0234375,50.896875,20.8734375
29.4515625,51.1828125,21.73125
28.59375,52.040625,23.446875
27.7359375,52.6125,24.8765625
26.878125,53.184375,26.30625
25.4484375,53.184375,27.7359375
23.7328125,52.3265625,28.59375
21.4453125,50.325,28.8796875
18.5859375,46.6078125,28.021875
15.1546875,41.4609375,26.30625
10.865625,35.1703125,24.3046875
6.290625,28.021875,21.73125
1.4296875,20.5875,19.1578125
-3.1453125,13.4390625,16.584375
-7.434375,7.1484375,14.5828125
-11.1515625,2.5734375,13.725
-13.725,-0.2859375,13.4390625
-15.1546875,-1.715625,13.4390625
-15.7265625,-1.715625,14.0109375
-15.1546875,0.0,15.1546875
-14.0109375,2.0015625,16.0125
-12.009375,4.8609375,16.8703125
-9.721875,7.7203125,17.4421875
-7.7203125,10.29375,18.0140625
-5.4328125,12.2953125,17.728125
-3.43125,14.296875,17.728125
-1.4296875,16.0125,17.4421875
0.0,17.4421875,17.4421875
1.4296875,19.1578125,17.728125
2.859375,21.159375,18.3
4.003125,23.1609375,19.1578125
4.8609375,25.1625,20.3015625
5.4328125,26.878125,21.4453125
5.71875,28.3078125,22.5890625
5.146875,29.165625,24.01875
4.2890625,29.165625,24.8765625
3.1453125,28.59375,25.4484375
1.715625,27.7359375,26.0203125
0.571875,26.5921875,26.0203125
0.2859375,26.0203125,25.734375
0.8578125,26.30625,25.4484375
2.5734375,27.7359375,25.1625
5.71875,30.309375,24.590625
9.721875,34.0265625,24.3046875
14.86875,38.315625,23.446875
20.015625,42.6046875,22.5890625
24.590625,46.321875,21.73125
27.7359375,48.3234375,20.5875
29.165625,48.3234375,19.1578125
28.3078125,45.4640625,17.15625
24.8765625,40.3171875,15.440625
19.1578125,33.16875,14.0109375
12.009375,24.590625,12.58125
4.003125,15.7265625,11.7234375
-3.43125,7.7203125,11.1515625
-10.29375,1.14375,11.4375
-14.86875,-2.2875,12.58125
-16.8703125,-3.43125,13.4390625
-16.2984375,-1.4296875,14.86875
-13.153125,2.859375,16.0125
-7.7203125,9.15,16.8703125
-1.14375,16.584375,17.728125
5.4328125,23.7328125,18.3
12.009375,30.0234375,18.0140625
17.15625,34.884375,17.728125
20.8734375,37.74375,16.8703125
22.5890625,38.6015625,16.0125
22.5890625,38.0296875,15.440625
21.159375,36.6,15.440625
19.1578125,34.5984375,15.440625
16.8703125,32.8828125,16.0125
14.5828125,31.453125,16.8703125
12.8671875,30.88125,18.0140625
11.4375,30.5953125,19.1578125
10.29375,30.309375,20.015625
9.15,29.7375,20.5875
7.434375,28.3078125,20.8734375
4.8609375,25.4484375,20.5875
1.4296875,21.159375,19.7296875
-3.1453125,15.7265625,18.871875
-8.2921875,9.4359375,17.728125
-14.0109375,3.1453125,17.15625
-18.871875,-2.5734375,16.2984375
-22.5890625,-6.8625,15.7265625
-24.3046875,-9.4359375,14.86875
-24.01875,-9.4359375,14.5828125
-21.159375,-7.1484375,14.0109375
-16.2984375,-2.859375,13.4390625
-10.29375,2.859375,13.153125
-3.43125,9.15,12.58125
2.859375,15.1546875,12.2953125
8.00625,19.7296875,11.7234375
10.865625,22.303125,11.4375
11.4375,22.875,11.4375
9.4359375,20.8734375,11.4375
5.146875,16.8703125,11.7234375
-0.2859375,11.7234375,12.009375
-6.8625,6.0046875,12.8671875
-13.153125,0.2859375,13.4390625
-18.3,-3.7171875,14.5828125
-21.4453125,-6.5765625,14.86875
-22.303125,-7.434375,14.86875
-20.5875,-6.5765625,14.0109375
-17.15625,-3.7171875,13.4390625
-12.009375,0.0,12.009375
-6.0046875,4.575,10.5796875
-0.2859375,9.15,9.4359375
4.2890625,12.8671875,8.578125
8.00625,15.7265625,7.7203125
10.29375,17.4421875,7.1484375
10.865625,17.728125,6.8625
10.0078125,17.15625,7.1484375
8.2921875,16.0125,7.7203125
6.0046875,14.5828125,8.578125
4.003125,13.4390625,9.4359375
2.2875,12.8671875,10.5796875
1.4296875,12.8671875,11.4375
1.14375,13.725,12.58125
2.0015625,15.7265625,13.725
3.43125,18.0140625,14.5828125
4.8609375,20.5875,15.7265625
6.5765625,23.446875,16.8703125
8.00625,25.734375,17.728125
8.8640625,27.45,18.5859375
9.4359375,28.3078125,18.871875
9.15,28.3078125,19.1578125
8.578125,27.45,18.871875
7.434375,25.734375,18.3
6.0046875,23.446875,17.4421875
4.575,20.5875,16.0125
2.859375,17.4421875,14.5828125
1.14375,14.296875,13.153125
-0.2859375,11.4375,11.7234375
-2.0015625,8.8640625,10.865625
-4.003125,6.5765625,10.5796875
-6.290625,4.8609375,11.1515625
-8.2921875,3.7171875,12.009375
-10.0078125,3.1453125,13.153125
-11.1515625,3.1453125,14.296875
-12.009375,3.43125,15.440625
-12.009375,4.575,16.584375
-11.1515625,5.71875,16.8703125
-9.4359375,7.434375,16.8703125
-6.8625,9.4359375,16.2984375
-4.003125,11.4375,15.440625
-1.14375,13.4390625,14.5828125
1.4296875,15.440625,14.0109375
3.7171875,16.8703125,13.153125
5.146875,17.728125,12.58125
5.4328125,18.0140625,12.58125
4.8609375,17.4421875,12.58125
2.859375,16.0125,13.153125
0.2859375,14.0109375,13.725
-2.859375,11.1515625,14.0109375
-6.290625,7.7203125,14.0109375
-9.721875,4.2890625,14.0109375
-12.2953125,1.14375,13.4390625
-14.5828125,-1.4296875,13.153125
-15.7265625,-3.43125,12.2953125
-16.0125,-4.575,11.4375
-15.440625,-4.575,10.865625
-14.296875,-3.7171875,10.5796875
-12.58125,-1.715625,10.865625
-10.865625,0.571875,11.4375
-9.15,3.43125,12.58125
-7.434375,6.290625,13.725
-6.0046875,8.8640625,14.86875
-5.146875,10.865625,16.0125
-4.2890625,12.009375,16.2984375
-3.7171875,12.58125,16.2984375
-3.1453125,12.58125,15.7265625
-2.859375,12.009375,14.86875
-2.0015625,11.4375,13.4390625
-1.4296875,11.1515625,12.58125
-0.571875,10.865625,11.4375
0.0,11.1515625,11.1515625
0.8578125,11.7234375,10.865625
1.14375,12.2953125,11.1515625
1.14375,13.153125,12.009375
0.571875,13.725,13.153125
-0.2859375,13.725,14.0109375
-1.715625,13.153125,14.86875
-3.7171875,12.009375,15.7265625
-5.71875,10.5796875,16.2984375
-7.1484375,9.15,16.2984375
-8.2921875,8.00625,16.2984375
-8.578125,7.7203125,16.2984375
-8.00625,8.2921875,16.2984375
-6.290625,10.0078125,16.2984375
-3.7171875,13.4390625,17.15625
-0.571875,17.728125,18.3
2.859375,22.875,20.015625
6.0046875,28.021875,22.0171875
8.8640625,32.596875,23.7328125
10.5796875,36.028125,25.4484375
11.1515625,38.0296875,26.878125
10.5796875,38.0296875,27.45
8.8640625,36.6,27.7359375
6.5765625,33.740625,27.1640625
4.003125,29.7375,25.734375
