LEFT,RIGHT,DIFF
-210.45,-94.93125,115.51875
-203.3015625,-84.065625,119.2359375
-195.2953125,-72.3421875,122.953125
-186.43125,-61.4765625,124.9546875
-178.1390625,-51.46875,126.6703125
-170.41875,-43.4625,126.95625
-164.128125,-37.171875,126.95625
-158.98125,-32.8828125,126.0984375
-154.978125,-30.309375,124.66875
-152.11875,-28.59375,123.525
-149.5453125,-27.7359375,121.809375
-146.971875,-26.878125,120.09375
-144.3984375,-25.4484375,118.95
-141.5390625,-24.01875,117.5203125
-138.39375,-21.73125,116.6625
-134.6765625,-18.871875,115.8046875
-130.959375,-16.0125,114.946875
-127.2421875,-13.153125,114.0890625
-124.096875,-10.29375,113.803125
-121.5234375,-8.2921875,113.23125
-119.521875,-6.5765625,112.9453125
-118.378125,-5.71875,112.659375
-118.0921875,-5.146875,112.9453125
-118.378125,-5.4328125,112.9453125
-118.95,-6.290625,112.659375
-120.3796875,-7.434375,112.9453125
-122.0953125,-9.15,112.9453125
-124.096875,-11.4375,112.659375
-126.95625,-14.296875,112.659375
-130.6734375,-17.728125,112.9453125
-134.9625,-22.303125,112.659375
-139.8234375,-27.1640625,112.659375
-145.25625,-32.596875,112.659375
-150.975,-38.0296875,112.9453125
-156.69375,-43.4625,113.23125
-161.840625,-48.0375,113.803125
-165.84375,-51.46875,114.375
-168.4171875,-53.75625,114.6609375
-169.275,-54.328125,114.946875
-168.703125,-53.184375,115.51875
-166.415625,-51.1828125,115.2328125
-163.2703125,-48.0375,115.2328125
-159.553125,-44.3203125,115.2328125
-155.8359375,-40.8890625,114.946875
-152.690625,-38.0296875,114.6609375
-150.403125,-36.028125,114.375
-149.259375,-35.1703125,114.0890625
-149.5453125,-35.1703125,114.375
-150.403125,-36.028125,114.375
-152.11875,-37.171875,114.946875
-153.834375,-38.315625,115.51875
-154.978125,-38.8875,116.090625
-155.55,-38.6015625,116.9484375
-154.978125,-37.171875,117.80625
-153.5484375,-35.1703125,118.378125
-151.2609375,-32.596875,118.6640625
-148.4015625,-29.7375,118.6640625
-145.5421875,-27.45,118.0921875
-143.2546875,-25.734375,117.5203125
-141.825,-25.4484375,116.3765625
-141.825,-26.30625,115.51875
-143.2546875,-28.59375,114.6609375
-145.828125,-32.025,113.803125
-149.5453125,-36.3140625,113.23125
-153.5484375,-40.8890625,112.659375
-157.8375,-45.178125,112.659375
-161.26875,-48.8953125,112.3734375
-164.128125,-51.7546875,112.3734375
-165.84375,-53.75625,112.0875
-166.7015625,-54.6140625,112.0875
-166.7015625,-54.9,111.8015625
