LEFT,RIGHT,DIFF
-370.575,-171.8484375,198.7265625
-370.2890625,-169.846875,200.4421875
-369.43125,-167.2734375,202.1578125
-367.715625,-164.4140625,203.3015625
-365.428125,-161.26875,204.159375
-362.8546875,-158.409375,204.4453125
-359.709375,-155.8359375,203.8734375
-356.5640625,-153.5484375,203.015625
-353.41875,-151.546875,201.871875
-350.559375,-149.83125,200.728125
-348.271875,-148.6875,199.584375
-346.55625,-147.8296875,198.7265625
-345.984375,-147.2578125,198.7265625
-345.984375,-147.2578125,198.7265625
-347.128125,-147.8296875,199.2984375
-349.1296875,-149.259375,199.8703125
-351.9890625,-151.2609375,200.728125
-355.70625,-154.1203125,201.5859375
-359.9953125,-157.5515625,202.44375
-364.284375,-160.9828125,203.3015625
-368.2875,-164.4140625,203.8734375
-371.4328125,-167.559375,203.8734375
-373.7203125,-169.5609375,204.159375
-374.2921875,-170.41875,203.8734375
-373.7203125,-169.846875,203.8734375
-371.71875,-168.13125,203.5875
-368.5734375,-165.271875,203.3015625
-364.85625,-162.1265625,202.7296875
-360.853125,-158.6953125,202.1578125
-357.1359375,-155.55,201.5859375
-354.2765625,-152.9765625,201.3
-352.5609375,-151.8328125,200.728125
-352.275,-151.8328125,200.4421875
-353.1328125,-152.9765625,200.15625
-355.134375,-154.978125,200.15625
-357.421875,-157.265625,200.15625
-359.9953125,-159.553125,200.4421875
-361.996875,-161.5546875,200.4421875
-363.4265625,-162.4125,201.0140625
-363.4265625,-162.1265625,201.3
-362.56875,-161.26875,201.3
-360.853125,-159.2671875,201.5859375
-358.565625,-156.9796875,201.5859375
-356.5640625,-154.978125,201.5859375
-354.8484375,-153.2625,201.5859375
-354.5625,-152.9765625,201.5859375
-355.4203125,-153.834375,201.5859375
-357.99375,-156.121875,201.871875
-361.996875,-159.8390625,202.1578125
-367.14375,-164.4140625,202.7296875
-372.8625,-169.5609375,203.3015625
-378.2953125,-174.421875,203.8734375
-383.4421875,-178.996875,204.4453125
-387.159375,-182.7140625,204.4453125
-389.446875,-185.0015625,204.4453125
-390.01875,-185.859375,204.159375
-389.1609375,-185.2875,203.8734375
-386.8734375,-183.8578125,203.015625
-383.728125,-181.284375,202.44375
-380.296875,-178.425,201.871875
-376.5796875,-174.99375,201.5859375
-373.7203125,-171.8484375,201.871875
-371.146875,-168.9890625,202.1578125
-369.43125,-166.415625,203.015625
-368.2875,-164.128125,204.159375
-367.715625,-162.1265625,205.5890625
-367.715625,-160.696875,207.01875
