LEFT,RIGHT,DIFF
-45.4640625,-32.596875,12.8671875
-42.890625,-30.5953125,12.2953125
-40.603125,-28.59375,12.009375
-38.8875,-27.1640625,11.7234375
-37.74375,-26.0203125,11.7234375
-37.74375,-25.4484375,12.2953125
-38.8875,-25.4484375,13.4390625
-40.3171875,-25.734375,14.5828125
-42.31875,-26.0203125,16.2984375
-44.034375,-26.0203125,18.0140625
-45.4640625,-25.734375,19.7296875
-45.75,-24.8765625,20.8734375
-45.4640625,-23.1609375,22.303125
-44.034375,-20.8734375,23.1609375
-42.0328125,-18.5859375,23.446875
-39.7453125,-16.2984375,23.446875
-37.4578125,-14.296875,23.1609375
-36.028125,-12.8671875,23.1609375
-35.7421875,-12.2953125,23.446875
-36.6,-12.58125,24.01875
-38.315625,-13.725,24.590625
-41.175,-15.1546875,26.0203125
-44.3203125,-16.8703125,27.45
-47.7515625,-18.5859375,29.165625
-50.325,-19.7296875,30.5953125
-52.040625,-20.015625,32.025
-52.3265625,-19.7296875,32.596875
-50.896875,-18.3,32.596875
-48.3234375,-16.2984375,32.025
-44.3203125,-14.0109375,30.309375
-39.459375,-11.7234375,27.7359375
-34.5984375,-9.15,25.4484375
-29.7375,-7.434375,22.303125
-25.4484375,-6.290625,19.1578125
-22.0171875,-5.71875,16.2984375
-19.44375,-5.71875,13.725
-18.0140625,-6.290625,11.7234375
-17.4421875,-7.434375,10.0078125
-17.728125,-8.578125,9.15
-18.3,-9.721875,8.578125
-19.44375,-10.5796875,8.8640625
-20.8734375,-11.4375,9.4359375
-22.303125,-11.7234375,10.5796875
-23.7328125,-11.7234375,12.009375
-25.4484375,-11.7234375,13.725
-27.1640625,-11.1515625,16.0125
-28.8796875,-10.865625,18.0140625
-30.309375,-10.5796875,19.7296875
-32.025,-10.5796875,21.4453125
-33.16875,-10.5796875,22.5890625
-34.3125,-11.4375,22.875
-35.1703125,-12.2953125,22.875
-35.45625,-14.0109375,21.4453125
-35.45625,-16.2984375,19.1578125
-35.45625,-19.1578125,16.2984375
-35.1703125,-22.5890625,12.58125
-35.1703125,-26.30625,8.8640625
-35.45625,-30.309375,5.146875
-36.028125,-34.5984375,1.4296875
-36.8859375,-38.6015625,-1.715625
-38.0296875,-42.0328125,-4.003125
-39.1734375,-44.60625,-5.4328125
-40.03125,-46.6078125,-6.5765625
-40.3171875,-47.465625,-7.1484375
-40.3171875,-47.465625,-7.1484375
-39.459375,-46.6078125,-7.1484375
-37.74375,-45.4640625,-7.72031250000001
