LEFT,RIGHT,DIFF
-16.584375,28.3078125,44.8921875
-18.871875,26.5921875,45.4640625
-21.73125,24.3046875,46.0359375
-24.590625,21.4453125,46.0359375
-27.1640625,18.871875,46.0359375
-29.165625,16.2984375,45.4640625
-30.309375,14.0109375,44.3203125
-30.309375,12.58125,42.890625
-29.4515625,11.7234375,41.175
-27.7359375,11.1515625,38.8875
-25.4484375,10.865625,36.3140625
-23.1609375,10.5796875,33.740625
-20.5875,10.5796875,31.1671875
-18.5859375,10.29375,28.8796875
-16.8703125,10.29375,27.1640625
-16.0125,10.0078125,26.0203125
-15.440625,10.29375,25.734375
-15.440625,10.5796875,26.0203125
-15.7265625,11.4375,27.1640625
-16.0125,12.58125,28.59375
-16.2984375,13.725,30.0234375
-16.584375,15.440625,32.025
-16.584375,16.8703125,33.4546875
-16.2984375,18.3,34.5984375
-16.2984375,19.1578125,35.45625
-16.0125,19.44375,35.45625
-15.7265625,19.1578125,34.884375
-15.7265625,18.3,34.0265625
-15.7265625,16.8703125,32.596875
-15.7265625,15.7265625,31.453125
-15.7265625,14.296875,30.0234375
-15.7265625,13.4390625,29.165625
-15.7265625,12.8671875,28.59375
-15.440625,12.8671875,28.3078125
-15.1546875,13.4390625,28.59375
-14.86875,14.296875,29.165625
-14.5828125,15.440625,30.0234375
-14.5828125,16.8703125,31.453125
-14.296875,18.0140625,32.3109375
-14.296875,19.1578125,33.4546875
-14.296875,20.3015625,34.5984375
-14.296875,21.159375,35.45625
-13.725,22.0171875,35.7421875
-12.8671875,22.875,35.7421875
-11.4375,23.7328125,35.1703125
-9.721875,24.590625,34.3125
-8.00625,24.8765625,32.8828125
-6.5765625,24.590625,31.1671875
-5.4328125,23.7328125,29.165625
-5.146875,22.0171875,27.1640625
-6.0046875,18.871875,24.8765625
-8.00625,14.5828125,22.5890625
-11.1515625,9.721875,20.8734375
-15.440625,4.003125,19.44375
-20.015625,-1.715625,18.3
-24.8765625,-6.8625,18.0140625
-29.4515625,-11.4375,18.0140625
-32.8828125,-14.296875,18.5859375
-35.1703125,-15.7265625,19.44375
-36.028125,-15.440625,20.5875
-35.45625,-14.0109375,21.4453125
-34.0265625,-11.4375,22.5890625
-32.025,-8.578125,23.446875
-29.7375,-6.290625,23.446875
-27.7359375,-4.575,23.1609375
-26.5921875,-4.003125,22.5890625
-26.5921875,-4.8609375,21.73125
-27.1640625,-6.5765625,20.5875
-28.3078125,-9.15,19.1578125
-29.7375,-11.4375,18.3
-30.88125,-13.153125,17.728125
