LEFT,RIGHT,DIFF
-32.3109375,-18.0140625,14.296875
-30.0234375,-16.0125,14.0109375
-27.7359375,-13.725,14.0109375
-25.1625,-11.7234375,13.4390625
-23.1609375,-9.4359375,13.725
-21.4453125,-7.434375,14.0109375
-20.3015625,-5.71875,14.5828125
-20.015625,-4.575,15.440625
-20.5875,-4.003125,16.584375
-21.73125,-4.2890625,17.4421875
-23.7328125,-5.146875,18.5859375
-26.30625,-6.8625,19.44375
-28.8796875,-9.15,19.7296875
-31.1671875,-11.7234375,19.44375
-32.8828125,-14.296875,18.5859375
-33.740625,-16.2984375,17.4421875
-33.740625,-17.728125,16.0125
-32.596875,-18.3,14.296875
-30.309375,-18.0140625,12.2953125
-27.45,-16.584375,10.865625
-24.01875,-14.296875,9.721875
-20.8734375,-11.7234375,9.15
-18.0140625,-8.8640625,9.15
-15.7265625,-6.290625,9.4359375
-14.5828125,-4.2890625,10.29375
-14.296875,-3.43125,10.865625
-14.86875,-3.43125,11.4375
-16.584375,-4.8609375,11.7234375
-18.5859375,-7.7203125,10.865625
-21.159375,-11.7234375,9.4359375
-24.01875,-16.2984375,7.7203125
-26.878125,-22.0171875,4.8609375
-29.7375,-28.021875,1.715625
-32.596875,-34.0265625,-1.4296875
-35.45625,-40.03125,-4.575
-38.315625,-45.4640625,-7.1484375
-41.4609375,-50.0390625,-8.578125
-44.3203125,-53.75625,-9.4359375
-47.465625,-56.04375,-8.578125
-50.0390625,-56.9015625,-6.8625
-52.040625,-56.3296875,-4.28906250000001
-53.4703125,-54.328125,-0.857812500000001
-53.4703125,-51.1828125,2.28749999999999
-52.3265625,-46.6078125,5.71875
-50.325,-41.4609375,8.8640625
-46.89375,-35.7421875,11.1515625
-42.890625,-30.5953125,12.2953125
-38.6015625,-26.0203125,12.58125
-34.3125,-22.5890625,11.7234375
-30.88125,-20.3015625,10.5796875
-28.59375,-19.7296875,8.8640625
-27.7359375,-20.8734375,6.8625
-28.021875,-22.875,5.146875
-29.7375,-26.0203125,3.7171875
-32.3109375,-29.4515625,2.859375
-35.45625,-33.16875,2.2875
-38.6015625,-36.3140625,2.2875
-41.4609375,-38.6015625,2.859375
-43.7484375,-40.03125,3.7171875
-44.8921875,-40.3171875,4.575
-44.8921875,-39.7453125,5.14687499999999
-43.7484375,-38.6015625,5.146875
-42.0328125,-36.8859375,5.14687499999999
-39.459375,-34.884375,4.575
-36.6,-32.596875,4.003125
-33.740625,-30.5953125,3.1453125
-30.88125,-28.8796875,2.0015625
-28.3078125,-27.1640625,1.14375
-26.30625,-25.4484375,0.857812500000001
-24.3046875,-23.7328125,0.571874999999999
-22.875,-22.303125,0.571874999999999
-21.4453125,-21.159375,0.285937499999999
-20.3015625,-20.015625,0.285937499999999
-19.7296875,-19.44375,0.285937499999999
-19.44375,-19.1578125,0.285937499999999
-19.44375,-19.7296875,-0.285937499999999
-20.015625,-20.8734375,-0.857812500000001
-21.159375,-22.303125,-1.14375
-22.5890625,-24.590625,-2.0015625
-24.3046875,-26.878125,-2.5734375
-26.30625,-28.8796875,-2.5734375
-28.021875,-30.5953125,-2.5734375
-29.7375,-31.7390625,-2.0015625
-30.88125,-32.025,-1.14375
-31.453125,-31.453125,0.0
-31.453125,-30.5953125,0.857812499999998
-31.1671875,-29.165625,2.0015625
-31.1671875,-27.7359375,3.43125
-31.1671875,-26.878125,4.2890625
-31.453125,-26.878125,4.575
-32.8828125,-27.7359375,5.146875
-34.884375,-29.4515625,5.4328125
-37.4578125,-32.3109375,5.146875
-40.8890625,-35.7421875,5.146875
-44.3203125,-39.1734375,5.146875
-47.465625,-42.31875,5.146875
-50.0390625,-44.8921875,5.146875
-51.7546875,-46.321875,5.4328125
-52.040625,-46.6078125,5.4328125
-51.1828125,-45.4640625,5.71875
-49.18125,-43.7484375,5.4328125
-46.6078125,-41.175,5.4328125
-43.4625,-38.6015625,4.8609375
-40.03125,-36.6,3.43125
-37.4578125,-34.884375,2.5734375
-35.45625,-34.5984375,0.857812500000001
-34.3125,-35.1703125,-0.857812500000001
-34.3125,-36.6,-2.2875
-34.884375,-38.8875,-4.003125
-36.3140625,-41.4609375,-5.146875
-37.4578125,-44.034375,-6.5765625
-38.8875,-46.0359375,-7.1484375
-39.7453125,-47.465625,-7.7203125
-39.7453125,-48.0375,-8.2921875
-39.1734375,-47.7515625,-8.578125
-38.0296875,-46.6078125,-8.578125
-36.6,-45.178125,-8.578125
-34.884375,-43.1765625,-8.2921875
-32.8828125,-41.4609375,-8.578125
-31.453125,-39.7453125,-8.2921875
-30.309375,-38.315625,-8.00625
-29.7375,-36.8859375,-7.1484375
-29.7375,-36.028125,-6.290625
-29.7375,-35.1703125,-5.4328125
-30.0234375,-34.3125,-4.2890625
-30.309375,-33.16875,-2.859375
-30.309375,-31.7390625,-1.4296875
-29.7375,-30.309375,-0.571875000000002
-29.165625,-28.59375,0.571875000000002
-28.021875,-27.1640625,0.857812500000001
-26.878125,-25.734375,1.14375
-26.0203125,-24.590625,1.4296875
-25.734375,-24.3046875,1.4296875
-26.0203125,-24.590625,1.4296875
-27.1640625,-26.0203125,1.14375
-29.7375,-28.3078125,1.4296875
-33.740625,-31.7390625,2.0015625
-38.8875,-36.028125,2.859375
-45.4640625,-41.4609375,4.003125
-53.184375,-47.7515625,5.4328125
-62.0484375,-54.6140625,7.434375
-71.1984375,-62.6203125,8.57812499999999
-80.3484375,-70.9125,9.43593749999999
-89.4984375,-79.490625,10.0078125
-98.0765625,-87.7828125,10.29375
-105.5109375,-95.7890625,9.721875
-111.515625,-102.6515625,8.8640625
-115.8046875,-108.084375,7.72031249999999
-118.0921875,-111.515625,6.57656250000001
-118.378125,-112.0875,6.29062500000001
-116.9484375,-110.371875,6.57656250000001
-113.803125,-105.5109375,8.29218750000001
-108.9421875,-98.0765625,10.865625
-103.2234375,-88.3546875,14.86875
-96.9328125,-76.9171875,20.015625
-90.0703125,-64.621875,25.4484375
-83.2078125,-52.040625,31.1671875
-76.9171875,-40.3171875,36.6
-71.1984375,-30.309375,40.8890625
-66.0515625,-22.303125,43.7484375
-61.4765625,-16.584375,44.8921875
-58.0453125,-13.4390625,44.60625
-55.1859375,-12.58125,42.6046875
-53.184375,-13.725,39.459375
-52.040625,-16.584375,35.45625
-51.7546875,-20.015625,31.7390625
-52.040625,-23.7328125,28.3078125
-52.6125,-27.1640625,25.4484375
-54.0421875,-29.7375,24.3046875
-55.7578125,-31.453125,24.3046875
-57.4734375,-32.3109375,25.1625
-58.903125,-31.7390625,27.1640625
-59.7609375,-30.5953125,29.165625
-60.046875,-28.8796875,31.1671875
-59.475,-27.1640625,32.3109375
-57.759375,-25.4484375,32.3109375
-55.1859375,-24.01875,31.1671875
-51.46875,-23.446875,28.021875
-47.465625,-23.7328125,23.7328125
-43.4625,-24.8765625,18.5859375
-39.7453125,-26.878125,12.8671875
-37.171875,-29.7375,7.434375
-35.7421875,-33.4546875,2.2875
-35.7421875,-37.171875,-1.4296875
-37.4578125,-41.175,-3.7171875
-40.603125,-44.8921875,-4.2890625
-44.60625,-48.3234375,-3.7171875
-49.18125,-51.1828125,-2.00156250000001
-53.4703125,-53.184375,0.285937499999996
-56.9015625,-54.328125,2.5734375
-59.1890625,-54.6140625,4.575
-60.046875,-53.75625,6.290625
-59.1890625,-52.3265625,6.8625
-56.615625,-50.0390625,6.5765625
-52.8984375,-47.7515625,5.146875
-48.609375,-44.8921875,3.7171875
-44.3203125,-42.31875,2.0015625
