LEFT,RIGHT,DIFF
-238.1859375,-246.478125,-8.29218749999998
-238.7578125,-247.9078125,-9.15000000000001
-240.4734375,-251.3390625,-10.865625
-243.3328125,-255.628125,-12.2953125
-246.478125,-259.9171875,-13.4390625
-248.4796875,-263.0625,-14.5828125
-249.0515625,-264.20625,-15.1546875
-247.9078125,-263.0625,-15.1546875
-244.7625,-259.3453125,-14.5828125
-239.9015625,-253.6265625,-13.725
-233.896875,-246.1921875,-12.2953125
-227.3203125,-238.1859375,-10.865625
-221.6015625,-231.0375,-9.43593750000002
-216.740625,-225.0328125,-8.29218750000001
-214.1671875,-221.315625,-7.1484375
-213.88125,-220.171875,-6.29062500000001
-216.16875,-222.1734375,-6.00468749999999
-220.4578125,-226.7484375,-6.29062500000001
-226.4625,-233.0390625,-6.57656249999999
-233.0390625,-240.4734375,-7.43437500000002
-239.3296875,-247.9078125,-8.578125
-244.190625,-253.9125,-9.72187500000001
-247.05,-257.915625,-10.865625
-247.621875,-259.3453125,-11.7234375
-245.0484375,-258.2015625,-13.153125
-240.4734375,-253.9125,-13.4390625
-233.6109375,-247.9078125,-14.296875
-225.890625,-240.4734375,-14.5828125
-218.45625,-232.753125,-14.296875
-211.59375,-226.1765625,-14.5828125
-207.01875,-221.0296875,-14.0109375
-204.4453125,-218.45625,-14.0109375
-205.0171875,-218.45625,-13.4390625
-207.8765625,-221.0296875,-13.153125
-213.0234375,-225.6046875,-12.58125
-219.3140625,-231.609375,-12.2953125
-226.1765625,-237.9,-11.7234375
-232.4671875,-243.9046875,-11.4375
-237.9,-248.4796875,-10.5796875
-241.33125,-251.625,-10.29375
-243.046875,-252.76875,-9.72187500000001
-242.7609375,-251.625,-8.86406249999999
-241.0453125,-249.0515625,-8.00624999999999
-238.1859375,-245.334375,-7.1484375
-234.46875,-241.0453125,-6.57656250000002
-231.0375,-236.75625,-5.71875
-227.8921875,-232.753125,-4.86093750000001
-225.6046875,-229.6078125,-4.00312500000001
-223.8890625,-227.60625,-3.71718749999999
-223.3171875,-226.4625,-3.14531249999999
-222.7453125,-225.890625,-3.14531249999999
-222.7453125,-225.890625,-3.14531249999999
-222.7453125,-225.890625,-3.14531249999999
-222.459375,-225.890625,-3.43124999999998
-221.8875,-225.6046875,-3.71718749999999
-220.4578125,-225.0328125,-4.57499999999999
-218.7421875,-223.8890625,-5.14687500000002
-216.740625,-222.7453125,-6.00468750000002
-214.1671875,-221.0296875,-6.86250000000001
-211.3078125,-219.028125,-7.72031250000001
-170.990625,-187.8609375,-16.8703125
-177.28125,-194.7234375,-17.4421875
-183.2859375,-201.3,-18.0140625
