LEFT,RIGHT,DIFF
-58.903125,-50.896875,8.00625
-50.6109375,-44.034375,6.57656249999999
-44.034375,-38.8875,5.146875
-40.03125,-36.028125,4.003125
-38.315625,-36.028125,2.2875
-39.1734375,-38.315625,0.857812499999994
-42.31875,-43.1765625,-0.857812500000001
-47.465625,-49.753125,-2.2875
-53.75625,-57.4734375,-3.7171875
-60.9046875,-65.765625,-4.8609375
-67.7671875,-74.0578125,-6.29062499999999
-73.4859375,-81.4921875,-8.00624999999999
-78.0609375,-87.2109375,-9.14999999999999
-80.634375,-91.2140625,-10.5796875
-80.9203125,-93.215625,-12.2953125
-79.490625,-92.9296875,-13.4390625
-76.059375,-90.6421875,-14.5828125
-71.1984375,-86.6390625,-15.440625
-65.19375,-81.20625,-16.0125
-58.903125,-75.2015625,-16.2984375
-52.3265625,-68.625,-16.2984375
-46.6078125,-62.334375,-15.7265625
-41.4609375,-56.615625,-15.1546875
-37.4578125,-51.7546875,-14.296875
-34.5984375,-48.0375,-13.4390625
-32.8828125,-45.75,-12.8671875
-32.3109375,-44.60625,-12.2953125
-32.3109375,-44.8921875,-12.58125
-33.16875,-45.75,-12.58125
-34.5984375,-47.1796875,-12.58125
-36.028125,-49.18125,-13.153125
-37.74375,-51.1828125,-13.4390625
-39.1734375,-53.184375,-14.0109375
-40.8890625,-54.9,-14.0109375
-42.31875,-56.9015625,-14.5828125
-44.034375,-58.6171875,-14.5828125
-46.0359375,-60.3328125,-14.296875
-48.3234375,-62.0484375,-13.725
-51.46875,-64.3359375,-12.8671875
-55.1859375,-67.1953125,-12.009375
-59.7609375,-70.6265625,-10.865625
-64.9078125,-74.6296875,-9.721875
-71.1984375,-79.2046875,-8.00625000000001
-77.775,-84.6375,-6.8625
-84.9234375,-90.35625,-5.4328125
-92.3578125,-96.3609375,-4.003125
-99.50625,-102.365625,-2.859375
-106.36875,-108.084375,-1.715625
-112.3734375,-113.5171875,-1.14375
-117.5203125,-118.0921875,-0.571875000000006
-121.2375,-121.5234375,-0.285937499999989
-123.2390625,-123.8109375,-0.571875000000006
-123.525,-124.66875,-1.14375
-122.38125,-124.096875,-1.715625
-119.2359375,-121.809375,-2.5734375
-114.375,-118.0921875,-3.71718750000001
-108.3703125,-112.9453125,-4.575
-101.221875,-106.36875,-5.14687500000001
-93.215625,-99.2203125,-6.0046875
-84.6375,-91.2140625,-6.57656249999999
-76.3453125,-82.921875,-6.57656249999999
-68.3390625,-75.2015625,-6.86250000000001
-61.190625,-68.053125,-6.8625
-54.9,-61.7625,-6.8625
-49.4671875,-56.615625,-7.1484375
-45.4640625,-52.6125,-7.1484375
-42.31875,-49.753125,-7.434375
-40.03125,-48.3234375,-8.2921875
-38.6015625,-47.465625,-8.8640625
-38.0296875,-47.465625,-9.4359375
-37.4578125,-47.7515625,-10.29375
-37.4578125,-48.3234375,-10.865625
-37.4578125,-49.18125,-11.7234375
-38.0296875,-49.753125,-11.7234375
-38.6015625,-50.6109375,-12.009375
-39.459375,-51.46875,-12.009375
-40.603125,-52.6125,-12.009375
-42.0328125,-54.0421875,-12.009375
-43.7484375,-55.1859375,-11.4375
-45.178125,-56.615625,-11.4375
-46.6078125,-58.0453125,-11.4375
-47.465625,-59.1890625,-11.7234375
-47.7515625,-59.7609375,-12.009375
-47.465625,-59.475,-12.009375
-46.321875,-58.6171875,-12.2953125
-44.8921875,-57.4734375,-12.58125
-43.1765625,-55.7578125,-12.58125
-41.746875,-54.0421875,-12.2953125
-40.8890625,-52.8984375,-12.009375
-41.746875,-52.8984375,-11.1515625
-44.3203125,-54.328125,-10.0078125
-48.8953125,-57.4734375,-8.578125
-55.471875,-62.6203125,-7.1484375
-64.05,-69.4828125,-5.43281250000001
-74.0578125,-77.4890625,-3.43125000000001
-84.6375,-86.6390625,-2.00156250000001
-95.2171875,-95.503125,-0.285937499999989
-104.3671875,-103.509375,0.857812499999994
-112.0875,-110.0859375,2.00156250000001
-117.234375,-114.6609375,2.5734375
-119.521875,-116.6625,2.859375
-118.95,-116.090625,2.859375
-116.090625,-113.23125,2.859375
-111.2296875,-108.9421875,2.28750000000001
-105.225,-103.7953125,1.4296875
-99.2203125,-98.6484375,0.571875000000006
-94.0734375,-94.0734375,0.0
-90.0703125,-90.928125,-0.857812500000009
-87.7828125,-89.2125,-1.4296875
-87.2109375,-89.2125,-2.00156250000001
-88.3546875,-90.6421875,-2.28750000000001
-90.6421875,-93.215625,-2.5734375
-93.7875,-96.075,-2.28749999999999
-96.9328125,-98.934375,-2.00156250000001
-99.7921875,-100.9359375,-1.14375000000001
-101.5078125,-101.5078125,0.0
-102.365625,-100.9359375,1.4296875
-101.79375,-99.2203125,2.5734375
-100.3640625,-96.075,4.2890625
-98.0765625,-92.3578125,5.71875
-95.503125,-88.06875,7.43437499999999
-92.9296875,-84.065625,8.8640625
-90.35625,-80.3484375,10.0078125
-88.06875,-77.203125,10.865625
-86.353125,-74.6296875,11.7234375
-85.209375,-72.628125,12.58125
-84.3515625,-71.1984375,13.153125
-83.7796875,-70.340625,13.4390625
-83.49375,-69.4828125,14.0109375
-83.2078125,-68.9109375,14.296875
-83.2078125,-68.625,14.5828125
-83.49375,-68.625,14.86875
-84.3515625,-68.9109375,15.440625
-85.4953125,-70.0546875,15.440625
-87.496875,-72.05625,15.440625
-89.4984375,-74.6296875,14.86875
-92.071875,-77.775,14.296875
-94.359375,-81.4921875,12.8671875
-96.075,-84.9234375,11.1515625
-97.21875,-87.7828125,9.43593749999999
-97.5046875,-90.0703125,7.434375
