LEFT,RIGHT,DIFF
-56.9015625,-4.2890625,52.6125
-60.61875,-9.15,51.46875
-63.1921875,-12.58125,50.6109375
-63.7640625,-14.5828125,49.18125
-62.6203125,-14.86875,47.7515625
-60.046875,-13.153125,46.89375
-55.7578125,-9.721875,46.0359375
-50.325,-5.146875,45.178125
-44.60625,0.0,44.60625
-38.8875,5.4328125,44.3203125
-33.740625,10.29375,44.034375
-29.7375,14.296875,44.034375
-27.1640625,16.584375,43.7484375
-26.0203125,17.4421875,43.4625
-26.0203125,16.8703125,42.890625
-27.1640625,15.7265625,42.890625
-28.8796875,14.0109375,42.890625
-30.5953125,12.2953125,42.890625
-32.025,11.4375,43.4625
-33.16875,11.7234375,44.8921875
-33.4546875,12.8671875,46.321875
-33.4546875,14.86875,48.3234375
-33.16875,17.4421875,50.6109375
-32.596875,20.015625,52.6125
-32.8828125,21.73125,54.6140625
-33.740625,22.303125,56.04375
-35.45625,21.4453125,56.9015625
-38.315625,18.871875,57.1875
-42.0328125,14.5828125,56.615625
-46.0359375,9.4359375,55.471875
-50.0390625,3.7171875,53.75625
-53.4703125,-1.14375,52.3265625
-55.7578125,-5.71875,50.0390625
-56.9015625,-8.2921875,48.609375
-56.3296875,-9.4359375,46.89375
-54.328125,-8.2921875,46.0359375
-51.1828125,-6.0046875,45.178125
-47.465625,-2.5734375,44.8921875
-44.034375,0.8578125,44.8921875
-41.175,4.003125,45.178125
-39.459375,6.0046875,45.4640625
-39.7453125,6.5765625,46.321875
-41.4609375,5.146875,46.6078125
-44.8921875,2.0015625,46.89375
-49.753125,-2.0015625,47.7515625
-55.1859375,-6.5765625,48.609375
-60.61875,-11.4375,49.18125
-65.4796875,-15.1546875,50.325
-69.196875,-17.4421875,51.7546875
-70.9125,-18.0140625,52.8984375
-71.1984375,-16.8703125,54.328125
-69.4828125,-14.0109375,55.471875
-66.6234375,-10.0078125,56.615625
-62.90625,-5.71875,57.1875
-58.903125,-1.715625,57.1875
-55.1859375,0.8578125,56.04375
-52.6125,2.2875,54.9
-51.1828125,2.0015625,53.184375
-51.1828125,0.0,51.1828125
-52.3265625,-3.43125,48.8953125
-54.6140625,-7.7203125,46.89375
-57.4734375,-12.2953125,45.178125
-60.3328125,-16.584375,43.7484375
-62.90625,-20.015625,42.890625
-64.621875,-21.73125,42.890625
-65.4796875,-22.303125,43.1765625
-64.9078125,-21.159375,43.7484375
-63.478125,-19.1578125,44.3203125
-61.4765625,-16.2984375,45.178125
-58.903125,-13.4390625,45.4640625
-56.615625,-10.865625,45.75
-54.9,-9.15,45.75
-53.75625,-8.578125,45.178125
-54.0421875,-9.15,44.8921875
-55.1859375,-10.865625,44.3203125
-57.4734375,-13.153125,44.3203125
-60.046875,-16.0125,44.034375
-62.90625,-18.3,44.60625
-65.19375,-20.3015625,44.8921875
-66.909375,-21.159375,45.75
-67.48125,-20.5875,46.89375
-66.6234375,-18.5859375,48.0375
