LEFT,RIGHT,DIFF
-94.0734375,-67.1953125,26.878125
-92.64375,-64.3359375,28.3078125
-87.496875,-58.6171875,28.8796875
-80.0625,-50.6109375,29.4515625
-71.484375,-42.0328125,29.4515625
-62.90625,-34.3125,28.59375
-55.471875,-28.3078125,27.1640625
-50.6109375,-24.8765625,25.734375
-48.609375,-24.3046875,24.3046875
-49.4671875,-26.5921875,22.875
-52.6125,-30.88125,21.73125
-57.1875,-36.3140625,20.8734375
-62.0484375,-41.746875,20.3015625
-66.0515625,-45.75,20.3015625
-68.3390625,-48.0375,20.3015625
-68.053125,-47.465625,20.5875
-64.9078125,-44.60625,20.3015625
-59.7609375,-39.459375,20.3015625
-52.8984375,-33.16875,19.7296875
-45.4640625,-26.5921875,18.871875
-38.8875,-20.8734375,18.0140625
-34.0265625,-17.4421875,16.584375
-32.3109375,-16.584375,15.7265625
-33.740625,-18.871875,14.86875
-38.315625,-24.3046875,14.0109375
-46.0359375,-31.7390625,14.296875
-55.7578125,-40.603125,15.1546875
-66.0515625,-49.753125,16.2984375
-76.059375,-58.0453125,18.0140625
-84.6375,-64.3359375,20.3015625
-90.6421875,-67.48125,23.1609375
-93.215625,-67.7671875,25.4484375
-92.9296875,-64.9078125,28.021875
-89.4984375,-59.475,30.0234375
-83.7796875,-52.3265625,31.453125
-76.63125,-44.3203125,32.3109375
-68.625,-36.6,32.025
-61.4765625,-29.7375,31.7390625
-55.1859375,-25.1625,30.0234375
-50.896875,-22.875,28.021875
-48.8953125,-23.1609375,25.734375
-48.8953125,-25.734375,23.1609375
-50.6109375,-30.309375,20.3015625
-54.328125,-36.3140625,18.0140625
-58.903125,-43.1765625,15.7265625
-64.3359375,-50.0390625,14.296875
-69.76875,-56.9015625,12.8671875
-74.915625,-62.6203125,12.2953125
-79.7765625,-67.7671875,12.009375
-83.7796875,-71.484375,12.2953125
-86.6390625,-74.0578125,12.58125
-88.640625,-75.4875,13.153125
-89.4984375,-76.059375,13.4390625
-89.2125,-75.7734375,13.4390625
-87.7828125,-74.6296875,13.153125
-85.209375,-72.9140625,12.2953125
-81.778125,-70.6265625,11.1515625
-78.0609375,-68.3390625,9.72187500000001
-74.0578125,-66.3375,7.72031249999999
-70.6265625,-64.621875,6.0046875
-64.05,-44.8921875,19.1578125
-69.196875,-48.8953125,20.3015625
-74.34375,-52.6125,21.73125
-78.6328125,-54.9,23.7328125
-81.20625,-55.7578125,25.4484375
-81.4921875,-54.328125,27.1640625
-79.490625,-50.6109375,28.8796875
-75.2015625,-45.4640625,29.7375
-69.196875,-39.1734375,30.0234375
-62.6203125,-32.8828125,29.7375
-56.3296875,-27.45,28.8796875
-51.7546875,-24.01875,27.7359375
-49.4671875,-23.1609375,26.30625
-49.753125,-24.8765625,24.8765625
-53.184375,-29.4515625,23.7328125
-59.1890625,-36.028125,23.1609375
-66.909375,-44.034375,22.875
-75.4875,-52.3265625,23.1609375
-83.7796875,-60.046875,23.7328125
-90.6421875,-66.0515625,24.590625
-95.503125,-70.340625,25.1625
-97.790625,-71.7703125,26.0203125
-97.5046875,-71.1984375,26.30625
-95.2171875,-68.9109375,26.30625
-91.2140625,-65.19375,26.0203125
-86.6390625,-61.4765625,25.1625
-82.0640625,-57.759375,24.3046875
-78.6328125,-55.1859375,23.446875
-76.3453125,-54.0421875,22.303125
-75.7734375,-54.328125,21.4453125
-76.9171875,-56.04375,20.8734375
-78.91875,-58.6171875,20.3015625
-82.0640625,-62.0484375,20.015625
-84.9234375,-65.19375,19.7296875
-87.7828125,-68.053125,19.7296875
-90.0703125,-70.0546875,20.015625
-90.928125,-71.1984375,19.7296875
-91.2140625,-70.9125,20.3015625
-90.0703125,-69.76875,20.3015625
-88.3546875,-67.7671875,20.5875
-85.78125,-64.9078125,20.8734375
-82.921875,-61.4765625,21.4453125
-79.2046875,-57.1875,22.0171875
-74.6296875,-52.3265625,22.303125
-69.76875,-47.1796875,22.5890625
-64.05,-41.175,22.875
-57.4734375,-35.1703125,22.303125
-50.325,-28.8796875,21.4453125
-43.1765625,-23.1609375,20.015625
-36.3140625,-18.3,18.0140625
-30.309375,-14.5828125,15.7265625
-26.30625,-12.8671875,13.4390625
-24.3046875,-13.153125,11.1515625
-25.1625,-16.2984375,8.8640625
-29.165625,-21.73125,7.434375
-36.028125,-29.7375,6.290625
-45.4640625,-39.7453125,5.71875
-56.615625,-50.896875,5.71875
-68.9109375,-62.334375,6.5765625
-81.20625,-73.771875,7.43437499999999
-92.9296875,-84.065625,8.8640625
-102.9375,-92.64375,10.29375
-111.2296875,-99.7921875,11.4375
-117.234375,-104.653125,12.58125
-121.2375,-107.7984375,13.4390625
-123.525,-109.228125,14.296875
-124.66875,-109.5140625,15.1546875
-125.240625,-108.9421875,16.2984375
-125.240625,-107.5125,17.728125
-124.9546875,-105.796875,19.1578125
-124.9546875,-103.509375,21.4453125
-124.3828125,-100.65,23.7328125
-123.2390625,-97.21875,26.0203125
-121.2375,-93.215625,28.021875
-118.0921875,-88.06875,30.0234375
-113.5171875,-82.35,31.1671875
-107.5125,-76.059375,31.453125
