LEFT,RIGHT,DIFF
-38.315625,-19.7296875,18.5859375
-41.4609375,-23.1609375,18.3
-45.178125,-27.1640625,18.0140625
-49.18125,-31.453125,17.728125
-52.6125,-35.1703125,17.4421875
-55.1859375,-38.315625,16.8703125
-56.615625,-40.3171875,16.2984375
-56.3296875,-40.8890625,15.440625
-55.1859375,-39.7453125,15.440625
-52.6125,-37.74375,14.86875
-49.753125,-34.884375,14.86875
-46.6078125,-31.7390625,14.86875
-44.3203125,-29.165625,15.1546875
-42.890625,-27.7359375,15.1546875
-42.890625,-27.45,15.440625
-44.3203125,-28.8796875,15.440625
-46.89375,-31.7390625,15.1546875
-50.6109375,-35.7421875,14.86875
-54.6140625,-40.03125,14.5828125
-58.33125,-44.034375,14.296875
-61.190625,-47.1796875,14.0109375
-62.6203125,-48.8953125,13.725
-62.6203125,-49.18125,13.4390625
-60.9046875,-48.0375,12.8671875
-58.0453125,-45.178125,12.8671875
-54.6140625,-41.746875,12.8671875
-50.896875,-38.0296875,12.8671875
-47.465625,-34.5984375,12.8671875
-44.60625,-32.025,12.58125
-43.1765625,-30.5953125,12.58125
-42.31875,-30.309375,12.009375
-42.6046875,-30.88125,11.7234375
-43.1765625,-32.025,11.1515625
-43.4625,-33.16875,10.29375
-43.1765625,-33.740625,9.4359375
-41.746875,-32.8828125,8.8640625
-39.1734375,-30.88125,8.2921875
-34.884375,-27.1640625,7.7203125
-29.7375,-22.303125,7.434375
-23.7328125,-16.2984375,7.434375
-17.4421875,-10.0078125,7.434375
-11.4375,-3.7171875,7.7203125
-6.290625,1.4296875,7.7203125
-2.2875,5.71875,8.00625
0.0,8.8640625,8.8640625
0.8578125,10.29375,9.4359375
0.2859375,10.29375,10.0078125
-0.571875,9.15,9.721875
-2.859375,7.7203125,10.5796875
-5.146875,5.4328125,10.5796875
-7.7203125,3.43125,11.1515625
-10.0078125,1.4296875,11.4375
-12.009375,0.0,12.009375
-14.0109375,-1.4296875,12.58125
-15.7265625,-2.859375,12.8671875
-17.15625,-4.003125,13.153125
-18.871875,-5.4328125,13.4390625
