LEFT,RIGHT,DIFF
-169.275,-157.265625,12.009375
-167.559375,-156.121875,11.4375
-166.415625,-154.6921875,11.7234375
-165.271875,-154.1203125,11.1515625
-165.271875,-154.1203125,11.1515625
-166.415625,-155.2640625,11.1515625
-168.703125,-156.9796875,11.7234375
-171.8484375,-159.2671875,12.58125
-175.565625,-161.5546875,14.0109375
-178.7109375,-163.55625,15.1546875
-180.9984375,-164.128125,16.8703125
-181.5703125,-163.55625,18.0140625
-179.8546875,-160.9828125,18.871875
-176.1375,-156.69375,19.44375
-170.1328125,-151.2609375,18.871875
-162.984375,-144.9703125,18.0140625
-154.978125,-138.6796875,16.2984375
-147.54375,-133.246875,14.296875
-141.5390625,-129.5296875,12.009375
-138.1078125,-127.8140625,10.29375
-137.5359375,-128.671875,8.86406250000002
-139.8234375,-131.8171875,8.00624999999999
-144.9703125,-136.678125,8.29218750000001
-151.8328125,-142.1109375,9.72187500000001
-159.553125,-147.54375,12.009375
-166.415625,-151.8328125,14.5828125
-171.8484375,-153.834375,18.0140625
-174.421875,-152.9765625,21.4453125
-173.85,-149.259375,24.590625
-169.5609375,-142.6828125,26.878125
-162.1265625,-133.81875,28.3078125
-152.4046875,-123.8109375,28.59375
-141.5390625,-113.803125,27.7359375
-130.959375,-104.653125,26.30625
-121.5234375,-97.5046875,24.01875
-114.946875,-93.215625,21.73125
-111.2296875,-92.3578125,18.871875
-111.2296875,-94.6453125,16.584375
-114.6609375,-99.7921875,14.86875
-120.9515625,-107.2265625,13.725
-128.9578125,-116.090625,12.8671875
-138.1078125,-124.9546875,13.153125
-146.971875,-133.5328125,13.4390625
-154.978125,-140.9671875,14.0109375
-161.26875,-146.4,14.86875
-165.5578125,-150.1171875,15.440625
-167.559375,-151.546875,16.0125
-167.559375,-151.2609375,16.2984375
-165.84375,-149.83125,16.0125
-162.984375,-147.2578125,15.7265625
-159.553125,-144.3984375,15.1546875
-155.8359375,-141.5390625,14.296875
-152.4046875,-138.6796875,13.725
-149.259375,-136.3921875,12.8671875
-146.6859375,-134.390625,12.2953125
-144.3984375,-132.9609375,11.4375
-142.396875,-131.2453125,11.1515625
-140.3953125,-129.815625,10.5796875
-137.821875,-127.8140625,10.0078125
-134.6765625,-125.5265625,9.15000000000001
-130.959375,-122.38125,8.57812499999999
-126.6703125,-118.378125,8.2921875
-121.5234375,-113.803125,7.72031249999999
-116.090625,-108.9421875,7.1484375
-110.6578125,-103.509375,7.1484375
-105.796875,-98.6484375,7.1484375
-101.5078125,-94.0734375,7.434375
-98.3625,-90.928125,7.43437499999999
-96.646875,-88.9265625,7.72031250000001
-96.646875,-88.3546875,8.29218750000001
-98.0765625,-89.4984375,8.578125
-100.65,-91.7859375,8.8640625
-104.3671875,-95.2171875,9.14999999999999
-108.084375,-98.934375,9.15000000000001
-111.8015625,-102.0796875,9.721875
-114.375,-104.653125,9.721875
