LEFT,RIGHT,DIFF
173.278125,140.3953125,-32.8828125
172.4203125,138.39375,-34.0265625
170.990625,136.3921875,-34.5984375
169.846875,134.9625,-34.884375
169.275,134.1046875,-35.1703125
169.275,134.6765625,-34.5984375
170.41875,136.10625,-34.3125
172.70625,139.2515625,-33.4546875
175.8515625,143.2546875,-32.596875
180.140625,147.8296875,-32.3109375
184.4296875,152.690625,-31.7390625
188.71875,157.265625,-31.453125
192.4359375,160.696875,-31.7390625
194.7234375,162.984375,-31.7390625
195.2953125,163.55625,-31.7390625
194.4375,162.4125,-32.025
191.578125,160.125,-31.453125
187.575,156.4078125,-31.1671875
182.7140625,152.4046875,-30.309375
177.853125,148.115625,-29.7375
173.5640625,144.684375,-28.8796875
170.1328125,142.396875,-27.7359375
168.13125,141.253125,-26.878125
168.13125,141.5390625,-26.5921875
169.5609375,143.2546875,-26.30625
172.134375,146.1140625,-26.0203125
175.8515625,149.5453125,-26.30625
179.8546875,153.2625,-26.5921875
183.571875,156.4078125,-27.1640625
186.43125,158.98125,-27.45
188.146875,160.696875,-27.45
188.4328125,161.26875,-27.1640625
187.2890625,160.696875,-26.5921875
185.2875,159.2671875,-26.0203125
182.1421875,157.5515625,-24.590625
178.996875,155.55,-23.446875
175.8515625,153.5484375,-22.303125
172.9921875,152.4046875,-20.5875
171.2765625,151.8328125,-19.44375
170.41875,152.11875,-18.3
170.990625,153.2625,-17.728125
172.4203125,155.2640625,-17.15625
174.7078125,157.8375,-16.8703125
177.5671875,160.696875,-16.8703125
180.9984375,163.8421875,-17.15625
184.14375,166.415625,-17.728125
187.2890625,168.703125,-18.5859375
189.5765625,170.41875,-19.1578125
191.578125,171.2765625,-20.3015625
192.721875,171.5625,-21.159375
193.29375,170.990625,-22.303125
193.0078125,169.846875,-23.1609375
191.8640625,168.4171875,-23.446875
190.7203125,166.415625,-24.3046875
188.71875,164.4140625,-24.3046875
186.7171875,162.4125,-24.3046875
184.4296875,160.4109375,-24.01875
182.428125,158.98125,-23.446875
180.4265625,157.5515625,-22.875
178.7109375,156.4078125,-22.303125
177.5671875,155.8359375,-21.73125
176.9953125,155.55,-21.4453125
176.9953125,155.2640625,-21.73125
177.28125,155.55,-21.73125
178.425,155.8359375,-22.5890625
179.8546875,156.121875,-23.7328125
181.85625,156.69375,-25.1625
183.8578125,157.265625,-26.5921875
185.859375,157.8375,-28.021875
187.575,158.409375,-29.165625
189.0046875,158.6953125,-30.309375
189.8625,158.98125,-30.88125
189.8625,158.98125,-30.88125
189.5765625,158.98125,-30.5953125
188.4328125,158.409375,-30.0234375
187.003125,158.1234375,-28.8796875
185.5734375,157.5515625,-28.021875
183.8578125,156.9796875,-26.878125
182.7140625,156.9796875,-25.734375
182.1421875,157.265625,-24.8765625
182.428125,158.1234375,-24.3046875
183.571875,159.553125,-24.01875
185.859375,161.840625,-24.01875
188.71875,164.7,-24.01875
192.721875,168.4171875,-24.3046875
196.725,172.134375,-24.590625
201.3,176.1375,-25.1625
205.303125,179.8546875,-25.4484375
208.734375,183.0,-25.734375
211.59375,185.2875,-26.30625
213.309375,187.003125,-26.30625
214.1671875,187.575,-26.5921875
214.1671875,187.2890625,-26.878125
213.5953125,186.1453125,-27.45
212.4515625,184.715625,-27.7359375
211.021875,183.2859375,-27.7359375
209.5921875,181.5703125,-28.021875
208.4484375,180.4265625,-28.021875
207.590625,179.56875,-28.021875
207.3046875,178.996875,-28.3078125
207.3046875,178.996875,-28.3078125
207.8765625,179.2828125,-28.59375
208.1625,179.2828125,-28.8796875
208.734375,179.56875,-29.165625
209.0203125,179.8546875,-29.165625
209.30625,179.56875,-29.7375
209.0203125,179.2828125,-29.7375
208.734375,178.7109375,-30.0234375
208.4484375,178.425,-30.0234375
207.8765625,178.1390625,-29.7375
207.590625,178.1390625,-29.4515625
207.590625,178.7109375,-28.8796875
207.8765625,179.2828125,-28.59375
208.1625,180.4265625,-27.7359375
209.0203125,181.5703125,-27.45
209.878125,183.0,-26.878125
211.021875,184.14375,-26.878125
211.8796875,185.2875,-26.5921875
213.0234375,185.859375,-27.1640625
214.1671875,186.1453125,-28.021875
215.025,186.1453125,-28.8796875
215.8828125,185.859375,-30.0234375
216.4546875,185.5734375,-30.88125
217.0265625,185.0015625,-32.025
217.3125,184.14375,-33.16875
217.3125,183.571875,-33.740625
217.3125,182.7140625,-34.5984375
216.4546875,181.5703125,-34.884375
215.596875,180.4265625,-35.1703125
214.1671875,178.996875,-35.1703125
212.165625,176.9953125,-35.1703125
210.1640625,175.2796875,-34.884375
207.8765625,173.278125,-34.5984375
205.875,171.2765625,-34.5984375
203.8734375,169.846875,-34.0265625
202.44375,168.703125,-33.740625
201.5859375,168.4171875,-33.16875
201.3,168.703125,-32.596875
201.5859375,169.5609375,-32.025
201.871875,170.990625,-30.88125
202.7296875,172.4203125,-30.309375
203.5875,173.85,-29.7375
203.8734375,174.99375,-28.8796875
203.8734375,175.2796875,-28.59375
203.3015625,174.99375,-28.3078125
202.1578125,173.85,-28.3078125
200.728125,172.134375,-28.59375
198.7265625,169.846875,-28.8796875
197.0109375,167.559375,-29.4515625
195.58125,165.5578125,-30.0234375
194.4375,164.128125,-30.309375
194.1515625,163.55625,-30.5953125
194.7234375,163.8421875,-30.88125
195.8671875,165.271875,-30.5953125
197.86875,167.559375,-30.309375
200.4421875,170.7046875,-29.7375
203.3015625,173.85,-29.4515625
206.1609375,176.9953125,-29.165625
208.734375,179.8546875,-28.8796875
211.021875,182.428125,-28.59375
213.0234375,184.14375,-28.8796875
214.453125,185.5734375,-28.8796875
215.596875,186.43125,-29.165625
216.4546875,187.003125,-29.4515625
217.0265625,187.2890625,-29.7375
217.884375,188.146875,-29.7375
218.7421875,189.290625,-29.4515625
219.8859375,190.7203125,-29.165625
221.6015625,192.721875,-28.8796875
223.8890625,195.2953125,-28.59375
226.1765625,198.1546875,-28.021875
229.0359375,201.0140625,-28.021875
231.609375,203.5875,-28.021875
234.1828125,206.1609375,-28.021875
236.4703125,207.8765625,-28.59375
238.1859375,208.734375,-29.4515625
239.04375,209.0203125,-30.0234375
239.3296875,208.1625,-31.1671875
238.7578125,206.446875,-32.3109375
237.328125,204.159375,-33.16875
235.3265625,201.5859375,-33.740625
232.753125,198.440625,-34.3125
230.1796875,195.58125,-34.5984375
227.8921875,193.0078125,-34.884375
225.890625,191.2921875,-34.5984375
224.746875,190.1484375,-34.5984375
224.4609375,190.1484375,-34.3125
225.0328125,191.00625,-34.0265625
226.4625,192.4359375,-34.0265625
228.75,195.009375,-33.740625
231.3234375,197.5828125,-33.740625
233.896875,200.4421875,-33.4546875
236.184375,202.7296875,-33.4546875
237.9,204.4453125,-33.4546875
238.7578125,205.0171875,-33.740625
238.7578125,204.73125,-34.0265625
237.328125,203.3015625,-34.0265625
235.040625,201.3,-33.740625
232.4671875,198.440625,-34.0265625
229.321875,195.2953125,-34.0265625
226.4625,192.4359375,-34.0265625
