LEFT,RIGHT,DIFF
283.9359375,70.9125,-213.0234375
283.3640625,71.1984375,-212.165625
282.50625,71.484375,-211.021875
281.3625,72.05625,-209.30625
279.9328125,72.9140625,-207.01875
278.7890625,73.771875,-205.0171875
277.6453125,75.2015625,-202.44375
276.7875,76.3453125,-200.4421875
276.7875,77.775,-199.0125
277.0734375,78.91875,-198.1546875
277.6453125,79.7765625,-197.86875
278.7890625,80.0625,-198.7265625
279.646875,79.490625,-200.15625
280.21875,78.0609375,-202.1578125
279.9328125,75.7734375,-204.159375
278.7890625,72.628125,-206.1609375
276.5015625,68.9109375,-207.590625
273.35625,65.19375,-208.1625
269.353125,61.4765625,-207.8765625
264.778125,58.0453125,-206.7328125
260.4890625,55.7578125,-204.73125
256.771875,54.6140625,-202.1578125
253.9125,54.6140625,-199.2984375
252.4828125,56.04375,-196.4390625
252.4828125,58.6171875,-193.865625
253.9125,62.0484375,-191.8640625
256.771875,65.765625,-191.00625
260.775,69.76875,-191.00625
264.778125,73.2,-191.578125
269.0671875,75.7734375,-193.29375
272.4984375,77.4890625,-195.009375
275.071875,78.0609375,-197.0109375
276.215625,77.203125,-199.0125
276.215625,75.4875,-200.728125
275.071875,72.628125,-202.44375
273.0703125,69.4828125,-203.5875
270.2109375,66.0515625,-204.159375
267.065625,62.6203125,-204.4453125
264.20625,59.475,-204.73125
261.346875,56.615625,-204.73125
258.4875,54.0421875,-204.4453125
256.2,51.7546875,-204.4453125
254.1984375,49.4671875,-204.73125
252.196875,47.1796875,-205.0171875
250.1953125,44.8921875,-205.303125
248.4796875,42.890625,-205.5890625
246.7640625,41.175,-205.5890625
245.6203125,39.7453125,-205.875
245.334375,39.1734375,-206.1609375
245.6203125,39.7453125,-205.875
247.3359375,41.4609375,-205.875
249.909375,44.3203125,-205.5890625
253.9125,48.3234375,-205.5890625
258.4875,53.184375,-205.303125
263.634375,58.0453125,-205.5890625
268.78125,62.90625,-205.875
272.784375,66.6234375,-206.1609375
275.9296875,68.9109375,-207.01875
277.0734375,69.76875,-207.3046875
276.7875,68.625,-208.1625
274.7859375,65.765625,-209.0203125
271.9265625,62.0484375,-209.878125
268.209375,57.4734375,-210.7359375
