LEFT,RIGHT,DIFF
-40.8890625,34.0265625,74.915625
-43.7484375,30.88125,74.6296875
-46.0359375,28.8796875,74.915625
-47.465625,28.021875,75.4875
-47.465625,28.3078125,75.7734375
-46.6078125,29.7375,76.3453125
-44.8921875,32.3109375,77.203125
-42.31875,35.1703125,77.4890625
-39.7453125,38.315625,78.0609375
-37.4578125,41.175,78.6328125
-35.45625,43.7484375,79.2046875
-34.0265625,45.4640625,79.490625
-33.740625,46.321875,80.0625
-34.0265625,46.6078125,80.634375
-35.1703125,46.6078125,81.778125
-36.3140625,46.6078125,82.921875
-37.4578125,46.6078125,84.065625
-38.315625,47.1796875,85.4953125
-38.6015625,48.3234375,86.925
-38.0296875,50.0390625,88.06875
-37.4578125,51.46875,88.9265625
-36.6,52.8984375,89.4984375
-36.3140625,53.75625,90.0703125
-36.3140625,53.4703125,89.784375
-37.74375,51.7546875,89.4984375
-40.3171875,48.3234375,88.640625
-44.034375,44.034375,88.06875
-48.609375,38.6015625,87.2109375
-53.75625,32.8828125,86.6390625
-58.6171875,27.45,86.0671875
-62.6203125,23.1609375,85.78125
-65.19375,20.015625,85.209375
-66.0515625,18.871875,84.9234375
-64.9078125,19.44375,84.3515625
-61.4765625,21.4453125,82.921875
-56.9015625,24.590625,81.4921875
-51.1828125,28.3078125,79.490625
-45.4640625,31.7390625,77.203125
-40.03125,34.3125,74.34375
-36.028125,35.7421875,71.7703125
-33.4546875,35.45625,68.9109375
-32.8828125,34.0265625,66.909375
-33.4546875,31.453125,64.9078125
-35.1703125,28.59375,63.7640625
-37.4578125,26.0203125,63.478125
-39.459375,24.01875,63.478125
-40.603125,23.446875,64.05
-40.603125,24.590625,65.19375
-39.459375,27.1640625,66.6234375
-36.6,30.88125,67.48125
-33.16875,35.45625,68.625
-29.4515625,40.03125,69.4828125
-26.0203125,43.7484375,69.76875
-23.1609375,46.6078125,69.76875
-22.0171875,47.7515625,69.76875
-22.0171875,47.7515625,69.76875
-23.446875,46.321875,69.76875
-26.0203125,44.3203125,70.340625
-28.8796875,42.0328125,70.9125
-31.7390625,40.03125,71.7703125
-34.0265625,39.1734375,73.2
-35.45625,39.459375,74.915625
-35.1703125,40.8890625,76.059375
-34.0265625,43.7484375,77.775
-31.7390625,46.89375,78.6328125
-29.165625,50.325,79.490625
-26.878125,53.184375,80.0625
-25.1625,54.9,80.0625
-24.590625,54.9,79.490625
-25.734375,53.184375,78.91875
-28.021875,50.0390625,78.0609375
-31.453125,45.75,77.203125
-35.45625,40.603125,76.059375
-39.459375,35.7421875,75.2015625
-42.6046875,31.453125,74.0578125
-44.60625,28.59375,73.2
-45.178125,27.45,72.628125
-43.7484375,28.021875,71.7703125
