LEFT,RIGHT,DIFF
11.4375,-10.5796875,-22.0171875
12.58125,-10.0078125,-22.5890625
13.4390625,-9.721875,-23.1609375
14.0109375,-9.4359375,-23.446875
14.296875,-9.15,-23.446875
14.296875,-8.8640625,-23.1609375
14.5828125,-8.578125,-23.1609375
14.296875,-8.578125,-22.875
14.0109375,-8.2921875,-22.303125
13.4390625,-8.578125,-22.0171875
12.2953125,-9.15,-21.4453125
10.865625,-10.29375,-21.159375
8.8640625,-11.4375,-20.3015625
7.1484375,-13.153125,-20.3015625
5.146875,-14.86875,-20.015625
3.1453125,-16.2984375,-19.44375
1.715625,-17.728125,-19.44375
0.571875,-18.871875,-19.44375
0.0,-19.44375,-19.44375
-0.571875,-19.7296875,-19.1578125
-0.8578125,-19.7296875,-18.871875
-0.8578125,-19.7296875,-18.871875
-1.14375,-20.015625,-18.871875
-1.715625,-20.3015625,-18.5859375
-2.5734375,-21.159375,-18.5859375
-3.43125,-22.303125,-18.871875
-4.575,-23.446875,-18.871875
-5.71875,-24.590625,-18.871875
-6.8625,-25.734375,-18.871875
-7.434375,-26.30625,-18.871875
-7.434375,-26.30625,-18.871875
-6.8625,-25.734375,-18.871875
-5.71875,-24.590625,-18.871875
-4.003125,-23.1609375,-19.1578125
-2.5734375,-21.159375,-18.5859375
-0.8578125,-19.44375,-18.5859375
0.0,-18.3,-18.3
0.571875,-17.4421875,-18.0140625
0.571875,-17.15625,-17.728125
0.0,-17.4421875,-17.4421875
-0.571875,-18.3,-17.728125
-1.715625,-19.44375,-17.728125
-2.2875,-20.5875,-18.3
-2.859375,-21.4453125,-18.5859375
-2.5734375,-21.73125,-19.1578125
-1.4296875,-21.4453125,-20.015625
0.0,-20.8734375,-20.8734375
2.0015625,-20.015625,-22.0171875
4.2890625,-18.871875,-23.1609375
6.5765625,-18.3,-24.8765625
8.00625,-18.0140625,-26.0203125
9.15,-18.0140625,-27.1640625
9.15,-18.871875,-28.021875
8.8640625,-20.015625,-28.8796875
8.00625,-21.159375,-29.165625
7.1484375,-22.0171875,-29.165625
6.5765625,-22.303125,-28.8796875
6.5765625,-21.4453125,-28.021875
7.434375,-19.7296875,-27.1640625
9.15,-17.15625,-26.30625
-13.4390625,-30.88125,-17.4421875
-14.5828125,-32.8828125,-18.3
-16.584375,-35.45625,-18.871875
-19.1578125,-38.315625,-19.1578125
-21.4453125,-41.175,-19.7296875
-23.446875,-43.1765625,-19.7296875
-24.3046875,-43.7484375,-19.44375
-23.446875,-42.890625,-19.44375
-21.159375,-40.603125,-19.44375
-17.4421875,-36.6,-19.1578125
-12.2953125,-31.7390625,-19.44375
-6.8625,-26.878125,-20.015625
-1.715625,-22.5890625,-20.8734375
2.0015625,-19.44375,-21.4453125
4.575,-18.3,-22.875
4.8609375,-19.1578125,-24.01875
3.43125,-22.0171875,-25.4484375
0.0,-26.5921875,-26.5921875
-4.575,-32.3109375,-27.7359375
-9.721875,-37.74375,-28.021875
