LEFT,RIGHT,DIFF
-0.8578125,-70.6265625,-69.76875
-4.575,-73.771875,-69.196875
-8.2921875,-76.3453125,-68.053125
-11.7234375,-77.775,-66.0515625
-14.0109375,-77.775,-63.7640625
-14.86875,-76.059375,-61.190625
-14.296875,-72.628125,-58.33125
-12.009375,-68.3390625,-56.3296875
-8.578125,-63.478125,-54.9
-4.8609375,-58.6171875,-53.75625
-1.14375,-55.1859375,-54.0421875
1.14375,-52.8984375,-54.0421875
2.5734375,-52.8984375,-55.471875
2.2875,-54.9,-57.1875
0.0,-58.6171875,-58.6171875
-3.43125,-63.478125,-60.046875
-8.2921875,-68.9109375,-60.61875
-13.153125,-74.0578125,-60.9046875
-18.0140625,-78.6328125,-60.61875
-21.73125,-81.4921875,-59.7609375
-23.7328125,-82.6359375,-58.903125
-24.01875,-82.35,-58.33125
-22.875,-80.634375,-57.759375
-20.3015625,-78.0609375,-57.759375
-16.584375,-75.2015625,-58.6171875
-12.58125,-72.05625,-59.475
-8.8640625,-69.4828125,-60.61875
-5.71875,-67.7671875,-62.0484375
-3.1453125,-66.3375,-63.1921875
-1.715625,-65.19375,-63.478125
-0.8578125,-64.3359375,-63.478125
-0.2859375,-63.1921875,-62.90625
0.0,-61.4765625,-61.4765625
0.0,-59.7609375,-59.7609375
0.2859375,-57.759375,-58.0453125
0.8578125,-55.7578125,-56.615625
0.8578125,-54.9,-55.7578125
0.571875,-54.9,-55.471875
-0.571875,-56.615625,-56.04375
-3.1453125,-60.3328125,-57.1875
-6.8625,-65.4796875,-58.6171875
-12.2953125,-72.05625,-59.7609375
-18.3,-78.91875,-60.61875
-24.8765625,-85.78125,-60.9046875
-30.88125,-91.2140625,-60.3328125
-35.7421875,-94.6453125,-58.903125
-38.6015625,-95.7890625,-57.1875
-39.1734375,-94.0734375,-54.9
-37.171875,-89.4984375,-52.3265625
-32.8828125,-82.921875,-50.0390625
-26.30625,-75.2015625,-48.8953125
-18.5859375,-66.909375,-48.3234375
-10.865625,-59.475,-48.609375
-3.7171875,-53.4703125,-49.753125
1.715625,-49.4671875,-51.1828125
5.146875,-47.7515625,-52.8984375
5.71875,-48.609375,-54.328125
3.7171875,-51.1828125,-54.9
0.0,-55.1859375,-55.1859375
-5.71875,-59.7609375,-54.0421875
-12.2953125,-64.3359375,-52.040625
-18.871875,-68.053125,-49.18125
-24.590625,-70.340625,-45.75
-28.59375,-71.1984375,-42.6046875
-30.5953125,-70.9125,-40.3171875
-30.309375,-69.196875,-38.8875
-28.021875,-66.3375,-38.315625
-23.7328125,-62.90625,-39.1734375
-18.0140625,-59.1890625,-41.175
-11.7234375,-55.1859375,-43.4625
-5.146875,-50.896875,-45.75
0.8578125,-46.89375,-47.7515625
6.0046875,-42.6046875,-48.609375
9.721875,-38.8875,-48.609375
11.7234375,-35.45625,-47.1796875
12.009375,-32.596875,-44.60625
10.865625,-30.5953125,-41.4609375
8.00625,-29.7375,-37.74375
4.2890625,-30.309375,-34.5984375
0.0,-32.025,-32.025
-4.003125,-34.884375,-30.88125
-7.434375,-38.8875,-31.453125
-9.721875,-43.4625,-33.740625
-10.5796875,-48.3234375,-37.74375
-9.4359375,-52.6125,-43.1765625
-6.290625,-56.04375,-49.753125
-2.0015625,-58.33125,-56.3296875
3.1453125,-59.1890625,-62.334375
8.8640625,-58.903125,-67.7671875
14.296875,-57.759375,-72.05625
18.0140625,-56.615625,-74.6296875
20.015625,-55.471875,-75.4875
19.7296875,-54.9,-74.6296875
17.15625,-55.471875,-72.628125
12.58125,-56.615625,-69.196875
