LEFT,RIGHT,DIFF
474.65625,406.3171875,-68.3390625
466.3640625,399.16875,-67.1953125000001
460.0734375,393.7359375,-66.3375
456.6421875,391.1625,-65.4796875
456.0703125,390.8765625,-65.19375
458.3578125,393.45,-64.9078125
462.646875,397.7390625,-64.9078125
468.0796875,402.8859375,-65.19375
473.5125,407.746875,-65.7656250000001
477.515625,411.4640625,-66.0515625
479.23125,413.1796875,-66.0515625
478.659375,412.321875,-66.3375
475.5140625,408.890625,-66.6234375
470.3671875,404.0296875,-66.3375
464.6484375,398.025,-66.6234375
459.215625,392.5921875,-66.6234375
455.4984375,388.5890625,-66.909375
454.06875,386.8734375,-67.1953125
456.0703125,388.303125,-67.7671875
460.93125,392.5921875,-68.3390625
468.0796875,399.4546875,-68.625
476.94375,407.746875,-69.196875
486.09375,416.896875,-69.196875
494.1,424.6171875,-69.4828125
499.5328125,430.621875,-68.9109375
501.8203125,433.48125,-68.3390625
500.390625,432.909375,-67.48125
495.5296875,429.1921875,-66.3375
488.0953125,422.615625,-65.4796875
479.23125,414.609375,-64.621875
470.08125,405.7453125,-64.3359375
461.7890625,398.025,-63.7640625
455.784375,392.30625,-63.478125
452.6390625,389.1609375,-63.478125
452.6390625,388.875,-63.7640625
455.784375,391.4484375,-64.3359375
461.2171875,396.5953125,-64.621875
468.0796875,402.8859375,-65.19375
475.228125,409.7484375,-65.4796875
481.51875,416.325,-65.19375
486.665625,421.1859375,-65.4796875
489.8109375,424.0453125,-65.765625
490.66875,424.6171875,-66.0515625
489.2390625,422.615625,-66.6234375
485.8078125,418.8984375,-66.909375
481.2328125,413.1796875,-68.053125
475.8,406.603125,-69.196875
469.509375,399.16875,-70.340625
463.21875,391.4484375,-71.7703125
457.2140625,383.728125,-73.4859375
450.9234375,376.29375,-74.6296875
445.2046875,369.1453125,-76.059375
439.4859375,362.2828125,-77.203125
434.053125,356.5640625,-77.4890625
429.1921875,351.4171875,-77.775
425.1890625,347.9859375,-77.203125
422.3296875,346.2703125,-76.059375
421.471875,346.55625,-74.915625
422.3296875,349.1296875,-73.2
425.475,354.2765625,-71.1984375
430.621875,361.996875,-68.625
437.484375,371.4328125,-66.0515625
445.2046875,381.7265625,-63.478125
453.496875,392.5921875,-60.9046875
461.2171875,402.3140625,-58.903125
467.221875,410.60625,-56.615625
471.225,416.0390625,-55.1859375
472.940625,418.8984375,-54.0421875
471.796875,418.6125,-53.184375
468.6515625,415.4671875,-53.184375
463.790625,410.60625,-53.184375
458.071875,404.6015625,-53.4703125
452.925,398.8828125,-54.0421875
448.35,394.021875,-54.328125
445.7765625,391.1625,-54.6140625
445.2046875,390.3046875,-54.9
446.3484375,391.734375,-54.6140625
448.921875,394.59375,-54.328125
452.353125,398.596875,-53.75625
455.784375,402.6,-53.184375
458.071875,405.459375,-52.6125
458.64375,406.603125,-52.040625
457.5,405.459375,-52.040625
454.06875,401.7421875,-52.3265625
448.921875,396.0234375,-52.8984375
442.63125,388.303125,-54.328125
436.0546875,379.725,-56.3296875
429.7640625,371.4328125,-58.33125
424.903125,364.284375,-60.61875
421.471875,358.565625,-62.90625
420.328125,355.134375,-65.19375
420.6140625,353.7046875,-66.909375
422.615625,353.7046875,-68.9109375
425.1890625,355.134375,-70.0546875
427.7625,357.1359375,-70.6265625
429.7640625,358.565625,-71.1984375
430.621875,359.4234375,-71.1984375
430.3359375,359.1375,-71.1984375
428.90625,357.7078125,-71.1984375
426.3328125,355.4203125,-70.9125
423.759375,352.846875,-70.9125
421.471875,350.2734375,-71.1984375
420.328125,348.5578125,-71.7703125
420.328125,347.7,-72.628125
421.471875,348.271875,-73.2
424.0453125,349.7015625,-74.34375
426.9046875,351.4171875,-75.4875
429.7640625,353.7046875,-76.059375
432.0515625,355.134375,-76.9171875
432.6234375,355.4203125,-77.203125
431.19375,354.2765625,-76.9171875
428.0484375,351.9890625,-76.059375
422.9015625,347.9859375,-74.915625
416.896875,343.696875,-73.2
410.3203125,339.4078125,-70.9125
404.6015625,335.690625,-68.9109375
400.3125,333.975,-66.3375
398.025,333.975,-64.05
398.596875,336.5484375,-62.0484375
401.7421875,340.8375,-60.9046875
406.8890625,347.128125,-59.7609375
412.89375,353.7046875,-59.1890625
419.4703125,360.28125,-59.1890625
424.903125,365.7140625,-59.1890625
428.0484375,369.1453125,-58.903125
428.90625,369.7171875,-59.1890625
426.3328125,367.715625,-58.6171875
420.6140625,362.8546875,-57.759375
412.321875,355.9921875,-56.3296875
402.028125,347.9859375,-54.0421875
391.1625,339.4078125,-51.7546875
380.86875,331.115625,-49.753125
371.71875,324.5390625,-47.1796875
365.1421875,319.678125,-45.4640625
361.1390625,317.1046875,-44.034375
359.9953125,316.81875,-43.1765625
361.7109375,318.534375,-43.1765625
365.7140625,321.6796875,-44.034375
370.8609375,325.6828125,-45.178125
376.865625,329.971875,-46.89375
382.2984375,333.6890625,-48.609375
386.5875,336.5484375,-50.0390625
389.446875,337.978125,-51.46875
390.3046875,337.978125,-52.3265625
389.446875,336.834375,-52.6125
386.5875,334.2609375,-52.3265625
382.584375,330.8296875,-51.7546875
377.7234375,326.8265625,-50.896875
372.8625,322.8234375,-50.0390625
368.2875,318.8203125,-49.4671875
364.5703125,315.675,-48.8953125
362.2828125,313.3875,-48.8953125
361.425,312.24375,-49.18125
361.996875,312.24375,-49.753125
363.7125,313.3875,-50.325
366.571875,315.3890625,-51.1828125
370.003125,318.2484375,-51.7546875
373.7203125,321.6796875,-52.040625
376.865625,324.825,-52.040625
379.153125,327.684375,-51.46875
380.296875,329.6859375,-50.6109375
380.0109375,330.2578125,-49.753125
378.58125,329.6859375,-48.8953125
376.0078125,327.684375,-48.3234375
372.290625,324.5390625,-47.7515625
368.0015625,320.5359375,-47.465625
363.7125,315.9609375,-47.7515625
359.709375,311.3859375,-48.3234375
356.5640625,307.3828125,-49.18125
354.2765625,304.5234375,-49.753125
353.1328125,302.8078125,-50.325
353.1328125,302.521875,-50.6109375
354.2765625,303.665625,-50.6109375
355.70625,305.6671875,-50.0390625
357.7078125,308.5265625,-49.18125
359.4234375,311.3859375,-48.0375
360.5671875,314.2453125,-46.321875
360.853125,316.246875,-44.60625
359.9953125,317.1046875,-42.890625
358.2796875,316.81875,-41.4609375
355.4203125,315.3890625,-40.03125
351.703125,313.1015625,-38.6015625
347.7,310.2421875,-37.4578125
343.9828125,307.66875,-36.3140625
340.8375,305.38125,-35.45625
338.55,304.2375,-34.3125
337.40625,304.5234375,-32.8828125
337.6921875,306.2390625,-31.453125
339.121875,309.6703125,-29.4515625
341.98125,313.959375,-28.021875
345.6984375,319.3921875,-26.30625
349.7015625,325.1109375,-24.590625
353.7046875,330.2578125,-23.446875
356.85,334.8328125,-22.0171875
359.1375,337.6921875,-21.4453125
359.9953125,338.55,-21.4453125
359.1375,337.1203125,-22.0171875
356.278125,333.1171875,-23.1609375
351.703125,327.3984375,-24.3046875
345.6984375,319.678125,-26.0203125
338.55,310.528125,-28.021875
330.54375,300.80625,-29.7375
322.5375,291.3703125,-31.1671875
314.53125,282.2203125,-32.3109375
307.66875,274.5,-33.16875
301.95,268.4953125,-33.4546875
297.6609375,263.9203125,-33.740625
294.515625,261.6328125,-32.8828125
293.0859375,260.775,-32.3109375
292.5140625,261.0609375,-31.453125
293.0859375,262.7765625,-30.309375
293.94375,264.778125,-29.165625
295.3734375,267.065625,-28.3078125
296.803125,268.78125,-28.021875
297.6609375,270.496875,-27.1640625
298.51875,271.3546875,-27.1640625
