LEFT,RIGHT,DIFF
0.0,-29.4515625,-29.4515625
-2.859375,-31.453125,-28.59375
-6.290625,-34.3125,-28.021875
-10.0078125,-38.0296875,-28.021875
-13.725,-41.746875,-28.021875
-16.8703125,-45.4640625,-28.59375
-19.44375,-48.3234375,-28.8796875
-21.159375,-50.325,-29.165625
-22.303125,-51.1828125,-28.8796875
-22.303125,-50.6109375,-28.3078125
-21.73125,-48.8953125,-27.1640625
-20.5875,-46.321875,-25.734375
-19.1578125,-43.1765625,-24.01875
-17.728125,-40.03125,-22.303125
-16.2984375,-37.171875,-20.8734375
-15.1546875,-35.45625,-20.3015625
-14.5828125,-34.5984375,-20.015625
-14.86875,-35.1703125,-20.3015625
-15.440625,-37.171875,-21.73125
-16.584375,-40.03125,-23.446875
-18.3,-43.4625,-25.1625
-20.015625,-47.465625,-27.45
-22.0171875,-50.896875,-28.8796875
-24.01875,-53.75625,-29.7375
-25.4484375,-55.7578125,-30.309375
-26.5921875,-56.615625,-30.0234375
-27.45,-56.04375,-28.59375
-28.021875,-54.6140625,-26.5921875
-28.021875,-52.040625,-24.01875
-27.7359375,-49.18125,-21.4453125
-27.45,-46.0359375,-18.5859375
-26.878125,-42.890625,-16.0125
-26.5921875,-40.03125,-13.4390625
-26.5921875,-38.0296875,-11.4375
-26.5921875,-36.6,-10.0078125
-26.878125,-35.7421875,-8.8640625
-27.45,-35.45625,-8.00625
-28.021875,-36.028125,-8.00625
-28.59375,-36.8859375,-8.2921875
-28.8796875,-37.74375,-8.8640625
-29.4515625,-38.8875,-9.4359375
-29.4515625,-40.03125,-10.5796875
-29.165625,-41.175,-12.009375
-28.8796875,-42.31875,-13.4390625
-28.021875,-43.4625,-15.440625
-27.1640625,-44.3203125,-17.15625
-26.5921875,-45.178125,-18.5859375
-25.734375,-46.321875,-20.5875
-25.4484375,-47.1796875,-21.73125
-25.1625,-48.0375,-22.875
-25.4484375,-48.609375,-23.1609375
-26.30625,-49.18125,-22.875
-27.1640625,-49.4671875,-22.303125
-28.021875,-49.4671875,-21.4453125
-28.8796875,-49.4671875,-20.5875
-29.7375,-48.8953125,-19.1578125
-30.0234375,-48.0375,-18.0140625
-30.0234375,-47.465625,-17.4421875
-29.7375,-46.6078125,-16.8703125
-28.8796875,-45.75,-16.8703125
-27.7359375,-45.178125,-17.4421875
-26.878125,-44.8921875,-18.0140625
-25.734375,-45.178125,-19.44375
-25.1625,-46.0359375,-20.8734375
-24.590625,-46.89375,-22.303125
-24.8765625,-48.609375,-23.7328125
-25.4484375,-50.325,-24.8765625
-26.5921875,-52.3265625,-25.734375
-28.3078125,-54.328125,-26.0203125
-29.7375,-56.04375,-26.30625
-31.1671875,-57.759375,-26.5921875
-32.596875,-58.903125,-26.30625
-33.4546875,-59.475,-26.0203125
-33.740625,-59.475,-25.734375
-33.740625,-58.6171875,-24.8765625
-32.8828125,-57.759375,-24.8765625
-32.025,-56.04375,-24.01875
-30.5953125,-54.328125,-23.7328125
-28.8796875,-52.3265625,-23.446875
-27.1640625,-50.6109375,-23.446875
-25.734375,-48.8953125,-23.1609375
-24.590625,-47.7515625,-23.1609375
-23.446875,-46.89375,-23.446875
-22.5890625,-46.6078125,-24.01875
-22.0171875,-46.6078125,-24.590625
-21.73125,-47.1796875,-25.4484375
-21.73125,-47.7515625,-26.0203125
-21.73125,-48.609375,-26.878125
-22.0171875,-49.18125,-27.1640625
-22.303125,-49.753125,-27.45
-23.1609375,-50.0390625,-26.878125
-24.01875,-50.0390625,-26.0203125
-24.8765625,-49.4671875,-24.590625
-26.5921875,-48.609375,-22.0171875
-28.3078125,-47.7515625,-19.44375
-30.309375,-46.89375,-16.584375
-32.596875,-46.0359375,-13.4390625
-34.884375,-45.4640625,-10.5796875
-37.171875,-45.178125,-8.00625
-39.459375,-45.178125,-5.71875
-40.8890625,-45.4640625,-4.575
-42.0328125,-46.0359375,-4.003125
-42.31875,-46.89375,-4.575
-41.746875,-47.1796875,-5.4328125
-40.03125,-47.465625,-7.434375
-37.4578125,-46.89375,-9.4359375
-34.3125,-46.0359375,-11.7234375
-30.5953125,-44.3203125,-13.725
-26.878125,-42.31875,-15.440625
-23.1609375,-40.03125,-16.8703125
-19.7296875,-37.4578125,-17.728125
-17.4421875,-35.1703125,-17.728125
-16.0125,-33.16875,-17.15625
-15.7265625,-32.025,-16.2984375
-16.8703125,-31.7390625,-14.86875
-18.871875,-32.3109375,-13.4390625
-21.73125,-33.740625,-12.009375
-25.1625,-35.7421875,-10.5796875
-28.8796875,-38.315625,-9.4359375
-32.3109375,-41.175,-8.8640625
-35.45625,-43.7484375,-8.2921875
-38.0296875,-46.321875,-8.2921875
-40.03125,-48.3234375,-8.2921875
-41.175,-49.753125,-8.578125
-42.0328125,-50.896875,-8.8640625
-42.31875,-51.7546875,-9.4359375
-42.31875,-52.3265625,-10.0078125
-42.31875,-52.6125,-10.29375
