LEFT,RIGHT,DIFF
-100.65,-108.3703125,-7.72031249999999
-99.2203125,-107.7984375,-8.578125
-96.9328125,-106.36875,-9.43593750000001
-94.359375,-104.08125,-9.721875
-91.2140625,-101.79375,-10.5796875
-87.7828125,-99.2203125,-11.4375
-84.065625,-96.9328125,-12.8671875
-80.9203125,-94.93125,-14.0109375
-77.775,-93.5015625,-15.7265625
-75.4875,-92.9296875,-17.4421875
-73.4859375,-92.64375,-19.1578125
-72.05625,-93.215625,-21.159375
-71.484375,-94.0734375,-22.5890625
-71.484375,-95.2171875,-23.7328125
-71.7703125,-96.646875,-24.8765625
-72.9140625,-97.790625,-24.8765625
-73.771875,-98.3625,-24.590625
-74.915625,-98.6484375,-23.7328125
-75.4875,-98.0765625,-22.5890625
-76.059375,-96.646875,-20.5875
-75.7734375,-94.6453125,-18.871875
-75.2015625,-92.071875,-16.8703125
-74.34375,-88.9265625,-14.5828125
-73.2,-86.0671875,-12.8671875
-72.05625,-83.7796875,-11.7234375
-71.484375,-82.0640625,-10.5796875
-71.7703125,-81.4921875,-9.721875
-72.628125,-81.778125,-9.15000000000001
-74.6296875,-83.49375,-8.8640625
-77.4890625,-85.78125,-8.2921875
-80.9203125,-88.9265625,-8.00624999999999
-84.6375,-92.071875,-7.434375
-88.06875,-94.93125,-6.8625
-90.6421875,-96.9328125,-6.29062499999999
-92.071875,-97.790625,-5.71875
-92.071875,-97.5046875,-5.4328125
-90.928125,-95.7890625,-4.86093749999999
-88.3546875,-93.215625,-4.86093750000001
-84.9234375,-90.0703125,-5.14687499999999
-81.20625,-86.925,-5.71875
-77.775,-84.065625,-6.29062499999999
-75.2015625,-82.35,-7.1484375
-73.771875,-82.0640625,-8.2921875
-73.771875,-83.49375,-9.721875
-75.4875,-86.353125,-10.865625
-78.6328125,-90.35625,-11.7234375
-82.6359375,-95.2171875,-12.58125
-87.2109375,-100.3640625,-13.153125
-91.7859375,-104.9390625,-13.153125
-95.503125,-108.65625,-13.153125
-98.3625,-111.2296875,-12.8671875
-99.50625,-112.0875,-12.58125
-99.50625,-111.8015625,-12.2953125
-98.3625,-110.0859375,-11.7234375
-96.075,-107.5125,-11.4375
-93.215625,-104.653125,-11.4375
-90.6421875,-101.79375,-11.1515625
-88.06875,-99.50625,-11.4375
-86.353125,-98.0765625,-11.7234375
-85.209375,-97.790625,-12.58125
-84.9234375,-98.0765625,-13.153125
-85.4953125,-99.2203125,-13.725
-86.6390625,-100.9359375,-14.296875
-88.06875,-102.6515625,-14.5828125
-89.4984375,-104.653125,-15.1546875
-90.928125,-106.0828125,-15.1546875
-92.3578125,-107.2265625,-14.86875
-93.5015625,-108.084375,-14.5828125
-94.6453125,-108.65625,-14.0109375
-95.503125,-108.65625,-13.153125
-96.3609375,-108.65625,-12.2953125
-97.5046875,-108.65625,-11.1515625
-98.3625,-108.3703125,-10.0078125
-99.50625,-108.084375,-8.578125
-100.3640625,-107.7984375,-7.434375
-100.9359375,-107.2265625,-6.29062499999999
-100.9359375,-106.6546875,-5.71875
-100.3640625,-105.796875,-5.4328125
-99.50625,-104.653125,-5.14687499999999
-98.0765625,-103.7953125,-5.71875
-96.3609375,-102.9375,-6.57656249999999
-94.359375,-102.365625,-8.00625000000001
-92.9296875,-102.0796875,-9.15000000000001
-91.7859375,-102.365625,-10.5796875
-91.2140625,-102.9375,-11.7234375
-91.5,-104.3671875,-12.8671875
-92.3578125,-106.0828125,-13.725
-94.359375,-108.084375,-13.725
-96.646875,-110.0859375,-13.4390625
-99.2203125,-111.8015625,-12.58125
-101.79375,-113.23125,-11.4375
-104.08125,-113.5171875,-9.43593750000001
-105.796875,-113.23125,-7.434375
-106.940625,-112.0875,-5.14687500000001
-106.940625,-110.0859375,-3.1453125
-106.0828125,-107.2265625,-1.14375
-104.3671875,-104.08125,0.285937500000003
-102.0796875,-100.65,1.4296875
-99.50625,-97.5046875,2.00156250000001
-96.3609375,-94.359375,2.00156250000001
-93.5015625,-92.071875,1.4296875
-90.928125,-90.6421875,0.285937500000003
-88.640625,-90.0703125,-1.4296875
-86.925,-90.35625,-3.43125000000001
-85.78125,-91.5,-5.71875
-85.4953125,-93.215625,-7.72031250000001
-85.78125,-95.7890625,-10.0078125
-86.353125,-98.3625,-12.009375
-87.496875,-101.221875,-13.725
-88.9265625,-103.509375,-14.5828125
-90.35625,-105.225,-14.86875
-91.5,-106.6546875,-15.1546875
-92.64375,-106.940625,-14.296875
-93.5015625,-106.36875,-12.8671875
-94.0734375,-105.225,-11.1515625
-94.359375,-103.2234375,-8.8640625
-94.359375,-100.9359375,-6.57656250000001
-94.0734375,-98.3625,-4.2890625
-93.7875,-96.075,-2.28749999999999
-93.215625,-94.0734375,-0.857812499999994
-92.3578125,-92.3578125,0.0
-91.7859375,-91.2140625,0.571875000000006
-91.5,-90.6421875,0.857812499999994
-90.928125,-90.928125,0.0
-90.6421875,-91.2140625,-0.571874999999991
-90.35625,-92.071875,-1.715625
-90.35625,-93.215625,-2.859375
-90.35625,-94.359375,-4.003125
-90.6421875,-95.2171875,-4.575
-90.928125,-96.075,-5.14687499999999
-91.2140625,-96.9328125,-5.71875
-91.5,-97.21875,-5.71875
-91.5,-96.9328125,-5.4328125
-91.2140625,-96.3609375,-5.14687500000001
-90.35625,-94.93125,-4.575
-88.9265625,-92.9296875,-4.003125
-86.925,-90.35625,-3.43125000000001
-83.7796875,-86.925,-3.14531249999999
-80.3484375,-83.2078125,-2.859375
-76.3453125,-78.91875,-2.5734375
-72.3421875,-74.6296875,-2.28749999999999
-68.625,-70.9125,-2.28750000000001
-66.0515625,-68.053125,-2.00156250000001
-64.621875,-66.6234375,-2.00156250000001
-64.621875,-66.6234375,-2.00156250000001
-66.6234375,-68.625,-2.00156249999999
-70.340625,-72.3421875,-2.00156250000001
-75.7734375,-77.4890625,-1.715625
-81.778125,-83.7796875,-2.00156250000001
-88.3546875,-90.0703125,-1.715625
-94.359375,-95.7890625,-1.4296875
-99.2203125,-100.3640625,-1.14375
-101.79375,-102.6515625,-0.857812499999994
-102.365625,-102.6515625,-0.285937499999989
-100.3640625,-100.078125,0.285937500000003
-95.7890625,-95.2171875,0.571874999999991
-89.784375,-88.640625,1.14375
-82.35,-80.9203125,1.4296875
-74.915625,-73.4859375,1.4296875
-68.3390625,-67.1953125,1.14375
-63.478125,-62.6203125,0.857812500000001
-60.61875,-60.3328125,0.285937500000003
-60.3328125,-60.61875,-0.285937500000003
-62.6203125,-63.478125,-0.857812500000001
-66.6234375,-68.053125,-1.4296875
-72.3421875,-73.771875,-1.4296875
-78.346875,-79.7765625,-1.4296875
-84.065625,-84.6375,-0.571875000000006
-88.3546875,-88.06875,0.285937499999989
-90.928125,-89.2125,1.715625
-91.2140625,-88.3546875,2.859375
-89.2125,-85.209375,4.003125
-85.209375,-80.3484375,4.86093750000001
-79.7765625,-74.6296875,5.14687499999999
-73.4859375,-68.9109375,4.575
-67.48125,-63.7640625,3.7171875
-62.334375,-60.046875,2.2875
-58.33125,-58.0453125,0.285937500000003
-56.04375,-57.4734375,-1.4296875
-55.471875,-58.6171875,-3.1453125
-56.3296875,-60.9046875,-4.575
-58.6171875,-63.478125,-4.86093750000001
-61.190625,-66.3375,-5.146875
-64.05,-68.9109375,-4.86093750000001
-66.6234375,-70.6265625,-4.003125
-68.625,-71.484375,-2.859375
-70.0546875,-71.7703125,-1.715625
-70.9125,-71.484375,-0.571874999999991
-71.1984375,-71.484375,-0.285937500000003
-71.1984375,-71.7703125,-0.571875000000006
-71.484375,-72.9140625,-1.4296875
-72.05625,-75.2015625,-3.1453125
-73.2,-78.346875,-5.14687499999999
-74.915625,-82.35,-7.434375
-77.203125,-86.6390625,-9.43593750000001
-79.490625,-91.2140625,-11.7234375
-82.0640625,-95.2171875,-13.153125
-84.065625,-98.3625,-14.296875
-85.4953125,-100.3640625,-14.86875
-86.353125,-100.9359375,-14.5828125
-86.353125,-100.65,-14.296875
-85.4953125,-99.50625,-14.0109375
-84.3515625,-97.5046875,-13.153125
-82.6359375,-95.503125,-12.8671875
-81.20625,-93.5015625,-12.2953125
-79.490625,-91.7859375,-12.2953125
-78.6328125,-90.35625,-11.7234375
-77.775,-89.4984375,-11.7234375
-77.775,-89.2125,-11.4375
-78.0609375,-88.9265625,-10.865625
-78.346875,-88.9265625,-10.5796875
-79.2046875,-89.2125,-10.0078125
-80.0625,-89.4984375,-9.43593750000001
-80.9203125,-89.784375,-8.86406249999999
-82.0640625,-90.35625,-8.2921875
-83.2078125,-91.2140625,-8.00624999999999
-84.3515625,-92.3578125,-8.00625000000001
-85.78125,-94.0734375,-8.2921875
-87.496875,-96.075,-8.578125
-89.2125,-97.790625,-8.578125
-90.928125,-99.2203125,-8.2921875
-92.071875,-99.7921875,-7.72031249999999
-92.64375,-99.50625,-6.86250000000001
-92.64375,-97.790625,-5.14687500000001
-91.5,-94.359375,-2.859375
-89.4984375,-90.0703125,-0.571874999999991
-86.6390625,-84.6375,2.00156250000001
-83.49375,-78.91875,4.575
-80.3484375,-73.4859375,6.8625
-78.0609375,-69.4828125,8.578125
-76.63125,-66.909375,9.72187500000001
-76.9171875,-66.909375,10.0078125
-78.6328125,-69.4828125,9.14999999999999
-82.35,-74.0578125,8.29218750000001
-87.2109375,-80.3484375,6.8625
-92.9296875,-87.7828125,5.14687499999999
-98.934375,-95.2171875,3.71718749999999
-104.08125,-101.5078125,2.5734375
-107.5125,-106.0828125,1.4296875
-108.9421875,-107.7984375,1.14375
-107.7984375,-106.940625,0.857812500000009
-104.3671875,-103.2234375,1.14375
-98.934375,-97.21875,1.715625
-91.7859375,-90.0703125,1.715625
-84.3515625,-82.6359375,1.715625
-77.4890625,-75.7734375,1.715625
-72.05625,-70.9125,1.14375
-68.3390625,-68.053125,0.285937499999989
-67.48125,-68.3390625,-0.857812499999994
-69.196875,-70.9125,-1.715625
-72.9140625,-75.7734375,-2.859375
-78.0609375,-82.0640625,-4.003125
-84.065625,-88.9265625,-4.86093750000001
-89.784375,-95.2171875,-5.43281250000001
-94.359375,-100.078125,-5.71875
-97.5046875,-103.2234375,-5.71875
-98.6484375,-104.3671875,-5.71875
-97.790625,-103.509375,-5.71875
-95.2171875,-100.9359375,-5.71875
-91.7859375,-97.790625,-6.0046875
-88.3546875,-94.359375,-6.0046875
-85.209375,-91.7859375,-6.57656249999999
-82.921875,-90.0703125,-7.1484375
-82.35,-90.0703125,-7.72031249999999
-83.2078125,-91.7859375,-8.578125
-85.209375,-94.6453125,-9.43593749999999
-88.06875,-98.3625,-10.29375
-91.5,-102.6515625,-11.1515625
-94.359375,-106.36875,-12.009375
-96.3609375,-109.228125,-12.8671875
-97.5046875,-110.6578125,-13.153125
-96.9328125,-110.94375,-14.0109375
-95.2171875,-109.5140625,-14.296875
-92.64375,-106.940625,-14.296875
-89.4984375,-103.7953125,-14.296875
-86.353125,-100.3640625,-14.0109375
-83.7796875,-97.21875,-13.4390625
-81.778125,-94.6453125,-12.8671875
-80.634375,-92.9296875,-12.2953125
-80.634375,-92.071875,-11.4375
-81.20625,-91.7859375,-10.5796875
-82.0640625,-92.071875,-10.0078125
-82.921875,-92.64375,-9.721875
-83.49375,-92.9296875,-9.43593749999999
-83.49375,-92.64375,-9.14999999999999
-82.6359375,-92.071875,-9.43593750000001
-80.9203125,-90.6421875,-9.721875
-78.346875,-88.9265625,-10.5796875
-75.7734375,-86.6390625,-10.865625
-72.9140625,-84.3515625,-11.4375
-70.340625,-82.35,-12.009375
-68.625,-80.634375,-12.009375
-67.48125,-79.2046875,-11.7234375
-66.909375,-78.6328125,-11.7234375
-67.48125,-78.346875,-10.865625
-68.3390625,-78.346875,-10.0078125
-69.4828125,-78.91875,-9.43593749999999
-70.6265625,-79.2046875,-8.578125
-71.484375,-79.2046875,-7.72031250000001
-72.3421875,-79.2046875,-6.8625
-72.628125,-78.91875,-6.29062500000001
-72.3421875,-78.6328125,-6.29062499999999
-72.05625,-78.0609375,-6.0046875
-71.484375,-77.775,-6.29062500000001
-70.9125,-77.4890625,-6.57656249999999
-70.340625,-77.775,-7.434375
-70.340625,-78.6328125,-8.2921875
-70.340625,-79.7765625,-9.43593749999999
-70.340625,-81.20625,-10.865625
-70.6265625,-82.921875,-12.2953125
-71.1984375,-84.6375,-13.4390625
-71.1984375,-86.0671875,-14.86875
-71.484375,-86.925,-15.440625
