LEFT,RIGHT,DIFF
-50.6109375,-90.928125,-40.3171875
-53.184375,-93.5015625,-40.3171875
-54.328125,-94.93125,-40.603125
-54.328125,-95.503125,-41.175
-52.3265625,-94.6453125,-42.31875
-49.4671875,-92.3578125,-42.890625
-45.178125,-89.2125,-44.034375
-40.8890625,-85.78125,-44.8921875
-36.6,-82.35,-45.75
-33.16875,-80.0625,-46.89375
-31.453125,-79.2046875,-47.7515625
-30.88125,-80.0625,-49.18125
-32.025,-82.35,-50.325
-34.5984375,-86.353125,-51.7546875
-37.74375,-91.2140625,-53.4703125
-40.603125,-96.075,-55.471875
-42.890625,-100.3640625,-57.4734375
-44.034375,-103.2234375,-59.1890625
-43.1765625,-104.3671875,-61.190625
-40.3171875,-102.9375,-62.6203125
-36.028125,-99.7921875,-63.7640625
-30.5953125,-94.93125,-64.3359375
-24.8765625,-89.4984375,-64.621875
-19.44375,-84.3515625,-64.9078125
-15.7265625,-80.0625,-64.3359375
-14.0109375,-78.0609375,-64.05
-14.5828125,-78.0609375,-63.478125
-17.4421875,-80.9203125,-63.478125
-22.303125,-85.78125,-63.478125
-28.3078125,-92.3578125,-64.05
-34.5984375,-99.2203125,-64.621875
-40.3171875,-106.0828125,-65.765625
-44.60625,-111.2296875,-66.6234375
-46.321875,-114.6609375,-68.3390625
-46.0359375,-115.2328125,-69.196875
-43.1765625,-113.23125,-70.0546875
-38.315625,-108.9421875,-70.6265625
-32.596875,-102.9375,-70.340625
-26.5921875,-96.3609375,-69.76875
-20.8734375,-90.35625,-69.4828125
-16.8703125,-85.209375,-68.3390625
-14.5828125,-81.778125,-67.1953125
-14.296875,-80.3484375,-66.0515625
-16.0125,-80.634375,-64.621875
-18.871875,-82.6359375,-63.7640625
-22.5890625,-85.209375,-62.6203125
-26.30625,-88.06875,-61.7625
-29.4515625,-90.35625,-60.9046875
-31.7390625,-91.7859375,-60.046875
-32.596875,-91.7859375,-59.1890625
-32.596875,-90.928125,-58.33125
-32.025,-89.4984375,-57.4734375
