LEFT,RIGHT,DIFF
2.0015625,-25.734375,-27.7359375
-2.5734375,-31.1671875,-28.59375
-7.7203125,-36.3140625,-28.59375
-12.2953125,-41.175,-28.8796875
-16.2984375,-45.178125,-28.8796875
-19.44375,-48.3234375,-28.8796875
-21.73125,-50.0390625,-28.3078125
-23.446875,-50.896875,-27.45
-24.3046875,-50.896875,-26.5921875
-24.8765625,-50.0390625,-25.1625
-24.8765625,-48.609375,-23.7328125
-24.8765625,-46.89375,-22.0171875
-24.3046875,-44.60625,-20.3015625
-23.7328125,-42.6046875,-18.871875
-22.875,-40.3171875,-17.4421875
-21.73125,-38.0296875,-16.2984375
-20.5875,-36.3140625,-15.7265625
-19.7296875,-34.884375,-15.1546875
-18.871875,-33.740625,-14.86875
-18.0140625,-33.740625,-15.7265625
-17.4421875,-34.0265625,-16.584375
-17.15625,-34.884375,-17.728125
-17.15625,-36.3140625,-19.1578125
-16.8703125,-37.74375,-20.8734375
-16.2984375,-38.8875,-22.5890625
-14.86875,-39.1734375,-24.3046875
-13.153125,-38.6015625,-25.4484375
-10.29375,-36.8859375,-26.5921875
-6.5765625,-34.0265625,-27.45
-2.2875,-30.0234375,-27.7359375
1.715625,-25.734375,-27.45
5.71875,-21.4453125,-27.1640625
8.8640625,-17.728125,-26.5921875
10.5796875,-15.1546875,-25.734375
10.5796875,-14.296875,-24.8765625
8.2921875,-15.7265625,-24.01875
4.2890625,-18.5859375,-22.875
-0.8578125,-23.1609375,-22.303125
-7.434375,-28.59375,-21.159375
-14.0109375,-34.3125,-20.3015625
-20.3015625,-39.7453125,-19.44375
-24.8765625,-43.4625,-18.5859375
-28.021875,-45.75,-17.728125
-28.59375,-46.0359375,-17.4421875
-27.1640625,-44.60625,-17.4421875
-24.01875,-41.4609375,-17.4421875
-19.44375,-37.74375,-18.3
-14.296875,-33.740625,-19.44375
-9.15,-30.309375,-21.159375
-4.8609375,-28.021875,-23.1609375
-1.715625,-27.1640625,-25.4484375
0.0,-28.3078125,-28.3078125
0.0,-30.5953125,-30.5953125
-0.571875,-34.3125,-33.740625
-2.5734375,-38.315625,-35.7421875
-4.8609375,-42.6046875,-37.74375
-7.1484375,-46.321875,-39.1734375
-8.8640625,-49.18125,-40.3171875
-10.29375,-51.1828125,-40.8890625
-11.1515625,-51.7546875,-40.603125
-11.4375,-51.1828125,-39.7453125
-11.4375,-50.325,-38.8875
-11.1515625,-48.609375,-37.4578125
-10.865625,-47.1796875,-36.3140625
-10.5796875,-45.4640625,-34.884375
-10.29375,-44.034375,-33.740625
-10.29375,-42.890625,-32.596875
-9.721875,-41.746875,-32.025
-8.578125,-40.3171875,-31.7390625
-7.1484375,-38.8875,-31.7390625
-4.8609375,-37.171875,-32.3109375
-1.715625,-35.1703125,-33.4546875
1.4296875,-32.8828125,-34.3125
5.146875,-30.88125,-36.028125
8.578125,-29.4515625,-38.0296875
11.4375,-28.3078125,-39.7453125
13.4390625,-28.021875,-41.4609375
14.296875,-28.59375,-42.890625
14.0109375,-30.0234375,-44.034375
12.8671875,-32.025,-44.8921875
10.865625,-34.0265625,-44.8921875
8.578125,-36.028125,-44.60625
6.290625,-37.4578125,-43.7484375
4.575,-38.0296875,-42.6046875
3.43125,-38.0296875,-41.4609375
2.859375,-37.171875,-40.03125
3.1453125,-36.028125,-39.1734375
3.7171875,-34.5984375,-38.315625
4.575,-33.740625,-38.315625
4.8609375,-33.4546875,-38.315625
4.8609375,-34.3125,-39.1734375
4.003125,-36.028125,-40.03125
2.2875,-39.1734375,-41.4609375
0.0,-42.890625,-42.890625
-2.859375,-46.89375,-44.034375
-6.0046875,-50.896875,-44.8921875
-9.15,-54.328125,-45.178125
-11.4375,-56.615625,-45.178125
-13.153125,-57.4734375,-44.3203125
-13.725,-56.9015625,-43.1765625
-13.153125,-55.1859375,-42.0328125
-11.7234375,-52.040625,-40.3171875
-9.4359375,-48.0375,-38.6015625
-6.5765625,-43.7484375,-37.171875
-3.43125,-39.459375,-36.028125
-0.2859375,-35.45625,-35.1703125
2.2875,-32.025,-34.3125
5.146875,-29.4515625,-34.5984375
7.434375,-27.1640625,-34.5984375
9.4359375,-25.734375,-35.1703125
11.1515625,-24.8765625,-36.028125
12.2953125,-24.590625,-36.8859375
12.8671875,-24.8765625,-37.74375
13.153125,-26.0203125,-39.1734375
12.2953125,-27.7359375,-40.03125
10.5796875,-30.309375,-40.8890625
8.00625,-34.0265625,-42.0328125
4.575,-38.8875,-43.4625
0.2859375,-44.034375,-44.3203125
-4.2890625,-50.0390625,-45.75
-9.15,-55.471875,-46.321875
-13.4390625,-60.3328125,-46.89375
-16.584375,-63.7640625,-47.1796875
-18.0140625,-65.4796875,-47.465625
-17.728125,-64.9078125,-47.1796875
-15.440625,-62.334375,-46.89375
-11.4375,-57.4734375,-46.0359375
-6.0046875,-51.46875,-45.4640625
0.0,-44.60625,-44.60625
5.71875,-38.0296875,-43.7484375
10.865625,-32.3109375,-43.1765625
14.5828125,-28.3078125,-42.890625
16.584375,-26.5921875,-43.1765625
16.2984375,-27.1640625,-43.4625
14.296875,-30.0234375,-44.3203125
10.865625,-34.0265625,-44.8921875
6.8625,-38.8875,-45.75
2.859375,-43.4625,-46.321875
0.0,-46.89375,-46.89375
-1.14375,-48.609375,-47.465625
-0.2859375,-48.0375,-47.7515625
2.0015625,-45.4640625,-47.465625
6.290625,-41.175,-47.465625
11.7234375,-36.028125,-47.7515625
17.15625,-30.5953125,-47.7515625
22.0171875,-26.0203125,-48.0375
25.4484375,-22.875,-48.3234375
27.1640625,-22.0171875,-49.18125
26.5921875,-23.446875,-50.0390625
24.01875,-26.878125,-50.896875
20.015625,-31.7390625,-51.7546875
15.440625,-37.74375,-53.184375
10.865625,-43.1765625,-54.0421875
7.434375,-48.0375,-55.471875
5.4328125,-51.1828125,-56.615625
5.71875,-52.3265625,-58.0453125
8.2921875,-51.46875,-59.7609375
12.2953125,-48.8953125,-61.190625
17.4421875,-45.178125,-62.6203125
23.1609375,-40.8890625,-64.05
28.021875,-37.171875,-65.19375
31.7390625,-34.0265625,-65.765625
33.4546875,-32.3109375,-65.765625
33.4546875,-32.3109375,-65.765625
31.1671875,-33.16875,-64.3359375
27.1640625,-35.45625,-62.6203125
22.5890625,-37.74375,-60.3328125
17.4421875,-40.03125,-57.4734375
12.58125,-41.746875,-54.328125
8.8640625,-42.890625,-51.7546875
6.290625,-42.890625,-49.18125
4.8609375,-42.0328125,-46.89375
4.8609375,-40.8890625,-45.75
5.4328125,-39.7453125,-45.178125
6.290625,-39.1734375,-45.4640625
7.1484375,-39.1734375,-46.321875
7.434375,-40.03125,-47.465625
7.1484375,-41.4609375,-48.609375
6.0046875,-43.4625,-49.4671875
4.8609375,-45.4640625,-50.325
3.43125,-47.1796875,-50.6109375
2.5734375,-48.0375,-50.6109375
2.0015625,-47.7515625,-49.753125
2.5734375,-46.321875,-48.8953125
3.7171875,-44.3203125,-48.0375
5.4328125,-41.4609375,-46.89375
7.1484375,-38.8875,-46.0359375
9.15,-36.6,-45.75
10.5796875,-35.45625,-46.0359375
11.1515625,-35.45625,-46.6078125
10.865625,-36.8859375,-47.7515625
9.721875,-39.459375,-49.18125
7.7203125,-42.890625,-50.6109375
5.4328125,-46.6078125,-52.040625
3.1453125,-50.0390625,-53.184375
1.4296875,-52.6125,-54.0421875
0.0,-54.6140625,-54.6140625
0.0,-55.1859375,-55.1859375
0.0,-55.1859375,-55.1859375
0.8578125,-54.328125,-55.1859375
1.715625,-53.4703125,-55.1859375
2.5734375,-52.8984375,-55.471875
2.859375,-53.184375,-56.04375
2.2875,-54.0421875,-56.3296875
1.14375,-55.471875,-56.615625
-0.2859375,-57.759375,-57.4734375
-2.0015625,-59.475,-57.4734375
-3.43125,-60.9046875,-57.4734375
-4.2890625,-60.9046875,-56.615625
-3.7171875,-59.475,-55.7578125
-2.0015625,-56.04375,-54.0421875
0.8578125,-51.1828125,-52.040625
5.146875,-44.8921875,-50.0390625
10.29375,-38.0296875,-48.3234375
15.1546875,-31.453125,-46.6078125
19.1578125,-26.30625,-45.4640625
21.73125,-23.1609375,-44.8921875
22.5890625,-22.5890625,-45.178125
21.4453125,-24.8765625,-46.321875
18.0140625,-29.4515625,-47.465625
13.153125,-36.3140625,-49.4671875
7.1484375,-44.3203125,-51.46875
0.8578125,-52.3265625,-53.184375
-4.8609375,-59.7609375,-54.9
-9.4359375,-65.19375,-55.7578125
-12.2953125,-68.625,-56.3296875
-13.4390625,-68.9109375,-55.471875
-12.8671875,-67.1953125,-54.328125
-10.29375,-62.90625,-52.6125
-6.8625,-57.4734375,-50.6109375
-2.859375,-51.1828125,-48.3234375
0.571875,-45.4640625,-46.0359375
3.7171875,-40.8890625,-44.60625
5.71875,-37.74375,-43.4625
6.290625,-36.6,-42.890625
5.71875,-37.171875,-42.890625
4.003125,-39.7453125,-43.7484375
1.4296875,-43.4625,-44.8921875
-1.14375,-48.0375,-46.89375
-3.7171875,-52.6125,-48.8953125
-6.0046875,-57.1875,-51.1828125
-7.434375,-60.61875,-53.184375
-8.2921875,-63.478125,-55.1859375
-8.2921875,-65.19375,-56.9015625
-7.7203125,-66.3375,-58.6171875
-6.8625,-66.6234375,-59.7609375
-5.71875,-66.6234375,-60.9046875
-4.575,-66.3375,-61.7625
-3.7171875,-66.0515625,-62.334375
-2.859375,-65.765625,-62.90625
-2.2875,-65.4796875,-63.1921875
-2.0015625,-65.4796875,-63.478125
-1.4296875,-64.9078125,-63.478125
-0.8578125,-64.3359375,-63.478125
-0.2859375,-63.478125,-63.1921875
0.571875,-62.334375,-62.90625
1.715625,-60.9046875,-62.6203125
3.1453125,-59.1890625,-62.334375
4.575,-57.759375,-62.334375
6.0046875,-56.04375,-62.0484375
7.1484375,-54.9,-62.0484375
7.7203125,-54.328125,-62.0484375
8.2921875,-53.75625,-62.0484375
8.2921875,-54.0421875,-62.334375
7.7203125,-54.6140625,-62.334375
7.1484375,-55.1859375,-62.334375
6.5765625,-56.04375,-62.6203125
5.71875,-56.9015625,-62.6203125
5.146875,-57.4734375,-62.6203125
4.575,-58.0453125,-62.6203125
4.2890625,-58.6171875,-62.90625
4.2890625,-58.903125,-63.1921875
4.003125,-59.475,-63.478125
4.003125,-60.046875,-64.05
3.7171875,-60.9046875,-64.621875
3.1453125,-62.0484375,-65.19375
2.2875,-63.478125,-65.765625
1.4296875,-64.9078125,-66.3375
0.571875,-66.0515625,-66.6234375
-0.2859375,-67.1953125,-66.909375
-1.14375,-67.7671875,-66.6234375
-1.715625,-67.7671875,-66.0515625
-1.715625,-66.909375,-65.19375
-1.14375,-65.765625,-64.621875
0.0,-64.05,-64.05
1.4296875,-62.0484375,-63.478125
3.7171875,-60.046875,-63.7640625
6.0046875,-58.33125,-64.3359375
8.578125,-57.1875,-65.765625
10.865625,-56.615625,-67.48125
12.58125,-56.9015625,-69.4828125
13.725,-58.33125,-72.05625
14.296875,-60.3328125,-74.6296875
13.725,-63.1921875,-76.9171875
12.58125,-66.6234375,-79.2046875
10.5796875,-70.340625,-80.9203125
8.2921875,-73.771875,-82.0640625
5.71875,-77.203125,-82.921875
3.43125,-79.7765625,-83.2078125
1.715625,-81.4921875,-83.2078125
0.8578125,-82.0640625,-82.921875
0.571875,-81.778125,-82.35
1.4296875,-80.634375,-82.0640625
3.43125,-78.346875,-81.778125
6.0046875,-75.4875,-81.4921875
8.8640625,-72.3421875,-81.20625
12.009375,-69.196875,-81.20625
14.5828125,-66.0515625,-80.634375
16.2984375,-63.7640625,-80.0625
16.8703125,-62.6203125,-79.490625
16.0125,-62.6203125,-78.6328125
13.4390625,-63.7640625,-77.203125
9.4359375,-66.6234375,-76.059375
4.2890625,-70.340625,-74.6296875
-1.4296875,-74.915625,-73.4859375
-7.7203125,-80.0625,-72.3421875
-13.725,-84.9234375,-71.1984375
-18.871875,-88.9265625,-70.0546875
-22.303125,-91.7859375,-69.4828125
-23.7328125,-92.64375,-68.9109375
-23.446875,-92.071875,-68.625
-21.159375,-89.2125,-68.053125
-17.4421875,-84.9234375,-67.48125
-12.2953125,-79.2046875,-66.909375
-7.1484375,-72.9140625,-65.765625
-1.715625,-66.6234375,-64.9078125
2.2875,-60.9046875,-63.1921875
5.71875,-56.04375,-61.7625
7.7203125,-52.8984375,-60.61875
8.00625,-51.1828125,-59.1890625
7.1484375,-51.1828125,-58.33125
5.71875,-52.3265625,-58.0453125
3.7171875,-54.0421875,-57.759375
1.715625,-56.3296875,-58.0453125
0.571875,-58.0453125,-58.6171875
0.2859375,-59.475,-59.7609375
1.14375,-59.475,-60.61875
3.1453125,-58.903125,-62.0484375
6.0046875,-57.1875,-63.1921875
9.15,-55.1859375,-64.3359375
12.2953125,-53.184375,-65.4796875
15.1546875,-51.46875,-66.6234375
16.8703125,-50.6109375,-67.48125
17.4421875,-50.896875,-68.3390625
16.8703125,-52.3265625,-69.196875
14.86875,-54.9,-69.76875
12.2953125,-58.33125,-70.6265625
9.721875,-62.0484375,-71.7703125
