LEFT,RIGHT,DIFF
-20.8734375,-76.059375,-55.1859375
-21.4453125,-76.3453125,-54.9
-21.73125,-76.059375,-54.328125
-22.0171875,-75.4875,-53.4703125
-22.303125,-74.915625,-52.6125
-22.875,-74.34375,-51.46875
-24.3046875,-74.34375,-50.0390625
-26.30625,-75.2015625,-48.8953125
-28.8796875,-77.203125,-48.3234375
-32.3109375,-80.0625,-47.7515625
-36.028125,-84.065625,-48.0375
-39.7453125,-88.3546875,-48.609375
-43.1765625,-92.64375,-49.4671875
-45.4640625,-96.646875,-51.1828125
-46.6078125,-99.7921875,-53.184375
-46.6078125,-101.5078125,-54.9
-44.8921875,-101.79375,-56.9015625
-42.31875,-100.9359375,-58.6171875
-38.6015625,-98.6484375,-60.046875
-34.5984375,-95.7890625,-61.190625
-30.88125,-92.9296875,-62.0484375
-27.7359375,-90.0703125,-62.334375
-25.4484375,-88.06875,-62.6203125
-24.590625,-87.496875,-62.90625
-24.590625,-88.06875,-63.478125
-25.734375,-89.784375,-64.05
-27.7359375,-92.3578125,-64.621875
-29.7375,-95.2171875,-65.4796875
-31.453125,-98.0765625,-66.6234375
-32.596875,-100.3640625,-67.7671875
-32.596875,-101.221875,-68.625
-31.453125,-100.9359375,-69.4828125
-29.4515625,-99.2203125,-69.76875
-26.5921875,-96.3609375,-69.76875
-23.446875,-92.64375,-69.196875
-20.3015625,-88.3546875,-68.053125
-17.4421875,-84.3515625,-66.909375
-15.440625,-81.20625,-65.765625
-14.296875,-78.91875,-64.621875
-14.5828125,-78.0609375,-63.478125
-15.7265625,-78.6328125,-62.90625
-17.728125,-80.0625,-62.334375
-20.3015625,-82.35,-62.0484375
-22.5890625,-84.9234375,-62.334375
-24.590625,-87.496875,-62.90625
-25.734375,-89.2125,-63.478125
-26.0203125,-90.0703125,-64.05
-25.4484375,-89.784375,-64.3359375
-23.7328125,-88.3546875,-64.621875
-21.73125,-86.353125,-64.621875
-19.44375,-84.065625,-64.621875
-17.4421875,-81.778125,-64.3359375
-16.0125,-80.0625,-64.05
-15.440625,-79.2046875,-63.7640625
-16.0125,-79.2046875,-63.1921875
-17.4421875,-80.634375,-63.1921875
-19.7296875,-82.921875,-63.1921875
-22.5890625,-85.4953125,-62.90625
-25.734375,-88.06875,-62.334375
-28.3078125,-90.35625,-62.0484375
-30.0234375,-91.5,-61.4765625
-30.5953125,-91.5,-60.9046875
-30.0234375,-90.0703125,-60.046875
-28.3078125,-87.496875,-59.1890625
-25.734375,-83.7796875,-58.0453125
-22.303125,-79.490625,-57.1875
-18.5859375,-75.4875,-56.9015625
-15.440625,-72.3421875,-56.9015625
-13.153125,-70.340625,-57.1875
-11.7234375,-69.76875,-58.0453125
-12.009375,-71.1984375,-59.1890625
-13.725,-74.0578125,-60.3328125
-16.2984375,-78.6328125,-62.334375
-20.015625,-83.7796875,-63.7640625
-24.01875,-89.2125,-65.19375
-28.021875,-94.0734375,-66.0515625
-31.1671875,-97.790625,-66.6234375
-33.16875,-99.7921875,-66.6234375
-33.740625,-100.3640625,-66.6234375
-32.8828125,-99.2203125,-66.3375
-30.5953125,-96.3609375,-65.765625
-27.45,-92.64375,-65.19375
-23.1609375,-88.06875,-64.9078125
-18.871875,-83.49375,-64.621875
-14.86875,-79.490625,-64.621875
-11.4375,-76.3453125,-64.9078125
-9.15,-74.34375,-65.19375
-7.7203125,-73.2,-65.4796875
-7.7203125,-73.2,-65.4796875
-8.8640625,-74.0578125,-65.19375
-10.865625,-75.2015625,-64.3359375
-13.4390625,-76.63125,-63.1921875
-16.2984375,-78.346875,-62.0484375
-19.44375,-79.7765625,-60.3328125
-22.303125,-80.9203125,-58.6171875
-25.1625,-82.0640625,-56.9015625
-27.7359375,-83.2078125,-55.471875
-30.0234375,-84.9234375,-54.9
-32.3109375,-86.6390625,-54.328125
-34.3125,-88.9265625,-54.6140625
-36.028125,-91.5,-55.471875
-37.4578125,-94.359375,-56.9015625
-38.8875,-97.21875,-58.33125
-39.7453125,-99.7921875,-60.046875
-40.3171875,-101.79375,-61.4765625
-40.3171875,-102.9375,-62.6203125
-39.459375,-103.2234375,-63.7640625
-38.0296875,-102.0796875,-64.05
-35.7421875,-99.7921875,-64.05
-32.8828125,-96.646875,-63.7640625
-29.4515625,-92.64375,-63.1921875
-26.0203125,-88.06875,-62.0484375
-22.303125,-83.49375,-61.190625
-18.5859375,-79.2046875,-60.61875
-15.440625,-75.2015625,-59.7609375
-12.58125,-71.7703125,-59.1890625
-10.5796875,-69.196875,-58.6171875
-9.15,-67.1953125,-58.0453125
