LEFT,RIGHT,DIFF
-115.8046875,-129.5296875,-13.725
-120.9515625,-136.3921875,-15.440625
-127.2421875,-144.1125,-16.8703125
-134.1046875,-151.8328125,-17.728125
-140.68125,-158.98125,-18.3
-146.1140625,-164.7,-18.5859375
-150.1171875,-168.703125,-18.5859375
-152.690625,-170.7046875,-18.0140625
-153.5484375,-170.990625,-17.4421875
-152.9765625,-169.5609375,-16.584375
-150.975,-166.7015625,-15.7265625
-148.115625,-162.984375,-14.86875
-144.9703125,-158.98125,-14.0109375
-141.825,-154.978125,-13.153125
-138.965625,-151.546875,-12.58125
-136.678125,-148.6875,-12.009375
-135.2484375,-146.6859375,-11.4375
-134.6765625,-145.5421875,-10.865625
-134.9625,-145.25625,-10.29375
-135.8203125,-145.5421875,-9.72187500000001
-136.9640625,-146.1140625,-9.15000000000001
-138.39375,-146.6859375,-8.29218749999998
-139.5375,-147.54375,-8.00625000000002
-140.3953125,-147.8296875,-7.43437499999999
-140.9671875,-147.8296875,-6.86250000000001
-140.68125,-147.54375,-6.86250000000001
-140.109375,-146.971875,-6.86250000000001
-139.2515625,-146.1140625,-6.86250000000001
-138.1078125,-145.5421875,-7.43437500000002
-136.9640625,-144.9703125,-8.00624999999999
-136.3921875,-144.9703125,-8.578125
-135.8203125,-145.5421875,-9.72187500000001
-135.8203125,-146.4,-10.5796875
-136.3921875,-147.8296875,-11.4375
-137.25,-149.259375,-12.009375
-138.1078125,-151.2609375,-13.153125
-138.965625,-152.690625,-13.725
-139.5375,-154.40625,-14.86875
-139.8234375,-155.2640625,-15.440625
-140.109375,-156.121875,-16.0125
-140.109375,-156.69375,-16.584375
-140.3953125,-157.5515625,-17.15625
-141.253125,-158.6953125,-17.4421875
-142.96875,-160.696875,-17.728125
-146.1140625,-163.55625,-17.4421875
-150.975,-168.13125,-17.15625
-157.265625,-173.85,-16.584375
-164.9859375,-180.7125,-15.7265625
-173.85,-188.4328125,-14.5828125
-183.2859375,-196.4390625,-13.153125
-192.4359375,-204.159375,-11.7234375
-200.728125,-210.7359375,-10.0078125
-207.3046875,-215.596875,-8.29218750000001
-212.165625,-218.45625,-6.29062500000001
-214.453125,-218.7421875,-4.2890625
-214.453125,-216.4546875,-2.00156250000001
-212.7375,-212.165625,0.571875000000006
-209.30625,-205.875,3.43125000000001
-205.303125,-198.7265625,6.57656249999999
-200.728125,-191.2921875,9.43593749999999
-196.725,-183.8578125,12.8671875
-193.5796875,-177.5671875,16.0125
-191.00625,-172.134375,18.871875
-189.290625,-168.13125,21.159375
-188.146875,-164.9859375,23.1609375
-187.003125,-162.6984375,24.3046875
-185.5734375,-160.696875,24.8765625
-183.571875,-158.98125,24.590625
-180.4265625,-156.69375,23.7328125
-176.4234375,-154.1203125,22.303125
-171.5625,-150.975,20.5875
-166.415625,-147.54375,18.871875
-161.5546875,-144.3984375,17.15625
-157.265625,-141.5390625,15.7265625
-154.40625,-139.2515625,15.1546875
-153.2625,-138.39375,14.86875
-153.834375,-138.965625,14.86875
-155.8359375,-140.68125,15.1546875
-159.2671875,-143.540625,15.7265625
-163.55625,-146.971875,16.584375
-167.559375,-150.6890625,16.8703125
-171.2765625,-153.834375,17.4421875
-173.278125,-156.121875,17.15625
