LEFT,RIGHT,DIFF
-116.6625,-150.6890625,-34.0265625
-113.803125,-148.4015625,-34.5984375
-110.371875,-145.5421875,-35.1703125
-106.6546875,-142.6828125,-36.028125
-103.2234375,-139.5375,-36.3140625
-99.7921875,-136.678125,-36.8859375
-96.9328125,-134.390625,-37.4578125
-95.2171875,-132.675,-37.4578125
-94.359375,-132.103125,-37.74375
-94.6453125,-132.3890625,-37.74375
-96.075,-134.1046875,-38.0296875
-98.6484375,-136.678125,-38.0296875
-102.0796875,-139.8234375,-37.74375
-105.796875,-143.540625,-37.74375
-110.0859375,-147.2578125,-37.171875
-113.803125,-150.6890625,-36.8859375
-117.234375,-153.834375,-36.6
-120.09375,-156.121875,-36.028125
-122.0953125,-157.265625,-35.1703125
-123.2390625,-157.8375,-34.5984375
-123.525,-157.5515625,-34.0265625
-123.2390625,-156.4078125,-33.16875
-122.0953125,-154.978125,-32.8828125
-120.3796875,-152.9765625,-32.596875
-118.378125,-150.6890625,-32.3109375
-116.3765625,-148.4015625,-32.025
-114.0890625,-146.6859375,-32.596875
-111.8015625,-145.25625,-33.4546875
-109.8,-144.3984375,-34.5984375
-108.084375,-144.1125,-36.028125
-107.2265625,-144.684375,-37.4578125
-106.940625,-145.828125,-38.8875
-107.2265625,-147.54375,-40.3171875
-108.084375,-149.5453125,-41.4609375
-109.5140625,-151.546875,-42.0328125
-111.515625,-153.5484375,-42.0328125
-113.23125,-154.6921875,-41.4609375
-114.6609375,-155.2640625,-40.603125
-115.51875,-154.6921875,-39.1734375
-115.8046875,-153.2625,-37.4578125
-115.2328125,-151.2609375,-36.028125
-114.0890625,-148.4015625,-34.3125
-112.3734375,-145.5421875,-33.16875
-110.6578125,-142.6828125,-32.025
-108.9421875,-140.3953125,-31.453125
-107.5125,-138.965625,-31.453125
-106.6546875,-138.39375,-31.7390625
-106.6546875,-138.39375,-31.7390625
-107.2265625,-138.965625,-31.7390625
-108.084375,-139.8234375,-31.7390625
-108.9421875,-140.68125,-31.7390625
-109.8,-141.253125,-31.453125
-110.371875,-141.253125,-30.88125
-110.0859375,-140.68125,-30.5953125
-109.228125,-139.5375,-30.309375
-107.7984375,-138.39375,-30.5953125
-106.36875,-137.25,-30.88125
-105.225,-136.9640625,-31.7390625
-104.3671875,-137.25,-32.8828125
-104.3671875,-138.39375,-34.0265625
-105.5109375,-140.68125,-35.1703125
-107.5125,-143.8265625,-36.3140625
-110.0859375,-146.971875,-36.8859375
-112.9453125,-150.1171875,-37.171875
