LEFT,RIGHT,DIFF
-47.1796875,-22.875,24.3046875
-46.6078125,-21.73125,24.8765625
-45.4640625,-20.5875,24.8765625
-44.3203125,-18.871875,25.4484375
-42.890625,-17.728125,25.1625
-42.31875,-17.15625,25.1625
-42.31875,-17.15625,25.1625
-43.4625,-18.3,25.1625
-45.178125,-20.015625,25.1625
-47.7515625,-22.0171875,25.734375
-50.6109375,-24.3046875,26.30625
-53.75625,-26.30625,27.45
-56.04375,-27.7359375,28.3078125
-57.759375,-28.021875,29.7375
-58.33125,-27.7359375,30.5953125
-58.0453125,-26.30625,31.7390625
-56.615625,-24.590625,32.025
-54.9,-22.303125,32.596875
-52.8984375,-20.5875,32.3109375
-51.1828125,-19.1578125,32.025
-50.0390625,-18.5859375,31.453125
-50.0390625,-19.1578125,30.88125
-50.896875,-20.5875,30.309375
-53.184375,-23.1609375,30.0234375
-56.04375,-26.30625,29.7375
-59.1890625,-29.7375,29.4515625
-62.6203125,-32.8828125,29.7375
-65.4796875,-35.1703125,30.309375
-67.1953125,-36.6,30.5953125
-68.053125,-36.8859375,31.1671875
-67.7671875,-35.7421875,32.025
-66.0515625,-33.4546875,32.596875
-63.1921875,-30.309375,32.8828125
-59.7609375,-26.5921875,33.16875
-56.3296875,-22.5890625,33.740625
-52.8984375,-19.1578125,33.740625
-50.0390625,-16.2984375,33.740625
-48.0375,-14.5828125,33.4546875
-47.1796875,-13.725,33.4546875
-47.1796875,-14.0109375,33.16875
-48.3234375,-15.1546875,33.16875
-49.753125,-16.8703125,32.8828125
-51.7546875,-19.1578125,32.596875
-53.4703125,-21.4453125,32.025
-55.1859375,-23.7328125,31.453125
-56.04375,-25.734375,30.309375
-56.615625,-27.45,29.165625
-56.615625,-28.3078125,28.3078125
-56.04375,-28.59375,27.45
-55.471875,-28.59375,26.878125
-54.6140625,-28.3078125,26.30625
-54.328125,-27.7359375,26.5921875
-54.0421875,-26.878125,27.1640625
-54.0421875,-26.0203125,28.021875
-54.6140625,-25.4484375,29.165625
-55.471875,-24.8765625,30.5953125
-56.3296875,-24.590625,31.7390625
-57.1875,-24.3046875,32.8828125
-57.759375,-24.3046875,33.4546875
-58.0453125,-24.3046875,33.740625
-58.0453125,-24.3046875,33.740625
-57.4734375,-24.3046875,33.16875
-56.9015625,-24.3046875,32.596875
-55.7578125,-24.3046875,31.453125
-54.6140625,-24.3046875,30.309375
-53.75625,-24.3046875,29.4515625
-53.184375,-24.3046875,28.8796875
-52.8984375,-24.3046875,28.59375
-53.4703125,-24.590625,28.8796875
-54.328125,-24.8765625,29.4515625
-55.7578125,-25.1625,30.5953125
-57.759375,-26.0203125,31.7390625
-60.046875,-26.5921875,33.4546875
-62.334375,-27.7359375,34.5984375
-64.621875,-28.8796875,35.7421875
-66.909375,-30.0234375,36.8859375
-68.625,-31.1671875,37.4578125
-70.0546875,-32.596875,37.4578125
-71.1984375,-33.4546875,37.74375
-71.7703125,-34.0265625,37.74375
-71.7703125,-34.3125,37.4578125
-71.1984375,-34.0265625,37.171875
-70.340625,-33.4546875,36.8859375
-69.4828125,-32.596875,36.8859375
-68.053125,-31.453125,36.6
-66.909375,-30.309375,36.6
-65.765625,-29.165625,36.6
-64.9078125,-28.3078125,36.6
-64.621875,-28.021875,36.6
-64.621875,-28.3078125,36.3140625
-65.19375,-29.165625,36.028125
-66.0515625,-30.309375,35.7421875
-67.48125,-31.7390625,35.7421875
-68.9109375,-33.16875,35.7421875
-70.0546875,-34.3125,35.7421875
-71.1984375,-35.1703125,36.028125
-71.484375,-35.45625,36.028125
-71.1984375,-34.884375,36.3140625
-70.340625,-34.0265625,36.3140625
-68.9109375,-32.8828125,36.028125
-67.1953125,-31.453125,35.7421875
-65.19375,-30.309375,34.884375
-63.7640625,-30.0234375,33.740625
-62.90625,-30.309375,32.596875
-63.1921875,-32.025,31.1671875
-64.3359375,-34.5984375,29.7375
-66.909375,-38.315625,28.59375
-70.340625,-42.6046875,27.7359375
-74.34375,-47.1796875,27.1640625
-78.91875,-51.1828125,27.7359375
-82.921875,-54.328125,28.59375
-86.353125,-56.3296875,30.0234375
-88.3546875,-56.9015625,31.453125
-89.2125,-55.7578125,33.4546875
-88.3546875,-53.184375,35.1703125
-86.0671875,-49.753125,36.3140625
-82.6359375,-45.75,36.8859375
-78.91875,-42.0328125,36.8859375
-75.2015625,-38.8875,36.3140625
-72.3421875,-37.171875,35.1703125
-70.340625,-37.171875,33.16875
-70.0546875,-38.6015625,31.453125
-71.484375,-41.746875,29.7375
-74.34375,-46.321875,28.021875
-78.346875,-51.1828125,27.1640625
-83.2078125,-56.3296875,26.878125
-87.7828125,-60.61875,27.1640625
-91.7859375,-63.7640625,28.021875
-94.93125,-65.4796875,29.4515625
-96.646875,-65.19375,31.453125
-96.646875,-63.478125,33.16875
-95.2171875,-60.3328125,34.884375
-92.9296875,-56.3296875,36.6
-89.784375,-52.040625,37.74375
-86.353125,-48.0375,38.315625
-83.49375,-44.60625,38.8875
-81.20625,-42.31875,38.8875
-79.7765625,-41.4609375,38.315625
-79.490625,-41.4609375,38.0296875
-80.3484375,-42.890625,37.4578125
-81.778125,-44.60625,37.171875
-83.49375,-46.6078125,36.8859375
-85.209375,-48.3234375,36.8859375
-86.353125,-49.4671875,36.8859375
-86.925,-49.753125,37.171875
-86.6390625,-49.18125,37.4578125
-85.4953125,-47.7515625,37.74375
-83.49375,-46.0359375,37.4578125
-80.9203125,-43.7484375,37.171875
-78.346875,-41.746875,36.6
-76.059375,-40.03125,36.028125
-74.34375,-39.1734375,35.1703125
-73.4859375,-39.1734375,34.3125
-73.4859375,-40.03125,33.4546875
-74.34375,-41.746875,32.596875
-76.059375,-44.034375,32.025
-78.0609375,-46.321875,31.7390625
-80.3484375,-48.8953125,31.453125
-82.6359375,-50.6109375,32.025
-84.065625,-52.040625,32.025
-84.9234375,-52.6125,32.3109375
-85.209375,-52.6125,32.596875
-84.3515625,-51.7546875,32.596875
-82.6359375,-50.6109375,32.025
-80.634375,-49.18125,31.453125
-78.346875,-48.0375,30.309375
-76.3453125,-47.1796875,29.165625
-74.915625,-46.6078125,28.3078125
-73.771875,-46.89375,26.878125
-73.4859375,-47.465625,26.0203125
-74.0578125,-48.609375,25.4484375
-75.2015625,-49.753125,25.4484375
-76.63125,-50.6109375,26.0203125
-78.0609375,-51.1828125,26.878125
-78.91875,-50.6109375,28.3078125
-79.2046875,-49.18125,30.0234375
-78.91875,-46.89375,32.025
-77.4890625,-43.7484375,33.740625
-75.4875,-40.03125,35.45625
-72.9140625,-36.028125,36.8859375
-70.340625,-32.596875,37.74375
-68.053125,-29.7375,38.315625
-66.3375,-28.3078125,38.0296875
-66.0515625,-28.021875,38.0296875
-66.6234375,-29.165625,37.4578125
-68.625,-31.7390625,36.8859375
-71.484375,-35.1703125,36.3140625
-74.915625,-39.1734375,35.7421875
-78.6328125,-43.1765625,35.45625
-81.778125,-46.6078125,35.1703125
-83.7796875,-49.18125,34.5984375
-84.3515625,-50.325,34.0265625
-83.49375,-50.0390625,33.4546875
-81.4921875,-48.8953125,32.596875
-78.346875,-47.1796875,31.1671875
-75.2015625,-45.178125,30.0234375
