LEFT,RIGHT,DIFF
-87.2109375,-114.946875,-27.7359375
-84.9234375,-112.0875,-27.1640625
-83.49375,-109.5140625,-26.0203125
-82.6359375,-107.7984375,-25.1625
-82.0640625,-106.6546875,-24.590625
-81.778125,-106.36875,-24.590625
-81.778125,-106.36875,-24.590625
-81.4921875,-106.36875,-24.8765625
-80.9203125,-106.940625,-26.0203125
-80.0625,-107.2265625,-27.1640625
-79.2046875,-107.5125,-28.3078125
-78.0609375,-108.084375,-30.0234375
-77.4890625,-108.3703125,-30.88125
-76.9171875,-108.65625,-31.7390625
-76.9171875,-108.9421875,-32.025
-77.4890625,-109.228125,-31.7390625
-78.346875,-109.5140625,-31.1671875
-79.490625,-109.5140625,-30.0234375
-80.9203125,-109.228125,-28.3078125
-82.0640625,-108.65625,-26.5921875
-82.921875,-107.5125,-24.590625
-83.2078125,-106.0828125,-22.875
-82.921875,-104.653125,-21.73125
-82.35,-102.6515625,-20.3015625
-81.20625,-101.221875,-20.015625
-80.3484375,-100.078125,-19.7296875
-79.490625,-99.50625,-20.015625
-78.91875,-100.078125,-21.159375
-79.2046875,-101.221875,-22.0171875
-80.0625,-103.2234375,-23.1609375
-81.20625,-105.5109375,-24.3046875
-82.921875,-108.3703125,-25.4484375
-84.6375,-111.2296875,-26.5921875
-86.353125,-113.5171875,-27.1640625
-87.496875,-115.2328125,-27.7359375
-87.7828125,-116.090625,-28.3078125
-87.496875,-115.8046875,-28.3078125
-86.353125,-114.946875,-28.59375
-84.6375,-113.23125,-28.59375
-82.35,-110.94375,-28.59375
-80.0625,-108.65625,-28.59375
-78.0609375,-106.6546875,-28.59375
-76.3453125,-104.9390625,-28.59375
-75.2015625,-103.7953125,-28.59375
-74.915625,-103.509375,-28.59375
-75.2015625,-103.7953125,-28.59375
-76.059375,-104.653125,-28.59375
-77.203125,-105.796875,-28.59375
-78.346875,-107.5125,-29.165625
-79.7765625,-109.228125,-29.4515625
-80.9203125,-110.6578125,-29.7375
-82.0640625,-112.0875,-30.0234375
-82.6359375,-113.5171875,-30.88125
-83.49375,-114.6609375,-31.1671875
-83.7796875,-115.8046875,-32.025
-84.3515625,-116.9484375,-32.596875
-84.9234375,-118.0921875,-33.16875
