LEFT,RIGHT,DIFF
-34.5984375,-4.575,30.0234375
-40.03125,-10.29375,29.7375
-44.3203125,-15.7265625,28.59375
-47.7515625,-19.7296875,28.021875
-49.753125,-22.875,26.878125
-50.6109375,-24.3046875,26.30625
-50.0390625,-24.590625,25.4484375
-48.8953125,-23.7328125,25.1625
-47.1796875,-22.303125,24.8765625
-45.4640625,-20.3015625,25.1625
-43.7484375,-18.5859375,25.1625
-42.6046875,-16.8703125,25.734375
-42.0328125,-16.0125,26.0203125
-41.4609375,-15.1546875,26.30625
-41.4609375,-15.440625,26.0203125
-41.746875,-16.0125,25.734375
-42.31875,-17.15625,25.1625
-43.1765625,-18.871875,24.3046875
-44.3203125,-21.4453125,22.875
-45.75,-24.01875,21.73125
-48.0375,-27.1640625,20.8734375
-50.6109375,-30.309375,20.3015625
-53.4703125,-33.4546875,20.015625
-56.3296875,-35.7421875,20.5875
-59.1890625,-37.4578125,21.73125
-61.190625,-38.0296875,23.1609375
-62.334375,-37.4578125,24.8765625
-62.0484375,-35.45625,26.5921875
-60.61875,-32.596875,28.021875
-58.0453125,-28.8796875,29.165625
-54.328125,-24.8765625,29.4515625
-50.325,-21.4453125,28.8796875
-46.321875,-18.5859375,27.7359375
-43.1765625,-17.15625,26.0203125
-41.175,-17.15625,24.01875
-40.603125,-18.5859375,22.0171875
-41.4609375,-21.159375,20.3015625
-43.4625,-24.590625,18.871875
-46.321875,-28.021875,18.3
-48.8953125,-30.88125,18.0140625
-50.896875,-32.3109375,18.5859375
-51.46875,-32.3109375,19.1578125
-50.325,-30.0234375,20.3015625
-47.7515625,-26.30625,21.4453125
-43.4625,-21.4453125,22.0171875
-38.315625,-15.7265625,22.5890625
-32.8828125,-10.29375,22.5890625
-28.021875,-6.0046875,22.0171875
-24.590625,-3.1453125,21.4453125
-23.446875,-2.5734375,20.8734375
-24.3046875,-4.2890625,20.015625
-27.45,-7.434375,20.015625
-32.025,-12.2953125,19.7296875
-37.74375,-17.4421875,20.3015625
-43.4625,-22.0171875,21.4453125
-48.3234375,-25.734375,22.5890625
-51.46875,-27.45,24.01875
-52.040625,-27.1640625,24.8765625
-50.325,-24.590625,25.734375
-46.321875,-20.015625,26.30625
-40.603125,-14.5828125,26.0203125
-34.0265625,-8.578125,25.4484375
-27.1640625,-2.859375,24.3046875
-21.159375,1.715625,22.875
-16.8703125,4.575,21.4453125
-14.5828125,6.0046875,20.5875
-14.296875,5.146875,19.44375
-16.0125,2.859375,18.871875
-19.7296875,-0.2859375,19.44375
-24.01875,-4.2890625,19.7296875
-29.165625,-8.2921875,20.8734375
-33.740625,-12.009375,21.73125
-37.4578125,-14.5828125,22.875
-40.3171875,-16.2984375,24.01875
-41.746875,-17.15625,24.590625
-42.0328125,-17.15625,24.8765625
-41.4609375,-16.584375,24.8765625
-40.3171875,-15.440625,24.8765625
-38.8875,-14.0109375,24.8765625
-37.171875,-12.8671875,24.3046875
-35.45625,-11.7234375,23.7328125
-33.740625,-10.5796875,23.1609375
-32.025,-9.4359375,22.5890625
-30.309375,-8.00625,22.303125
-28.3078125,-6.8625,21.4453125
-26.0203125,-5.146875,20.8734375
-23.446875,-3.43125,20.015625
-20.5875,-2.0015625,18.5859375
-18.0140625,-0.2859375,17.728125
-15.7265625,0.571875,16.2984375
-13.725,1.14375,14.86875
-12.58125,1.4296875,14.0109375
-12.009375,1.4296875,13.4390625
-12.2953125,0.8578125,13.153125
-12.8671875,0.2859375,13.153125
-14.0109375,0.0,14.0109375
-14.86875,0.0,14.86875
-15.1546875,0.2859375,15.440625
-15.1546875,1.14375,16.2984375
-14.0109375,2.5734375,16.584375
-12.58125,4.2890625,16.8703125
-10.865625,5.71875,16.584375
-9.15,6.290625,15.440625
-8.00625,5.71875,13.725
-8.2921875,3.43125,11.7234375
-10.0078125,-0.571875,9.4359375
-14.296875,-7.434375,6.8625
-20.5875,-16.2984375,4.2890625
-29.165625,-27.1640625,2.0015625
-39.7453125,-39.1734375,0.571875000000006
-51.46875,-52.3265625,-0.857812500000001
-64.05,-64.9078125,-0.857812500000009
-76.059375,-76.9171875,-0.857812499999994
-87.2109375,-86.925,0.285937500000003
-96.3609375,-94.359375,2.00156250000001
-103.2234375,-99.2203125,4.003125
-107.5125,-100.9359375,6.57656249999999
-108.65625,-99.50625,9.14999999999999
-107.2265625,-95.2171875,12.009375
-103.509375,-88.640625,14.86875
-97.790625,-80.3484375,17.4421875
-90.6421875,-70.9125,19.7296875
-82.6359375,-60.9046875,21.73125
-74.6296875,-51.1828125,23.446875
-66.6234375,-42.0328125,24.590625
-59.1890625,-33.4546875,25.734375
-52.3265625,-26.30625,26.0203125
-46.0359375,-20.015625,26.0203125
-40.603125,-14.5828125,26.0203125
-35.7421875,-10.5796875,25.1625
-31.1671875,-7.1484375,24.01875
-27.45,-4.575,22.875
-24.01875,-2.859375,21.159375
-21.159375,-1.715625,19.44375
-18.871875,-0.8578125,18.0140625
-16.8703125,-0.8578125,16.0125
-15.7265625,-1.14375,14.5828125
-15.1546875,-1.715625,13.4390625
-15.1546875,-2.859375,12.2953125
-15.7265625,-4.003125,11.7234375
-16.8703125,-5.146875,11.7234375
-18.0140625,-6.5765625,11.4375
-19.44375,-7.434375,12.009375
-20.8734375,-8.2921875,12.58125
-22.303125,-8.8640625,13.4390625
-23.1609375,-9.15,14.0109375
-24.01875,-9.15,14.86875
-24.3046875,-9.15,15.1546875
-24.01875,-8.578125,15.440625
-23.7328125,-8.2921875,15.440625
-22.875,-7.7203125,15.1546875
-21.4453125,-6.8625,14.5828125
-20.015625,-6.0046875,14.0109375
-18.0140625,-4.8609375,13.153125
-15.7265625,-3.7171875,12.009375
-13.4390625,-2.0015625,11.4375
-10.865625,-0.2859375,10.5796875
-8.00625,1.4296875,9.4359375
-5.71875,3.43125,9.15
-3.43125,5.146875,8.578125
-1.715625,6.5765625,8.2921875
-0.571875,7.1484375,7.7203125
-0.2859375,7.1484375,7.434375
-0.8578125,6.0046875,6.8625
-2.2875,4.003125,6.290625
-4.2890625,1.4296875,5.71875
-6.8625,-1.14375,5.71875
-9.721875,-4.2890625,5.4328125
-12.2953125,-7.1484375,5.146875
-14.296875,-9.15,5.146875
-15.440625,-10.29375,5.146875
-16.0125,-10.29375,5.71875
-15.7265625,-8.8640625,6.8625
-14.5828125,-6.8625,7.7203125
-13.153125,-4.2890625,8.8640625
-11.4375,-1.4296875,10.0078125
-10.0078125,1.14375,11.1515625
-8.8640625,3.1453125,12.009375
-8.578125,4.2890625,12.8671875
-8.8640625,4.2890625,13.153125
-10.0078125,3.43125,13.4390625
-11.4375,2.0015625,13.4390625
-13.153125,0.571875,13.725
-14.296875,-0.571875,13.725
-14.5828125,-1.4296875,13.153125
-13.725,-0.8578125,12.8671875
-11.7234375,0.571875,12.2953125
-8.578125,3.43125,12.009375
-4.2890625,7.1484375,11.4375
0.0,11.4375,11.4375
4.575,15.440625,10.865625
8.2921875,18.5859375,10.29375
10.865625,20.015625,9.15
11.1515625,19.1578125,8.00625
9.15,16.2984375,7.1484375
5.4328125,11.1515625,5.71875
0.0,4.575,4.575
-7.1484375,-3.1453125,4.003125
-14.296875,-11.1515625,3.1453125
-21.159375,-18.3,2.859375
-26.5921875,-24.01875,2.5734375
-30.0234375,-27.1640625,2.859375
-30.88125,-28.021875,2.859375
-29.165625,-26.0203125,3.1453125
-24.8765625,-21.73125,3.1453125
-19.1578125,-16.0125,3.1453125
-12.2953125,-9.4359375,2.859375
-5.4328125,-3.1453125,2.2875
0.2859375,1.715625,1.4296875
4.8609375,5.146875,0.2859375
7.434375,6.290625,-1.14375
7.7203125,5.146875,-2.5734375
6.290625,2.2875,-4.003125
3.43125,-1.715625,-5.146875
-0.2859375,-6.290625,-6.0046875
-4.003125,-10.5796875,-6.5765625
-6.8625,-14.0109375,-7.1484375
-8.578125,-15.440625,-6.8625
-8.578125,-15.1546875,-6.5765625
-6.8625,-12.8671875,-6.0046875
-3.7171875,-8.8640625,-5.146875
0.0,-4.003125,-4.003125
4.575,0.571875,-4.003125
8.8640625,5.146875,-3.7171875
12.009375,8.2921875,-3.7171875
13.725,10.0078125,-3.7171875
13.725,9.721875,-4.003125
12.2953125,7.7203125,-4.575
9.4359375,4.575,-4.8609375
6.0046875,0.571875,-5.4328125
2.0015625,-3.43125,-5.4328125
-1.14375,-6.8625,-5.71875
-3.43125,-9.4359375,-6.0046875
-4.2890625,-10.29375,-6.0046875
-4.003125,-9.4359375,-5.4328125
-1.715625,-7.1484375,-5.4328125
1.14375,-3.43125,-4.575
5.4328125,0.571875,-4.8609375
10.0078125,4.8609375,-5.146875
14.296875,9.15,-5.146875
18.0140625,12.58125,-5.4328125
20.8734375,14.5828125,-6.290625
22.5890625,15.7265625,-6.8625
23.1609375,15.7265625,-7.434375
22.5890625,14.5828125,-8.00625
21.159375,12.58125,-8.578125
19.1578125,10.5796875,-8.578125
16.8703125,8.2921875,-8.578125
14.5828125,6.290625,-8.2921875
12.2953125,4.575,-7.7203125
10.5796875,3.1453125,-7.434375
9.15,2.2875,-6.8625
8.2921875,1.715625,-6.5765625
8.00625,1.4296875,-6.5765625
8.2921875,1.4296875,-6.8625
8.8640625,1.715625,-7.1484375
10.0078125,2.2875,-7.7203125
11.4375,2.859375,-8.578125
13.4390625,4.2890625,-9.15
16.0125,6.0046875,-10.0078125
18.871875,8.578125,-10.29375
22.303125,11.7234375,-10.5796875
26.30625,15.440625,-10.865625
30.309375,20.015625,-10.29375
34.5984375,25.1625,-9.4359375
38.8875,30.309375,-8.578125
42.890625,35.45625,-7.434375
46.6078125,40.3171875,-6.290625
49.753125,44.3203125,-5.4328125
52.040625,47.465625,-4.575
53.4703125,49.753125,-3.71718749999999
54.328125,50.6109375,-3.7171875
54.0421875,50.6109375,-3.43125000000001
53.184375,49.4671875,-3.7171875
51.46875,47.465625,-4.003125
49.4671875,45.178125,-4.2890625
46.89375,42.6046875,-4.2890625
44.60625,40.03125,-4.575
42.6046875,38.315625,-4.2890625
40.8890625,37.171875,-3.7171875
40.03125,37.171875,-2.859375
40.3171875,38.0296875,-2.2875
41.175,39.7453125,-1.4296875
42.6046875,42.0328125,-0.571875000000006
44.8921875,45.178125,0.285937500000003
47.465625,48.0375,0.571874999999999
50.0390625,51.1828125,1.14375
52.3265625,53.4703125,1.14375
53.75625,55.471875,1.715625
54.6140625,56.3296875,1.715625
54.6140625,56.615625,2.0015625
54.0421875,56.3296875,2.2875
52.6125,55.1859375,2.5734375
50.896875,54.0421875,3.1453125
49.18125,53.184375,4.003125
47.7515625,52.3265625,4.575
46.89375,52.3265625,5.4328125
46.6078125,52.6125,6.0046875
47.465625,54.0421875,6.5765625
48.8953125,55.7578125,6.8625
50.896875,57.759375,6.8625
53.184375,60.046875,6.8625
55.471875,62.334375,6.8625
57.759375,64.621875,6.8625
59.475,66.0515625,6.5765625
60.61875,67.1953125,6.57656249999999
61.190625,67.7671875,6.5765625
61.190625,68.053125,6.8625
60.9046875,67.7671875,6.8625
60.046875,67.1953125,7.1484375
59.1890625,66.6234375,7.434375
58.33125,65.765625,7.434375
57.4734375,64.9078125,7.434375
56.9015625,63.7640625,6.8625
56.04375,62.6203125,6.5765625
55.1859375,61.4765625,6.290625
54.0421875,60.046875,6.0046875
52.8984375,58.33125,5.4328125
51.1828125,56.9015625,5.71875
49.753125,55.1859375,5.4328125
48.0375,54.0421875,6.0046875
46.321875,52.8984375,6.5765625
45.178125,52.040625,6.8625
44.60625,51.7546875,7.1484375
44.3203125,52.040625,7.7203125
44.8921875,52.6125,7.72031250000001
46.321875,53.75625,7.434375
48.3234375,54.9,6.5765625
50.6109375,56.04375,5.4328125
53.184375,57.4734375,4.2890625
56.04375,58.6171875,2.5734375
58.6171875,59.7609375,1.14375
60.9046875,61.190625,0.285937500000003
63.1921875,62.334375,-0.857812500000001
64.9078125,64.05,-0.857812500000009
66.6234375,65.765625,-0.857812500000009
68.053125,67.7671875,-0.285937500000003
69.4828125,70.340625,0.857812499999994
70.6265625,72.628125,2.00156249999999
71.484375,74.915625,3.43125000000001
72.05625,76.63125,4.575
72.628125,77.4890625,4.86093750000001
72.3421875,77.775,5.4328125
71.484375,76.63125,5.14687500000001
70.340625,74.6296875,4.2890625
68.3390625,71.484375,3.1453125
66.3375,68.053125,1.715625
63.7640625,64.05,0.285937499999996
61.4765625,60.61875,-0.857812499999994
59.475,57.759375,-1.715625
58.33125,56.3296875,-2.0015625
57.759375,56.04375,-1.715625
58.33125,57.1875,-1.14375
59.7609375,59.475,-0.285937500000003
61.7625,62.90625,1.14375
64.3359375,66.6234375,2.28750000000001
66.909375,70.340625,3.43125000000001
69.4828125,73.2,3.71718749999999
70.9125,75.2015625,4.2890625
71.7703125,76.059375,4.2890625
71.484375,75.2015625,3.71718750000001
70.0546875,73.2,3.1453125
68.053125,70.0546875,2.00156249999999
65.19375,66.6234375,1.4296875
62.334375,63.1921875,0.857812500000001
59.475,60.046875,0.571874999999999
57.4734375,58.33125,0.857812500000001
56.04375,57.4734375,1.4296875
56.04375,58.33125,2.2875
56.9015625,60.3328125,3.43125
58.6171875,63.1921875,4.575
61.190625,66.6234375,5.4328125
64.05,70.0546875,6.0046875
66.6234375,72.9140625,6.29062499999999
68.9109375,74.6296875,5.71875
70.340625,75.2015625,4.86093750000001
70.6265625,74.6296875,4.003125
70.0546875,72.3421875,2.28750000000001
68.625,69.196875,0.571875000000006
66.6234375,65.19375,-1.4296875
63.7640625,61.190625,-2.5734375
61.190625,57.4734375,-3.7171875
58.903125,54.328125,-4.575
56.9015625,52.040625,-4.86093750000001
55.7578125,51.1828125,-4.575
55.471875,51.1828125,-4.2890625
56.04375,52.3265625,-3.7171875
57.1875,54.0421875,-3.1453125
58.33125,56.04375,-2.2875
59.7609375,58.0453125,-1.715625
60.9046875,59.7609375,-1.14375
61.7625,60.9046875,-0.857812500000001
62.0484375,61.190625,-0.857812500000001
61.4765625,60.61875,-0.857812499999994
60.61875,59.7609375,-0.857812500000001
59.475,58.33125,-1.14375
58.0453125,57.1875,-0.857812500000001
56.9015625,55.7578125,-1.14375
56.3296875,55.1859375,-1.14375
56.3296875,54.9,-1.4296875
56.9015625,55.1859375,-1.715625
58.0453125,55.7578125,-2.2875
59.475,56.9015625,-2.5734375
60.9046875,57.759375,-3.1453125
62.334375,58.6171875,-3.7171875
62.90625,58.6171875,-4.2890625
62.90625,57.759375,-5.14687499999999
61.4765625,56.04375,-5.4328125
59.1890625,53.184375,-6.0046875
55.471875,49.753125,-5.71875
51.1828125,45.75,-5.4328125
46.6078125,41.4609375,-5.146875
41.746875,37.171875,-4.575
37.4578125,33.740625,-3.7171875
34.3125,30.88125,-3.43125
32.025,29.4515625,-2.5734375
31.1671875,28.8796875,-2.2875
31.453125,29.4515625,-2.0015625
32.8828125,31.1671875,-1.715625
35.1703125,33.740625,-1.4296875
37.74375,36.3140625,-1.4296875
40.3171875,39.1734375,-1.14375
42.31875,41.4609375,-0.857812500000001
43.4625,43.1765625,-0.285937499999996
43.7484375,44.034375,0.285937500000003
43.1765625,43.7484375,0.571874999999999
41.746875,42.890625,1.14375
39.7453125,41.175,1.4296875
37.4578125,39.1734375,1.715625
35.45625,36.8859375,1.4296875
33.740625,34.884375,1.14375
32.8828125,33.4546875,0.571874999999999
32.8828125,32.3109375,-0.571874999999999
33.4546875,31.7390625,-1.715625
34.5984375,31.453125,-3.1453125
36.3140625,31.7390625,-4.575
37.74375,32.3109375,-5.4328125
38.8875,32.8828125,-6.0046875
39.7453125,32.8828125,-6.8625
39.459375,32.596875,-6.8625
38.315625,32.025,-6.29062500000001
36.6,30.88125,-5.71875
34.3125,29.4515625,-4.8609375
31.453125,27.7359375,-3.7171875
28.8796875,26.0203125,-2.859375
26.0203125,24.590625,-1.4296875
24.01875,23.7328125,-0.285937499999999
22.303125,23.1609375,0.857812499999998
21.4453125,23.1609375,1.715625
21.159375,23.446875,2.2875
21.159375,24.3046875,3.1453125
22.0171875,25.4484375,3.43125
23.1609375,26.5921875,3.43125
24.3046875,28.021875,3.7171875
25.734375,28.8796875,3.1453125
27.1640625,29.7375,2.5734375
28.8796875,30.5953125,1.715625
30.309375,31.1671875,0.857812499999998
31.7390625,31.453125,-0.285937500000003
33.16875,31.7390625,-1.4296875
34.3125,32.025,-2.2875
34.884375,32.025,-2.859375
34.884375,32.025,-2.859375
34.3125,31.453125,-2.859375
32.8828125,30.5953125,-2.2875
30.309375,29.165625,-1.14375
27.1640625,26.878125,-0.285937499999999
23.446875,24.3046875,0.857812499999998
19.1578125,21.4453125,2.2875
14.5828125,18.0140625,3.43125
10.5796875,14.86875,4.2890625
6.8625,11.7234375,4.8609375
3.7171875,9.15,5.4328125
2.0015625,7.434375,5.4328125
0.8578125,6.5765625,5.71875
0.8578125,6.8625,6.0046875
1.715625,7.7203125,6.0046875
3.1453125,9.4359375,6.290625
4.8609375,11.7234375,6.8625
6.290625,14.0109375,7.7203125
7.7203125,16.2984375,8.578125
8.578125,18.0140625,9.4359375
8.8640625,19.1578125,10.29375
8.578125,19.7296875,11.1515625
8.00625,19.44375,11.4375
7.1484375,18.3,11.1515625
6.0046875,16.8703125,10.865625
4.8609375,14.86875,10.0078125
4.003125,12.8671875,8.8640625
3.43125,11.1515625,7.7203125
3.1453125,9.721875,6.5765625
2.859375,8.578125,5.71875
2.859375,8.00625,5.146875
3.1453125,7.7203125,4.575
3.1453125,8.00625,4.8609375
3.43125,8.2921875,4.8609375
3.7171875,9.15,5.4328125
3.7171875,9.721875,6.0046875
3.7171875,10.29375,6.5765625
3.7171875,10.5796875,6.8625
4.003125,10.865625,6.8625
4.2890625,11.1515625,6.8625
4.8609375,10.865625,6.0046875
5.71875,10.865625,5.146875
6.5765625,10.5796875,4.003125
7.7203125,10.5796875,2.859375
9.15,10.5796875,1.4296875
10.29375,10.29375,0.0
11.1515625,10.29375,-0.8578125
12.009375,10.29375,-1.715625
12.2953125,10.0078125,-2.2875
12.009375,9.721875,-2.2875
11.1515625,8.8640625,-2.2875
10.0078125,7.7203125,-2.2875
8.00625,6.290625,-1.715625
6.0046875,4.575,-1.4296875
3.43125,2.5734375,-0.8578125
1.14375,0.571875,-0.571875
-0.571875,-0.8578125,-0.2859375
-2.2875,-2.2875,0.0
-3.1453125,-3.1453125,0.0
-3.7171875,-3.7171875,0.0
-3.7171875,-3.7171875,0.0
-3.1453125,-3.7171875,-0.571875
-2.859375,-3.43125,-0.571875
-2.5734375,-3.7171875,-1.14375
-2.5734375,-4.575,-2.0015625
-3.7171875,-6.0046875,-2.2875
-5.71875,-8.578125,-2.859375
-8.8640625,-11.7234375,-2.859375
-12.58125,-15.7265625,-3.1453125
-17.15625,-20.015625,-2.859375
-21.4453125,-24.3046875,-2.859375
-25.734375,-27.7359375,-2.0015625
-28.8796875,-30.309375,-1.4296875
-30.88125,-31.453125,-0.571874999999999
-31.453125,-31.453125,0.0
-30.309375,-29.7375,0.571875000000002
-28.021875,-26.878125,1.14375
-24.590625,-23.446875,1.14375
-21.159375,-20.015625,1.14375
-18.0140625,-17.15625,0.857812500000001
-15.7265625,-15.7265625,0.0
-14.86875,-15.440625,-0.571875
-15.7265625,-17.15625,-1.4296875
-18.3,-20.3015625,-2.0015625
-22.0171875,-24.590625,-2.5734375
-26.5921875,-29.4515625,-2.859375
-31.1671875,-34.3125,-3.1453125
-35.1703125,-38.0296875,-2.859375
-37.4578125,-40.03125,-2.5734375
-38.0296875,-40.3171875,-2.2875
-36.3140625,-38.0296875,-1.715625
-32.596875,-33.740625,-1.14375
-26.878125,-27.7359375,-0.857812500000001
-20.5875,-20.8734375,-0.285937499999999
-13.725,-13.725,0.0
-7.7203125,-7.434375,0.2859375
-2.859375,-2.5734375,0.2859375
-0.2859375,0.2859375,0.571875
0.0,1.14375,1.14375
-1.14375,0.2859375,1.4296875
-4.575,-2.2875,2.2875
-9.15,-6.0046875,3.1453125
-14.0109375,-10.29375,3.7171875
-18.5859375,-14.296875,4.2890625
-22.303125,-17.728125,4.575
-24.8765625,-19.7296875,5.146875
-25.734375,-21.159375,4.575
-25.4484375,-21.159375,4.2890625
-24.01875,-20.8734375,3.1453125
-22.5890625,-20.3015625,2.2875
