LEFT,RIGHT,DIFF
-99.7921875,-24.3046875,75.4875
-97.790625,-22.303125,75.4875
-96.3609375,-21.4453125,74.915625
-95.503125,-21.4453125,74.0578125
-94.93125,-22.0171875,72.9140625
-94.359375,-22.5890625,71.7703125
-93.5015625,-23.1609375,70.340625
-92.071875,-22.875,69.196875
-90.0703125,-22.0171875,68.053125
-87.496875,-20.3015625,67.1953125
-84.3515625,-18.3,66.0515625
-81.778125,-16.0125,65.765625
-79.7765625,-14.296875,65.4796875
-79.2046875,-13.725,65.4796875
-80.3484375,-14.5828125,65.765625
-83.7796875,-17.728125,66.0515625
-89.2125,-22.875,66.3375
-96.9328125,-30.309375,66.6234375
-106.36875,-39.459375,66.909375
-117.234375,-49.753125,67.48125
-128.3859375,-61.190625,67.1953125
-139.8234375,-72.628125,67.1953125
-150.403125,-83.49375,66.909375
-160.125,-93.7875,66.3375
-168.4171875,-102.6515625,65.765625
-175.2796875,-109.8,65.4796875
-180.140625,-115.2328125,64.9078125
-183.2859375,-118.6640625,64.621875
-184.715625,-120.09375,64.621875
-184.4296875,-119.2359375,65.19375
-182.1421875,-116.6625,65.4796875
-178.1390625,-111.8015625,66.3375
-172.134375,-104.9390625,67.1953125
-164.7,-96.3609375,68.3390625
-155.55,-86.353125,69.196875
-145.828125,-75.4875,70.340625
-135.534375,-64.05,71.484375
-125.5265625,-53.184375,72.3421875
-116.3765625,-43.1765625,73.2
-108.65625,-34.884375,73.771875
-103.2234375,-29.165625,74.0578125
-99.7921875,-25.734375,74.0578125
-98.6484375,-24.8765625,73.771875
-99.7921875,-26.0203125,73.771875
-102.365625,-29.165625,73.2
-105.796875,-33.4546875,72.3421875
-109.5140625,-37.74375,71.7703125
-112.9453125,-41.4609375,71.484375
-115.2328125,-44.034375,71.1984375
-116.3765625,-45.178125,71.1984375
-116.090625,-44.8921875,71.1984375
-114.375,-42.6046875,71.7703125
-111.8015625,-39.459375,72.3421875
-108.9421875,-35.7421875,73.2
-106.0828125,-31.7390625,74.34375
-103.509375,-28.021875,75.4875
-101.5078125,-25.4484375,76.059375
-100.3640625,-23.446875,76.9171875
-99.7921875,-22.5890625,77.203125
-99.7921875,-22.303125,77.4890625
-100.078125,-22.5890625,77.4890625
-100.078125,-23.1609375,76.9171875
-100.078125,-23.7328125,76.3453125
-99.50625,-24.01875,75.4875
-98.6484375,-23.7328125,74.915625
-97.790625,-23.1609375,74.6296875
-96.646875,-22.5890625,74.0578125
-95.503125,-22.303125,73.2
-94.93125,-22.0171875,72.9140625
-94.93125,-22.303125,72.628125
-95.503125,-23.1609375,72.3421875
-96.3609375,-24.590625,71.7703125
-97.21875,-26.30625,70.9125
-98.3625,-28.021875,70.340625
-98.934375,-29.4515625,69.4828125
-99.2203125,-30.88125,68.3390625
-98.934375,-31.453125,67.48125
-98.0765625,-31.453125,66.6234375
-97.21875,-31.453125,65.765625
-96.075,-30.88125,65.19375
-95.503125,-30.5953125,64.9078125
-95.2171875,-30.309375,64.9078125
-95.503125,-30.5953125,64.9078125
-96.3609375,-31.1671875,65.19375
-97.5046875,-32.3109375,65.19375
-98.6484375,-33.4546875,65.19375
-99.50625,-34.5984375,64.9078125
-99.7921875,-35.1703125,64.621875
-99.2203125,-35.1703125,64.05
-97.5046875,-34.3125,63.1921875
-95.2171875,-32.596875,62.6203125
-92.071875,-30.5953125,61.4765625
-88.9265625,-28.021875,60.9046875
-86.353125,-26.0203125,60.3328125
-84.3515625,-24.3046875,60.046875
-83.7796875,-24.01875,59.7609375
-84.9234375,-24.590625,60.3328125
-87.2109375,-26.5921875,60.61875
-90.6421875,-29.4515625,61.190625
-94.6453125,-32.8828125,61.7625
-98.3625,-36.028125,62.334375
-101.5078125,-38.8875,62.6203125
-103.509375,-40.603125,62.90625
-104.08125,-40.8890625,63.1921875
-102.9375,-40.03125,62.90625
-100.65,-38.0296875,62.6203125
-97.5046875,-34.884375,62.6203125
-94.359375,-31.7390625,62.6203125
-91.5,-28.8796875,62.6203125
-89.784375,-26.878125,62.90625
-89.4984375,-26.30625,63.1921875
-90.6421875,-26.5921875,64.05
-93.215625,-28.59375,64.621875
-96.3609375,-30.88125,65.4796875
-99.7921875,-33.740625,66.0515625
-102.6515625,-36.3140625,66.3375
-104.3671875,-37.74375,66.6234375
-104.3671875,-38.0296875,66.3375
-102.9375,-36.8859375,66.0515625
-99.7921875,-34.5984375,65.19375
-95.7890625,-31.7390625,64.05
-91.7859375,-28.3078125,63.478125
-88.06875,-25.1625,62.90625
-85.4953125,-23.1609375,62.334375
-84.6375,-22.5890625,62.0484375
-85.78125,-23.446875,62.334375
-88.3546875,-25.734375,62.6203125
-92.3578125,-29.165625,63.1921875
-96.9328125,-32.596875,64.3359375
-101.221875,-36.028125,65.19375
-104.3671875,-38.0296875,66.3375
-105.5109375,-38.6015625,66.909375
-104.3671875,-37.171875,67.1953125
-101.221875,-34.0265625,67.1953125
-96.3609375,-29.7375,66.6234375
-90.35625,-24.3046875,66.0515625
-83.7796875,-19.1578125,64.621875
-78.0609375,-14.5828125,63.478125
-74.0578125,-11.7234375,62.334375
-71.7703125,-10.5796875,61.190625
-71.7703125,-11.4375,60.3328125
-74.34375,-14.0109375,60.3328125
-78.346875,-18.0140625,60.3328125
-83.7796875,-22.875,60.9046875
-89.4984375,-27.7359375,61.7625
-94.93125,-31.7390625,63.1921875
-99.50625,-34.884375,64.621875
-102.9375,-36.6,66.3375
-104.653125,-36.8859375,67.7671875
-105.5109375,-36.3140625,69.196875
-105.225,-34.884375,70.340625
-104.9390625,-33.740625,71.1984375
-104.3671875,-32.8828125,71.484375
-104.653125,-32.8828125,71.7703125
-105.225,-33.740625,71.484375
-106.6546875,-35.45625,71.1984375
-108.3703125,-37.4578125,70.9125
-110.371875,-40.03125,70.340625
-111.8015625,-42.0328125,69.76875
-112.3734375,-43.1765625,69.196875
-111.8015625,-43.4625,68.3390625
-110.371875,-42.31875,68.053125
-107.7984375,-40.3171875,67.48125
