LEFT,RIGHT,DIFF
-97.790625,-105.5109375,-7.72031249999999
-96.075,-103.7953125,-7.72031250000001
-93.215625,-100.65,-7.434375
-88.9265625,-96.3609375,-7.434375
-83.7796875,-91.5,-7.72031249999999
-78.0609375,-86.0671875,-8.00624999999999
-72.3421875,-80.3484375,-8.00624999999999
-66.3375,-75.2015625,-8.8640625
-60.61875,-70.0546875,-9.43593749999999
-55.7578125,-65.765625,-10.0078125
-51.46875,-62.334375,-10.865625
-48.0375,-60.046875,-12.009375
-46.0359375,-58.6171875,-12.58125
-45.178125,-58.6171875,-13.4390625
-45.4640625,-60.046875,-14.5828125
-46.89375,-62.334375,-15.440625
-49.753125,-65.19375,-15.440625
-53.184375,-68.9109375,-15.7265625
-57.1875,-72.628125,-15.440625
-61.4765625,-76.059375,-14.5828125
-65.4796875,-79.2046875,-13.725
-68.9109375,-81.20625,-12.2953125
-71.484375,-82.0640625,-10.5796875
-72.9140625,-82.0640625,-9.15000000000001
-72.9140625,-80.9203125,-8.00625000000001
-72.05625,-78.91875,-6.8625
-70.0546875,-76.3453125,-6.29062500000001
-67.1953125,-73.771875,-6.57656250000001
-63.7640625,-71.1984375,-7.434375
-60.3328125,-68.9109375,-8.578125
-56.9015625,-67.1953125,-10.29375
-54.0421875,-66.0515625,-12.009375
-51.1828125,-65.4796875,-14.296875
-48.8953125,-65.4796875,-16.584375
-46.89375,-65.765625,-18.871875
-44.8921875,-66.0515625,-21.159375
-43.1765625,-66.0515625,-22.875
-41.175,-65.765625,-24.590625
-39.1734375,-65.4796875,-26.30625
-37.171875,-65.19375,-28.021875
-35.1703125,-65.19375,-30.0234375
-34.0265625,-65.765625,-31.7390625
-33.4546875,-67.48125,-34.0265625
-34.3125,-70.0546875,-35.7421875
-36.3140625,-74.0578125,-37.74375
-39.7453125,-79.2046875,-39.459375
-44.60625,-85.4953125,-40.8890625
-50.325,-92.64375,-42.31875
-56.615625,-99.50625,-42.890625
-62.90625,-106.0828125,-43.1765625
-68.625,-111.2296875,-42.6046875
-72.9140625,-114.946875,-42.0328125
-75.4875,-116.090625,-40.603125
-75.7734375,-115.2328125,-39.459375
-73.771875,-111.8015625,-38.0296875
-69.76875,-106.6546875,-36.8859375
-64.3359375,-100.078125,-35.7421875
-57.759375,-92.64375,-34.884375
-51.1828125,-85.209375,-34.0265625
-44.8921875,-78.6328125,-33.740625
-39.7453125,-73.2,-33.4546875
-36.3140625,-69.196875,-32.8828125
-34.5984375,-66.909375,-32.3109375
-34.884375,-66.3375,-31.453125
-36.6,-66.909375,-30.309375
-39.459375,-68.3390625,-28.8796875
-42.890625,-70.0546875,-27.1640625
-46.321875,-71.7703125,-25.4484375
-49.18125,-72.9140625,-23.7328125
-51.1828125,-73.4859375,-22.303125
-52.3265625,-73.4859375,-21.159375
-52.3265625,-72.628125,-20.3015625
-51.7546875,-71.1984375,-19.44375
-50.896875,-70.0546875,-19.1578125
-50.0390625,-68.9109375,-18.871875
-50.0390625,-68.3390625,-18.3
-50.6109375,-68.625,-18.0140625
-52.3265625,-69.76875,-17.4421875
-54.6140625,-71.1984375,-16.584375
-57.759375,-72.9140625,-15.1546875
-60.61875,-74.915625,-14.296875
-63.1921875,-76.3453125,-13.153125
-64.9078125,-76.9171875,-12.009375
-65.19375,-76.63125,-11.4375
-64.05,-75.2015625,-11.1515625
-61.190625,-72.9140625,-11.7234375
-57.4734375,-69.76875,-12.2953125
-53.184375,-66.3375,-13.153125
-48.609375,-62.90625,-14.296875
-44.60625,-60.046875,-15.440625
