LEFT,RIGHT,DIFF
-56.04375,-38.8875,17.15625
-56.3296875,-40.03125,16.2984375
-56.3296875,-40.8890625,15.440625
-55.1859375,-40.603125,14.5828125
-52.8984375,-38.8875,14.0109375
-48.8953125,-35.45625,13.4390625
-43.7484375,-30.88125,12.8671875
-37.74375,-25.1625,12.58125
-31.1671875,-19.1578125,12.009375
-25.1625,-13.725,11.4375
-20.5875,-9.721875,10.865625
-18.3,-8.2921875,10.0078125
-18.871875,-9.4359375,9.4359375
-22.303125,-14.0109375,8.2921875
-28.8796875,-21.159375,7.7203125
-38.0296875,-30.88125,7.1484375
-48.8953125,-42.31875,6.5765625
-60.3328125,-54.328125,6.0046875
-71.7703125,-66.3375,5.4328125
-81.778125,-76.9171875,4.86093750000001
-89.784375,-86.0671875,3.71718749999999
-95.7890625,-93.215625,2.5734375
-99.7921875,-98.3625,1.4296875
-102.365625,-102.0796875,0.285937500000003
-103.509375,-104.653125,-1.14375
-104.9390625,-106.6546875,-1.715625
-106.36875,-108.65625,-2.28749999999999
-108.9421875,-111.2296875,-2.28750000000001
-112.9453125,-113.803125,-0.857812500000009
-117.5203125,-116.9484375,0.571874999999991
-122.953125,-119.521875,3.43124999999999
-127.8140625,-121.2375,6.57656249999999
-131.8171875,-121.5234375,10.29375
-133.81875,-119.8078125,14.0109375
-133.246875,-115.51875,17.728125
-129.815625,-108.9421875,20.8734375
-123.525,-100.3640625,23.1609375
-114.946875,-90.0703125,24.8765625
-104.653125,-78.91875,25.734375
-93.7875,-68.053125,25.734375
-83.2078125,-58.6171875,24.590625
-73.771875,-50.6109375,23.1609375
-66.6234375,-45.178125,21.4453125
-61.7625,-42.31875,19.44375
-59.1890625,-41.746875,17.4421875
-59.1890625,-42.890625,16.2984375
-60.61875,-45.4640625,15.1546875
-62.6203125,-48.609375,14.0109375
-65.19375,-51.46875,13.725
-66.6234375,-53.184375,13.4390625
-67.1953125,-53.4703125,13.725
-66.0515625,-52.3265625,13.725
-63.478125,-49.4671875,14.0109375
-59.475,-45.4640625,14.0109375
-54.328125,-40.8890625,13.4390625
-49.18125,-36.3140625,12.8671875
-44.3203125,-32.025,12.2953125
-40.03125,-28.8796875,11.1515625
-37.171875,-27.1640625,10.0078125
-36.028125,-26.878125,9.15
-36.3140625,-28.3078125,8.00625
-38.0296875,-31.1671875,6.8625
-40.8890625,-34.5984375,6.290625
-44.60625,-38.6015625,6.0046875
-48.0375,-42.6046875,5.4328125
-51.46875,-46.0359375,5.4328125
-54.0421875,-48.609375,5.4328125
