LEFT,RIGHT,DIFF
-68.9109375,-53.4703125,15.440625
-68.3390625,-54.9,13.4390625
-66.3375,-55.471875,10.865625
-63.1921875,-54.9,8.2921875
-59.1890625,-53.184375,6.0046875
-54.0421875,-50.0390625,4.003125
-49.18125,-46.0359375,3.1453125
-44.60625,-42.0328125,2.5734375
-41.175,-38.0296875,3.1453125
-39.459375,-35.45625,4.003125
-39.459375,-34.3125,5.146875
-42.0328125,-35.1703125,6.8625
-46.0359375,-38.0296875,8.00625
-51.7546875,-42.6046875,9.15
-58.33125,-48.3234375,10.0078125
-64.621875,-54.9,9.721875
-70.340625,-61.190625,9.15
-74.915625,-66.3375,8.578125
-77.203125,-70.0546875,7.1484375
-77.775,-71.7703125,6.0046875
-76.3453125,-71.484375,4.86093750000001
-73.2,-69.196875,4.003125
-69.196875,-65.765625,3.43125000000001
-64.621875,-61.4765625,3.1453125
-60.3328125,-57.1875,3.1453125
-57.1875,-53.4703125,3.7171875
-55.1859375,-51.1828125,4.003125
-55.1859375,-50.325,4.8609375
-56.615625,-51.1828125,5.4328125
-59.7609375,-53.4703125,6.29062500000001
-63.478125,-56.615625,6.8625
-67.7671875,-60.3328125,7.434375
-71.484375,-63.478125,8.00624999999999
-74.6296875,-65.765625,8.8640625
-76.3453125,-66.909375,9.43593750000001
-76.3453125,-66.0515625,10.29375
-75.2015625,-64.05,11.1515625
-72.3421875,-60.61875,11.7234375
-68.9109375,-56.615625,12.2953125
-65.19375,-52.3265625,12.8671875
-61.4765625,-48.609375,12.8671875
-58.6171875,-45.75,12.8671875
-56.615625,-44.3203125,12.2953125
-55.7578125,-44.3203125,11.4375
-56.3296875,-45.4640625,10.865625
-57.4734375,-47.465625,10.0078125
-58.903125,-49.753125,9.15
-60.046875,-51.7546875,8.2921875
-60.3328125,-52.6125,7.7203125
-59.1890625,-52.3265625,6.8625
-56.615625,-50.6109375,6.0046875
-52.6125,-47.1796875,5.4328125
-47.1796875,-42.6046875,4.575
-40.8890625,-37.4578125,3.43125
-34.884375,-32.596875,2.28749999999999
-29.4515625,-28.59375,0.857812500000001
-26.0203125,-26.0203125,0.0
-24.8765625,-26.0203125,-1.14375
-26.30625,-28.3078125,-2.0015625
-31.1671875,-32.8828125,-1.715625
-38.315625,-39.7453125,-1.4296875
-47.465625,-47.7515625,-0.285937499999996
-57.759375,-56.3296875,1.4296875
-67.7671875,-64.621875,3.1453125
-76.9171875,-71.484375,5.4328125
-83.7796875,-76.63125,7.1484375
-87.7828125,-79.2046875,8.578125
-88.9265625,-79.2046875,9.721875
-86.925,-76.9171875,10.0078125
-82.0640625,-72.628125,9.43593750000001
-75.7734375,-67.1953125,8.578125
-68.3390625,-61.4765625,6.8625
-61.190625,-56.04375,5.146875
-55.1859375,-51.46875,3.7171875
-50.6109375,-48.3234375,2.28749999999999
-47.7515625,-46.6078125,1.14375
-47.1796875,-46.321875,0.857812500000001
-48.3234375,-46.89375,1.4296875
-50.6109375,-48.609375,2.0015625
-53.4703125,-50.0390625,3.43125
-52.040625,-27.7359375,24.3046875
-55.7578125,-31.453125,24.3046875
-60.61875,-36.028125,24.590625
-65.765625,-41.175,24.590625
-70.9125,-45.4640625,25.4484375
-74.6296875,-48.609375,26.0203125
-76.63125,-50.0390625,26.5921875
-76.059375,-49.18125,26.878125
-73.2,-46.321875,26.878125
-67.7671875,-41.175,26.5921875
-60.61875,-34.5984375,26.0203125
-52.3265625,-27.7359375,24.590625
-44.3203125,-21.159375,23.1609375
-37.74375,-16.0125,21.73125
-33.16875,-12.8671875,20.3015625
-31.453125,-12.2953125,19.1578125
-32.596875,-14.0109375,18.5859375
-36.6,-18.0140625,18.5859375
-42.890625,-23.7328125,19.1578125
-49.753125,-29.7375,20.015625
-56.9015625,-35.45625,21.4453125
-62.334375,-40.03125,22.303125
-66.0515625,-42.890625,23.1609375
-67.1953125,-43.7484375,23.446875
-65.4796875,-42.6046875,22.875
-62.0484375,-40.3171875,21.73125
-56.9015625,-37.4578125,19.44375
-51.7546875,-34.3125,17.4421875
-47.1796875,-32.3109375,14.86875
-44.3203125,-31.7390625,12.58125
-43.4625,-32.596875,10.865625
-45.178125,-35.1703125,10.0078125
-49.18125,-38.6015625,10.5796875
-54.328125,-42.6046875,11.7234375
-59.7609375,-46.321875,13.4390625
-64.9078125,-48.8953125,16.0125
-68.625,-49.753125,18.871875
-70.0546875,-49.18125,20.8734375
-69.196875,-46.89375,22.303125
-66.0515625,-43.4625,22.5890625
-56.3296875,-48.8953125,7.434375
-55.471875,-48.3234375,7.1484375
-55.1859375,-47.7515625,7.434375
-55.1859375,-47.1796875,8.00625
-55.7578125,-47.1796875,8.578125
-56.615625,-47.1796875,9.4359375
-58.0453125,-47.7515625,10.29375
-59.7609375,-48.0375,11.7234375
-61.4765625,-48.609375,12.8671875
-62.90625,-48.8953125,14.0109375
-63.7640625,-48.8953125,14.86875
-64.3359375,-48.3234375,16.0125
-64.3359375,-47.465625,16.8703125
-63.478125,-46.321875,17.15625
-62.6203125,-45.178125,17.4421875
-61.190625,-44.034375,17.15625
-60.3328125,-43.4625,16.8703125
-59.7609375,-43.4625,16.2984375
-60.046875,-44.60625,15.440625
-61.190625,-46.321875,14.86875
-63.1921875,-49.18125,14.0109375
-66.3375,-52.3265625,14.0109375
-69.76875,-56.04375,13.725
-73.771875,-59.475,14.296875
-77.4890625,-62.6203125,14.86875
-80.9203125,-65.19375,15.7265625
-83.49375,-66.909375,16.584375
-85.209375,-67.48125,17.728125
-85.4953125,-66.909375,18.5859375
-84.9234375,-66.0515625,18.871875
-83.49375,-64.621875,18.871875
-81.4921875,-62.90625,18.5859375
-79.2046875,-61.4765625,17.728125
-77.203125,-60.61875,16.584375
-75.4875,-60.3328125,15.1546875
-74.915625,-60.9046875,14.0109375
-74.915625,-61.7625,13.153125
-76.059375,-63.1921875,12.8671875
-78.0609375,-64.9078125,13.153125
-80.3484375,-66.6234375,13.725
-83.7796875,-71.1984375,12.58125
-81.20625,-70.0546875,11.1515625
-78.346875,-68.3390625,10.0078125
-75.4875,-66.3375,9.14999999999999
-72.9140625,-64.3359375,8.578125
-70.9125,-62.334375,8.57812500000001
-70.0546875,-60.61875,9.43593749999999
-70.0546875,-59.1890625,10.865625
-71.484375,-58.903125,12.58125
-74.0578125,-59.1890625,14.86875
-77.203125,-60.046875,17.15625
-80.9203125,-61.4765625,19.44375
-84.3515625,-63.1921875,21.159375
-86.925,-65.19375,21.73125
-88.9265625,-66.909375,22.0171875
-89.4984375,-68.053125,21.4453125
-88.640625,-68.625,20.015625
-86.925,-68.625,18.3
-84.3515625,-68.053125,16.2984375
-81.20625,-67.1953125,14.0109375
-78.346875,-66.0515625,12.2953125
-76.059375,-65.19375,10.865625
-74.915625,-64.621875,10.29375
-74.6296875,-64.3359375,10.29375
-75.7734375,-65.19375,10.5796875
-77.775,-66.3375,11.4375
-80.9203125,-68.3390625,12.58125
-84.3515625,-70.340625,14.0109375
-87.496875,-72.3421875,15.1546875
-90.35625,-73.771875,16.584375
-92.64375,-74.915625,17.728125
-93.7875,-74.915625,18.871875
-93.7875,-74.0578125,19.7296875
-92.9296875,-72.3421875,20.5875
-91.5,-70.0546875,21.4453125
-89.784375,-67.48125,22.303125
-87.7828125,-64.9078125,22.875
-86.0671875,-62.90625,23.1609375
-85.209375,-62.0484375,23.1609375
-84.9234375,-62.0484375,22.875
-85.4953125,-63.1921875,22.303125
-86.925,-65.4796875,21.4453125
-88.9265625,-68.9109375,20.015625
-91.2140625,-73.2,18.0140625
-93.7875,-77.4890625,16.2984375
-96.075,-81.778125,14.296875
-97.790625,-85.4953125,12.2953125
-99.2203125,-88.06875,11.1515625
-99.50625,-89.4984375,10.0078125
-98.934375,-89.4984375,9.43593749999999
-97.5046875,-88.06875,9.43593749999999
-95.2171875,-85.4953125,9.72187500000001
-92.3578125,-82.0640625,10.29375
-88.640625,-77.775,10.865625
-85.209375,-73.4859375,11.7234375
-81.4921875,-69.196875,12.2953125
-78.346875,-65.4796875,12.8671875
-75.7734375,-62.6203125,13.153125
-73.771875,-60.9046875,12.8671875
-72.9140625,-60.3328125,12.58125
-72.628125,-60.61875,12.009375
-73.2,-61.7625,11.4375
-74.34375,-63.7640625,10.5796875
-75.7734375,-66.0515625,9.721875
-77.203125,-68.3390625,8.8640625
-78.91875,-70.6265625,8.2921875
-80.3484375,-72.3421875,8.00624999999999
-81.20625,-73.4859375,7.72031249999999
-82.0640625,-74.0578125,8.00625000000001
-82.35,-73.771875,8.578125
-82.6359375,-73.2,9.43593749999999
-82.921875,-72.05625,10.865625
-82.921875,-70.340625,12.58125
-82.6359375,-68.625,14.0109375
-82.6359375,-66.3375,16.2984375
-82.0640625,-64.05,18.0140625
-81.4921875,-61.7625,19.7296875
-80.634375,-59.1890625,21.4453125
-79.2046875,-56.615625,22.5890625
-77.4890625,-54.328125,23.1609375
-75.4875,-52.040625,23.446875
-73.4859375,-50.0390625,23.446875
-71.484375,-48.609375,22.875
-70.340625,-48.0375,22.303125
-70.0546875,-48.0375,22.0171875
-70.9125,-49.18125,21.73125
-72.9140625,-51.1828125,21.73125
-76.059375,-54.0421875,22.0171875
-79.7765625,-57.4734375,22.303125
-83.7796875,-60.61875,23.1609375
-87.496875,-63.7640625,23.7328125
-90.35625,-66.0515625,24.3046875
-92.071875,-67.48125,24.590625
-91.7859375,-67.48125,24.3046875
-90.0703125,-66.3375,23.7328125
-86.353125,-64.05,22.303125
-81.778125,-61.190625,20.5875
-76.059375,-57.759375,18.3
-70.6265625,-54.6140625,16.0125
-65.4796875,-52.040625,13.4390625
-61.7625,-50.896875,10.865625
-59.7609375,-50.896875,8.8640625
-59.7609375,-52.6125,7.1484375
-61.190625,-55.7578125,5.4328125
-64.3359375,-60.046875,4.2890625
-68.625,-64.9078125,3.71718749999999
-73.2,-70.0546875,3.1453125
-77.775,-75.2015625,2.5734375
-81.778125,-79.490625,2.28749999999999
-84.9234375,-82.921875,2.00156250000001
-86.6390625,-85.4953125,1.14375000000001
-87.7828125,-86.925,0.857812500000009
-87.7828125,-87.496875,0.285937500000003
-87.2109375,-87.2109375,0.0
-86.353125,-86.6390625,-0.285937500000003
-85.4953125,-85.4953125,0.0
-84.6375,-84.3515625,0.285937500000003
-84.065625,-82.921875,1.14375
-83.7796875,-81.20625,2.57343750000001
-83.2078125,-79.2046875,4.003125
-82.35,-76.63125,5.71875
-80.9203125,-74.0578125,6.86250000000001
-79.2046875,-70.6265625,8.578125
-76.9171875,-67.1953125,9.721875
-74.6296875,-63.7640625,10.865625
-72.05625,-60.61875,11.4375
-69.76875,-58.0453125,11.7234375
-68.3390625,-56.3296875,12.009375
-67.48125,-55.471875,12.009375
-67.48125,-55.7578125,11.7234375
-68.3390625,-56.9015625,11.4375
-69.76875,-58.6171875,11.1515625
-71.1984375,-60.3328125,10.865625
-72.9140625,-62.0484375,10.865625
-73.4859375,-62.90625,10.5796875
-73.4859375,-62.6203125,10.865625
-72.3421875,-60.9046875,11.4375
-70.0546875,-58.33125,11.7234375
-67.1953125,-54.9,12.2953125
-63.7640625,-50.6109375,13.153125
-60.61875,-46.89375,13.725
-58.33125,-43.7484375,14.5828125
-57.759375,-42.0328125,15.7265625
-58.6171875,-42.0328125,16.584375
-61.4765625,-44.034375,17.4421875
-66.3375,-48.0375,18.3
-72.3421875,-53.4703125,18.871875
-79.2046875,-59.7609375,19.44375
-86.353125,-66.3375,20.015625
-92.64375,-72.05625,20.5875
-97.5046875,-76.9171875,20.5875
-100.3640625,-79.7765625,20.5875
-101.221875,-80.9203125,20.3015625
-99.50625,-79.7765625,19.7296875
-96.3609375,-77.203125,19.1578125
-91.5,-73.2,18.3
-86.353125,-68.9109375,17.4421875
-81.20625,-65.19375,16.0125
-77.203125,-62.0484375,15.1546875
-74.34375,-60.61875,13.725
-73.4859375,-60.9046875,12.58125
-74.34375,-62.90625,11.4375
-76.63125,-66.3375,10.29375
-80.3484375,-70.9125,9.43593749999999
-84.3515625,-75.7734375,8.578125
-88.3546875,-80.3484375,8.00624999999999
-91.7859375,-83.7796875,8.00624999999999
-94.0734375,-85.78125,8.2921875
-94.6453125,-86.0671875,8.578125
-94.0734375,-84.6375,9.43593749999999
-91.7859375,-81.778125,10.0078125
-88.640625,-77.775,10.865625
-85.209375,-73.2,12.009375
-81.4921875,-68.9109375,12.58125
-78.346875,-64.9078125,13.4390625
-76.059375,-62.334375,13.725
-74.6296875,-61.190625,13.4390625
-74.6296875,-61.4765625,13.153125
-75.7734375,-63.1921875,12.58125
-78.0609375,-65.765625,12.2953125
-75.7734375,-59.1890625,16.584375
-75.2015625,-58.33125,16.8703125
-74.915625,-57.759375,17.15625
-75.2015625,-57.1875,18.0140625
-75.2015625,-57.1875,18.0140625
-75.2015625,-56.615625,18.5859375
-74.34375,-56.04375,18.3
-72.9140625,-54.9,18.0140625
-70.340625,-53.184375,17.15625
-66.909375,-51.1828125,15.7265625
-62.90625,-48.8953125,14.0109375
-58.6171875,-46.321875,12.2953125
-54.0421875,-44.034375,10.0078125
-50.325,-42.0328125,8.2921875
-47.465625,-40.8890625,6.5765625
-46.0359375,-40.3171875,5.71875
-45.4640625,-40.603125,4.86093750000001
-46.321875,-41.4609375,4.8609375
-48.0375,-42.6046875,5.4328125
-50.0390625,-43.4625,6.5765625
-90.6421875,-81.778125,8.8640625
-88.9265625,-79.2046875,9.721875
-86.0671875,-75.7734375,10.29375
-82.35,-72.3421875,10.0078125
-78.6328125,-68.9109375,9.721875
-75.7734375,-66.3375,9.43593749999999
-73.771875,-64.621875,9.15000000000001
-72.9140625,-64.3359375,8.578125
-73.4859375,-64.9078125,8.578125
-74.6296875,-66.0515625,8.578125
-76.3453125,-67.48125,8.8640625
-78.346875,-68.9109375,9.43593749999999
-79.7765625,-69.4828125,10.29375
-80.9203125,-69.76875,11.1515625
-81.4921875,-69.196875,12.2953125
-81.4921875,-68.3390625,13.153125
-80.9203125,-66.909375,14.0109375
-80.3484375,-65.19375,15.1546875
-79.7765625,-64.05,15.7265625
-80.0625,-63.1921875,16.8703125
-80.9203125,-63.1921875,17.728125
-82.6359375,-64.05,18.5859375
-85.209375,-65.4796875,19.7296875
-88.06875,-67.48125,20.5875
-91.7859375,-70.0546875,21.73125
-95.2171875,-72.628125,22.5890625
-98.0765625,-75.2015625,22.875
-100.65,-77.4890625,23.1609375
-102.0796875,-79.2046875,22.875
-102.6515625,-80.3484375,22.303125
-102.0796875,-80.9203125,21.159375
-100.078125,-80.9203125,19.1578125
-97.5046875,-79.7765625,17.728125
-93.5015625,-77.775,15.7265625
-89.2125,-75.2015625,14.0109375
-84.3515625,-71.7703125,12.58125
-79.7765625,-68.053125,11.7234375
-74.915625,-64.05,10.865625
-71.1984375,-60.3328125,10.865625
-68.053125,-56.9015625,11.1515625
-66.3375,-54.9,11.4375
-66.3375,-54.0421875,12.2953125
-67.7671875,-55.1859375,12.58125
-71.1984375,-58.0453125,13.153125
-76.059375,-62.6203125,13.4390625
-82.35,-68.625,13.725
-88.9265625,-75.4875,13.4390625
-95.7890625,-82.6359375,13.153125
-102.0796875,-88.9265625,13.153125
-106.940625,-93.7875,13.153125
-110.0859375,-96.646875,13.4390625
-110.6578125,-96.9328125,13.725
-108.65625,-94.6453125,14.0109375
-104.3671875,-89.784375,14.5828125
-98.0765625,-83.2078125,14.86875
-90.6421875,-75.4875,15.1546875
-82.6359375,-67.48125,15.1546875
