LEFT,RIGHT,DIFF
-75.4875,-64.3359375,11.1515625
-74.34375,-62.6203125,11.7234375
-73.771875,-61.7625,12.009375
-73.771875,-61.7625,12.009375
-74.34375,-62.334375,12.009375
-74.915625,-63.1921875,11.7234375
-74.915625,-63.7640625,11.1515625
-74.6296875,-63.7640625,10.865625
-73.771875,-63.1921875,10.5796875
-72.05625,-62.0484375,10.0078125
-69.76875,-60.61875,9.14999999999999
-67.1953125,-58.903125,8.2921875
-64.621875,-57.759375,6.8625
-62.334375,-57.4734375,4.8609375
-61.190625,-58.33125,2.859375
-61.4765625,-60.9046875,0.571874999999999
-62.90625,-64.9078125,-2.00156250000001
-66.0515625,-70.0546875,-4.003125
-70.6265625,-76.3453125,-5.71875
-75.7734375,-82.6359375,-6.8625
-81.20625,-88.640625,-7.434375
-86.353125,-92.9296875,-6.57656249999999
-90.0703125,-95.2171875,-5.14687500000001
-91.7859375,-94.93125,-3.1453125
-91.2140625,-91.5,-0.285937500000003
-88.06875,-85.209375,2.859375
-82.35,-76.3453125,6.0046875
-74.0578125,-65.765625,8.2921875
-64.3359375,-54.0421875,10.29375
-53.4703125,-42.0328125,11.4375
-42.6046875,-30.88125,11.7234375
-32.8828125,-21.73125,11.1515625
-24.590625,-14.86875,9.721875
-18.871875,-10.5796875,8.2921875
-16.0125,-9.4359375,6.5765625
-15.7265625,-10.865625,4.8609375
-18.3,-14.86875,3.43125
-23.1609375,-20.3015625,2.859375
-29.7375,-27.1640625,2.5734375
-37.4578125,-34.5984375,2.859375
-45.178125,-41.746875,3.43125
-52.6125,-48.609375,4.003125
-58.903125,-54.0421875,4.8609375
-64.05,-58.6171875,5.4328125
-67.7671875,-61.7625,6.0046875
-70.0546875,-64.05,6.0046875
-70.9125,-64.9078125,6.0046875
-70.9125,-65.19375,5.71875
-69.76875,-64.9078125,4.86093749999999
-68.3390625,-64.05,4.2890625
-66.909375,-63.1921875,3.71718749999999
-65.19375,-62.0484375,3.1453125
-63.7640625,-60.9046875,2.859375
-62.334375,-59.7609375,2.5734375
-61.4765625,-59.1890625,2.28749999999999
-60.9046875,-58.33125,2.5734375
-60.61875,-58.33125,2.2875
-60.3328125,-58.33125,2.0015625
-60.61875,-58.903125,1.715625
-61.4765625,-59.7609375,1.715625
-62.334375,-61.190625,1.14375
-63.478125,-63.1921875,0.285937500000003
-65.19375,-65.4796875,-0.285937499999989
-66.909375,-68.053125,-1.14375000000001
-68.625,-70.9125,-2.28750000000001
-70.340625,-73.4859375,-3.1453125
