LEFT,RIGHT,DIFF
-207.3046875,-274.2140625,-66.909375
-204.4453125,-271.3546875,-66.909375
-202.1578125,-269.6390625,-67.48125
-200.728125,-269.0671875,-68.3390625
-200.4421875,-269.925,-69.4828125
-202.1578125,-272.2125,-70.0546875
-205.0171875,-275.9296875,-70.9125
-208.734375,-280.21875,-71.484375
-213.0234375,-284.5078125,-71.484375
-217.0265625,-288.225,-71.1984375
-219.8859375,-290.2265625,-70.340625
-221.315625,-289.940625,-68.625
-220.171875,-287.3671875,-67.1953125
-217.0265625,-282.50625,-65.4796875
-211.8796875,-275.64375,-63.7640625
-205.303125,-267.9234375,-62.6203125
-198.1546875,-260.203125,-62.0484375
-191.2921875,-253.340625,-62.0484375
-186.43125,-248.765625,-62.334375
-183.8578125,-247.05,-63.1921875
-184.14375,-248.765625,-64.621875
-187.8609375,-253.6265625,-65.765625
-194.4375,-261.6328125,-67.1953125
-203.3015625,-271.3546875,-68.053125
-213.5953125,-282.2203125,-68.625
-223.603125,-292.228125,-68.625
-232.4671875,-300.80625,-68.3390625
-239.04375,-306.525,-67.48125
-242.475,-309.0984375,-66.6234375
-242.7609375,-308.240625,-65.4796875
-239.615625,-304.809375,-65.19375
-234.1828125,-299.3765625,-65.19375
-227.034375,-292.8,-65.765625
-219.6,-286.509375,-66.909375
-213.309375,-281.6484375,-68.3390625
-208.734375,-278.7890625,-70.0546875
-206.7328125,-278.503125,-71.7703125
-207.3046875,-280.5046875,-73.2
-210.1640625,-284.221875,-74.0578125
-214.453125,-289.0828125,-74.6296875
-219.6,-293.6578125,-74.0578125
-224.175,-296.803125,-72.628125
-227.034375,-298.2328125,-71.1984375
-227.60625,-296.803125,-69.196875
-225.31875,-292.8,-67.48125
-220.74375,-286.509375,-65.765625
-213.88125,-278.2171875,-64.3359375
-205.5890625,-269.6390625,-64.05
-197.296875,-261.346875,-64.05
-189.8625,-254.1984375,-64.3359375
-184.14375,-249.6234375,-65.4796875
-180.9984375,-247.3359375,-66.3375
-180.7125,-247.9078125,-67.1953125
-183.0,-250.7671875,-67.7671875
-187.575,-255.3421875,-67.7671875
-193.29375,-260.775,-67.48125
-199.8703125,-266.49375,-66.6234375
-205.875,-271.3546875,-65.4796875
-211.021875,-275.071875,-64.05
-214.453125,-277.359375,-62.90625
-216.16875,-278.2171875,-62.0484375
-216.4546875,-277.6453125,-61.190625
-215.596875,-276.215625,-60.61875
-213.5953125,-274.2140625,-60.61875
-211.59375,-272.2125,-60.61875
-209.5921875,-270.2109375,-60.61875
-207.8765625,-268.209375,-60.3328125
-206.7328125,-266.2078125,-59.475
-205.875,-264.4921875,-58.6171875
-205.0171875,-262.2046875,-57.1875
-203.8734375,-259.059375,-55.1859375
-202.1578125,-255.628125,-53.4703125
-199.584375,-251.3390625,-51.7546875
-196.4390625,-246.478125,-50.0390625
-192.721875,-241.6171875,-48.8953125
-188.71875,-237.328125,-48.609375
-185.0015625,-233.896875,-48.8953125
-182.1421875,-231.8953125,-49.753125
-180.9984375,-232.18125,-51.1828125
-181.5703125,-234.1828125,-52.6125
-184.14375,-238.7578125,-54.6140625
-188.71875,-245.0484375,-56.3296875
-195.2953125,-252.76875,-57.4734375
-202.7296875,-261.0609375,-58.33125
-211.021875,-269.0671875,-58.0453125
-218.7421875,-276.5015625,-57.759375
-225.31875,-281.934375,-56.615625
-229.89375,-285.6515625,-55.7578125
-232.4671875,-286.7953125,-54.328125
-232.4671875,-285.365625,-52.8984375
-229.89375,-281.934375,-52.040625
-225.0328125,-276.7875,-51.7546875
-218.7421875,-270.496875,-51.7546875
-211.59375,-263.634375,-52.040625
-204.159375,-257.34375,-53.184375
-197.5828125,-251.9109375,-54.328125
-192.15,-247.9078125,-55.7578125
-188.4328125,-245.90625,-57.4734375
-186.7171875,-245.90625,-59.1890625
-187.003125,-247.621875,-60.61875
-189.0046875,-251.053125,-62.0484375
-192.4359375,-255.05625,-62.6203125
-196.725,-259.9171875,-63.1921875
-201.3,-264.20625,-62.90625
-205.5890625,-268.209375,-62.6203125
-209.0203125,-271.06875,-62.0484375
-211.59375,-272.4984375,-60.9046875
-213.0234375,-272.784375,-59.7609375
-213.309375,-271.9265625,-58.6171875
-213.0234375,-270.2109375,-57.1875
-212.165625,-267.9234375,-55.7578125
-211.3078125,-265.921875,-54.6140625
-210.45,-263.9203125,-53.4703125
-210.1640625,-262.7765625,-52.6125
-210.7359375,-262.490625,-51.7546875
-211.8796875,-263.0625,-51.1828125
-213.309375,-263.9203125,-50.6109375
