LEFT,RIGHT,DIFF
266.49375,352.5609375,86.0671875
266.7796875,353.41875,86.6390625
267.6375,354.5625,86.925
269.0671875,355.70625,86.6390625
270.496875,356.85,86.353125
271.3546875,357.1359375,85.78125
271.06875,356.5640625,85.4953125
269.6390625,354.5625,84.9234375
266.7796875,351.13125,84.3515625
262.2046875,346.8421875,84.6375
256.771875,341.409375,84.6375
250.48125,336.2625,85.78125
244.4765625,331.6875,87.2109375
239.3296875,328.5421875,89.2125
235.8984375,327.1125,91.2140625
234.7546875,328.25625,93.5015625
235.8984375,331.4015625,95.503125
239.3296875,336.5484375,97.21875
244.190625,343.125,98.934375
250.1953125,349.9875,99.7921875
223.8890625,337.1203125,113.23125
217.884375,330.54375,112.659375
211.021875,323.3953125,112.3734375
204.159375,316.5328125,112.3734375
198.7265625,311.671875,112.9453125
195.58125,308.8125,113.23125
194.7234375,308.240625,113.5171875
196.153125,309.95625,113.803125
199.2984375,313.3875,114.0890625
203.3015625,317.1046875,113.803125
207.3046875,320.25,112.9453125
209.878125,321.6796875,111.8015625
210.1640625,320.5359375,110.371875
207.8765625,316.5328125,108.65625
202.7296875,310.2421875,107.5125
195.58125,301.6640625,106.0828125
187.003125,292.5140625,105.5109375
178.425,283.9359375,105.5109375
171.2765625,277.0734375,105.796875
166.7015625,273.0703125,106.36875
165.5578125,273.0703125,107.5125
168.13125,276.5015625,108.3703125
173.85,283.3640625,109.5140625
182.7140625,292.8,110.0859375
192.721875,302.8078125,110.0859375
202.7296875,312.5296875,109.8
210.7359375,319.678125,108.9421875
215.8828125,323.3953125,107.5125
217.0265625,322.5375,105.5109375
213.5953125,317.390625,103.7953125
205.5890625,307.66875,102.0796875
194.4375,295.0875,100.65
180.7125,280.790625,100.078125
166.1296875,266.49375,100.3640625
152.4046875,253.6265625,101.221875
141.253125,243.9046875,102.6515625
133.5328125,238.1859375,104.653125
130.1015625,237.0421875,106.940625
130.959375,240.1875,109.228125
135.534375,247.05,111.515625
143.2546875,256.4859375,113.23125
152.4046875,267.3515625,114.946875
162.4125,277.6453125,115.2328125
170.990625,286.2234375,115.2328125
177.5671875,292.228125,114.6609375
181.284375,294.515625,113.23125
181.5703125,293.371875,111.8015625
178.7109375,289.0828125,110.371875
172.9921875,282.2203125,109.228125
165.271875,273.928125,108.65625
156.9796875,265.35,108.3703125
148.9734375,257.6296875,108.65625
142.6828125,252.196875,109.5140625
138.39375,249.0515625,110.6578125
137.25,249.3375,112.0875
138.965625,252.4828125,113.5171875
143.540625,258.2015625,114.6609375
150.403125,265.6359375,115.2328125
158.6953125,273.35625,114.6609375
167.2734375,280.790625,113.5171875
175.2796875,286.7953125,111.515625
181.284375,290.5125,109.228125
185.0015625,291.3703125,106.36875
185.5734375,288.796875,103.2234375
183.0,283.65,100.65
177.5671875,276.215625,98.6484375
169.846875,267.065625,97.21875
160.696875,257.34375,96.646875
150.975,247.9078125,96.9328125
142.1109375,239.615625,97.5046875
134.390625,232.753125,98.3625
128.671875,228.178125,99.50625
125.240625,225.6046875,100.3640625
124.096875,224.746875,100.65
124.66875,225.0328125,100.3640625
126.95625,226.1765625,99.2203125
129.5296875,227.60625,98.0765625
132.103125,228.178125,96.075
134.1046875,228.4640625,94.359375
134.9625,227.60625,92.64375
134.6765625,225.890625,91.2140625
133.246875,224.175,90.928125
131.2453125,222.1734375,90.928125
128.9578125,221.0296875,92.071875
127.2421875,220.4578125,93.215625
126.0984375,221.0296875,94.93125
126.0984375,223.03125,96.9328125
127.2421875,225.6046875,98.3625
129.24375,228.75,99.50625
131.8171875,231.609375,99.7921875
134.390625,233.896875,99.50625
136.10625,234.7546875,98.6484375
136.9640625,233.896875,96.9328125
136.3921875,231.3234375,94.93125
134.1046875,227.034375,92.9296875
130.6734375,221.315625,90.6421875
126.384375,215.3109375,88.9265625
121.809375,209.30625,87.496875
117.5203125,204.159375,86.6390625
114.0890625,200.4421875,86.353125
111.8015625,198.440625,86.6390625
111.2296875,198.1546875,86.925
111.8015625,199.2984375,87.496875
113.23125,201.3,88.06875
115.2328125,203.3015625,88.06875
116.9484375,204.73125,87.7828125
117.80625,205.0171875,87.2109375
116.9484375,203.3015625,86.353125
114.0890625,199.584375,85.4953125
109.8,194.4375,84.6375
103.7953125,187.575,83.7796875
96.9328125,180.4265625,83.49375
90.0703125,173.278125,83.2078125
83.7796875,167.559375,83.7796875
79.2046875,163.55625,84.3515625
76.63125,161.5546875,84.9234375
76.3453125,162.1265625,85.78125
78.0609375,164.7,86.6390625
81.778125,168.703125,86.925
86.925,173.5640625,86.6390625
92.3578125,178.425,86.0671875
97.5046875,182.1421875,84.6375
101.5078125,184.4296875,82.921875
103.7953125,184.4296875,80.634375
104.08125,182.428125,78.346875
102.365625,178.1390625,75.7734375
98.934375,172.4203125,73.4859375
94.0734375,165.5578125,71.484375
88.640625,158.409375,69.76875
82.6359375,151.8328125,69.196875
77.203125,145.828125,68.625
72.3421875,141.253125,68.9109375
68.625,137.821875,69.196875
65.765625,135.8203125,70.0546875
63.478125,134.9625,71.484375
62.0484375,134.9625,72.9140625
61.190625,134.9625,73.771875
60.3328125,135.534375,75.2015625
59.1890625,135.534375,76.3453125
58.0453125,135.2484375,77.203125
56.615625,134.9625,78.346875
55.1859375,134.1046875,78.91875
53.75625,133.246875,79.490625
52.6125,132.675,80.0625
51.46875,132.103125,80.634375
50.896875,131.8171875,80.9203125
50.325,131.8171875,81.4921875
50.0390625,132.103125,82.0640625
49.753125,132.3890625,82.6359375
49.4671875,132.3890625,82.921875
48.609375,132.3890625,83.7796875
47.7515625,131.8171875,84.065625
46.0359375,130.959375,84.9234375
44.034375,129.815625,85.78125
42.0328125,128.3859375,86.353125
39.459375,126.95625,87.496875
37.171875,125.5265625,88.3546875
35.1703125,124.66875,89.4984375
33.4546875,123.8109375,90.35625
32.596875,123.8109375,91.2140625
31.7390625,123.8109375,92.071875
31.453125,124.096875,92.64375
31.453125,124.66875,93.215625
31.453125,124.66875,93.215625
30.88125,124.66875,93.7875
30.309375,124.096875,93.7875
28.8796875,123.2390625,94.359375
27.1640625,121.809375,94.6453125
24.590625,120.09375,95.503125
22.0171875,118.0921875,96.075
18.871875,116.090625,97.21875
16.0125,114.375,98.3625
13.4390625,112.9453125,99.50625
11.1515625,112.0875,100.9359375
9.15,111.515625,102.365625
8.00625,111.2296875,103.2234375
7.1484375,111.515625,104.3671875
6.290625,111.515625,105.225
5.4328125,111.2296875,105.796875
4.2890625,110.371875,106.0828125
2.5734375,108.9421875,106.36875
0.2859375,106.6546875,106.36875
-2.5734375,103.7953125,106.36875
-6.5765625,100.078125,106.6546875
-11.1515625,96.3609375,107.5125
-15.7265625,92.3578125,108.084375
-20.015625,88.640625,108.65625
-24.01875,85.78125,109.8
-26.878125,83.7796875,110.6578125
-28.59375,82.921875,111.515625
-29.165625,83.2078125,112.3734375
-28.021875,84.3515625,112.3734375
-26.0203125,86.6390625,112.659375
-22.875,89.4984375,112.3734375
-19.1578125,92.64375,111.8015625
-15.440625,95.503125,110.94375
-12.009375,98.0765625,110.0859375
-9.4359375,99.7921875,109.228125
-7.7203125,100.9359375,108.65625
-7.1484375,101.221875,108.3703125
-7.7203125,100.3640625,108.084375
-9.721875,98.934375,108.65625
-12.2953125,96.9328125,109.228125
-15.7265625,94.6453125,110.371875
-19.7296875,91.7859375,111.515625
-24.3046875,88.640625,112.9453125
-28.8796875,85.209375,114.0890625
-33.4546875,81.778125,115.2328125
-38.0296875,78.346875,116.3765625
-42.0328125,75.2015625,117.234375
-46.0359375,72.3421875,118.378125
-49.18125,69.76875,118.95
-51.46875,68.3390625,119.8078125
-52.6125,68.053125,120.665625
-52.6125,68.9109375,121.5234375
-51.1828125,71.1984375,122.38125
-48.609375,74.6296875,123.2390625
-45.4640625,78.6328125,124.096875
-41.746875,82.921875,124.66875
-38.315625,86.353125,124.66875
-36.3140625,88.3546875,124.66875
-36.3140625,87.496875,123.8109375
-39.1734375,83.49375,122.6671875
-45.4640625,75.4875,120.9515625
-55.471875,64.05,119.521875
-68.625,49.18125,117.80625
-84.9234375,31.7390625,116.6625
-102.6515625,13.725,116.3765625
-120.3796875,-3.7171875,116.6625
