LEFT,RIGHT,DIFF
-66.0515625,-77.775,-11.7234375
-69.196875,-80.634375,-11.4375
-72.3421875,-83.2078125,-10.865625
-75.2015625,-84.9234375,-9.721875
-76.63125,-85.4953125,-8.86406249999999
-77.203125,-84.6375,-7.434375
-76.3453125,-82.6359375,-6.29062499999999
-74.0578125,-79.7765625,-5.71875
-70.9125,-76.059375,-5.14687499999999
-67.48125,-72.05625,-4.575
-63.478125,-68.3390625,-4.86093749999999
-60.046875,-65.19375,-5.14687500000001
-57.1875,-62.90625,-5.71875
-55.1859375,-61.7625,-6.5765625
-54.328125,-61.7625,-7.434375
-54.6140625,-62.90625,-8.2921875
-56.04375,-65.19375,-9.15000000000001
-58.0453125,-68.053125,-10.0078125
-60.9046875,-71.484375,-10.5796875
-63.7640625,-74.915625,-11.1515625
-60.61875,-64.05,-3.43124999999999
-55.7578125,-59.7609375,-4.003125
-50.6109375,-54.9,-4.28906250000001
-45.4640625,-50.896875,-5.4328125
-41.175,-48.0375,-6.8625
-37.74375,-46.6078125,-8.8640625
-36.6,-47.1796875,-10.5796875
-37.4578125,-49.4671875,-12.009375
-40.3171875,-53.75625,-13.4390625
-45.178125,-59.475,-14.296875
-51.1828125,-65.765625,-14.5828125
-58.0453125,-71.7703125,-13.725
-64.3359375,-76.9171875,-12.58125
-69.4828125,-80.3484375,-10.865625
-72.9140625,-81.778125,-8.8640625
-74.0578125,-81.20625,-7.1484375
-72.9140625,-78.346875,-5.4328125
-69.4828125,-74.34375,-4.86093749999999
-64.3359375,-69.196875,-4.86093750000001
-58.0453125,-63.7640625,-5.71875
-52.040625,-59.1890625,-7.14843750000001
-46.321875,-55.7578125,-9.4359375
-42.31875,-53.75625,-11.4375
-39.7453125,-53.4703125,-13.725
-39.459375,-55.1859375,-15.7265625
-40.8890625,-57.759375,-16.8703125
-44.034375,-61.4765625,-17.4421875
-47.7515625,-65.19375,-17.4421875
-52.040625,-68.625,-16.584375
-56.04375,-71.1984375,-15.1546875
-59.1890625,-72.9140625,-13.725
-61.190625,-73.4859375,-12.2953125
-62.0484375,-72.9140625,-10.865625
-61.7625,-71.484375,-9.721875
-60.3328125,-69.4828125,-9.15000000000001
-58.6171875,-67.48125,-8.8640625
-56.3296875,-65.19375,-8.8640625
-54.328125,-63.478125,-9.15000000000001
-52.3265625,-62.0484375,-9.721875
-50.896875,-60.9046875,-10.0078125
-49.4671875,-60.046875,-10.5796875
-48.609375,-59.475,-10.865625
-47.7515625,-59.1890625,-11.4375
-46.89375,-58.6171875,-11.7234375
-46.0359375,-58.0453125,-12.009375
-44.8921875,-57.1875,-12.2953125
-43.4625,-56.3296875,-12.8671875
-42.0328125,-55.1859375,-13.153125
-40.603125,-54.0421875,-13.4390625
-39.1734375,-52.8984375,-13.725
-37.4578125,-51.7546875,-14.296875
-36.028125,-50.325,-14.296875
-34.884375,-49.18125,-14.296875
-34.0265625,-48.0375,-14.0109375
-33.4546875,-47.1796875,-13.725
-33.4546875,-46.6078125,-13.153125
-33.740625,-46.6078125,-12.8671875
-34.884375,-47.1796875,-12.2953125
-36.8859375,-48.8953125,-12.009375
-39.459375,-51.1828125,-11.7234375
-43.1765625,-54.6140625,-11.4375
-47.465625,-58.6171875,-11.1515625
-52.040625,-63.1921875,-11.1515625
-56.615625,-68.053125,-11.4375
-60.9046875,-72.3421875,-11.4375
-64.621875,-75.7734375,-11.1515625
-66.909375,-77.775,-10.865625
-67.48125,-78.6328125,-11.1515625
-66.6234375,-77.775,-11.1515625
-64.3359375,-75.4875,-11.1515625
-60.61875,-72.05625,-11.4375
-56.04375,-68.053125,-12.009375
-51.46875,-64.05,-12.58125
-47.1796875,-60.3328125,-13.153125
-43.7484375,-58.0453125,-14.296875
-41.746875,-56.9015625,-15.1546875
-41.4609375,-57.4734375,-16.0125
-42.890625,-59.1890625,-16.2984375
-45.178125,-62.334375,-17.15625
-48.609375,-65.765625,-17.15625
-52.3265625,-69.196875,-16.8703125
-55.7578125,-72.05625,-16.2984375
-58.0453125,-74.0578125,-16.0125
-59.1890625,-74.34375,-15.1546875
-58.903125,-73.4859375,-14.5828125
-57.1875,-71.1984375,-14.0109375
-54.328125,-68.053125,-13.725
-50.6109375,-64.05,-13.4390625
-46.89375,-60.3328125,-13.4390625
-43.1765625,-56.9015625,-13.725
-40.603125,-54.328125,-13.725
-38.8875,-53.184375,-14.296875
-38.315625,-52.8984375,-14.5828125
-38.8875,-53.75625,-14.86875
-40.603125,-55.471875,-14.86875
-42.890625,-58.0453125,-15.1546875
-45.4640625,-60.3328125,-14.86875
-47.7515625,-62.6203125,-14.86875
-49.753125,-64.05,-14.296875
-50.896875,-64.9078125,-14.0109375
-51.46875,-64.9078125,-13.4390625
-50.896875,-64.05,-13.153125
-49.753125,-62.0484375,-12.2953125
-48.0375,-59.7609375,-11.7234375
-45.75,-57.1875,-11.4375
-43.1765625,-54.0421875,-10.865625
-40.3171875,-51.1828125,-10.865625
-37.4578125,-48.609375,-11.1515625
-34.884375,-46.321875,-11.4375
-32.3109375,-44.3203125,-12.009375
-30.309375,-42.890625,-12.58125
-28.59375,-41.746875,-13.153125
-27.1640625,-41.4609375,-14.296875
-26.5921875,-41.4609375,-14.86875
-26.5921875,-42.0328125,-15.440625
-27.45,-43.1765625,-15.7265625
-28.8796875,-44.60625,-15.7265625
-31.1671875,-46.321875,-15.1546875
-34.0265625,-48.609375,-14.5828125
-37.4578125,-50.6109375,-13.153125
-40.8890625,-52.8984375,-12.009375
-44.3203125,-55.1859375,-10.865625
-47.7515625,-57.1875,-9.4359375
-50.325,-58.903125,-8.578125
-52.6125,-60.3328125,-7.7203125
-53.75625,-60.9046875,-7.1484375
-54.0421875,-60.9046875,-6.8625
-53.4703125,-60.3328125,-6.8625
-52.040625,-58.903125,-6.8625
-49.4671875,-56.615625,-7.1484375
-46.321875,-53.4703125,-7.1484375
-42.6046875,-49.753125,-7.1484375
-38.315625,-45.178125,-6.8625
-33.740625,-40.603125,-6.8625
-29.165625,-35.7421875,-6.5765625
-24.590625,-31.1671875,-6.5765625
-20.3015625,-27.1640625,-6.8625
-16.584375,-24.01875,-7.434375
-14.0109375,-22.303125,-8.2921875
-12.58125,-22.0171875,-9.4359375
-12.2953125,-23.1609375,-10.865625
-13.4390625,-25.734375,-12.2953125
-16.0125,-29.7375,-13.725
-19.7296875,-34.5984375,-14.86875
-24.590625,-40.03125,-15.440625
-30.0234375,-45.4640625,-15.440625
-35.45625,-50.6109375,-15.1546875
-40.3171875,-54.6140625,-14.296875
-44.3203125,-57.4734375,-13.153125
-46.89375,-58.903125,-12.009375
-48.3234375,-59.1890625,-10.865625
-48.3234375,-58.0453125,-9.721875
-47.465625,-56.3296875,-8.8640625
-45.75,-54.6140625,-8.8640625
-44.034375,-53.4703125,-9.43593749999999
-42.890625,-53.184375,-10.29375
-43.1765625,-54.6140625,-11.4375
-44.8921875,-57.4734375,-12.58125
-48.3234375,-61.7625,-13.4390625
-53.4703125,-67.48125,-14.0109375
-59.7609375,-73.771875,-14.0109375
-66.909375,-80.0625,-13.153125
-73.771875,-85.209375,-11.4375
-79.2046875,-88.640625,-9.43593749999999
-82.921875,-89.784375,-6.8625
-84.065625,-88.06875,-4.00312500000001
-82.0640625,-83.7796875,-1.715625
-77.203125,-76.63125,0.571874999999991
-69.4828125,-67.48125,2.00156250000001
-60.046875,-57.1875,2.859375
-49.18125,-46.6078125,2.5734375
-38.6015625,-36.8859375,1.715625
-28.59375,-28.3078125,0.285937499999999
-20.3015625,-22.0171875,-1.715625
-14.296875,-18.0140625,-3.7171875
-10.865625,-16.8703125,-6.0046875
-9.721875,-17.728125,-8.00625
-10.865625,-20.3015625,-9.4359375
-13.4390625,-24.01875,-10.5796875
-16.8703125,-28.59375,-11.7234375
-20.3015625,-32.8828125,-12.58125
-24.01875,-36.6,-12.58125
-26.878125,-40.03125,-13.153125
-29.165625,-42.31875,-13.153125
-31.1671875,-44.034375,-12.8671875
-32.596875,-45.4640625,-12.8671875
-34.0265625,-46.89375,-12.8671875
-35.7421875,-48.3234375,-12.58125
-37.74375,-50.0390625,-12.2953125
-40.3171875,-52.040625,-11.7234375
-42.890625,-53.75625,-10.865625
-45.178125,-55.471875,-10.29375
-46.89375,-56.3296875,-9.4359375
-47.465625,-56.04375,-8.578125
-46.6078125,-54.6140625,-8.00625
-44.60625,-51.7546875,-7.1484375
-40.8890625,-47.7515625,-6.8625
-36.028125,-42.890625,-6.8625
-30.5953125,-37.74375,-7.1484375
-25.4484375,-33.16875,-7.7203125
-21.159375,-29.7375,-8.578125
-18.3,-28.021875,-9.721875
-17.4421875,-28.59375,-11.1515625
-18.871875,-31.453125,-12.58125
-22.5890625,-36.3140625,-13.725
-28.3078125,-43.1765625,-14.86875
-35.1703125,-50.896875,-15.7265625
-42.6046875,-58.903125,-16.2984375
-50.0390625,-66.3375,-16.2984375
-56.615625,-72.628125,-16.0125
-61.4765625,-77.203125,-15.7265625
-64.621875,-79.7765625,-15.1546875
-65.765625,-80.0625,-14.296875
-65.4796875,-78.91875,-13.4390625
-63.7640625,-76.3453125,-12.58125
-61.7625,-73.2,-11.4375
-59.475,-70.0546875,-10.5796875
-57.4734375,-67.48125,-10.0078125
-56.3296875,-65.765625,-9.43593749999999
-56.3296875,-65.19375,-8.8640625
-56.9015625,-65.765625,-8.8640625
-58.33125,-67.1953125,-8.8640625
-60.046875,-68.9109375,-8.8640625
-61.4765625,-70.9125,-9.43593750000001
-62.6203125,-72.3421875,-9.721875
-62.90625,-73.2,-10.29375
-62.6203125,-73.2,-10.5796875
-61.190625,-72.628125,-11.4375
-59.7609375,-71.7703125,-12.009375
-58.0453125,-70.6265625,-12.58125
-56.9015625,-69.76875,-12.8671875
-56.615625,-69.76875,-13.153125
-57.759375,-70.9125,-13.153125
-60.046875,-73.2,-13.153125
-63.478125,-76.3453125,-12.8671875
-68.053125,-80.3484375,-12.2953125
-72.9140625,-84.6375,-11.7234375
-77.4890625,-88.3546875,-10.865625
-81.20625,-91.2140625,-10.0078125
-83.49375,-92.64375,-9.14999999999999
-84.065625,-92.3578125,-8.29218750000001
-82.35,-90.0703125,-7.72031249999999
-78.91875,-85.78125,-6.8625
-74.0578125,-80.634375,-6.57656250000001
-68.3390625,-74.34375,-6.0046875
-62.334375,-68.3390625,-6.0046875
-56.615625,-62.6203125,-6.0046875
-52.040625,-58.0453125,-6.0046875
-48.8953125,-54.9,-6.0046875
-47.465625,-53.4703125,-6.0046875
-47.465625,-53.4703125,-6.0046875
-48.8953125,-54.9,-6.0046875
-50.896875,-56.9015625,-6.0046875
-53.75625,-59.1890625,-5.4328125
-56.3296875,-61.4765625,-5.14687499999999
-58.33125,-63.7640625,-5.4328125
-60.046875,-65.4796875,-5.4328125
-61.4765625,-67.1953125,-5.71875
-62.334375,-68.9109375,-6.5765625
-63.478125,-70.9125,-7.434375
-65.19375,-73.4859375,-8.2921875
-67.7671875,-77.203125,-9.43593749999999
-71.1984375,-81.20625,-10.0078125
-75.4875,-86.353125,-10.865625
-80.9203125,-91.5,-10.5796875
-86.353125,-96.646875,-10.29375
-91.7859375,-100.65,-8.8640625
-96.075,-103.7953125,-7.72031250000001
-99.2203125,-104.9390625,-5.71875
-100.65,-104.3671875,-3.71718749999999
-100.078125,-102.0796875,-2.00156250000001
-97.790625,-98.3625,-0.571874999999991
-94.0734375,-93.7875,0.285937499999989
-89.784375,-89.4984375,0.285937499999989
-85.4953125,-85.78125,-0.285937500000003
-82.0640625,-83.49375,-1.4296875
-80.0625,-83.49375,-3.43125000000001
-80.0625,-85.209375,-5.14687500000001
-82.35,-89.4984375,-7.1484375
-86.6390625,-94.93125,-8.2921875
-92.071875,-101.79375,-9.721875
-98.6484375,-108.3703125,-9.721875
-105.225,-114.6609375,-9.43593749999999
-110.6578125,-118.95,-8.2921875
-114.6609375,-121.5234375,-6.8625
-116.6625,-121.5234375,-4.86093749999999
-116.090625,-119.2359375,-3.1453125
-113.5171875,-114.946875,-1.4296875
-108.9421875,-108.9421875,0.0
-102.9375,-102.0796875,0.857812499999994
-96.646875,-94.93125,1.715625
-90.0703125,-88.640625,1.4296875
-84.6375,-83.49375,1.14375
-80.3484375,-80.0625,0.285937500000003
-78.0609375,-78.346875,-0.285937499999989
-77.4890625,-78.346875,-0.857812499999994
-78.6328125,-79.7765625,-1.14375
-81.4921875,-82.6359375,-1.14375
-85.209375,-86.6390625,-1.4296875
-89.4984375,-90.6421875,-1.14375
-93.7875,-94.6453125,-0.857812499999994
-97.5046875,-98.6484375,-1.14375
-100.9359375,-102.0796875,-1.14375
-103.2234375,-104.653125,-1.4296875
-104.653125,-106.940625,-2.28749999999999
-105.225,-108.3703125,-3.14531249999999
-105.225,-109.5140625,-4.2890625
-104.9390625,-110.371875,-5.4328125
-104.3671875,-110.94375,-6.57656250000001
-103.7953125,-111.515625,-7.72031249999999
-103.2234375,-111.515625,-8.2921875
-102.9375,-111.2296875,-8.29218750000001
-102.365625,-110.6578125,-8.2921875
-101.5078125,-109.228125,-7.72031250000001
-100.078125,-106.6546875,-6.57656250000001
-97.790625,-103.509375,-5.71875
-94.6453125,-99.2203125,-4.575
-90.35625,-93.7875,-3.43125000000001
-85.209375,-87.7828125,-2.5734375
-79.2046875,-81.4921875,-2.28749999999999
-72.628125,-74.915625,-2.28750000000001
-66.6234375,-69.4828125,-2.859375
-61.190625,-64.9078125,-3.7171875
-57.1875,-62.0484375,-4.86093750000001
-55.1859375,-61.190625,-6.0046875
-55.1859375,-62.6203125,-7.434375
-57.759375,-66.0515625,-8.2921875
-62.90625,-71.484375,-8.578125
-69.76875,-78.346875,-8.578125
-77.775,-86.0671875,-8.2921875
-86.6390625,-93.7875,-7.1484375
-94.93125,-100.65,-5.71875
-102.365625,-106.0828125,-3.71718749999999
-108.084375,-110.0859375,-2.00156249999999
-112.0875,-111.8015625,0.285937500000003
-113.5171875,-111.8015625,1.715625
-113.23125,-109.8,3.43124999999999
-110.94375,-106.6546875,4.2890625
-107.7984375,-102.9375,4.86093750000001
-103.7953125,-98.934375,4.86093750000001
-99.50625,-95.2171875,4.2890625
-96.075,-92.071875,4.003125
-93.215625,-90.0703125,3.1453125
-91.2140625,-89.2125,2.00156249999999
-90.0703125,-89.2125,0.857812499999994
-90.0703125,-90.0703125,0.0
-90.6421875,-91.5,-0.857812499999994
-91.5,-93.5015625,-2.00156250000001
-93.215625,-95.7890625,-2.5734375
-94.93125,-98.3625,-3.43124999999999
