LEFT,RIGHT,DIFF
-132.3890625,-184.14375,-51.7546875
-134.9625,-187.2890625,-52.3265625
-137.821875,-191.00625,-53.184375
-140.3953125,-195.2953125,-54.9
-142.6828125,-199.2984375,-56.615625
-144.3984375,-202.44375,-58.0453125
-144.9703125,-205.0171875,-60.046875
-144.9703125,-205.875,-60.9046875
-143.540625,-205.5890625,-62.0484375
-141.253125,-203.8734375,-62.6203125
-138.6796875,-201.0140625,-62.334375
-135.534375,-197.86875,-62.334375
-132.675,-194.7234375,-62.0484375
-130.3875,-192.4359375,-62.0484375
-129.24375,-191.2921875,-62.0484375
-129.24375,-191.2921875,-62.0484375
-130.6734375,-193.29375,-62.6203125
-133.5328125,-196.4390625,-62.90625
-137.5359375,-200.4421875,-62.90625
-142.1109375,-205.303125,-63.1921875
-146.6859375,-210.1640625,-63.478125
-151.546875,-214.453125,-62.90625
-155.55,-217.5984375,-62.0484375
-158.409375,-219.3140625,-60.9046875
-160.125,-219.6,-59.475
-160.4109375,-218.7421875,-58.33125
-159.2671875,-216.4546875,-57.1875
-157.265625,-213.5953125,-56.3296875
-154.1203125,-210.1640625,-56.04375
-150.6890625,-207.01875,-56.3296875
-146.971875,-204.159375,-57.1875
-143.540625,-201.5859375,-58.0453125
-140.3953125,-199.8703125,-59.475
-138.1078125,-198.7265625,-60.61875
-136.3921875,-197.86875,-61.4765625
-135.8203125,-197.0109375,-61.190625
-135.8203125,-196.4390625,-60.61875
-136.3921875,-195.58125,-59.1890625
-137.5359375,-194.7234375,-57.1875
-139.2515625,-193.5796875,-54.328125
-140.9671875,-192.15,-51.1828125
-142.6828125,-191.00625,-48.3234375
-144.1125,-189.8625,-45.75
-145.25625,-188.71875,-43.4625
-145.828125,-187.8609375,-42.0328125
-146.4,-187.2890625,-40.8890625
-146.1140625,-186.7171875,-40.603125
-145.5421875,-186.1453125,-40.603125
-144.9703125,-185.5734375,-40.603125
-144.1125,-185.0015625,-40.8890625
-142.96875,-184.14375,-41.175
-142.396875,-183.0,-40.603125
-142.1109375,-182.1421875,-40.03125
-142.1109375,-181.5703125,-39.459375
-142.6828125,-181.5703125,-38.8875
-144.1125,-181.85625,-37.74375
-145.5421875,-183.2859375,-37.74375
-147.8296875,-185.2875,-37.4578125
-149.83125,-187.8609375,-38.0296875
-152.11875,-190.7203125,-38.6015625
-154.1203125,-193.865625,-39.7453125
-155.8359375,-197.0109375,-41.175
-156.9796875,-199.2984375,-42.31875
-157.265625,-201.0140625,-43.7484375
-157.265625,-201.5859375,-44.3203125
-156.9796875,-201.0140625,-44.034375
-156.121875,-199.584375,-43.4625
-154.978125,-197.296875,-42.31875
-153.834375,-194.4375,-40.603125
-152.690625,-191.2921875,-38.6015625
-151.546875,-188.4328125,-36.8859375
-150.6890625,-186.1453125,-35.45625
-150.1171875,-184.14375,-34.0265625
-149.5453125,-183.2859375,-33.740625
-148.9734375,-183.0,-34.0265625
-148.6875,-183.2859375,-34.5984375
