LEFT,RIGHT,DIFF
-271.3546875,-274.5,-3.14531249999999
-268.78125,-271.9265625,-3.14531249999999
-265.921875,-268.78125,-2.859375
-262.7765625,-265.35,-2.57343750000001
-259.63125,-262.2046875,-2.57343750000001
-257.0578125,-259.3453125,-2.28750000000002
-255.3421875,-257.0578125,-1.71562499999999
-254.484375,-255.9140625,-1.4296875
-254.484375,-255.628125,-1.14375000000001
-255.628125,-256.4859375,-0.857812500000023
-257.6296875,-257.915625,-0.285937500000045
-260.203125,-260.203125,0.0
-263.0625,-262.490625,0.571874999999977
-265.35,-264.778125,0.571875000000034
-267.6375,-266.7796875,0.857812499999966
-268.78125,-267.9234375,0.857812499999966
-269.6390625,-268.78125,0.857812500000023
-269.6390625,-269.0671875,0.571875000000034
-269.6390625,-269.0671875,0.571875000000034
-269.353125,-269.0671875,0.285937500000045
-269.353125,-269.0671875,0.285937500000045
-269.6390625,-269.353125,0.285937499999989
-270.496875,-269.925,0.571874999999977
-271.640625,-270.2109375,1.4296875
-272.784375,-270.496875,2.28750000000002
-273.0703125,-269.925,3.14531249999999
-272.2125,-267.9234375,4.2890625
-269.925,-264.20625,5.71875
-265.35,-259.059375,6.29062500000003
-259.059375,-251.9109375,7.14843749999997
-250.7671875,-243.9046875,6.86249999999998
-241.33125,-235.6125,5.71875
-231.8953125,-227.8921875,4.00312500000001
-223.3171875,-222.1734375,1.14375000000001
-217.3125,-219.6,-2.28750000000002
-214.453125,-221.6015625,-7.1484375
-216.16875,-228.75,-12.58125
-223.03125,-241.0453125,-18.0140625
-234.7546875,-258.7734375,-24.01875
-251.053125,-280.5046875,-29.4515625
-271.3546875,-305.6671875,-34.3125
-293.94375,-332.259375,-38.315625
-317.1046875,-358.565625,-41.4609375
-339.69375,-382.584375,-42.890625
-359.4234375,-402.8859375,-43.4625
-375.721875,-418.3265625,-42.6046875
-387.159375,-427.7625,-40.603125
-393.1640625,-430.9078125,-37.74375
-393.7359375,-428.0484375,-34.3125
-389.446875,-419.75625,-30.309375
-380.5828125,-406.8890625,-26.30625
-368.2875,-391.1625,-22.875
-353.41875,-373.1484375,-19.7296875
-337.1203125,-354.2765625,-17.15625
-319.9640625,-335.4046875,-15.440625
-303.3796875,-317.6765625,-14.296875
-287.3671875,-301.378125,-14.0109375
-272.784375,-286.7953125,-14.0109375
-259.63125,-274.5,-14.86875
-248.4796875,-264.4921875,-16.0125
-239.3296875,-256.771875,-17.4421875
-232.18125,-251.053125,-18.871875
-227.3203125,-247.621875,-20.3015625
-224.746875,-246.1921875,-21.4453125
-224.4609375,-246.478125,-22.0171875
-226.1765625,-248.4796875,-22.303125
-229.6078125,-251.9109375,-22.303125
-234.1828125,-256.4859375,-22.303125
-239.9015625,-261.346875,-21.4453125
-245.90625,-266.49375,-20.5875
-251.9109375,-271.3546875,-19.44375
-257.0578125,-275.3578125,-18.3
-261.0609375,-278.503125,-17.4421875
-263.634375,-280.5046875,-16.8703125
-264.778125,-281.3625,-16.584375
-264.778125,-281.3625,-16.584375
-263.634375,-280.790625,-17.15625
-261.91875,-279.9328125,-18.0140625
-259.63125,-278.7890625,-19.1578125
-257.915625,-278.2171875,-20.3015625
-256.4859375,-277.93125,-21.4453125
-256.2,-278.503125,-22.303125
-256.4859375,-279.3609375,-22.875
-257.6296875,-280.5046875,-22.875
-259.3453125,-281.6484375,-22.303125
-261.346875,-282.7921875,-21.4453125
-263.0625,-283.3640625,-20.3015625
-264.778125,-283.3640625,-18.5859375
-265.6359375,-282.7921875,-17.15625
-265.921875,-281.934375,-16.0125
-265.35,-280.5046875,-15.1546875
-264.20625,-279.075,-14.86875
-262.7765625,-278.2171875,-15.440625
-261.0609375,-277.6453125,-16.584375
-259.3453125,-277.6453125,-18.3
-257.6296875,-278.7890625,-21.159375
-256.771875,-280.5046875,-23.7328125
-255.9140625,-282.7921875,-26.878125
-255.628125,-285.365625,-29.7375
-255.9140625,-288.225,-32.3109375
-255.9140625,-290.5125,-34.5984375
-256.2,-292.5140625,-36.3140625
-256.4859375,-293.6578125,-37.171875
-256.2,-293.94375,-37.74375
-255.9140625,-293.6578125,-37.74375
-255.05625,-293.0859375,-38.0296875
-254.1984375,-291.9421875,-37.74375
-253.340625,-290.7984375,-37.4578125
-252.4828125,-289.940625,-37.4578125
-251.625,-289.6546875,-38.0296875
-251.3390625,-289.940625,-38.6015625
-251.3390625,-290.7984375,-39.459375
-251.625,-291.9421875,-40.3171875
-252.76875,-293.6578125,-40.8890625
-253.9125,-295.3734375,-41.4609375
-255.3421875,-297.375,-42.0328125
-257.0578125,-298.8046875,-41.746875
-259.059375,-300.234375,-41.175
-260.775,-300.80625,-40.03125
-262.2046875,-301.0921875,-38.8875
-263.634375,-300.80625,-37.171875
-264.4921875,-299.6625,-35.1703125
-264.778125,-298.2328125,-33.4546875
-264.4921875,-296.5171875,-32.025
-263.9203125,-294.2296875,-30.309375
-262.7765625,-291.65625,-28.8796875
-261.0609375,-289.0828125,-28.021875
-259.059375,-285.9375,-26.878125
-256.771875,-283.078125,-26.30625
-254.484375,-279.9328125,-25.4484375
-252.196875,-277.359375,-25.1625
-250.48125,-274.7859375,-24.3046875
-249.0515625,-273.0703125,-24.01875
-248.19375,-271.9265625,-23.7328125
-248.19375,-271.3546875,-23.1609375
-248.765625,-271.9265625,-23.1609375
-249.909375,-273.0703125,-23.1609375
-251.625,-274.7859375,-23.1609375
-253.9125,-276.7875,-22.875
-256.4859375,-279.075,-22.5890625
-259.059375,-281.3625,-22.303125
-261.6328125,-283.078125,-21.4453125
-263.634375,-284.221875,-20.5875
-265.35,-284.79375,-19.44375
-266.49375,-284.5078125,-18.0140625
-267.065625,-283.65,-16.584375
-267.3515625,-282.2203125,-14.86875
-267.065625,-280.5046875,-13.4390625
-266.2078125,-278.503125,-12.2953125
-265.0640625,-277.0734375,-12.009375
-264.20625,-275.64375,-11.4375
-263.0625,-275.071875,-12.009375
-262.2046875,-274.7859375,-12.58125
-261.6328125,-274.7859375,-13.153125
-261.346875,-275.3578125,-14.0109375
-261.6328125,-275.9296875,-14.296875
-262.2046875,-276.5015625,-14.296875
-263.0625,-276.7875,-13.725
-264.20625,-276.7875,-12.58125
-265.35,-276.215625,-10.865625
-266.49375,-275.3578125,-8.86406249999999
-267.3515625,-273.928125,-6.57656250000002
-268.209375,-272.4984375,-4.2890625
-268.4953125,-270.7828125,-2.28750000000002
-268.4953125,-269.353125,-0.857812500000023
-268.209375,-268.4953125,-0.285937499999989
-267.9234375,-267.9234375,0.0
-267.3515625,-267.9234375,-0.571875000000034
-267.065625,-268.4953125,-1.4296875
-267.065625,-269.925,-2.859375
-267.3515625,-271.640625,-4.2890625
-268.209375,-273.928125,-5.71875
-269.6390625,-276.5015625,-6.86250000000001
-271.3546875,-279.075,-7.72031249999998
-273.6421875,-281.6484375,-8.00624999999997
-275.9296875,-284.221875,-8.29218750000001
-278.2171875,-286.2234375,-8.00624999999997
-280.21875,-288.225,-8.00625000000002
-281.934375,-289.36875,-7.43437500000005
-283.078125,-290.5125,-7.43437499999999
-284.221875,-291.084375,-6.86250000000001
-284.5078125,-291.084375,-6.57656250000002
-284.79375,-291.084375,-6.29062500000003
-284.79375,-290.5125,-5.71875
-284.79375,-289.940625,-5.14687500000002
-284.79375,-289.0828125,-4.2890625
-284.79375,-288.225,-3.43125000000003
-284.79375,-287.3671875,-2.57343750000001
-284.79375,-286.2234375,-1.4296875
-284.79375,-285.365625,-0.571875000000034
-284.5078125,-284.5078125,0.0
-283.9359375,-283.65,0.285937499999989
-283.3640625,-282.7921875,0.571874999999977
-282.2203125,-282.2203125,0.0
-281.3625,-281.934375,-0.571874999999977
-280.21875,-281.6484375,-1.4296875
-279.646875,-281.934375,-2.28749999999997
-279.3609375,-282.50625,-3.14531249999999
-279.646875,-283.3640625,-3.71718749999997
-280.5046875,-284.79375,-4.2890625
-282.2203125,-286.509375,-4.2890625
-284.221875,-288.225,-4.00312500000001
-286.7953125,-290.2265625,-3.43124999999998
-289.0828125,-291.9421875,-2.859375
-291.084375,-293.0859375,-2.00156249999998
-292.5140625,-293.94375,-1.4296875
-292.8,-293.94375,-1.14375000000001
-292.5140625,-293.371875,-0.857812499999966
-291.084375,-291.9421875,-0.857812499999966
-288.796875,-289.940625,-1.14375000000001
-286.2234375,-287.653125,-1.4296875
-283.3640625,-285.365625,-2.00156250000003
-281.0765625,-283.078125,-2.00156249999998
-279.3609375,-281.0765625,-1.71562499999999
-278.503125,-279.646875,-1.14375000000001
-278.7890625,-278.7890625,0.0
-279.9328125,-278.503125,1.4296875
-281.6484375,-278.7890625,2.859375
-283.9359375,-279.3609375,4.57499999999999
-286.2234375,-279.9328125,6.29062499999998
-288.225,-280.21875,8.00625000000002
-289.36875,-279.9328125,9.43593750000002
-289.36875,-279.075,10.29375
-288.5109375,-277.0734375,11.4375
-286.2234375,-274.7859375,11.4375
-283.3640625,-271.640625,11.7234375
-279.9328125,-268.209375,11.7234375
-276.5015625,-264.778125,11.7234375
-273.35625,-261.6328125,11.7234375
-270.496875,-258.7734375,11.7234375
-268.78125,-256.771875,12.009375
-267.9234375,-255.3421875,12.58125
-267.9234375,-254.1984375,13.725
-268.4953125,-253.9125,14.5828125
-269.353125,-253.340625,16.0125
-270.496875,-252.76875,17.728125
-271.06875,-251.9109375,19.1578125
-271.06875,-250.7671875,20.3015625
-270.496875,-248.765625,21.73125
-268.78125,-246.1921875,22.5890625
