LEFT,RIGHT,DIFF
-214.1671875,-283.3640625,-69.196875
-215.3109375,-287.08125,-71.7703125
-216.740625,-291.3703125,-74.6296875
-218.45625,-295.659375,-77.203125
-219.8859375,-299.3765625,-79.490625
-221.0296875,-302.2359375,-81.20625
-221.8875,-303.665625,-81.778125
-222.1734375,-303.9515625,-81.778125
-221.8875,-303.09375,-81.20625
-221.315625,-301.378125,-80.0625
-220.4578125,-299.090625,-78.6328125
-219.6,-296.803125,-77.203125
-218.7421875,-294.8015625,-76.059375
-218.1703125,-293.6578125,-75.4875
-217.884375,-293.6578125,-75.7734375
-218.45625,-295.0875,-76.63125
-219.3140625,-297.375,-78.0609375
-220.74375,-300.80625,-80.0625
-222.7453125,-304.809375,-82.0640625
-224.746875,-308.8125,-84.065625
-227.034375,-312.5296875,-85.4953125
-229.0359375,-315.3890625,-86.353125
-230.7515625,-317.1046875,-86.353125
-232.18125,-317.390625,-85.209375
-232.753125,-316.246875,-83.49375
-232.753125,-314.2453125,-81.4921875
-232.18125,-311.1,-78.91875
-231.3234375,-307.66875,-76.3453125
-229.89375,-304.2375,-74.34375
-228.4640625,-300.80625,-72.3421875
-227.034375,-298.2328125,-71.1984375
-225.6046875,-296.5171875,-70.9125
-224.175,-295.3734375,-71.1984375
-223.03125,-295.0875,-72.05625
-221.8875,-295.3734375,-73.4859375
-221.0296875,-295.9453125,-74.915625
-220.4578125,-296.803125,-76.3453125
-219.8859375,-297.6609375,-77.775
-219.6,-298.51875,-78.91875
-219.6,-299.090625,-79.490625
-220.171875,-299.9484375,-79.7765625
-221.6015625,-300.80625,-79.2046875
-223.3171875,-301.6640625,-78.346875
-226.1765625,-302.8078125,-76.63125
-229.321875,-304.5234375,-75.2015625
-233.0390625,-306.525,-73.4859375
-236.75625,-308.8125,-72.05625
-240.1875,-311.1,-70.9125
-243.046875,-313.3875,-70.340625
-245.0484375,-315.103125,-70.0546875
-245.6203125,-316.246875,-70.6265625
-245.0484375,-316.5328125,-71.484375
-242.7609375,-315.9609375,-73.2
-239.3296875,-314.53125,-75.2015625
-235.040625,-311.9578125,-76.9171875
-230.465625,-308.8125,-78.346875
-225.890625,-305.38125,-79.490625
-221.8875,-301.95,-80.0625
-218.7421875,-298.8046875,-80.0625
-217.3125,-295.9453125,-78.6328125
-217.0265625,-294.2296875,-77.203125
-218.1703125,-293.94375,-75.7734375
-220.4578125,-294.515625,-74.0578125
-223.603125,-296.5171875,-72.9140625
-227.034375,-299.6625,-72.628125
-230.7515625,-303.665625,-72.9140625
-233.896875,-308.5265625,-74.6296875
-236.75625,-313.3875,-76.63125
-238.471875,-318.534375,-80.0625
-239.615625,-323.109375,-83.49375
-240.1875,-326.8265625,-86.6390625
-240.1875,-329.6859375,-89.4984375
-239.9015625,-331.115625,-91.2140625
-239.3296875,-331.6875,-92.3578125
-239.3296875,-330.8296875,-91.5
-239.3296875,-329.1140625,-89.784375
-239.9015625,-327.1125,-87.2109375
-240.4734375,-325.1109375,-84.6375
-241.6171875,-323.109375,-81.4921875
-242.475,-321.6796875,-79.2046875
-243.61875,-321.39375,-77.775
-244.190625,-321.965625,-77.775
-244.4765625,-323.3953125,-78.91875
-244.4765625,-325.396875,-80.9203125
-243.61875,-327.684375,-84.065625
-242.475,-329.971875,-87.496875
-240.1875,-331.115625,-90.928125
-237.328125,-331.4015625,-94.0734375
-233.896875,-329.971875,-96.075
-230.1796875,-327.3984375,-97.21875
-225.6046875,-323.109375,-97.5046875
-221.315625,-317.6765625,-96.3609375
-217.0265625,-311.9578125,-94.93125
-213.309375,-306.525,-93.215625
-210.7359375,-301.6640625,-90.928125
-209.30625,-298.51875,-89.2125
-209.5921875,-297.0890625,-87.496875
-211.3078125,-297.946875,-86.6390625
-214.453125,-300.5203125,-86.0671875
-219.028125,-304.809375,-85.78125
-224.175,-309.95625,-85.78125
-229.6078125,-315.103125,-85.4953125
-234.46875,-319.9640625,-85.4953125
-238.471875,-323.3953125,-84.9234375
-240.4734375,-324.825,-84.3515625
-240.759375,-324.5390625,-83.7796875
-238.7578125,-322.5375,-83.7796875
-235.3265625,-318.8203125,-83.49375
-231.0375,-314.8171875,-83.7796875
-226.1765625,-311.1,-84.9234375
-221.6015625,-308.240625,-86.6390625
-218.45625,-307.096875,-88.640625
-216.740625,-308.240625,-91.5
-217.3125,-311.3859375,-94.0734375
-220.171875,-316.246875,-96.075
-224.4609375,-322.5375,-98.0765625
-229.6078125,-329.1140625,-99.50625
-235.040625,-334.8328125,-99.7921875
-239.615625,-338.55,-98.934375
-242.7609375,-340.265625,-97.5046875
-243.61875,-339.121875,-95.503125
-242.1890625,-335.4046875,-93.215625
-238.471875,-329.4,-90.928125
-233.0390625,-321.965625,-88.9265625
-226.7484375,-314.2453125,-87.496875
-220.4578125,-307.66875,-87.2109375
-215.3109375,-302.8078125,-87.496875
-212.165625,-300.5203125,-88.3546875
-211.021875,-300.80625,-89.784375
-212.165625,-303.9515625,-91.7859375
-215.3109375,-309.0984375,-93.7875
-219.6,-315.3890625,-95.7890625
-224.4609375,-321.6796875,-97.21875
-228.4640625,-326.8265625,-98.3625
-231.0375,-330.2578125,-99.2203125
-231.3234375,-330.8296875,-99.50625
-229.89375,-329.1140625,-99.2203125
-226.1765625,-325.396875,-99.2203125
-221.0296875,-320.5359375,-99.50625
-215.8828125,-315.3890625,-99.50625
-211.3078125,-311.3859375,-100.078125
-208.734375,-309.6703125,-100.9359375
-208.734375,-311.1,-102.365625
-211.8796875,-315.3890625,-103.509375
-217.884375,-322.8234375,-104.9390625
-226.4625,-332.259375,-105.796875
-236.4703125,-342.553125,-106.0828125
-247.05,-352.5609375,-105.5109375
-256.2,-360.28125,-104.08125
-262.7765625,-365.1421875,-102.365625
-266.2078125,-365.7140625,-99.50625
-265.6359375,-361.996875,-96.3609375
-260.775,-354.2765625,-93.5015625
-252.76875,-343.4109375,-90.6421875
-242.1890625,-330.8296875,-88.640625
-230.1796875,-317.6765625,-87.496875
-218.7421875,-305.6671875,-86.925
-208.4484375,-296.23125,-87.7828125
-201.0140625,-290.5125,-89.4984375
-196.725,-288.5109375,-91.7859375
-195.8671875,-290.2265625,-94.359375
-198.440625,-295.659375,-97.21875
-203.3015625,-303.09375,-99.7921875
-210.1640625,-311.671875,-101.5078125
-217.5984375,-320.25,-102.6515625
-224.746875,-327.684375,-102.9375
-230.7515625,-333.403125,-102.6515625
-235.040625,-336.5484375,-101.5078125
-237.0421875,-337.40625,-100.3640625
-237.6140625,-336.2625,-98.6484375
-236.4703125,-333.975,-97.5046875
-234.46875,-330.8296875,-96.3609375
-232.18125,-327.684375,-95.503125
-229.89375,-325.1109375,-95.2171875
-228.4640625,-323.3953125,-94.93125
-227.60625,-322.8234375,-95.2171875
-227.3203125,-323.109375,-95.7890625
-227.60625,-323.9671875,-96.3609375
-228.4640625,-324.825,-96.3609375
-228.75,-325.6828125,-96.9328125
-229.0359375,-325.6828125,-96.646875
-228.4640625,-325.1109375,-96.646875
-227.60625,-323.68125,-96.075
-225.890625,-321.39375,-95.503125
-223.8890625,-319.10625,-95.2171875
-222.1734375,-316.81875,-94.6453125
-220.4578125,-314.8171875,-94.359375
-219.6,-313.6734375,-94.0734375
-219.3140625,-313.3875,-94.0734375
-219.8859375,-313.6734375,-93.7875
-221.0296875,-314.8171875,-93.7875
-222.459375,-316.5328125,-94.0734375
-224.175,-318.2484375,-94.0734375
-225.31875,-319.678125,-94.359375
-226.1765625,-320.821875,-94.6453125
-226.1765625,-321.1078125,-94.93125
-225.31875,-320.821875,-95.503125
-223.603125,-319.9640625,-96.3609375
-221.6015625,-318.8203125,-97.21875
