LEFT,RIGHT,DIFF
-595.0359375,-640.5,-45.4640625
-585.3140625,-631.0640625,-45.75
-573.3046875,-619.340625,-46.0359375
-559.5796875,-606.1875,-46.6078125
-545.8546875,-593.034375,-47.1796875
-532.7015625,-580.7390625,-48.0375
-521.8359375,-570.4453125,-48.609375
-513.8296875,-563.296875,-49.4671875
-509.540625,-559.29375,-49.753125
-508.6828125,-559.0078125,-50.325
-511.828125,-562.153125,-50.325
-517.546875,-568.44375,-50.896875
-525.8390625,-576.7359375,-50.8968749999999
-535.5609375,-586.171875,-50.6109375
-545.2828125,-596.1796875,-50.896875
-554.4328125,-605.3296875,-50.8968749999999
-562.153125,-612.7640625,-50.6109375
-567.5859375,-618.4828125,-50.896875
-571.0171875,-621.9140625,-50.896875
-572.446875,-623.34375,-50.896875
-571.875,-622.771875,-50.896875
-569.8734375,-621.05625,-51.1828125
-567.3,-618.4828125,-51.1828125
-564.440625,-615.6234375,-51.1828125
-562.153125,-613.3359375,-51.1828125
-560.4375,-611.90625,-51.46875
-560.1515625,-611.6203125,-51.46875
-560.4375,-612.478125,-52.040625
-561.8671875,-614.4796875,-52.6125000000001
-563.5828125,-617.053125,-53.4703125
-565.584375,-619.9125,-54.328125
-567.3,-622.4859375,-55.1859374999999
-568.1578125,-624.2015625,-56.04375
-568.1578125,-625.059375,-56.9015625000001
-567.0140625,-624.2015625,-57.1875
-564.440625,-621.9140625,-57.4734374999999
-560.7234375,-617.9109375,-57.1875
-555.8625,-612.7640625,-56.9015625
-550.4296875,-606.1875,-55.7578125
-544.425,-599.325,-54.9
-538.70625,-592.4625,-53.7562499999999
-533.559375,-586.171875,-52.6125
-529.55625,-581.025,-51.46875
-526.9828125,-577.8796875,-50.896875
-526.125,-576.7359375,-50.6109375
-526.9828125,-578.165625,-51.1828125
-530.128125,-581.596875,-51.46875
-534.703125,-587.315625,-52.6125000000001
-540.99375,-594.4640625,-53.4703125000001
-548.1421875,-602.4703125,-54.328125
-555.8625,-610.7625,-54.9
-563.296875,-618.76875,-55.4718750000001
-569.8734375,-625.3453125,-55.471875
-575.30625,-630.20625,-54.9000000000001
-579.309375,-633.065625,-53.75625
-581.596875,-633.9234375,-52.3265624999999
-582.16875,-633.065625,-50.896875
-581.3109375,-631.0640625,-49.753125
-579.5953125,-628.2046875,-48.609375
-577.021875,-625.059375,-48.0375
-574.1625,-622.2,-48.0375
-571.875,-620.1984375,-48.3234375000001
-569.8734375,-619.340625,-49.4671875
-568.44375,-619.340625,-50.896875
-567.871875,-619.9125,-52.040625
-567.5859375,-621.05625,-53.4703125
-567.871875,-622.4859375,-54.6140624999999
-568.44375,-623.915625,-55.471875
-569.3015625,-624.7734375,-55.471875
-569.8734375,-625.63125,-55.7578125
-570.73125,-626.203125,-55.471875
-571.875,-627.0609375,-55.1859375
-573.3046875,-627.91875,-54.6140625
-575.30625,-629.634375,-54.328125
-577.8796875,-632.2078125,-54.328125
-581.025,-635.6390625,-54.6140625
-584.1703125,-639.6421875,-55.471875
-587.315625,-643.6453125,-56.3296875
-590.175,-647.3625,-57.1875
-591.6046875,-650.221875,-58.6171875
-591.890625,-651.0796875,-59.1890625
-590.175,-649.9359375,-59.7609375
-586.74375,-646.790625,-60.046875
-581.596875,-641.3578125,-59.7609375
-575.30625,-634.4953125,-59.1890625000001
-568.44375,-626.775,-58.33125
-561.8671875,-619.340625,-57.4734375
-556.1484375,-613.05,-56.9015625000001
-552.43125,-608.475,-56.04375
-551.0015625,-606.4734375,-55.4718750000001
-552.1453125,-607.33125,-55.1859375
-555.290625,-610.7625,-55.4718750000001
-560.4375,-615.909375,-55.4718750000001
-566.728125,-622.2,-55.4718750000001
-573.01875,-628.490625,-55.471875
-578.4515625,-633.6375,-55.1859375
-582.16875,-636.7828125,-54.6140624999999
-583.3125,-637.06875,-53.75625
-581.8828125,-634.209375,-52.3265625
-577.59375,-628.2046875,-50.6109375
-571.303125,-620.1984375,-48.8953125
-563.296875,-610.4765625,-47.1796875
-555.0046875,-600.46875,-45.4640625
-547.284375,-591.31875,-44.034375
-541.2796875,-584.1703125,-42.890625
-537.5625,-579.88125,-42.31875
-537.2765625,-579.309375,-42.0328125
-540.1359375,-582.4546875,-42.3187499999999
-546.4265625,-589.03125,-42.6046875
-555.290625,-598.753125,-43.4625000000001
-566.4421875,-610.190625,-43.7484375
-578.165625,-622.771875,-44.60625
-590.175,-635.0671875,-44.8921875
-600.7546875,-645.9328125,-45.178125
-609.046875,-654.5109375,-45.4640625000001
-614.4796875,-659.6578125,-45.1781249999999
-616.1953125,-661.3734375,-45.178125
-614.19375,-659.0859375,-44.8921875
-609.046875,-653.653125,-44.60625
-600.7546875,-645.075,-44.3203125
-590.4609375,-634.78125,-44.3203125
-579.0234375,-623.34375,-44.3203125
-567.871875,-612.1921875,-44.3203125
-557.8640625,-602.184375,-44.3203125
-550.14375,-594.75,-44.6062499999999
-545.2828125,-590.175,-44.8921875000001
-543.853125,-589.03125,-45.178125
-545.8546875,-591.0328125,-45.1781249999999
-550.715625,-596.465625,-45.75
-558.15,-604.1859375,-46.0359375
-567.0140625,-613.3359375,-46.321875
-576.45,-623.34375,-46.89375
-585.3140625,-632.7796875,-47.465625
-593.034375,-640.7859375,-47.7515625
-598.4671875,-646.790625,-48.3234375
-601.3265625,-650.5078125,-49.18125
-601.8984375,-651.6515625,-49.7531250000001
-599.896875,-650.5078125,-50.6109375
-596.465625,-647.3625,-50.896875
-591.6046875,-643.0734375,-51.46875
-586.4578125,-638.2125,-51.7546874999999
-581.3109375,-633.3515625,-52.040625
-576.45,-628.7765625,-52.3265625
-572.7328125,-625.3453125,-52.6125
-569.8734375,-623.0578125,-53.184375
-567.871875,-621.628125,-53.75625
-566.728125,-621.628125,-54.9000000000001
-566.15625,-622.2,-56.04375
-566.4421875,-623.915625,-57.4734374999999
-567.3,-626.203125,-58.9031249999999
-568.7296875,-629.3484375,-60.61875
-570.73125,-632.7796875,-62.0484375
-573.590625,-636.496875,-62.90625
-577.021875,-640.2140625,-63.1921875
-580.7390625,-643.6453125,-62.90625
-584.45625,-646.5046875,-62.0484375
-588.1734375,-648.50625,-60.3328125
-591.0328125,-648.7921875,-57.7593750000001
-592.4625,-647.3625,-54.9000000000001
-592.1765625,-643.93125,-51.7546874999999
-589.8890625,-638.4984375,-48.609375
-585.6,-631.35,-45.75
-579.5953125,-623.0578125,-43.4625000000001
-572.446875,-614.19375,-41.746875
-565.0125,-605.615625,-40.603125
-558.15,-598.4671875,-40.3171875
-552.43125,-593.034375,-40.6031250000001
-548.7140625,-589.8890625,-41.175
-547.284375,-589.3171875,-42.0328125
-548.1421875,-590.746875,-42.6046875000001
-551.0015625,-593.8921875,-42.890625
-555.0046875,-597.609375,-42.6046875
-559.29375,-601.040625,-41.7468749999999
-562.725,-603.6140625,-40.8890625
-565.2984375,-604.471875,-39.1734375000001
-565.8703125,-603.6140625,-37.74375
-564.7265625,-601.040625,-36.3140625
-561.8671875,-597.3234375,-35.4562500000001
-558.15,-593.3203125,-35.1703125
-554.71875,-589.8890625,-35.1703125
-551.859375,-588.1734375,-36.3140625
-551.0015625,-588.7453125,-37.7437500000001
-552.7171875,-592.1765625,-39.459375
-557.00625,-598.4671875,-41.4609375
-563.5828125,-607.0453125,-43.4625
-572.1609375,-617.3390625,-45.178125
-581.8828125,-628.2046875,-46.321875
-591.890625,-638.784375,-46.8937500000001
-601.040625,-647.934375,-46.8937500000001
-608.475,-654.796875,-46.321875
-613.621875,-659.371875,-45.75
-616.1953125,-660.8015625,-44.60625
-616.1953125,-660.2296875,-44.0343750000001
-614.19375,-657.3703125,-43.1765625
-610.190625,-652.7953125,-42.6046875
-604.7578125,-647.6484375,-42.890625
-598.753125,-641.64375,-42.890625
-592.1765625,-635.925,-43.7484375
-585.8859375,-629.9203125,-44.034375
-579.309375,-624.2015625,-44.8921875
-573.590625,-618.4828125,-44.8921875
-568.1578125,-613.3359375,-45.178125
-563.296875,-608.7609375,-45.4640625000001
-559.5796875,-605.04375,-45.4640625000001
-557.2921875,-602.4703125,-45.1781249999999
-556.434375,-601.6125,-45.178125
-557.578125,-602.4703125,-44.8921875
-560.4375,-605.615625,-45.178125
-565.2984375,-610.4765625,-45.178125
-571.303125,-616.7671875,-45.4640625
-577.8796875,-623.34375,-45.4640625
-583.884375,-629.634375,-45.75
-588.459375,-634.209375,-45.75
-590.175,-635.925,-45.75
-588.7453125,-634.4953125,-45.75
-583.884375,-629.634375,-45.75
-575.5921875,-621.3421875,-45.75
-564.7265625,-611.0484375,-46.321875
-552.7171875,-599.325,-46.6078125
-540.99375,-588.7453125,-47.7515625000001
-531.5578125,-580.1671875,-48.609375
-525.8390625,-575.5921875,-49.753125
-524.409375,-575.878125,-51.46875
-528.6984375,-581.3109375,-52.6125
-537.5625,-591.31875,-53.75625
-551.0015625,-605.04375,-54.0421875000001
-566.728125,-620.7703125,-54.0421875000001
-583.3125,-636.7828125,-53.4703125
-599.0390625,-651.0796875,-52.040625
-611.6203125,-662.23125,-50.6109375
-620.7703125,-669.09375,-48.3234375
-625.059375,-671.0953125,-46.0359374999999
-624.7734375,-668.521875,-43.7484375
-620.7703125,-662.803125,-42.0328125
-613.9078125,-654.5109375,-40.6031250000001
-605.9015625,-645.3609375,-39.4593749999999
-597.609375,-636.496875,-38.8875
-590.4609375,-629.3484375,-38.8875
-585.3140625,-624.2015625,-38.8875
-581.8828125,-621.05625,-39.1734375
-579.88125,-619.6265625,-39.7453125
-579.309375,-619.0546875,-39.7453125
-578.7375,-618.4828125,-39.7453125
-577.59375,-617.053125,-39.459375
-575.30625,-614.4796875,-39.1734375000001
-571.875,-610.4765625,-38.6015625
-567.3,-605.3296875,-38.0296874999999
-562.153125,-599.896875,-37.74375
-557.578125,-595.321875,-37.74375
-554.4328125,-592.1765625,-37.74375
-553.2890625,-591.31875,-38.0296875
-554.4328125,-593.3203125,-38.8874999999999
-558.4359375,-598.4671875,-40.03125
-564.1546875,-605.3296875,-41.175
-571.303125,-613.621875,-42.31875
-578.4515625,-621.9140625,-43.4625
-584.1703125,-628.7765625,-44.60625
-587.6015625,-633.065625,-45.4640625000001
-588.1734375,-633.9234375,-45.75
-585.3140625,-631.6359375,-46.3218750000001
-579.88125,-625.9171875,-46.0359375
-572.1609375,-618.196875,-46.0359374999999
-563.86875,-609.3328125,-45.4640625000001
-556.434375,-601.3265625,-44.8921875
-551.0015625,-595.6078125,-44.60625
-549.0,-592.7484375,-43.7484375
-550.4296875,-593.8921875,-43.4625
-555.5765625,-598.4671875,-42.890625
-563.5828125,-606.4734375,-42.890625
-573.3046875,-616.1953125,-42.890625
-583.3125,-626.4890625,-43.1765625
-591.890625,-635.6390625,-43.7484375
-597.8953125,-642.5015625,-44.6062499999999
-599.896875,-645.9328125,-46.0359375
-597.8953125,-645.646875,-47.7515625
-592.1765625,-641.64375,-49.4671875
-583.3125,-634.78125,-51.46875
-572.7328125,-626.203125,-53.4703125
-561.8671875,-617.053125,-55.1859375
-552.43125,-609.3328125,-56.9015625000001
-545.56875,-603.6140625,-58.0453125
-542.1375,-601.040625,-58.9031249999999
-542.709375,-601.8984375,-59.1890625
-546.9984375,-605.9015625,-58.903125
-554.146875,-612.478125,-58.33125
-563.296875,-620.484375,-57.1875
-572.7328125,-628.7765625,-56.04375
-581.596875,-635.925,-54.328125
-588.7453125,-641.64375,-52.8984375
-593.3203125,-644.503125,-51.1828125000001
-594.75,-644.503125,-49.7531250000001
-593.60625,-642.215625,-48.609375
-590.175,-637.3546875,-47.1796875
-585.028125,-631.35,-46.321875
-579.309375,-625.059375,-45.75
-573.8765625,-618.76875,-44.8921875000001
-569.3015625,-614.19375,-44.8921875
-566.15625,-611.0484375,-44.8921875
-565.0125,-610.190625,-45.178125
-565.8703125,-611.334375,-45.4640625
-568.44375,-614.765625,-46.321875
-572.7328125,-619.6265625,-46.89375
-578.165625,-625.9171875,-47.7515625000001
-584.45625,-632.7796875,-48.3234375
-591.31875,-639.928125,-48.609375
-598.18125,-647.0765625,-48.8953125
-605.04375,-653.653125,-48.609375
-611.6203125,-659.371875,-47.7515625
-617.3390625,-664.2328125,-46.89375
-621.9140625,-667.95,-46.0359375
-625.63125,-670.5234375,-44.8921875
-627.6328125,-671.6671875,-44.0343750000001
-628.2046875,-671.38125,-43.1765625
-626.775,-669.9515625,-43.1765625
-623.6296875,-667.0921875,-43.4625
-619.0546875,-663.375,-44.3203125
-613.05,-658.5140625,-45.4640625
-606.1875,-653.3671875,-47.1796875
-598.753125,-647.6484375,-48.8953124999999
-591.890625,-642.215625,-50.325
-585.3140625,-637.3546875,-52.0406250000001
-580.1671875,-633.3515625,-53.1843749999999
-576.1640625,-630.20625,-54.0421875000001
-573.8765625,-628.2046875,-54.328125
-573.01875,-627.0609375,-54.0421875
-573.3046875,-627.346875,-54.0421875000001
-574.4484375,-628.2046875,-53.7562499999999
-576.45,-629.634375,-53.1843749999999
-578.165625,-631.35,-53.184375
-580.1671875,-633.3515625,-53.1843749999999
-581.596875,-635.0671875,-53.4703125
-582.16875,-636.496875,-54.328125
-582.4546875,-637.3546875,-54.9000000000001
-581.596875,-637.9265625,-56.3296875
-580.453125,-637.9265625,-57.4734375
-578.7375,-637.06875,-58.33125
-576.45,-635.6390625,-59.1890625
-573.590625,-633.9234375,-60.3328124999999
-570.4453125,-631.35,-60.9046875
-567.0140625,-628.7765625,-61.7625
-563.5828125,-625.63125,-62.0484375
-560.1515625,-622.4859375,-62.3343749999999
-557.00625,-619.6265625,-62.6203125
-554.4328125,-617.3390625,-62.90625
-553.2890625,-615.909375,-62.6203125000001
-553.2890625,-615.909375,-62.6203125000001
-555.0046875,-617.053125,-62.0484375
-558.15,-619.6265625,-61.4765625
-563.296875,-623.34375,-60.046875
-569.5875,-627.91875,-58.3312500000001
-576.7359375,-633.065625,-56.3296875000001
-583.884375,-638.2125,-54.328125
