LEFT,RIGHT,DIFF
-456.35625,-481.51875,-25.1625
-453.7828125,-478.659375,-24.8765625
-448.6359375,-473.2265625,-24.590625
-441.7734375,-466.3640625,-24.590625
-433.1953125,-457.7859375,-24.590625
-424.0453125,-448.35,-24.3046875
-415.18125,-439.4859375,-24.3046875
-407.746875,-431.765625,-24.01875
-402.8859375,-426.3328125,-23.446875
-400.884375,-424.0453125,-23.1609375
-402.3140625,-424.903125,-22.5890625
-407.175,-428.90625,-21.73125
-414.8953125,-436.340625,-21.4453125
-424.6171875,-445.7765625,-21.159375
-435.196875,-456.6421875,-21.4453125
-445.490625,-467.221875,-21.73125
-454.3546875,-476.94375,-22.5890625
-460.6453125,-484.378125,-23.7328125
-463.790625,-488.953125,-25.1625
-463.5046875,-490.096875,-26.5921875
-460.0734375,-488.38125,-28.3078125
-453.7828125,-483.80625,-30.0234375
-445.7765625,-476.94375,-31.1671875
-436.6265625,-468.9375,-32.3109375
-427.7625,-460.6453125,-32.8828125000001
-419.4703125,-452.6390625,-33.16875
-412.321875,-445.490625,-33.16875
-406.603125,-439.771875,-33.16875
-402.6,-435.4828125,-32.8828125
-400.0265625,-432.6234375,-32.596875
-398.596875,-431.19375,-32.596875
-398.025,-430.9078125,-32.8828125
-398.025,-431.765625,-33.740625
-399.16875,-433.7671875,-34.5984375
-401.1703125,-437.1984375,-36.028125
-404.6015625,-441.4875,-36.8859375
-409.4625,-447.4921875,-38.0296875
-416.0390625,-454.640625,-38.6015625
-424.6171875,-462.9328125,-38.315625
-434.3390625,-472.0828125,-37.74375
-444.91875,-481.51875,-36.6
-455.4984375,-489.8109375,-34.3125
-465.2203125,-496.6734375,-31.453125
-472.36875,-500.9625,-28.59375
-476.0859375,-501.8203125,-25.734375
-475.8,-498.675,-22.875
-471.225,-491.5265625,-20.3015625
-462.3609375,-480.6609375,-18.3
-450.3515625,-467.221875,-16.8703125
-435.76875,-452.0671875,-16.2984375
-420.328125,-436.6265625,-16.2984375
-405.459375,-422.9015625,-17.4421875
-393.1640625,-411.4640625,-18.3
-384.3,-404.0296875,-19.7296875
-379.725,-400.884375,-21.159375
-379.725,-402.3140625,-22.5890625
-384.3,-407.746875,-23.446875
-392.30625,-416.6109375,-24.3046875
-403.171875,-427.4765625,-24.3046875
-415.18125,-439.4859375,-24.3046875
-427.4765625,-451.4953125,-24.01875
-438.628125,-462.075,-23.446875
-448.0640625,-470.9390625,-22.875
-455.2125,-477.515625,-22.303125
-460.0734375,-481.8046875,-21.73125
-462.3609375,-483.80625,-21.4453125
-462.646875,-483.80625,-21.159375
-461.503125,-482.3765625,-20.8734375
-459.215625,-479.803125,-20.5875
-456.0703125,-476.371875,-20.3015625
-452.353125,-472.0828125,-19.7296875
-448.0640625,-467.221875,-19.1578125
-443.4890625,-461.503125,-18.0140625
-438.3421875,-455.784375,-17.4421875
-433.1953125,-449.7796875,-16.584375
-427.7625,-443.775,-16.0125
-422.9015625,-438.3421875,-15.440625
-418.6125,-433.7671875,-15.1546875
-415.753125,-431.19375,-15.440625
-414.3234375,-430.3359375,-16.0125
-415.18125,-432.0515625,-16.8703125
-418.040625,-436.0546875,-18.0140625
-422.615625,-441.7734375,-19.1578125
-428.6203125,-448.921875,-20.3015625
-435.4828125,-456.6421875,-21.159375
-441.7734375,-463.5046875,-21.73125
-446.9203125,-468.9375,-22.0171875
-450.065625,-472.0828125,-22.0171875
-450.3515625,-472.0828125,-21.73125
-448.0640625,-469.509375,-21.4453125
-443.203125,-463.790625,-20.5875
-436.340625,-456.6421875,-20.3015625
-428.334375,-448.35,-20.015625
-420.328125,-440.34375,-20.015625
-413.465625,-434.053125,-20.5875
-408.890625,-430.3359375,-21.4453125
-407.4609375,-429.7640625,-22.303125
-409.1765625,-432.909375,-23.7328125
-414.0375,-439.2,-25.1625
-421.7578125,-447.778125,-26.0203125
-431.19375,-458.3578125,-27.1640625
-441.2015625,-468.9375,-27.7359375
-450.6375,-478.659375,-28.021875
-458.3578125,-486.09375,-27.7359375
-463.5046875,-490.9546875,-27.45
-465.50625,-492.0984375,-26.5921875
-464.0765625,-490.096875,-26.0203125
-459.7875,-484.95,-25.1625
-452.6390625,-477.2296875,-24.590625
-443.775,-468.365625,-24.590625
-434.3390625,-459.215625,-24.8765625
-425.1890625,-450.6375,-25.4484375
-417.1828125,-443.4890625,-26.30625
-411.4640625,-438.3421875,-26.878125
-408.0328125,-435.76875,-27.7359375
-406.8890625,-435.4828125,-28.59375
-408.6046875,-437.484375,-28.8796875
-412.321875,-440.915625,-28.59375
-417.7546875,-445.490625,-27.7359375
-424.0453125,-450.6375,-26.5921875
-430.621875,-455.2125,-24.590625
-436.6265625,-459.215625,-22.5890625
-441.7734375,-462.075,-20.3015625
-445.490625,-463.5046875,-18.0140625
-447.4921875,-463.5046875,-16.0125
-447.778125,-462.646875,-14.86875
-446.9203125,-460.359375,-13.4390625
-445.2046875,-457.7859375,-12.58125
-442.63125,-455.2125,-12.58125
-440.34375,-452.925,-12.58125
-438.3421875,-451.209375,-12.8671875
-437.1984375,-450.3515625,-13.153125
-437.1984375,-450.3515625,-13.153125
-438.3421875,-451.209375,-12.8671875
-440.34375,-452.925,-12.58125
-442.9171875,-454.640625,-11.7234375
-446.0625,-456.35625,-10.29375
-448.6359375,-457.7859375,-9.15000000000003
-450.6375,-458.3578125,-7.72031249999998
-451.78125,-458.071875,-6.29062500000003
-451.4953125,-456.928125,-5.43281250000001
-449.7796875,-454.640625,-4.86093749999998
-447.20625,-452.0671875,-4.86093750000003
-444.0609375,-448.921875,-4.86093749999998
-440.6296875,-446.3484375,-5.71875
-437.484375,-444.0609375,-6.57656250000002
-434.9109375,-442.63125,-7.72031250000003
-433.1953125,-442.059375,-8.86406250000005
-432.6234375,-442.3453125,-9.72187500000001
-432.909375,-443.203125,-10.29375
-433.7671875,-444.6328125,-10.865625
-434.9109375,-445.7765625,-10.865625
-436.0546875,-446.9203125,-10.865625
-436.9125,-447.778125,-10.865625
-437.484375,-448.0640625,-10.5796875
-437.484375,-448.0640625,-10.5796875
-437.484375,-448.35,-10.865625
-437.7703125,-449.2078125,-11.4375000000001
-438.628125,-451.209375,-12.58125
-440.34375,-454.06875,-13.725
-443.203125,-458.071875,-14.86875
-447.20625,-462.9328125,-15.7265625
-451.4953125,-468.0796875,-16.584375
-455.784375,-472.940625,-17.15625
-459.215625,-476.371875,-17.15625
-460.93125,-477.8015625,-16.8703125
-460.359375,-476.371875,-16.0125
-456.928125,-471.796875,-14.86875
-450.6375,-464.0765625,-13.4390625
-442.3453125,-454.3546875,-12.009375
-432.6234375,-443.4890625,-10.865625
-422.615625,-432.909375,-10.29375
-414.0375,-423.759375,-9.72187500000001
-407.746875,-417.46875,-9.72187500000001
-405.1734375,-415.4671875,-10.29375
-406.603125,-417.46875,-10.865625
-412.0359375,-424.0453125,-12.009375
