LEFT,RIGHT,DIFF
-376.0078125,-414.609375,-38.6015625
-373.7203125,-412.321875,-38.6015625
-370.003125,-408.890625,-38.8875
-365.7140625,-404.6015625,-38.8875
-361.1390625,-400.3125,-39.1734375
-356.85,-396.0234375,-39.1734375
-353.1328125,-392.5921875,-39.459375
-350.2734375,-389.7328125,-39.459375
-348.5578125,-387.73125,-39.1734375
-347.7,-386.3015625,-38.6015625
-347.4140625,-385.7296875,-38.315625
-347.7,-385.7296875,-38.0296875
-348.5578125,-386.3015625,-37.74375
-349.7015625,-387.4453125,-37.74375
-351.13125,-389.446875,-38.315625
-353.41875,-392.30625,-38.8875
-356.5640625,-396.309375,-39.7453125
-360.5671875,-401.45625,-40.8890625
-366.0,-408.0328125,-42.0328125
-372.5765625,-416.0390625,-43.4625
-380.0109375,-424.6171875,-44.60625
-388.0171875,-433.7671875,-45.75
-396.0234375,-442.3453125,-46.321875
-402.8859375,-449.7796875,-46.89375
-408.0328125,-455.2125,-47.1796875
-410.8921875,-458.071875,-47.1796875
-411.178125,-458.071875,-46.89375
-408.0328125,-454.9265625,-46.89375
-402.3140625,-449.2078125,-46.89375
-394.59375,-441.4875,-46.89375
-385.1578125,-432.6234375,-47.465625
-375.4359375,-423.4734375,-48.0375
-366.2859375,-415.18125,-48.8953125
-358.8515625,-408.6046875,-49.753125
-353.7046875,-404.6015625,-50.896875
-351.4171875,-403.171875,-51.7546875
-351.703125,-404.315625,-52.6125
-354.2765625,-407.4609375,-53.184375
-358.565625,-411.75,-53.184375
-363.7125,-416.6109375,-52.8984375
-368.859375,-421.1859375,-52.3265625
-372.8625,-424.0453125,-51.1828125
-375.4359375,-425.1890625,-49.753125
-375.721875,-424.33125,-48.609375
-374.2921875,-421.1859375,-46.89375
-370.575,-416.325,-45.75
-366.0,-410.3203125,-44.3203125
-360.5671875,-404.315625,-43.7484375
-355.4203125,-398.8828125,-43.4625
-351.13125,-394.59375,-43.4625
-348.271875,-392.5921875,-44.3203125
-347.4140625,-392.5921875,-45.178125
-348.271875,-394.8796875,-46.6078125
-351.13125,-398.8828125,-47.7515625
-355.134375,-404.6015625,-49.4671875
-360.28125,-410.60625,-50.325
-365.428125,-416.896875,-51.46875
-370.2890625,-422.3296875,-52.040625
-374.00625,-426.3328125,-52.3265625
-376.865625,-428.6203125,-51.7546875
-378.009375,-429.478125,-51.46875
-378.009375,-428.334375,-50.325
-376.5796875,-425.7609375,-49.18125
-374.2921875,-422.3296875,-48.0375
-371.71875,-418.3265625,-46.6078125
-369.1453125,-414.609375,-45.4640625
-366.8578125,-411.178125,-44.3203125
-365.428125,-408.890625,-43.4625
-365.1421875,-407.746875,-42.6046875
-365.7140625,-407.746875,-42.0328125
-367.715625,-408.890625,-41.175
-370.2890625,-411.178125,-40.8890625
-373.434375,-413.7515625,-40.3171875
-376.865625,-416.325,-39.459375
-379.725,-418.6125,-38.8875
-381.7265625,-420.0421875,-38.315625
-382.8703125,-420.6140625,-37.74375
-382.584375,-419.75625,-37.171875
-380.5828125,-417.7546875,-37.171875
-377.4375,-414.3234375,-36.8859375
-373.434375,-410.3203125,-36.8859375
-368.2875,-405.459375,-37.171875
-363.140625,-400.5984375,-37.4578125
-358.565625,-396.309375,-37.74375
-354.5625,-392.878125,-38.315625
-351.9890625,-390.590625,-38.6015625
-351.13125,-390.01875,-38.8875
-352.275,-390.8765625,-38.6015625
-355.134375,-393.7359375,-38.6015625
-359.4234375,-398.025,-38.6015625
-365.1421875,-403.4578125,-38.315625
