LEFT,RIGHT,DIFF
-611.334375,-490.66875,120.665625
-609.61875,-488.953125,120.665625
-608.475,-487.809375,120.665625
-608.475,-487.809375,120.665625
-609.046875,-488.6671875,120.3796875
-610.7625,-490.3828125,120.3796875
-613.05,-492.6703125,120.3796875
-615.909375,-495.24375,120.665625
-618.76875,-498.103125,120.665625
-621.628125,-500.6765625,120.9515625
-624.2015625,-502.678125,121.5234375
-625.63125,-503.821875,121.809375
-626.4890625,-504.39375,122.0953125
-626.4890625,-504.1078125,122.38125
-625.9171875,-503.25,122.6671875
-624.4875,-502.10625,122.38125
-622.771875,-500.6765625,122.0953125
-621.05625,-499.5328125,121.5234375
-619.6265625,-498.675,120.9515625
-618.76875,-498.675,120.09375
-618.76875,-499.5328125,119.2359375
-619.340625,-500.6765625,118.6640625
-620.484375,-502.3921875,118.0921875
-622.2,-504.39375,117.80625
-624.2015625,-506.3953125,117.80625
-626.203125,-508.1109375,118.0921875
-628.2046875,-509.2546875,118.95
-629.634375,-509.8265625,119.8078125
-630.4921875,-509.8265625,120.665625
-631.0640625,-509.540625,121.5234375
-631.0640625,-508.96875,122.0953125
-631.0640625,-508.396875,122.6671875
-630.778125,-508.1109375,122.6671875
-630.4921875,-508.396875,122.0953125
-630.4921875,-509.540625,120.9515625
-630.778125,-510.9703125,119.8078125
-631.0640625,-513.2578125,117.80625
-631.921875,-515.5453125,116.3765625
-632.49375,-518.11875,114.375
-633.3515625,-520.40625,112.9453125
-633.9234375,-522.4078125,111.515625
-634.209375,-523.8375,110.371875
-634.4953125,-524.409375,110.0859375
-634.4953125,-524.409375,110.0859375
-634.209375,-524.1234375,110.0859375
-633.3515625,-522.9796875,110.371875
-632.49375,-521.55,110.94375
-631.35,-519.5484375,111.8015625
-629.9203125,-517.2609375,112.659375
-627.6328125,-514.4015625,113.23125
-624.7734375,-510.9703125,113.803125
-621.05625,-506.68125,114.375
-616.7671875,-501.8203125,114.946875
-611.6203125,-496.3875,115.2328125
-606.1875,-490.66875,115.51875
-601.040625,-484.95,116.090625
-596.1796875,-479.5171875,116.6625
-592.4625,-475.228125,117.234375
-590.175,-472.36875,117.80625
-589.603125,-471.225,118.378125
-591.31875,-472.36875,118.95
-594.75,-475.228125,119.521875
-600.1828125,-480.0890625,120.09375
-606.4734375,-486.3796875,120.09375
-613.3359375,-493.2421875,120.09375
-620.484375,-500.1046875,120.3796875
-626.4890625,-506.109375,120.3796875
-631.35,-510.9703125,120.3796875
-634.4953125,-514.115625,120.3796875
-636.2109375,-515.259375,120.9515625
-636.2109375,-514.4015625,121.809375
-634.78125,-512.4,122.38125
-632.49375,-509.2546875,123.2390625
-630.20625,-505.5375,124.66875
-627.6328125,-502.3921875,125.240625
-625.63125,-499.5328125,126.0984375
-624.4875,-497.53125,126.95625
-623.915625,-496.959375,126.95625
-624.2015625,-497.2453125,126.95625
-625.059375,-498.3890625,126.6703125
-626.203125,-500.1046875,126.0984375
-627.6328125,-502.3921875,125.240625
-629.0625,-504.6796875,124.3828125
-630.4921875,-506.9671875,123.525
-631.921875,-508.96875,122.953125
-633.6375,-510.9703125,122.6671875
-635.353125,-512.6859375,122.6671875
