LEFT,RIGHT,DIFF
-264.4921875,-217.5984375,46.89375
-269.353125,-222.1734375,47.1796875
-274.5,-226.7484375,47.7515625
-279.9328125,-231.609375,48.3234375
-285.6515625,-235.8984375,49.753125
-290.7984375,-239.615625,51.1828125
-295.3734375,-242.475,52.8984375
-298.51875,-244.190625,54.328125
-300.234375,-244.4765625,55.7578125
-299.9484375,-243.046875,56.9015625
-297.946875,-240.759375,57.1875
-294.515625,-237.328125,57.1875
-290.2265625,-233.896875,56.3296875
-285.6515625,-230.7515625,54.9
-281.934375,-229.0359375,52.8984375
-279.9328125,-229.0359375,50.896875
-280.21875,-231.609375,48.609375
-283.078125,-236.4703125,46.6078125
-289.0828125,-243.61875,45.4640625
-297.375,-252.4828125,44.8921875
-307.096875,-262.490625,44.60625
-317.6765625,-272.2125,45.4640625
-327.3984375,-280.790625,46.6078125
-335.690625,-287.3671875,48.3234375
-341.6953125,-291.3703125,50.325
-344.26875,-292.5140625,51.7546875
-343.9828125,-290.5125,53.4703125
-340.5515625,-286.509375,54.0421875
-334.8328125,-280.790625,54.0421875
-327.9703125,-274.2140625,53.75625
-320.5359375,-268.209375,52.3265625
-313.959375,-263.3484375,50.6109375
-308.5265625,-260.4890625,48.0375
-305.38125,-259.63125,45.75
-304.2375,-261.6328125,42.6046875
-305.0953125,-265.35,39.7453125
-307.3828125,-270.7828125,36.6
-310.528125,-277.0734375,33.4546875
-313.6734375,-283.3640625,30.309375
-316.81875,-289.6546875,27.1640625
-318.8203125,-294.8015625,24.01875
-320.25,-299.090625,21.159375
-320.5359375,-301.95,18.5859375
-320.25,-304.2375,16.0125
-319.678125,-305.953125,13.725
-319.10625,-307.3828125,11.7234375
-318.8203125,-309.0984375,9.72187500000001
-319.10625,-310.528125,8.578125
-319.9640625,-312.5296875,7.43437499999999
-320.5359375,-314.2453125,6.29062499999998
-321.1078125,-315.9609375,5.14687500000002
-320.821875,-316.81875,4.00312500000001
-319.3921875,-317.1046875,2.28750000000002
-316.81875,-316.246875,0.571875000000034
-312.815625,-314.2453125,-1.4296875
-307.66875,-311.671875,-4.00312500000001
-301.6640625,-308.240625,-6.57656250000002
-295.9453125,-305.0953125,-9.15000000000003
-290.7984375,-302.521875,-11.7234375
-286.7953125,-301.0921875,-14.296875
-284.79375,-301.0921875,-16.2984375
-285.0796875,-302.521875,-17.4421875
-287.3671875,-305.953125,-18.5859375
-291.65625,-310.8140625,-19.1578125
-297.6609375,-316.5328125,-18.871875
-304.2375,-322.8234375,-18.5859375
-310.8140625,-328.828125,-18.0140625
-316.81875,-334.2609375,-17.4421875
-321.965625,-338.8359375,-16.8703125
-325.396875,-341.98125,-16.584375
-327.684375,-343.9828125,-16.2984375
-329.1140625,-345.1265625,-16.0125
-329.4,-345.984375,-16.584375
-329.6859375,-347.128125,-17.4421875
-330.54375,-348.84375,-18.3
-332.259375,-351.9890625,-19.7296875
-335.4046875,-356.85,-21.4453125
-340.265625,-363.140625,-22.875
-346.55625,-371.4328125,-24.8765625
-354.2765625,-381.1546875,-26.878125
-363.4265625,-392.0203125,-28.59375
-372.8625,-403.171875,-30.309375
-382.584375,-414.0375,-31.453125
-391.734375,-423.759375,-32.025
-399.740625,-431.765625,-32.025
-406.3171875,-437.484375,-31.1671875
-410.8921875,-440.0578125,-29.165625
-413.1796875,-439.771875,-26.5921875
-412.6078125,-436.0546875,-23.446875
-409.1765625,-429.1921875,-20.015625
-403.171875,-419.4703125,-16.2984375
-394.8796875,-407.746875,-12.8671875
-384.5859375,-394.3078125,-9.72187500000001
-373.1484375,-380.5828125,-7.43437499999999
-361.1390625,-367.4296875,-6.29062499999998
-349.9875,-355.70625,-5.71875
-339.9796875,-346.2703125,-6.29062499999998
-332.5453125,-340.265625,-7.72031249999998
-327.684375,-337.40625,-9.72187500000001
-326.2546875,-338.2640625,-12.009375
-327.9703125,-342.2671875,-14.296875
-332.259375,-348.5578125,-16.2984375
-338.2640625,-356.278125,-18.0140625
-345.4125,-364.284375,-18.871875
-352.275,-371.146875,-18.871875
-357.7078125,-376.0078125,-18.3
-360.853125,-378.009375,-17.15625
-361.1390625,-377.1515625,-16.0125
-358.2796875,-373.434375,-15.1546875
-353.1328125,-367.4296875,-14.296875
-345.984375,-360.28125,-14.296875
-337.978125,-352.846875,-14.86875
-330.54375,-346.2703125,-15.7265625
-324.825,-341.98125,-17.15625
-321.39375,-340.265625,-18.871875
-321.1078125,-341.6953125,-20.5875
-323.9671875,-345.984375,-22.0171875
