LEFT,RIGHT,DIFF
29.165625,85.209375,56.04375
31.1671875,87.496875,56.3296875
31.7390625,88.06875,56.3296875
31.1671875,86.6390625,55.471875
29.4515625,84.065625,54.6140625
27.45,80.634375,53.184375
25.734375,76.63125,50.896875
24.590625,73.2,48.609375
24.590625,70.9125,46.321875
26.0203125,69.4828125,43.4625
28.3078125,69.4828125,41.175
31.7390625,70.6265625,38.8875
35.7421875,72.628125,36.8859375
39.459375,75.4875,36.028125
42.6046875,78.0609375,35.45625
44.60625,80.3484375,35.7421875
44.8921875,81.4921875,36.6
43.7484375,81.4921875,37.74375
40.8890625,80.0625,39.1734375
36.6,77.4890625,40.8890625
31.453125,74.0578125,42.6046875
26.5921875,70.340625,43.7484375
22.0171875,66.909375,44.8921875
18.5859375,63.7640625,45.178125
16.584375,61.7625,45.178125
16.0125,61.190625,45.178125
17.15625,61.4765625,44.3203125
19.1578125,62.334375,43.1765625
21.73125,63.7640625,42.0328125
24.3046875,65.19375,40.8890625
25.734375,65.765625,40.03125
26.30625,65.19375,38.8875
25.1625,63.7640625,38.6015625
22.303125,60.9046875,38.6015625
18.5859375,56.9015625,38.315625
13.725,52.6125,38.8875
8.578125,48.3234375,39.7453125
3.7171875,44.3203125,40.603125
0.0,41.746875,41.746875
-2.859375,40.03125,42.890625
-4.2890625,40.3171875,44.60625
-4.2890625,41.4609375,45.75
-3.43125,43.7484375,47.1796875
-2.0015625,46.89375,48.8953125
0.0,49.753125,49.753125
1.4296875,52.040625,50.6109375
2.5734375,53.75625,51.1828125
3.43125,54.328125,50.896875
3.43125,53.75625,50.325
3.1453125,52.6125,49.4671875
2.859375,50.6109375,47.7515625
2.5734375,48.609375,46.0359375
2.859375,46.89375,44.034375
3.7171875,45.4640625,41.746875
4.8609375,44.8921875,40.03125
6.290625,44.8921875,38.6015625
8.2921875,45.4640625,37.171875
9.721875,46.0359375,36.3140625
10.865625,46.89375,36.028125
11.4375,47.1796875,35.7421875
11.1515625,47.1796875,36.028125
10.0078125,46.6078125,36.6
8.578125,45.75,37.171875
7.434375,44.8921875,37.4578125
6.290625,44.034375,37.74375
6.0046875,43.4625,37.4578125
6.5765625,44.034375,37.4578125
8.2921875,45.4640625,37.171875
11.1515625,47.7515625,36.6
14.5828125,50.6109375,36.028125
18.5859375,54.0421875,35.45625
22.303125,57.4734375,35.1703125
25.1625,60.046875,34.884375
27.1640625,61.7625,34.5984375
27.7359375,62.334375,34.5984375
26.5921875,61.7625,35.1703125
24.3046875,59.7609375,35.45625
20.8734375,56.9015625,36.028125
16.8703125,53.4703125,36.6
13.153125,50.325,37.171875
9.721875,47.465625,37.74375
7.1484375,45.75,38.6015625
5.4328125,44.8921875,39.459375
4.8609375,45.4640625,40.603125
5.146875,46.89375,41.746875
6.0046875,48.8953125,42.890625
6.8625,51.46875,44.60625
7.1484375,53.4703125,46.321875
6.8625,55.1859375,48.3234375
5.71875,56.04375,50.325
3.43125,55.471875,52.040625
0.2859375,54.328125,54.0421875
-3.1453125,52.040625,55.1859375
-6.8625,49.4671875,56.3296875
-10.5796875,46.321875,56.9015625
-13.725,43.7484375,57.4734375
-16.0125,41.4609375,57.4734375
-17.15625,39.7453125,56.9015625
-17.15625,38.8875,56.04375
-16.2984375,38.315625,54.6140625
-14.86875,38.6015625,53.4703125
-13.4390625,38.6015625,52.040625
-12.009375,38.8875,50.896875
-11.1515625,38.6015625,49.753125
-11.1515625,38.0296875,49.18125
-12.009375,36.6,48.609375
-13.725,35.1703125,48.8953125
-15.7265625,33.16875,48.8953125
-17.728125,31.1671875,48.8953125
-19.7296875,29.7375,49.4671875
-20.8734375,28.59375,49.4671875
-21.159375,28.3078125,49.4671875
-20.3015625,28.8796875,49.18125
-18.0140625,30.5953125,48.609375
-14.86875,32.8828125,47.7515625
-10.865625,35.7421875,46.6078125
-6.290625,38.6015625,44.8921875
-2.0015625,41.4609375,43.4625
1.715625,44.034375,42.31875
4.575,45.4640625,40.8890625
6.8625,46.321875,39.459375
7.7203125,46.321875,38.6015625
7.434375,45.4640625,38.0296875
6.5765625,43.7484375,37.171875
4.8609375,42.0328125,37.171875
3.1453125,40.03125,36.8859375
1.4296875,38.315625,36.8859375
0.0,36.8859375,36.8859375
-0.571875,36.028125,36.6
-1.14375,35.7421875,36.8859375
-1.14375,35.7421875,36.8859375
-0.8578125,36.028125,36.8859375
-0.8578125,36.3140625,37.171875
-1.14375,36.3140625,37.4578125
-2.0015625,35.7421875,37.74375
-3.1453125,34.884375,38.0296875
-4.8609375,33.4546875,38.315625
-7.1484375,32.025,39.1734375
-9.4359375,30.5953125,40.03125
-11.4375,29.4515625,40.8890625
-12.8671875,29.165625,42.0328125
-13.4390625,29.4515625,42.890625
-12.8671875,30.88125,43.7484375
-11.4375,33.16875,44.60625
-8.8640625,36.3140625,45.178125
-5.71875,39.7453125,45.4640625
-2.0015625,43.7484375,45.75
1.14375,47.465625,46.321875
4.575,50.896875,46.321875
7.1484375,53.75625,46.6078125
9.15,55.7578125,46.6078125
10.5796875,56.9015625,46.321875
11.4375,58.0453125,46.6078125
12.009375,58.6171875,46.6078125
12.8671875,59.475,46.6078125
14.0109375,60.61875,46.6078125
15.440625,62.0484375,46.6078125
17.4421875,64.05,46.6078125
20.015625,66.6234375,46.6078125
22.875,68.9109375,46.0359375
25.1625,71.1984375,46.0359375
27.1640625,72.628125,45.4640625
28.021875,73.2,45.178125
28.021875,72.628125,44.60625
26.5921875,70.9125,44.3203125
