LEFT,RIGHT,DIFF
7.1484375,51.46875,44.3203125
3.43125,48.0375,44.60625
0.8578125,45.4640625,44.60625
0.0,45.178125,45.178125
1.14375,46.6078125,45.4640625
4.003125,49.753125,45.75
8.00625,54.0421875,46.0359375
12.58125,59.1890625,46.6078125
17.15625,63.7640625,46.6078125
20.8734375,67.7671875,46.89375
23.1609375,70.340625,47.1796875
24.01875,70.9125,46.89375
22.875,70.0546875,47.1796875
20.5875,67.7671875,47.1796875
17.4421875,64.621875,47.1796875
14.296875,61.4765625,47.1796875
11.7234375,58.903125,47.1796875
10.29375,57.4734375,47.1796875
10.5796875,57.4734375,46.89375
12.009375,59.1890625,47.1796875
15.1546875,62.334375,47.1796875
19.1578125,66.6234375,47.465625
23.7328125,71.484375,47.7515625
28.021875,76.3453125,48.3234375
31.7390625,80.9203125,49.18125
34.5984375,84.3515625,49.753125
36.028125,86.925,50.896875
36.6,88.3546875,51.7546875
36.6,89.2125,52.6125
36.028125,89.4984375,53.4703125
35.7421875,89.4984375,53.75625
35.7421875,89.784375,54.0421875
36.3140625,90.35625,54.0421875
37.4578125,90.928125,53.4703125
38.8875,92.071875,53.184375
40.3171875,92.9296875,52.6125
41.175,93.7875,52.6125
41.4609375,93.5015625,52.040625
40.3171875,92.64375,52.3265625
38.315625,90.928125,52.6125
34.884375,88.06875,53.184375
30.5953125,84.9234375,54.328125
26.0203125,81.20625,55.1859375
21.73125,77.4890625,55.7578125
17.728125,74.34375,56.615625
14.5828125,72.05625,57.4734375
12.8671875,70.340625,57.4734375
12.009375,69.76875,57.759375
12.58125,69.76875,57.1875
13.725,70.340625,56.615625
15.440625,71.1984375,55.7578125
17.15625,71.7703125,54.6140625
18.3,72.3421875,54.0421875
19.1578125,72.628125,53.4703125
19.1578125,72.628125,53.4703125
18.5859375,72.3421875,53.75625
18.0140625,72.05625,54.0421875
17.15625,72.3421875,55.1859375
16.584375,72.9140625,56.3296875
16.2984375,74.0578125,57.759375
16.8703125,76.059375,59.1890625
18.3,78.6328125,60.3328125
20.015625,81.20625,61.190625
22.5890625,84.065625,61.4765625
24.8765625,86.6390625,61.7625
27.45,88.640625,61.190625
29.7375,90.0703125,60.3328125
31.1671875,90.35625,59.1890625
32.3109375,90.0703125,57.759375
32.596875,88.9265625,56.3296875
32.596875,87.2109375,54.6140625
31.7390625,85.209375,53.4703125
30.88125,83.49375,52.6125
30.0234375,81.778125,51.7546875
28.8796875,80.3484375,51.46875
28.3078125,79.490625,51.1828125
27.7359375,79.2046875,51.46875
27.45,79.490625,52.040625
27.7359375,80.0625,52.3265625
28.3078125,81.20625,52.8984375
29.165625,82.35,53.184375
30.309375,83.49375,53.184375
31.453125,84.6375,53.184375
32.3109375,85.4953125,53.184375
33.16875,86.0671875,52.8984375
33.4546875,86.0671875,52.6125
32.8828125,85.4953125,52.6125
31.7390625,84.6375,52.8984375
30.0234375,82.921875,52.8984375
27.1640625,80.634375,53.4703125
24.01875,78.0609375,54.0421875
20.8734375,75.2015625,54.328125
17.4421875,72.3421875,54.9
14.86875,70.0546875,55.1859375
12.8671875,68.625,55.7578125
12.2953125,68.3390625,56.04375
13.153125,69.196875,56.04375
15.1546875,71.1984375,56.04375
18.3,74.34375,56.04375
22.0171875,78.346875,56.3296875
26.0203125,82.6359375,56.615625
29.7375,87.2109375,57.4734375
32.3109375,90.6421875,58.33125
33.4546875,92.9296875,59.475
32.8828125,93.7875,60.9046875
30.5953125,92.64375,62.0484375
26.5921875,89.784375,63.1921875
21.73125,85.209375,63.478125
16.0125,79.7765625,63.7640625
10.5796875,73.771875,63.1921875
6.290625,67.7671875,61.4765625
3.1453125,62.90625,59.7609375
1.715625,59.7609375,58.0453125
2.5734375,58.33125,55.7578125
4.8609375,58.6171875,53.75625
8.8640625,60.9046875,52.040625
13.725,64.9078125,51.1828125
18.5859375,69.4828125,50.896875
23.446875,74.34375,50.896875
27.1640625,78.6328125,51.46875
29.7375,82.35,52.6125
30.88125,84.3515625,53.4703125
30.88125,84.9234375,54.0421875
29.7375,84.065625,54.328125
28.021875,82.0640625,54.0421875
26.0203125,79.490625,53.4703125
24.3046875,76.9171875,52.6125
23.1609375,74.6296875,51.46875
22.875,73.2,50.325
23.446875,73.2,49.753125
24.590625,74.0578125,49.4671875
26.0203125,76.059375,50.0390625
28.021875,78.91875,50.896875
29.7375,82.0640625,52.3265625
31.1671875,85.209375,54.0421875
32.025,87.7828125,55.7578125
32.3109375,89.4984375,57.1875
32.3109375,90.0703125,57.759375
32.025,89.784375,57.759375
31.453125,88.640625,57.1875
31.1671875,86.6390625,55.471875
30.88125,84.6375,53.75625
30.88125,82.35,51.46875
31.1671875,80.634375,49.4671875
31.7390625,79.490625,47.7515625
32.596875,78.91875,46.321875
33.16875,78.91875,45.75
33.740625,79.7765625,46.0359375
34.0265625,80.9203125,46.89375
33.740625,82.0640625,48.3234375
33.4546875,83.49375,50.0390625
32.8828125,84.6375,51.7546875
32.3109375,85.78125,53.4703125
32.025,86.6390625,54.6140625
32.025,87.496875,55.471875
32.3109375,88.3546875,56.04375
32.8828125,89.2125,56.3296875
33.740625,90.35625,56.615625
34.884375,91.5,56.615625
36.028125,92.64375,56.615625
36.8859375,94.0734375,57.1875
37.171875,94.93125,57.759375
37.171875,95.503125,58.33125
36.8859375,95.7890625,58.903125
35.7421875,95.503125,59.7609375
34.5984375,94.6453125,60.046875
32.8828125,93.215625,60.3328125
31.7390625,91.7859375,60.046875
30.88125,90.35625,59.475
30.309375,88.9265625,58.6171875
30.309375,87.7828125,57.4734375
30.88125,86.925,56.04375
32.025,86.353125,54.328125
32.8828125,86.0671875,53.184375
33.16875,85.209375,52.040625
32.596875,84.065625,51.46875
30.5953125,81.778125,51.1828125
26.878125,78.0609375,51.1828125
21.4453125,72.628125,51.1828125
13.725,65.4796875,51.7546875
4.2890625,56.615625,52.3265625
-6.0046875,46.321875,52.3265625
-17.728125,34.884375,52.6125
-29.165625,23.1609375,52.3265625
-40.03125,11.7234375,51.7546875
-49.4671875,1.715625,51.1828125
-56.3296875,-6.290625,50.0390625
-60.3328125,-12.2953125,48.0375
-61.190625,-14.86875,46.321875
-58.6171875,-14.296875,44.3203125
-53.184375,-10.5796875,42.6046875
-44.8921875,-3.43125,41.4609375
-34.5984375,5.4328125,40.03125
-23.1609375,16.584375,39.7453125
-11.7234375,28.59375,40.3171875
-0.8578125,40.603125,41.4609375
8.2921875,51.7546875,43.4625
15.440625,61.190625,45.75
20.015625,68.053125,48.0375
22.303125,72.628125,50.325
22.303125,74.34375,52.040625
20.5875,73.771875,53.184375
17.4421875,71.484375,54.0421875
14.0109375,67.7671875,53.75625
10.865625,63.7640625,52.8984375
8.8640625,60.046875,51.1828125
8.00625,57.4734375,49.4671875
8.578125,56.615625,48.0375
10.865625,57.1875,46.321875
14.5828125,59.475,44.8921875
18.871875,63.478125,44.60625
23.446875,68.053125,44.60625
27.7359375,72.9140625,45.178125
31.1671875,77.775,46.6078125
33.4546875,81.4921875,48.0375
34.3125,84.065625,49.753125
33.740625,85.209375,51.46875
32.025,85.209375,53.184375
30.0234375,84.065625,54.0421875
27.45,82.35,54.9
25.4484375,80.3484375,54.9
24.01875,78.91875,54.9
23.7328125,78.0609375,54.328125
24.3046875,77.775,53.4703125
25.734375,78.6328125,52.8984375
27.7359375,80.0625,52.3265625
30.0234375,81.4921875,51.46875
31.7390625,83.2078125,51.46875
32.8828125,84.3515625,51.46875
32.8828125,84.3515625,51.46875
31.1671875,83.2078125,52.040625
28.59375,80.9203125,52.3265625
24.590625,77.775,53.184375
20.015625,73.771875,53.75625
15.1546875,69.4828125,54.328125
10.5796875,65.4796875,54.9
6.8625,62.334375,55.471875
4.2890625,60.046875,55.7578125
2.859375,59.1890625,56.3296875
3.1453125,59.7609375,56.615625
4.575,61.4765625,56.9015625
6.8625,64.3359375,57.4734375
9.721875,67.1953125,57.4734375
12.58125,70.6265625,58.0453125
14.86875,73.2,58.33125
16.2984375,75.4875,59.1890625
17.15625,76.63125,59.475
16.584375,76.63125,60.046875
15.1546875,76.059375,60.9046875
13.153125,74.6296875,61.4765625
10.5796875,72.628125,62.0484375
8.2921875,70.6265625,62.334375
6.290625,68.625,62.334375
4.8609375,67.48125,62.6203125
4.2890625,66.6234375,62.334375
4.575,66.6234375,62.0484375
6.0046875,67.1953125,61.190625
8.00625,68.625,60.61875
10.5796875,70.6265625,60.046875
13.4390625,72.9140625,59.475
16.2984375,75.2015625,58.903125
18.871875,77.4890625,58.6171875
21.159375,79.7765625,58.6171875
22.875,81.4921875,58.6171875
24.01875,82.35,58.33125
24.590625,82.921875,58.33125
24.590625,82.921875,58.33125
24.3046875,82.35,58.0453125
23.7328125,81.20625,57.4734375
22.875,79.7765625,56.9015625
22.303125,78.346875,56.04375
21.73125,76.9171875,55.1859375
21.4453125,75.4875,54.0421875
21.4453125,74.6296875,53.184375
22.0171875,74.34375,52.3265625
22.5890625,74.34375,51.7546875
23.7328125,74.915625,51.1828125
24.8765625,75.7734375,50.896875
26.30625,76.9171875,50.6109375
27.45,78.346875,50.896875
28.59375,79.490625,50.896875
29.165625,80.3484375,51.1828125
29.4515625,80.634375,51.1828125
28.8796875,80.3484375,51.46875
27.7359375,79.490625,51.7546875
25.734375,77.775,52.040625
23.1609375,75.2015625,52.040625
19.7296875,72.05625,52.3265625
15.7265625,68.625,52.8984375
11.7234375,64.9078125,53.184375
7.7203125,61.4765625,53.75625
4.2890625,58.0453125,53.75625
1.715625,55.471875,53.75625
0.0,53.75625,53.75625
-0.2859375,52.8984375,53.184375
0.571875,53.4703125,52.8984375
2.859375,54.9,52.040625
6.290625,57.4734375,51.1828125
10.5796875,60.61875,50.0390625
15.440625,64.3359375,48.8953125
20.3015625,68.053125,47.7515625
24.590625,71.7703125,47.1796875
28.021875,74.34375,46.321875
30.0234375,76.059375,46.0359375
30.309375,76.63125,46.321875
29.165625,75.7734375,46.6078125
26.30625,73.2,46.89375
22.5890625,69.76875,47.1796875
18.0140625,65.4796875,47.465625
13.153125,60.9046875,47.7515625
8.578125,56.3296875,47.7515625
4.8609375,52.3265625,47.465625
2.2875,49.18125,46.89375
1.14375,47.465625,46.321875
1.14375,46.89375,45.75
2.0015625,47.7515625,45.75
4.003125,49.753125,45.75
6.290625,52.3265625,46.0359375
8.2921875,55.471875,47.1796875
10.29375,58.0453125,47.7515625
11.4375,60.61875,49.18125
11.7234375,62.0484375,50.325
11.1515625,62.90625,51.7546875
10.29375,62.6203125,52.3265625
9.15,61.7625,52.6125
8.00625,60.61875,52.6125
7.1484375,59.1890625,52.040625
7.1484375,58.0453125,50.896875
8.00625,56.9015625,48.8953125
9.4359375,56.615625,47.1796875
11.7234375,56.3296875,44.60625
14.0109375,56.615625,42.6046875
16.584375,57.1875,40.603125
18.871875,57.759375,38.8875
20.3015625,58.0453125,37.74375
20.8734375,58.33125,37.4578125
20.3015625,58.0453125,37.74375
18.871875,57.4734375,38.6015625
16.8703125,56.9015625,40.03125
14.296875,56.04375,41.746875
11.7234375,55.471875,43.7484375
9.4359375,55.1859375,45.75
7.434375,55.471875,48.0375
6.290625,56.04375,49.753125
5.71875,57.1875,51.46875
6.0046875,58.6171875,52.6125
6.8625,60.3328125,53.4703125
8.00625,62.0484375,54.0421875
9.721875,63.7640625,54.0421875
11.1515625,65.19375,54.0421875
12.58125,66.3375,53.75625
14.0109375,67.48125,53.4703125
15.1546875,68.625,53.4703125
16.0125,69.76875,53.75625
16.8703125,70.9125,54.0421875
18.0140625,72.3421875,54.328125
18.871875,74.0578125,55.1859375
19.7296875,75.7734375,56.04375
20.8734375,77.4890625,56.615625
21.4453125,79.2046875,57.759375
22.303125,80.634375,58.33125
22.875,82.0640625,59.1890625
23.446875,82.6359375,59.1890625
23.7328125,83.2078125,59.475
24.01875,83.2078125,59.1890625
24.590625,83.49375,58.903125
25.734375,83.49375,57.759375
26.878125,84.065625,57.1875
28.8796875,84.9234375,56.04375
31.1671875,86.353125,55.1859375
33.740625,88.06875,54.328125
36.028125,90.0703125,54.0421875
38.315625,91.7859375,53.4703125
39.7453125,92.9296875,53.184375
40.3171875,93.215625,52.8984375
39.459375,92.3578125,52.8984375
37.4578125,90.0703125,52.6125
34.0265625,86.925,52.8984375
29.7375,82.6359375,52.8984375
25.1625,77.775,52.6125
20.3015625,72.9140625,52.6125
16.2984375,68.625,52.3265625
13.4390625,65.19375,51.7546875
11.7234375,63.478125,51.7546875
12.009375,63.7640625,51.7546875
13.725,65.4796875,51.7546875
16.8703125,68.9109375,52.040625
20.8734375,73.4859375,52.6125
25.1625,78.346875,53.184375
29.4515625,82.921875,53.4703125
32.8828125,86.925,54.0421875
35.45625,89.784375,54.328125
36.3140625,91.2140625,54.9
36.3140625,90.928125,54.6140625
35.1703125,89.4984375,54.328125
33.4546875,87.2109375,53.75625
31.453125,84.6375,53.184375
29.7375,82.6359375,52.8984375
28.8796875,81.20625,52.3265625
29.165625,81.20625,52.040625
30.5953125,82.6359375,52.040625
32.8828125,85.209375,52.3265625
36.028125,88.640625,52.6125
39.1734375,92.64375,53.4703125
42.0328125,96.075,54.0421875
44.3203125,98.934375,54.6140625
44.8921875,100.3640625,55.471875
44.3203125,100.078125,55.7578125
42.0328125,97.790625,55.7578125
38.0296875,93.7875,55.7578125
33.16875,88.640625,55.471875
27.1640625,82.35,55.1859375
21.159375,76.059375,54.9
15.440625,70.340625,54.9
10.5796875,65.4796875,54.9
6.8625,62.334375,55.471875
4.575,60.61875,56.04375
3.7171875,60.61875,56.9015625
4.003125,62.0484375,58.0453125
5.71875,64.3359375,58.6171875
8.2921875,67.48125,59.1890625
11.4375,70.6265625,59.1890625
14.86875,73.4859375,58.6171875
18.3,75.7734375,57.4734375
21.4453125,77.4890625,56.04375
24.01875,78.6328125,54.6140625
26.30625,79.2046875,52.8984375
28.3078125,79.7765625,51.46875
29.7375,80.0625,50.325
30.5953125,80.634375,50.0390625
31.453125,81.4921875,50.0390625
31.7390625,82.921875,51.1828125
32.025,84.065625,52.040625
31.7390625,85.4953125,53.75625
31.453125,86.353125,54.9
30.5953125,86.6390625,56.04375
29.7375,86.353125,56.615625
28.3078125,84.9234375,56.615625
26.5921875,82.35,55.7578125
24.590625,79.2046875,54.6140625
22.5890625,75.4875,52.8984375
20.3015625,71.484375,51.1828125
18.5859375,67.7671875,49.18125
16.8703125,64.621875,47.7515625
15.7265625,62.6203125,46.89375
14.86875,61.4765625,46.6078125
14.5828125,61.190625,46.6078125
14.86875,62.0484375,47.1796875
15.440625,63.7640625,48.3234375
16.0125,65.4796875,49.4671875
16.584375,67.1953125,50.6109375
17.15625,68.625,51.46875
17.4421875,69.4828125,52.040625
17.15625,69.76875,52.6125
17.15625,69.4828125,52.3265625
16.584375,68.9109375,52.3265625
16.2984375,68.053125,51.7546875
16.2984375,67.48125,51.1828125
16.584375,67.48125,50.896875
17.15625,68.3390625,51.1828125
18.5859375,69.76875,51.1828125
20.3015625,72.05625,51.7546875
22.0171875,74.6296875,52.6125
23.7328125,77.4890625,53.75625
25.1625,80.0625,54.9
26.0203125,81.778125,55.7578125
25.734375,82.6359375,56.9015625
24.590625,82.0640625,57.4734375
22.5890625,80.3484375,57.759375
19.44375,77.775,58.33125
16.0125,74.0578125,58.0453125
12.2953125,70.0546875,57.759375
8.8640625,66.3375,57.4734375
6.0046875,63.1921875,57.1875
4.2890625,61.190625,56.9015625
3.7171875,60.61875,56.9015625
4.575,61.190625,56.615625
6.290625,62.90625,56.615625
8.8640625,65.765625,56.9015625
11.7234375,69.196875,57.4734375
14.5828125,72.628125,58.0453125
17.15625,75.7734375,58.6171875
19.1578125,78.346875,59.1890625
20.3015625,80.0625,59.7609375
20.8734375,81.20625,60.3328125
20.8734375,81.4921875,60.61875
20.5875,81.20625,60.61875
20.015625,80.634375,60.61875
19.7296875,80.0625,60.3328125
19.7296875,79.7765625,60.046875
20.015625,80.0625,60.046875
20.3015625,80.3484375,60.046875
20.8734375,80.9203125,60.046875
21.159375,81.778125,60.61875
21.4453125,82.35,60.9046875
21.159375,82.6359375,61.4765625
20.3015625,82.6359375,62.334375
19.1578125,82.35,63.1921875
17.728125,81.4921875,63.7640625
16.2984375,80.634375,64.3359375
15.440625,79.7765625,64.3359375
15.440625,79.2046875,63.7640625
16.0125,78.91875,62.90625
17.728125,79.490625,61.7625
20.3015625,80.9203125,60.61875
23.1609375,82.6359375,59.475
