LEFT,RIGHT,DIFF
-773.746875,-257.0578125,516.6890625
-774.0328125,-257.6296875,516.403125
-772.03125,-255.628125,516.403125
-767.7421875,-251.053125,516.6890625
-760.59375,-243.9046875,516.6890625
-751.1578125,-234.46875,516.6890625
-740.00625,-223.03125,516.975
-727.425,-210.7359375,516.6890625
-714.271875,-198.1546875,516.1171875
-701.690625,-186.7171875,514.9734375
-690.253125,-176.709375,513.54375
-680.53125,-168.9890625,511.5421875
-672.8109375,-163.8421875,508.96875
-667.378125,-160.9828125,506.3953125
-664.2328125,-160.4109375,503.821875
-662.5171875,-161.5546875,500.9625
-662.23125,-163.55625,498.675
-662.23125,-165.5578125,496.6734375
-662.5171875,-167.559375,494.9578125
-662.5171875,-168.703125,493.8140625
-661.659375,-168.9890625,492.6703125
-660.2296875,-168.13125,492.0984375
-658.5140625,-166.415625,492.0984375
-656.2265625,-164.128125,492.0984375
-653.653125,-161.840625,491.8125
-651.365625,-159.2671875,492.0984375
-649.65,-157.265625,492.384375
-647.934375,-155.55,492.384375
-646.790625,-154.1203125,492.6703125
-645.9328125,-152.9765625,492.95625
-644.503125,-151.8328125,492.6703125
-643.0734375,-150.403125,492.6703125
-641.071875,-148.4015625,492.6703125
-638.2125,-145.828125,492.384375
-635.0671875,-142.96875,492.0984375
-631.35,-139.8234375,491.5265625
-627.346875,-136.3921875,490.9546875
-623.6296875,-133.5328125,490.096875
-620.7703125,-131.2453125,489.525
-619.0546875,-130.1015625,488.953125
-618.196875,-129.815625,488.38125
-618.76875,-130.3875,488.38125
-620.1984375,-131.8171875,488.38125
-622.4859375,-133.81875,488.6671875
-624.7734375,-135.8203125,488.953125
-627.0609375,-137.25,489.8109375
-628.7765625,-137.821875,490.9546875
-629.3484375,-137.25,492.0984375
-628.490625,-135.8203125,492.6703125
-626.4890625,-132.9609375,493.528125
-623.34375,-129.24375,494.1
-619.0546875,-124.9546875,494.1
-614.765625,-120.665625,494.1
-610.190625,-116.9484375,493.2421875
-606.1875,-113.5171875,492.6703125
-603.0421875,-111.515625,491.5265625
-601.040625,-110.371875,490.66875
-600.1828125,-110.371875,489.8109375
-600.46875,-111.2296875,489.2390625
-601.8984375,-112.9453125,488.953125
-603.6140625,-114.946875,488.6671875
-605.9015625,-116.9484375,488.953125
-607.903125,-118.6640625,489.2390625
-610.190625,-120.09375,490.096875
-611.90625,-121.2375,490.66875
-613.3359375,-121.809375,491.5265625
-614.4796875,-121.809375,492.6703125
-615.3375,-121.809375,493.528125
-615.6234375,-121.809375,493.8140625
-616.1953125,-121.5234375,494.671875
-616.1953125,-121.5234375,494.671875
-616.1953125,-121.2375,494.9578125
-616.1953125,-120.9515625,495.24375
-615.6234375,-120.665625,494.9578125
-614.4796875,-120.09375,494.3859375
-613.3359375,-119.2359375,494.1
-611.6203125,-118.0921875,493.528125
-609.9046875,-116.9484375,492.95625
-608.1890625,-115.51875,492.6703125
-606.4734375,-114.375,492.0984375
-605.3296875,-113.5171875,491.8125
-604.7578125,-112.9453125,491.8125
-605.04375,-113.23125,491.8125
-606.1875,-114.0890625,492.0984375
-607.903125,-115.51875,492.384375
-610.4765625,-117.234375,493.2421875
-613.3359375,-118.95,494.3859375
-616.1953125,-120.665625,495.5296875
-618.76875,-122.0953125,496.6734375
-620.7703125,-122.6671875,498.103125
-621.9140625,-122.38125,499.5328125
-621.9140625,-121.5234375,500.390625
-620.7703125,-119.8078125,500.9625
-618.76875,-117.80625,500.9625
-616.1953125,-115.51875,500.6765625
-613.05,-113.23125,499.81875
-609.9046875,-111.2296875,498.675
-607.0453125,-109.5140625,497.53125
-604.7578125,-108.65625,496.1015625
-603.0421875,-107.7984375,495.24375
-601.8984375,-107.7984375,494.1
-601.6125,-107.5125,494.1
-601.8984375,-107.5125,494.3859375
-602.75625,-107.2265625,495.5296875
-603.9,-106.6546875,497.2453125
-604.7578125,-105.5109375,499.246875
-605.9015625,-104.3671875,501.534375
-606.759375,-102.9375,503.821875
-607.33125,-101.79375,505.5375
-607.6171875,-100.9359375,506.68125
-607.6171875,-100.3640625,507.253125
-607.33125,-100.9359375,506.3953125
-607.33125,-102.0796875,505.2515625
-606.759375,-103.7953125,502.9640625
-606.4734375,-106.0828125,500.390625
-605.9015625,-108.3703125,497.53125
-605.3296875,-110.6578125,494.671875
-604.7578125,-112.3734375,492.384375
-603.6140625,-113.23125,490.3828125
-602.4703125,-113.23125,489.2390625
-600.7546875,-112.3734375,488.38125
-599.0390625,-110.6578125,488.38125
-597.0375,-108.3703125,488.6671875
-594.75,-106.0828125,488.6671875
-592.4625,-104.3671875,488.0953125
-590.4609375,-102.9375,487.5234375
-588.459375,-102.6515625,485.8078125
-587.0296875,-103.2234375,483.80625
-585.6,-104.9390625,480.6609375
-584.7421875,-107.5125,477.2296875
-584.1703125,-110.94375,473.2265625
-583.884375,-114.375,469.509375
-584.1703125,-117.80625,466.3640625
-584.45625,-120.9515625,463.5046875
-585.3140625,-123.2390625,462.075
-586.171875,-124.9546875,461.2171875
-587.315625,-125.8125,461.503125
-589.03125,-126.0984375,462.9328125
-590.746875,-125.8125,464.934375
-592.4625,-125.240625,467.221875
-594.4640625,-124.3828125,470.08125
-596.1796875,-123.525,472.6546875
-597.609375,-122.953125,474.65625
-598.4671875,-122.0953125,476.371875
-598.753125,-121.2375,477.515625
-598.4671875,-120.3796875,478.0875
-597.0375,-119.2359375,477.8015625
-595.321875,-118.0921875,477.2296875
-593.3203125,-116.9484375,476.371875
-590.746875,-115.8046875,474.9421875
-588.7453125,-114.946875,473.7984375
-587.0296875,-114.946875,472.0828125
-586.4578125,-115.8046875,470.653125
-586.4578125,-117.5203125,468.9375
-587.6015625,-120.3796875,467.221875
-589.8890625,-124.096875,465.7921875
-592.4625,-128.3859375,464.0765625
-595.321875,-132.675,462.646875
-598.18125,-136.3921875,461.7890625
-600.46875,-139.5375,460.93125
-601.8984375,-141.253125,460.6453125
-602.4703125,-141.5390625,460.93125
-601.8984375,-140.3953125,461.503125
-600.7546875,-137.821875,462.9328125
-599.325,-134.1046875,465.2203125
-597.609375,-130.3875,467.221875
-596.465625,-126.6703125,469.7953125
-595.89375,-124.096875,471.796875
-596.465625,-122.6671875,473.7984375
-598.4671875,-122.953125,475.5140625
-601.040625,-124.3828125,476.6578125
-604.471875,-127.2421875,477.2296875
-608.1890625,-130.6734375,477.515625
-611.334375,-134.1046875,477.2296875
-613.9078125,-136.9640625,476.94375
-615.0515625,-138.39375,476.6578125
-615.0515625,-138.39375,476.6578125
-613.3359375,-136.678125,476.6578125
-610.7625,-132.9609375,477.8015625
-607.33125,-128.3859375,478.9453125
-603.6140625,-122.953125,480.6609375
-600.1828125,-117.5203125,482.6625
-597.8953125,-113.23125,484.6640625
-596.7515625,-110.0859375,486.665625
-597.0375,-108.9421875,488.0953125
-598.753125,-109.8,488.953125
-601.6125,-112.3734375,489.2390625
-605.04375,-116.3765625,488.6671875
-608.475,-120.9515625,487.5234375
-611.334375,-125.8125,485.521875
-613.3359375,-130.1015625,483.234375
-613.9078125,-133.246875,480.6609375
-612.7640625,-135.2484375,477.515625
-610.7625,-135.534375,475.228125
-607.6171875,-134.6765625,472.940625
-603.9,-132.9609375,470.9390625
-600.1828125,-130.6734375,469.509375
-597.0375,-128.3859375,468.6515625
-594.75,-126.384375,468.365625
-593.8921875,-125.240625,468.6515625
-593.8921875,-124.3828125,469.509375
-595.0359375,-124.3828125,470.653125
-596.7515625,-124.9546875,471.796875
-598.753125,-125.5265625,473.2265625
-600.46875,-125.8125,474.65625
-601.6125,-125.8125,475.8
-601.8984375,-125.5265625,476.371875
-601.3265625,-124.66875,476.6578125
-600.1828125,-123.525,476.6578125
-598.4671875,-122.0953125,476.371875
-596.7515625,-121.2375,475.5140625
-595.321875,-120.665625,474.65625
-594.4640625,-120.9515625,473.5125
-594.4640625,-122.38125,472.0828125
-595.6078125,-124.096875,471.5109375
-597.609375,-126.6703125,470.9390625
-599.896875,-128.9578125,470.9390625
-602.184375,-130.959375,471.225
-604.1859375,-132.103125,472.0828125
-605.3296875,-132.103125,473.2265625
-605.3296875,-130.3875,474.9421875
-603.9,-127.528125,476.371875
-601.040625,-123.525,477.515625
-597.0375,-118.6640625,478.3734375
-592.1765625,-113.803125,478.3734375
-587.0296875,-109.228125,477.8015625
-582.16875,-105.796875,476.371875
-577.8796875,-104.08125,473.7984375
-575.0203125,-103.7953125,471.225
-573.3046875,-105.5109375,467.79375
-573.01875,-108.65625,464.3625
-574.1625,-113.23125,460.93125
-576.1640625,-118.0921875,458.071875
-578.7375,-123.2390625,455.4984375
-581.8828125,-128.1,453.7828125
-584.7421875,-132.103125,452.6390625
-587.6015625,-135.2484375,452.353125
-590.175,-137.25,452.925
-592.4625,-138.6796875,453.7828125
-594.4640625,-139.2515625,455.2125
-596.1796875,-139.5375,456.6421875
-597.8953125,-139.5375,458.3578125
-599.6109375,-139.5375,460.0734375
-601.3265625,-139.8234375,461.503125
-602.75625,-140.109375,462.646875
-603.9,-140.109375,463.790625
-604.471875,-139.8234375,464.6484375
-604.1859375,-138.6796875,465.50625
-602.75625,-137.25,465.50625
-600.1828125,-134.9625,465.2203125
-596.7515625,-132.103125,464.6484375
-593.034375,-128.9578125,464.0765625
-588.7453125,-126.0984375,462.646875
-584.7421875,-123.2390625,461.503125
-581.3109375,-121.5234375,459.7875
-579.0234375,-120.665625,458.3578125
-578.165625,-121.2375,456.928125
-579.0234375,-122.6671875,456.35625
-581.025,-125.240625,455.784375
-583.884375,-128.671875,455.2125
-587.6015625,-131.8171875,455.784375
-591.31875,-134.9625,456.35625
-594.4640625,-136.9640625,457.5
-596.465625,-137.821875,458.64375
-597.3234375,-137.25,460.0734375
-596.465625,-135.2484375,461.2171875
-594.4640625,-131.8171875,462.646875
-591.0328125,-127.8140625,463.21875
-587.0296875,-123.2390625,463.790625
-583.0265625,-118.6640625,464.3625
-579.0234375,-114.375,464.6484375
-575.878125,-111.2296875,464.6484375
-573.590625,-108.9421875,464.6484375
-572.446875,-107.7984375,464.6484375
-572.7328125,-107.7984375,464.934375
-573.8765625,-108.3703125,465.50625
-575.878125,-109.8,466.078125
-578.4515625,-111.515625,466.9359375
-581.025,-113.23125,467.79375
-583.3125,-114.946875,468.365625
-585.3140625,-116.3765625,468.9375
-587.0296875,-117.80625,469.2234375
-588.1734375,-118.95,469.2234375
-588.7453125,-119.8078125,468.9375
-589.03125,-120.9515625,468.0796875
-589.3171875,-122.38125,466.9359375
-589.3171875,-123.525,465.7921875
-589.3171875,-124.9546875,464.3625
-589.3171875,-126.0984375,463.21875
-589.03125,-127.2421875,461.7890625
-588.7453125,-128.1,460.6453125
-588.459375,-128.3859375,460.0734375
-587.6015625,-128.1,459.5015625
-586.4578125,-127.2421875,459.215625
-584.7421875,-125.8125,458.9296875
-583.0265625,-123.8109375,459.215625
-581.025,-121.5234375,459.5015625
-579.0234375,-119.521875,459.5015625
-577.021875,-117.5203125,459.5015625
-575.5921875,-116.3765625,459.215625
-574.4484375,-115.51875,458.9296875
-573.8765625,-115.51875,458.3578125
-573.8765625,-116.3765625,457.5
-574.4484375,-117.5203125,456.928125
-575.5921875,-119.521875,456.0703125
-577.021875,-121.5234375,455.4984375
-578.165625,-123.525,454.640625
-579.309375,-125.240625,454.06875
-580.1671875,-126.6703125,453.496875
-580.453125,-127.528125,452.925
-579.88125,-127.528125,452.353125
-578.4515625,-127.2421875,451.209375
-576.1640625,-126.6703125,449.49375
-573.01875,-125.5265625,447.4921875
-569.3015625,-124.66875,444.6328125
-565.2984375,-123.525,441.7734375
-561.009375,-122.953125,438.05625
-557.2921875,-122.38125,434.9109375
-553.8609375,-122.0953125,431.765625
-551.5734375,-122.0953125,429.478125
-550.14375,-122.38125,427.7625
-549.571875,-122.6671875,426.9046875
-550.4296875,-122.953125,427.4765625
-551.859375,-122.953125,428.90625
-554.146875,-122.953125,431.19375
-556.7203125,-122.953125,433.7671875
-559.29375,-122.6671875,436.6265625
-561.58125,-122.38125,439.2
-563.0109375,-122.38125,440.6296875
-563.86875,-122.38125,441.4875
-563.5828125,-122.6671875,440.915625
-562.153125,-122.6671875,439.4859375
-560.1515625,-122.953125,437.1984375
-557.2921875,-122.6671875,434.625
-554.146875,-122.38125,431.765625
-551.0015625,-121.809375,429.1921875
-548.1421875,-120.665625,427.4765625
-545.8546875,-119.2359375,426.61875
-544.7109375,-117.5203125,427.190625
-544.1390625,-115.51875,428.6203125
-544.996875,-113.803125,431.19375
-546.4265625,-112.0875,434.3390625
-548.428125,-111.2296875,437.1984375
-550.715625,-110.6578125,440.0578125
-553.2890625,-111.2296875,442.059375
-555.5765625,-112.3734375,443.203125
-557.578125,-114.0890625,443.4890625
-559.0078125,-116.3765625,442.63125
-559.865625,-119.2359375,440.6296875
-560.1515625,-122.0953125,438.05625
-560.4375,-124.9546875,435.4828125
-560.1515625,-127.8140625,432.3375
-560.1515625,-130.6734375,429.478125
-560.4375,-132.9609375,427.4765625
-560.7234375,-134.9625,425.7609375
-561.2953125,-136.9640625,424.33125
-562.153125,-138.1078125,424.0453125
-563.0109375,-138.965625,424.0453125
-563.5828125,-139.5375,424.0453125
-563.5828125,-139.5375,424.0453125
-563.0109375,-138.965625,424.0453125
-561.58125,-137.5359375,424.0453125
-559.5796875,-136.10625,423.4734375
-557.00625,-134.1046875,422.9015625
-554.146875,-131.8171875,422.3296875
-551.0015625,-129.815625,421.1859375
-548.428125,-128.1,420.328125
-546.140625,-126.6703125,419.4703125
-544.996875,-126.0984375,418.8984375
-544.425,-125.8125,418.6125
-544.7109375,-126.0984375,418.6125
-545.56875,-126.6703125,418.8984375
-546.7125,-127.2421875,419.4703125
-547.5703125,-127.528125,420.0421875
-547.85625,-126.95625,420.9
-547.284375,-125.8125,421.471875
-545.8546875,-123.8109375,422.04375
-543.28125,-121.2375,422.04375
-540.421875,-118.0921875,422.3296875
-536.990625,-115.2328125,421.7578125
-533.8453125,-112.3734375,421.471875
-531.271875,-110.6578125,420.6140625
-529.55625,-109.5140625,420.0421875
-528.6984375,-109.5140625,419.184375
-528.984375,-110.371875,418.6125
-530.128125,-111.2296875,418.8984375
-531.271875,-112.0875,419.184375
-532.415625,-112.3734375,420.0421875
-532.7015625,-111.2296875,421.471875
-531.5578125,-108.65625,422.9015625
-529.2703125,-104.653125,424.6171875
-525.553125,-99.2203125,426.3328125
-520.6921875,-93.215625,427.4765625
-515.259375,-86.925,428.334375
-510.1125,-81.778125,428.334375
-505.8234375,-78.0609375,427.7625
-502.9640625,-76.63125,426.3328125
-502.10625,-77.775,424.33125
-503.5359375,-81.20625,422.3296875
-506.68125,-86.6390625,420.0421875
-511.5421875,-93.5015625,418.040625
-517.2609375,-100.9359375,416.325
-522.69375,-108.084375,414.609375
-527.5546875,-113.803125,413.7515625
-530.9859375,-117.5203125,413.465625
-532.7015625,-119.2359375,413.465625
-532.415625,-118.95,413.465625
-530.4140625,-116.9484375,413.465625
-527.26875,-113.803125,413.465625
-523.5515625,-110.371875,413.1796875
-519.834375,-107.2265625,412.6078125
-516.6890625,-104.9390625,411.75
-514.6875,-103.509375,411.178125
-513.54375,-103.509375,410.034375
-513.2578125,-104.08125,409.1765625
-513.54375,-104.9390625,408.6046875
-513.8296875,-105.5109375,408.31875
-513.8296875,-105.5109375,408.31875
-512.4,-103.7953125,408.6046875
-510.1125,-100.9359375,409.1765625
-506.3953125,-96.9328125,409.4625
-501.534375,-92.071875,409.4625
-496.1015625,-86.6390625,409.4625
-490.66875,-81.778125,408.890625
-485.8078125,-78.0609375,407.746875
-482.090625,-75.4875,406.603125
-479.803125,-74.915625,404.8875
-478.9453125,-76.059375,402.8859375
-479.23125,-78.346875,400.884375
-480.6609375,-81.778125,398.8828125
-482.6625,-85.78125,396.88125
-484.6640625,-89.2125,395.4515625
-486.09375,-92.071875,394.021875
-486.9515625,-93.7875,393.1640625
-486.9515625,-94.6453125,392.30625
-486.09375,-94.6453125,391.4484375
-484.95,-94.359375,390.590625
-483.80625,-94.359375,389.446875
-483.5203125,-95.2171875,388.303125
-484.0921875,-97.5046875,386.5875
-486.09375,-101.5078125,384.5859375
-489.525,-107.2265625,382.2984375
-494.3859375,-114.375,380.0109375
-500.390625,-122.6671875,377.7234375
-506.9671875,-131.53125,375.4359375
-513.54375,-140.109375,373.434375
-519.2625,-148.115625,371.146875
-523.8375,-154.1203125,369.7171875
-526.696875,-158.409375,368.2875
-527.840625,-160.696875,367.14375
-526.9828125,-160.4109375,366.571875
-524.409375,-157.8375,366.571875
-520.1203125,-153.5484375,366.571875
-514.9734375,-147.8296875,367.14375
-509.2546875,-141.253125,368.0015625
-502.9640625,-133.81875,369.1453125
-496.6734375,-126.0984375,370.575
-490.3828125,-118.378125,372.0046875
-484.378125,-110.94375,373.434375
-478.3734375,-103.7953125,374.578125
-472.6546875,-96.9328125,375.721875
-466.9359375,-90.928125,376.0078125
-461.503125,-85.4953125,376.0078125
-456.35625,-80.9203125,375.4359375
-451.4953125,-77.203125,374.2921875
-447.20625,-74.915625,372.290625
-443.4890625,-73.4859375,370.003125
-440.6296875,-73.771875,366.8578125
-439.2,-75.2015625,363.9984375
-438.9140625,-77.775,361.1390625
-439.771875,-81.4921875,358.2796875
-441.4875,-86.0671875,355.4203125
-444.346875,-90.6421875,353.7046875
-447.4921875,-95.503125,351.9890625
-450.9234375,-99.50625,351.4171875
-453.7828125,-102.6515625,351.13125
-456.35625,-104.3671875,351.9890625
-457.7859375,-104.9390625,352.846875
-458.071875,-103.7953125,354.2765625
-457.2140625,-101.221875,355.9921875
-454.9265625,-97.21875,357.7078125
-451.78125,-92.64375,359.1375
-447.778125,-87.2109375,360.5671875
-443.4890625,-81.778125,361.7109375
-438.9140625,-76.9171875,361.996875
-434.9109375,-72.628125,362.2828125
-431.4796875,-69.4828125,361.996875
-428.90625,-67.7671875,361.1390625
-427.7625,-67.48125,360.28125
-427.7625,-68.625,359.1375
-429.1921875,-71.1984375,357.99375
-432.0515625,-74.915625,357.1359375
-435.76875,-80.0625,355.70625
-440.6296875,-85.4953125,355.134375
-445.7765625,-91.5,354.2765625
-450.9234375,-97.5046875,353.41875
-456.0703125,-102.6515625,353.41875
-460.6453125,-107.2265625,353.41875
-464.0765625,-110.6578125,353.41875
-466.3640625,-112.3734375,353.990625
-466.9359375,-112.659375,354.2765625
-465.7921875,-111.2296875,354.5625
-463.5046875,-108.084375,355.4203125
-459.5015625,-104.08125,355.4203125
-454.640625,-99.2203125,355.4203125
-449.49375,-94.359375,355.134375
-444.346875,-89.784375,354.5625
-440.0578125,-86.353125,353.7046875
-436.9125,-84.6375,352.275
-435.4828125,-84.6375,350.8453125
-436.340625,-86.925,349.415625
-438.9140625,-91.2140625,347.7
-443.775,-97.21875,346.55625
-449.7796875,-104.08125,345.6984375
-456.6421875,-111.515625,345.1265625
-464.0765625,-118.6640625,345.4125
-470.653125,-124.66875,345.984375
-476.371875,-129.5296875,346.8421875
-480.6609375,-132.3890625,348.271875
-483.234375,-133.81875,349.415625
-484.0921875,-133.246875,350.8453125
-483.5203125,-131.53125,351.9890625
-482.090625,-129.24375,352.846875
-479.803125,-126.6703125,353.1328125
-477.515625,-124.3828125,353.1328125
-475.8,-122.6671875,353.1328125
-474.3703125,-121.809375,352.5609375
-474.084375,-121.809375,352.275
-474.084375,-122.0953125,351.9890625
-474.9421875,-122.953125,351.9890625
-475.8,-123.2390625,352.5609375
-476.6578125,-123.2390625,353.41875
-476.94375,-122.6671875,354.2765625
-476.94375,-121.5234375,355.4203125
-476.0859375,-119.521875,356.5640625
-474.65625,-116.9484375,357.7078125
-473.2265625,-114.375,358.8515625
-471.225,-111.8015625,359.4234375
-469.509375,-109.8,359.709375
-468.0796875,-108.084375,359.9953125
-466.9359375,-106.940625,359.9953125
-465.7921875,-106.36875,359.4234375
-464.934375,-106.0828125,358.8515625
-464.0765625,-105.796875,358.2796875
-462.9328125,-105.225,357.7078125
-461.503125,-104.653125,356.85
-459.7875,-103.7953125,355.9921875
-457.7859375,-102.9375,354.8484375
-456.0703125,-102.0796875,353.990625
-454.3546875,-101.79375,352.5609375
-453.496875,-102.365625,351.13125
-453.2109375,-103.509375,349.7015625
-453.7828125,-105.5109375,348.271875
-454.9265625,-108.084375,346.8421875
-456.928125,-110.94375,345.984375
-458.9296875,-113.23125,345.6984375
-460.359375,-114.946875,345.4125
-461.2171875,-115.51875,345.6984375
-460.93125,-114.375,346.55625
-459.215625,-112.0875,347.128125
-456.35625,-108.65625,347.7
-452.925,-104.653125,348.271875
-448.921875,-100.65,348.271875
-445.490625,-97.790625,347.7
-442.9171875,-96.3609375,346.55625
-442.3453125,-96.9328125,345.4125
-443.4890625,-99.7921875,343.696875
-446.3484375,-104.3671875,341.98125
-450.9234375,-110.0859375,340.8375
-456.0703125,-116.3765625,339.69375
-461.503125,-122.0953125,339.4078125
-465.7921875,-126.0984375,339.69375
-468.365625,-127.8140625,340.5515625
-468.6515625,-126.6703125,341.98125
-466.65,-122.6671875,343.9828125
-462.075,-116.090625,345.984375
-455.784375,-108.3703125,347.4140625
-448.921875,-100.078125,348.84375
-442.3453125,-92.64375,349.7015625
-437.484375,-87.2109375,350.2734375
-434.625,-84.6375,349.9875
-434.9109375,-85.4953125,349.415625
-438.3421875,-89.784375,348.5578125
-444.91875,-97.21875,347.7
-453.7828125,-106.6546875,347.128125
-463.790625,-117.234375,346.55625
-474.084375,-127.8140625,346.2703125
-483.5203125,-136.9640625,346.55625
-490.9546875,-144.1125,346.8421875
-496.1015625,-148.4015625,347.7
-498.3890625,-150.1171875,348.271875
-497.8171875,-148.9734375,348.84375
-495.24375,-145.828125,349.415625
-490.66875,-141.5390625,349.1296875
-485.521875,-136.3921875,349.1296875
-480.0890625,-131.8171875,348.271875
-475.228125,-127.8140625,347.4140625
-471.225,-124.9546875,346.2703125
-468.6515625,-123.8109375,344.840625
-467.221875,-123.8109375,343.4109375
-466.65,-124.9546875,341.6953125
-467.221875,-126.95625,340.265625
-468.0796875,-129.24375,338.8359375
-469.2234375,-131.8171875,337.40625
-470.08125,-134.1046875,335.9765625
-470.9390625,-136.10625,334.8328125
-471.225,-137.25,333.975
-471.225,-137.821875,333.403125
-470.9390625,-137.5359375,333.403125
-469.7953125,-136.678125,333.1171875
-468.365625,-134.9625,333.403125
-466.65,-132.3890625,334.2609375
-464.0765625,-129.24375,334.8328125
-461.503125,-125.5265625,335.9765625
-458.3578125,-121.5234375,336.834375
-455.2125,-118.0921875,337.1203125
-452.353125,-114.6609375,337.6921875
-450.065625,-112.3734375,337.6921875
-448.6359375,-110.94375,337.6921875
-448.35,-110.6578125,337.6921875
-449.2078125,-111.8015625,337.40625
-451.209375,-113.5171875,337.6921875
-454.06875,-116.090625,337.978125
-457.2140625,-118.6640625,338.55
-460.6453125,-120.665625,339.9796875
-462.9328125,-121.5234375,341.409375
-464.3625,-121.2375,343.125
-463.790625,-119.521875,344.26875
-461.503125,-116.090625,345.4125
-457.5,-111.8015625,345.6984375
-452.0671875,-106.6546875,345.4125
-445.7765625,-101.79375,343.9828125
-439.4859375,-97.5046875,341.98125
-433.48125,-94.359375,339.121875
-428.334375,-92.64375,335.690625
-424.903125,-92.64375,332.259375
-423.1875,-93.7875,329.4
