LEFT,RIGHT,DIFF
-661.9453125,-480.946875,180.9984375
-661.0875,-479.5171875,181.5703125
-660.2296875,-478.0875,182.1421875
-659.0859375,-476.0859375,183.0
-657.65625,-473.5125,184.14375
-656.5125,-471.225,185.2875
-655.6546875,-468.6515625,187.003125
-655.0828125,-466.3640625,188.71875
-655.0828125,-464.934375,190.1484375
-655.940625,-463.790625,192.15
-657.65625,-463.5046875,194.1515625
-659.94375,-463.790625,196.153125
-662.803125,-464.3625,198.440625
-665.6625,-464.934375,200.728125
-668.2359375,-465.50625,202.7296875
-669.9515625,-465.50625,204.4453125
-671.0953125,-464.934375,206.1609375
-671.0953125,-462.9328125,208.1625
-669.9515625,-460.0734375,209.878125
-667.6640625,-456.35625,211.3078125
-664.8046875,-451.78125,213.0234375
-661.3734375,-446.9203125,214.453125
-658.228125,-442.059375,216.16875
-655.36875,-437.7703125,217.5984375
-653.08125,-434.3390625,218.7421875
-651.6515625,-431.765625,219.8859375
-651.0796875,-430.9078125,220.171875
-651.365625,-431.19375,220.171875
-652.2234375,-432.3375,219.8859375
-653.653125,-434.3390625,219.3140625
-655.0828125,-436.9125,218.1703125
-656.5125,-439.771875,216.740625
-657.3703125,-442.3453125,215.025
-658.228125,-444.6328125,213.5953125
-658.8,-446.3484375,212.4515625
-659.0859375,-447.4921875,211.59375
-659.371875,-448.0640625,211.3078125
-659.6578125,-448.35,211.3078125
-660.2296875,-447.778125,212.4515625
-660.8015625,-447.20625,213.5953125
-661.3734375,-446.0625,215.3109375
-661.9453125,-444.6328125,217.3125
-662.5171875,-442.63125,219.8859375
-662.23125,-440.6296875,221.6015625
-661.659375,-438.05625,223.603125
-660.515625,-435.196875,225.31875
-658.8,-432.3375,226.4625
-656.7984375,-429.478125,227.3203125
-655.36875,-427.190625,228.178125
-654.225,-425.7609375,228.4640625
-654.225,-425.7609375,228.4640625
-655.6546875,-427.190625,228.4640625
-659.0859375,-430.3359375,228.75
-664.51875,-435.4828125,229.0359375
-671.953125,-442.3453125,229.6078125
-681.103125,-450.6375,230.465625
-691.396875,-460.0734375,231.3234375
-702.2625,-469.2234375,233.0390625
-713.128125,-478.0875,235.040625
-722.5640625,-485.521875,237.0421875
-730.5703125,-491.240625,239.3296875
-736.003125,-494.3859375,241.6171875
-738.8625,-494.671875,244.190625
-738.8625,-492.384375,246.478125
-736.2890625,-487.5234375,248.765625
-731.428125,-480.946875,250.48125
-724.8515625,-472.940625,251.9109375
-717.4171875,-464.3625,253.0546875
-709.696875,-456.0703125,253.6265625
-702.2625,-448.35,253.9125
-695.971875,-441.7734375,254.1984375
-691.1109375,-436.6265625,254.484375
-687.6796875,-432.909375,254.7703125
-685.3921875,-430.3359375,255.05625
-684.534375,-428.6203125,255.9140625
-684.2484375,-427.4765625,256.771875
-683.9625,-426.3328125,257.6296875
-683.6765625,-424.6171875,259.059375
-682.5328125,-422.615625,259.9171875
-680.8171875,-420.0421875,260.775
-677.9578125,-416.896875,261.0609375
-674.5265625,-413.465625,261.0609375
-670.5234375,-410.034375,260.4890625
-666.5203125,-407.175,259.3453125
-662.803125,-404.8875,257.915625
-659.6578125,-403.74375,255.9140625
-657.65625,-404.0296875,253.6265625
-657.084375,-405.1734375,251.9109375
-657.3703125,-407.4609375,249.909375
-658.8,-410.60625,248.19375
-660.8015625,-414.0375,246.7640625
-663.375,-417.46875,245.90625
-665.9484375,-420.9,245.0484375
-668.2359375,-423.4734375,244.7625
-669.665625,-425.475,244.190625
-670.5234375,-426.9046875,243.61875
-670.5234375,-427.4765625,243.046875
-669.9515625,-427.4765625,242.475
-669.09375,-427.4765625,241.6171875
-667.95,-427.190625,240.759375
-666.80625,-426.9046875,239.9015625
-666.234375,-426.9046875,239.3296875
-665.9484375,-427.190625,238.7578125
-666.234375,-427.4765625,238.7578125
-667.0921875,-427.7625,239.3296875
-668.2359375,-427.7625,240.4734375
-669.665625,-428.0484375,241.6171875
-671.0953125,-427.7625,243.3328125
-672.2390625,-427.190625,245.0484375
-673.3828125,-426.3328125,247.05
-673.9546875,-425.475,248.4796875
-674.240625,-424.33125,249.909375
-674.240625,-423.1875,251.053125
-674.240625,-422.3296875,251.9109375
-673.9546875,-421.471875,252.4828125
-673.3828125,-421.1859375,252.196875
-673.096875,-421.1859375,251.9109375
-673.096875,-421.1859375,251.9109375
-673.096875,-421.471875,251.625
-673.096875,-422.04375,251.053125
-673.3828125,-422.615625,250.7671875
-673.66875,-423.1875,250.48125
-674.240625,-423.759375,250.48125
-674.8125,-424.33125,250.48125
-675.384375,-424.6171875,250.7671875
-676.2421875,-425.1890625,251.053125
-677.3859375,-425.475,251.9109375
-678.5296875,-425.7609375,252.76875
-679.959375,-426.3328125,253.6265625
-681.3890625,-426.61875,254.7703125
-682.81875,-426.9046875,255.9140625
-684.2484375,-427.190625,257.0578125
-685.3921875,-427.4765625,257.915625
-686.25,-427.4765625,258.7734375
-686.5359375,-427.7625,258.7734375
-686.821875,-427.7625,259.059375
-686.821875,-428.0484375,258.7734375
-686.821875,-428.0484375,258.7734375
-686.5359375,-428.334375,258.2015625
-686.25,-428.6203125,257.6296875
-686.25,-428.90625,257.34375
-686.5359375,-429.478125,257.0578125
-687.1078125,-430.3359375,256.771875
-687.965625,-430.621875,257.34375
-689.109375,-431.19375,257.915625
-690.253125,-431.19375,259.059375
-691.1109375,-431.19375,259.9171875
-691.96875,-430.3359375,261.6328125
-692.2546875,-429.1921875,263.0625
-691.96875,-427.190625,264.778125
-691.1109375,-424.903125,266.2078125
-689.68125,-422.04375,267.6375
-687.965625,-418.6125,269.353125
-685.9640625,-415.4671875,270.496875
-683.6765625,-412.321875,271.3546875
-681.9609375,-409.4625,272.4984375
-680.53125,-407.175,273.35625
-679.6734375,-405.7453125,273.928125
-679.6734375,-405.459375,274.2140625
-680.8171875,-405.7453125,275.071875
-682.5328125,-407.175,275.3578125
-685.10625,-409.4625,275.64375
-687.965625,-412.321875,275.64375
-691.396875,-415.753125,275.64375
-694.5421875,-419.184375,275.3578125
-697.4015625,-422.3296875,275.071875
-699.6890625,-424.903125,274.7859375
-701.11875,-426.9046875,274.2140625
-701.9765625,-427.7625,274.2140625
-701.690625,-427.7625,273.928125
-700.8328125,-426.9046875,273.928125
-699.6890625,-425.1890625,274.5
-697.9734375,-422.9015625,275.071875
-695.971875,-420.328125,275.64375
-694.25625,-417.7546875,276.5015625
-692.8265625,-415.18125,277.6453125
-691.6828125,-413.1796875,278.503125
-690.825,-411.75,279.075
-690.5390625,-410.8921875,279.646875
-689.9671875,-410.3203125,279.646875
-689.68125,-410.3203125,279.3609375
-689.3953125,-410.3203125,279.075
-688.8234375,-410.60625,278.2171875
-687.965625,-410.8921875,277.0734375
-686.821875,-411.4640625,275.3578125
-685.678125,-411.75,273.928125
-684.8203125,-412.321875,272.4984375
