LEFT,RIGHT,DIFF
2017.003125,1418.25,-598.753125
2014.14375,1415.390625,-598.753125
2013.2859375,1413.675,-599.6109375
2013.571875,1412.53125,-601.040625
2014.715625,1412.2453125,-602.4703125
2016.43125,1412.53125,-603.9
2018.146875,1412.8171875,-605.3296875
2019.5765625,1413.103125,-606.4734375
2020.434375,1413.3890625,-607.0453125
2020.434375,1413.3890625,-607.0453125
2020.1484375,1413.103125,-607.0453125
2019.290625,1412.8171875,-606.4734375
2017.8609375,1412.53125,-605.3296875
2016.43125,1411.6734375,-604.7578125
2015.0015625,1410.5296875,-604.471875
2013.8578125,1409.1,-604.7578125
2012.7140625,1407.0984375,-605.615625
2011.5703125,1404.525,-607.0453125
2010.140625,1401.665625,-608.475
2008.7109375,1397.9484375,-610.7625
2006.709375,1393.659375,-613.05
2004.1359375,1389.084375,-615.0515625
2000.7046875,1384.2234375,-616.48125
1996.7015625,1378.790625,-617.9109375
1992.1265625,1373.64375,-618.4828125
1986.69375,1368.496875,-618.196875
1980.975,1363.35,-617.625
1974.9703125,1358.775,-616.1953125
1969.2515625,1354.2,-615.0515625
1963.81875,1350.196875,-613.621875
1958.9578125,1345.9078125,-613.05
1954.66875,1342.190625,-612.478125
1950.9515625,1338.1875,-612.7640625
1948.0921875,1334.184375,-613.9078125
1945.8046875,1330.18125,-615.6234375
1944.0890625,1326.178125,-617.9109375
1942.9453125,1322.4609375,-620.484375
1942.0875,1318.4578125,-623.6296875
1941.515625,1315.0265625,-626.4890625
1940.94375,1311.88125,-629.0625
1940.371875,1308.7359375,-631.6359375
1939.5140625,1306.1625,-633.3515625
1938.3703125,1303.875,-634.4953125
1936.6546875,1301.3015625,-635.353125
1934.653125,1299.0140625,-635.6390625
1931.79375,1296.440625,-635.353125
1928.6484375,1293.2953125,-635.353125
1924.93125,1289.578125,-635.353125
1920.35625,1285.575,-634.78125
1915.4953125,1281.0,-634.4953125
1910.3484375,1275.853125,-634.4953125
1904.6296875,1270.134375,-634.4953125
1898.625,1264.1296875,-634.4953125
1892.6203125,1258.125,-634.4953125
1886.3296875,1251.834375,-634.4953125
1880.325,1245.54375,-634.78125
1874.034375,1239.253125,-634.78125
1868.0296875,1233.2484375,-634.78125
1862.3109375,1227.24375,-635.0671875
1856.878125,1221.525,-635.353125
1851.73125,1215.80625,-635.925
1846.8703125,1210.659375,-636.2109375
1842.2953125,1205.5125,-636.7828125
1838.2921875,1200.9375,-637.3546875
1834.8609375,1196.934375,-637.9265625
1831.715625,1193.2171875,-638.4984375
1829.1421875,1190.071875,-639.0703125
1826.56875,1187.2125,-639.35625
1823.9953125,1184.6390625,-639.35625
1821.7078125,1182.3515625,-639.35625
1819.4203125,1180.0640625,-639.35625
