LEFT,RIGHT,DIFF
109.228125,-23.7328125,-132.9609375
108.3703125,-24.8765625,-133.246875
108.3703125,-25.734375,-134.1046875
109.228125,-24.8765625,-134.1046875
111.8015625,-22.875,-134.6765625
115.51875,-19.1578125,-134.6765625
120.665625,-14.296875,-134.9625
126.6703125,-8.578125,-135.2484375
133.246875,-2.5734375,-135.8203125
139.5375,2.859375,-136.678125
145.5421875,8.00625,-137.5359375
150.403125,12.2953125,-138.1078125
154.6921875,15.7265625,-138.965625
158.1234375,18.3,-139.8234375
160.9828125,20.3015625,-140.68125
163.2703125,22.303125,-140.9671875
164.9859375,23.7328125,-141.253125
166.415625,25.4484375,-140.9671875
167.2734375,26.5921875,-140.68125
167.2734375,27.45,-139.8234375
166.1296875,27.45,-138.6796875
163.55625,26.30625,-137.25
159.2671875,23.7328125,-135.534375
153.2625,19.7296875,-133.5328125
145.828125,14.5828125,-131.2453125
137.821875,8.2921875,-129.5296875
130.1015625,2.0015625,-128.1
122.953125,-3.43125,-126.384375
117.80625,-7.434375,-125.240625
114.946875,-9.4359375,-124.3828125
115.2328125,-8.8640625,-124.096875
118.378125,-5.4328125,-123.8109375
124.096875,0.2859375,-123.8109375
131.53125,7.7203125,-123.8109375
139.5375,15.7265625,-123.8109375
146.6859375,23.1609375,-123.525
152.4046875,28.8796875,-123.525
155.2640625,31.7390625,-123.525
154.978125,31.453125,-123.525
151.8328125,28.021875,-123.8109375
146.1140625,21.73125,-124.3828125
138.965625,13.725,-125.240625
131.8171875,5.146875,-126.6703125
125.8125,-2.0015625,-127.8140625
122.0953125,-7.434375,-129.5296875
122.0953125,-9.4359375,-131.53125
125.240625,-7.7203125,-132.9609375
131.8171875,-2.859375,-134.6765625
140.3953125,4.575,-135.8203125
149.83125,13.4390625,-136.3921875
158.1234375,22.303125,-135.8203125
163.8421875,28.8796875,-134.9625
165.271875,31.7390625,-133.5328125
161.5546875,29.7375,-131.8171875
152.4046875,22.5890625,-129.815625
138.39375,10.29375,-128.1
120.665625,-6.0046875,-126.6703125
100.9359375,-25.1625,-126.0984375
81.20625,-44.8921875,-126.0984375
64.05,-63.1921875,-127.2421875
50.896875,-77.775,-128.671875
42.890625,-87.496875,-130.3875
40.8890625,-91.5,-132.3890625
44.8921875,-89.4984375,-134.390625
53.75625,-81.778125,-135.534375
66.3375,-70.0546875,-136.3921875
80.634375,-55.471875,-136.10625
94.93125,-40.03125,-134.9625
107.7984375,-25.4484375,-133.246875
118.0921875,-13.153125,-131.2453125
124.9546875,-4.003125,-128.9578125
128.671875,1.715625,-126.95625
129.815625,4.575,-125.240625
129.5296875,5.146875,-124.3828125
128.671875,4.2890625,-124.3828125
128.3859375,3.43125,-124.9546875
129.5296875,3.1453125,-126.384375
132.3890625,4.003125,-128.3859375
136.9640625,6.5765625,-130.3875
142.96875,10.29375,-132.675
124.9546875,-14.296875,-139.2515625
123.8109375,-17.4421875,-141.253125
125.5265625,-17.4421875,-142.96875
129.5296875,-14.5828125,-144.1125
135.8203125,-8.8640625,-144.684375
142.96875,-1.14375,-144.1125
150.1171875,6.8625,-143.2546875
156.4078125,14.86875,-141.5390625
160.696875,21.159375,-139.5375
162.4125,25.1625,-137.25
161.26875,26.0203125,-135.2484375
156.9796875,23.446875,-133.5328125
150.403125,18.3,-132.103125
142.1109375,10.865625,-131.2453125
133.5328125,2.5734375,-130.959375
125.5265625,-5.146875,-130.6734375
119.521875,-12.009375,-131.53125
115.8046875,-16.584375,-132.3890625
114.946875,-18.0140625,-132.9609375
117.234375,-16.8703125,-134.1046875
122.0953125,-12.58125,-134.6765625
128.3859375,-6.5765625,-134.9625
135.8203125,0.571875,-135.2484375
142.6828125,7.434375,-135.2484375
148.115625,13.4390625,-134.6765625
151.2609375,17.15625,-134.1046875
151.2609375,18.0140625,-133.246875
148.115625,16.0125,-132.103125
142.396875,11.1515625,-131.2453125
134.1046875,4.003125,-130.1015625
124.66875,-4.2890625,-128.9578125
114.946875,-13.153125,-128.1
106.0828125,-21.4453125,-127.528125
98.934375,-28.3078125,-127.2421875
94.359375,-32.8828125,-127.2421875
92.64375,-34.884375,-127.528125
93.5015625,-34.3125,-127.8140625
96.9328125,-31.453125,-128.3859375
102.0796875,-26.5921875,-128.671875
108.084375,-21.159375,-129.24375
114.0890625,-15.1546875,-129.24375
119.521875,-9.4359375,-128.9578125
123.8109375,-4.8609375,-128.671875
126.6703125,-1.4296875,-128.1
128.3859375,0.8578125,-127.528125
129.24375,2.2875,-126.95625
129.5296875,2.859375,-126.6703125
129.815625,3.43125,-126.384375
130.6734375,3.7171875,-126.95625
132.103125,4.575,-127.528125
134.390625,5.71875,-128.671875
137.25,7.1484375,-130.1015625
140.109375,8.8640625,-131.2453125
142.396875,10.0078125,-132.3890625
143.8265625,10.5796875,-133.246875
143.540625,10.0078125,-133.5328125
141.253125,8.2921875,-132.9609375
136.678125,5.146875,-131.53125
130.6734375,0.8578125,-129.815625
123.2390625,-4.2890625,-127.528125
86.0671875,-51.46875,-137.5359375
84.9234375,-53.75625,-138.6796875
86.353125,-53.4703125,-139.8234375
89.784375,-51.1828125,-140.9671875
95.2171875,-46.6078125,-141.825
102.0796875,-40.3171875,-142.396875
109.228125,-33.16875,-142.396875
116.3765625,-25.1625,-141.5390625
122.6671875,-17.728125,-140.3953125
127.8140625,-11.1515625,-138.965625
131.53125,-5.71875,-137.25
133.5328125,-2.0015625,-135.534375
134.1046875,-0.2859375,-134.390625
133.246875,0.0,-133.246875
131.53125,-1.14375,-132.675
128.9578125,-3.43125,-132.3890625
126.384375,-6.290625,-132.675
123.525,-9.4359375,-132.9609375
121.5234375,-12.58125,-134.1046875
119.8078125,-15.1546875,-134.9625
118.6640625,-17.4421875,-136.10625
118.378125,-19.1578125,-137.5359375
118.6640625,-20.3015625,-138.965625
119.521875,-20.5875,-140.109375
120.9515625,-20.5875,-141.5390625
122.6671875,-20.015625,-142.6828125
124.9546875,-19.1578125,-144.1125
127.2421875,-18.0140625,-145.25625
129.815625,-16.584375,-146.4
132.3890625,-14.5828125,-146.971875
135.2484375,-12.2953125,-147.54375
137.5359375,-10.0078125,-147.54375
139.8234375,-7.434375,-147.2578125
141.5390625,-5.146875,-146.6859375
142.96875,-3.43125,-146.4
143.540625,-1.715625,-145.25625
143.540625,-0.8578125,-144.3984375
142.96875,-0.8578125,-143.8265625
142.1109375,-1.14375,-143.2546875
141.253125,-1.715625,-142.96875
140.3953125,-2.2875,-142.6828125
140.3953125,-2.5734375,-142.96875
141.253125,-2.2875,-143.540625
143.540625,-0.8578125,-144.3984375
146.6859375,1.715625,-144.9703125
150.975,5.4328125,-145.5421875
156.4078125,10.29375,-146.1140625
161.840625,16.0125,-145.828125
167.2734375,21.4453125,-145.828125
172.134375,26.5921875,-145.5421875
175.565625,30.88125,-144.684375
177.5671875,33.740625,-143.8265625
177.853125,34.884375,-142.96875
176.4234375,34.3125,-142.1109375
173.5640625,32.596875,-140.9671875
170.1328125,29.7375,-140.3953125
166.415625,26.878125,-139.5375
162.984375,24.01875,-138.965625
160.696875,22.303125,-138.39375
159.8390625,21.73125,-138.1078125
160.4109375,22.5890625,-137.821875
162.1265625,24.590625,-137.5359375
164.7,27.7359375,-136.9640625
167.559375,31.1671875,-136.3921875
170.1328125,34.5984375,-135.534375
171.8484375,36.8859375,-134.9625
171.8484375,38.315625,-133.5328125
170.41875,38.0296875,-132.3890625
167.2734375,36.3140625,-130.959375
162.6984375,33.16875,-129.5296875
156.9796875,28.8796875,-128.1
150.975,24.3046875,-126.6703125
145.25625,19.7296875,-125.5265625
140.3953125,15.440625,-124.9546875
136.678125,12.2953125,-124.3828125
134.6765625,10.5796875,-124.096875
134.390625,9.721875,-124.66875
135.2484375,10.29375,-124.9546875
137.5359375,11.7234375,-125.8125
140.109375,13.4390625,-126.6703125
143.2546875,15.7265625,-127.528125
146.1140625,17.728125,-128.3859375
148.4015625,19.7296875,-128.671875
150.403125,21.159375,-129.24375
151.546875,22.0171875,-129.5296875
152.11875,22.5890625,-129.5296875
152.11875,22.875,-129.24375
151.8328125,22.5890625,-129.24375
150.975,21.73125,-129.24375
150.1171875,20.5875,-129.5296875
148.9734375,18.5859375,-130.3875
147.2578125,16.0125,-131.2453125
145.25625,12.8671875,-132.3890625
142.96875,8.8640625,-134.1046875
140.109375,4.575,-135.534375
137.25,0.2859375,-136.9640625
