LEFT,RIGHT,DIFF
-80.0625,-70.0546875,10.0078125
-77.203125,-66.909375,10.29375
-74.915625,-64.05,10.865625
-73.4859375,-61.4765625,12.009375
-72.3421875,-59.1890625,13.153125
-71.7703125,-57.759375,14.0109375
-71.7703125,-56.3296875,15.440625
-71.7703125,-55.471875,16.2984375
-71.7703125,-55.1859375,16.584375
-71.7703125,-54.9,16.8703125
-71.484375,-54.9,16.584375
-70.9125,-54.9,16.0125
-69.76875,-54.9,14.86875
-68.3390625,-54.9,13.4390625
-66.6234375,-54.6140625,12.009375
-64.621875,-54.328125,10.29375
-62.0484375,-53.75625,8.2921875
-59.475,-52.6125,6.8625
-56.615625,-51.46875,5.146875
-53.75625,-49.753125,4.003125
-93.7875,-100.3640625,-6.57656249999999
-87.7828125,-93.215625,-5.4328125
-82.0640625,-87.2109375,-5.14687499999999
-77.775,-83.2078125,-5.4328125
-74.6296875,-81.20625,-6.57656249999999
-73.771875,-81.778125,-8.00624999999999
-74.915625,-84.6375,-9.721875
-77.4890625,-88.640625,-11.1515625
-81.4921875,-93.5015625,-12.009375
-85.4953125,-97.790625,-12.2953125
-89.2125,-100.9359375,-11.7234375
-92.071875,-101.79375,-9.721875
-93.215625,-100.65,-7.434375
-92.64375,-96.9328125,-4.2890625
-90.35625,-91.2140625,-0.857812499999994
-86.925,-84.3515625,2.5734375
-82.35,-76.9171875,5.43281250000001
-78.0609375,-70.0546875,8.00625000000001
-73.771875,-64.05,9.72187500000001
-70.340625,-59.475,10.865625
-68.053125,-56.615625,11.4375
-66.6234375,-55.1859375,11.4375
-66.0515625,-54.6140625,11.4375
-65.765625,-54.6140625,11.1515625
-65.4796875,-54.328125,11.1515625
-64.621875,-53.184375,11.4375
-62.90625,-50.896875,12.009375
-60.046875,-47.7515625,12.2953125
-56.615625,-43.7484375,12.8671875
-52.3265625,-39.7453125,12.58125
-48.3234375,-35.7421875,12.58125
-44.3203125,-32.8828125,11.4375
-41.4609375,-31.1671875,10.29375
-39.459375,-30.88125,8.578125
-38.315625,-32.025,6.29062500000001
-38.0296875,-33.740625,4.2890625
-38.0296875,-35.7421875,2.2875
-37.4578125,-37.4578125,0.0
-35.7421875,-37.74375,-2.0015625
-32.8828125,-36.028125,-3.1453125
-50.0390625,-31.1671875,18.871875
-46.0359375,-28.021875,18.0140625
-44.034375,-27.45,16.584375
-44.3203125,-29.7375,14.5828125
-47.1796875,-34.5984375,12.58125
-52.3265625,-41.175,11.1515625
-58.6171875,-48.3234375,10.29375
-65.4796875,-55.1859375,10.29375
-71.7703125,-60.61875,11.1515625
-76.3453125,-63.7640625,12.58125
-78.346875,-64.621875,13.725
-77.4890625,-62.6203125,14.86875
-74.0578125,-58.903125,15.1546875
-68.3390625,-53.75625,14.5828125
-60.9046875,-48.0375,12.8671875
-52.8984375,-42.890625,10.0078125
-45.178125,-38.8875,6.290625
-38.6015625,-36.8859375,1.715625
-34.0265625,-36.6,-2.5734375
-31.1671875,-38.0296875,-6.8625
-66.909375,-62.90625,4.003125
-66.6234375,-64.621875,2.00156250000001
-65.765625,-65.4796875,0.285937500000003
-64.621875,-65.4796875,-0.857812499999994
-63.1921875,-64.621875,-1.4296875
-62.334375,-63.478125,-1.14375
-62.0484375,-61.7625,0.285937500000003
-62.0484375,-60.046875,2.00156250000001
-62.6203125,-58.0453125,4.575
-62.90625,-56.04375,6.8625
-63.1921875,-53.4703125,9.721875
-62.6203125,-50.896875,11.7234375
-60.9046875,-47.465625,13.4390625
-58.33125,-43.7484375,14.5828125
-54.9,-40.03125,14.86875
-51.1828125,-36.028125,15.1546875
-47.1796875,-32.8828125,14.296875
-44.3203125,-30.309375,14.0109375
-42.890625,-29.4515625,13.4390625
-43.1765625,-30.5953125,12.58125
-46.0359375,-33.4546875,12.58125
-51.1828125,-38.315625,12.8671875
-58.0453125,-44.3203125,13.725
-66.0515625,-51.1828125,14.86875
-74.0578125,-57.759375,16.2984375
-81.20625,-63.478125,17.728125
-86.353125,-67.1953125,19.1578125
-88.640625,-68.053125,20.5875
-87.7828125,-66.6234375,21.159375
-84.3515625,-62.334375,22.0171875
-78.346875,-56.3296875,22.0171875
-71.1984375,-49.4671875,21.73125
-63.7640625,-42.6046875,21.159375
-57.759375,-37.4578125,20.3015625
-54.0421875,-34.3125,19.7296875
-53.184375,-34.5984375,18.5859375
