LEFT,RIGHT,DIFF
-56.615625,-410.60625,-353.990625
-59.1890625,-414.8953125,-355.70625
-60.046875,-417.7546875,-357.7078125
-58.33125,-418.3265625,-359.9953125
-54.328125,-417.1828125,-362.8546875
-48.8953125,-414.0375,-365.1421875
-42.31875,-410.034375,-367.715625
-36.028125,-405.459375,-369.43125
-30.5953125,-401.7421875,-371.146875
-27.45,-399.4546875,-372.0046875
-26.5921875,-398.8828125,-372.290625
-28.3078125,-400.5984375,-372.290625
-32.025,-403.74375,-371.71875
-36.8859375,-408.0328125,-371.146875
-41.4609375,-412.6078125,-371.146875
-45.178125,-416.0390625,-370.8609375
-46.89375,-417.46875,-370.575
-45.75,-416.896875,-371.146875
-41.4609375,-413.465625,-372.0046875
-34.884375,-407.746875,-372.8625
-26.5921875,-400.5984375,-374.00625
-17.728125,-392.878125,-375.15
-10.0078125,-385.7296875,-375.721875
-4.003125,-380.296875,-376.29375
-1.14375,-377.1515625,-376.0078125
-1.715625,-377.1515625,-375.4359375
-5.4328125,-379.725,-374.2921875
-12.009375,-384.871875,-372.8625
-20.015625,-391.4484375,-371.4328125
-28.59375,-398.025,-369.43125
-36.028125,-404.0296875,-368.0015625
-41.746875,-408.31875,-366.571875
-44.60625,-410.034375,-365.428125
-44.8921875,-409.1765625,-364.284375
-42.31875,-406.03125,-363.7125
-38.0296875,-401.1703125,-363.140625
-33.16875,-395.4515625,-362.2828125
-28.3078125,-389.7328125,-361.425
-24.590625,-385.1578125,-360.5671875
-22.875,-382.2984375,-359.4234375
-23.446875,-381.440625,-357.99375
-26.0203125,-382.8703125,-356.85
-30.309375,-385.44375,-355.134375
-35.1703125,-389.446875,-354.2765625
-40.3171875,-393.45,-353.1328125
-44.3203125,-397.1671875,-352.846875
-46.89375,-400.3125,-353.41875
-47.7515625,-402.028125,-354.2765625
-47.1796875,-402.6,-355.4203125
-45.178125,-402.3140625,-357.1359375
-42.31875,-401.7421875,-359.4234375
-39.459375,-400.884375,-361.425
-36.8859375,-400.3125,-363.4265625
-35.1703125,-400.5984375,-365.428125
-34.3125,-401.45625,-367.14375
-34.3125,-402.8859375,-368.5734375
-35.1703125,-404.6015625,-369.43125
-36.028125,-406.03125,-370.003125
-36.6,-406.8890625,-370.2890625
-36.3140625,-406.8890625,-370.575
-35.45625,-405.7453125,-370.2890625
-33.4546875,-403.74375,-370.2890625
-31.1671875,-401.1703125,-370.003125
-28.3078125,-398.025,-369.7171875
-25.734375,-395.165625,-369.43125
-24.01875,-392.30625,-368.2875
-22.5890625,-390.3046875,-367.715625
-22.0171875,-388.875,-366.8578125
-22.0171875,-388.0171875,-366.0
-22.0171875,-386.8734375,-364.85625
-21.4453125,-385.44375,-363.9984375
-20.3015625,-382.8703125,-362.56875
-17.4421875,-379.153125,-361.7109375
-13.4390625,-374.00625,-360.5671875
-7.7203125,-367.715625,-359.9953125
-1.14375,-360.28125,-359.1375
5.4328125,-352.5609375,-357.99375
12.2953125,-345.4125,-357.7078125
17.728125,-339.4078125,-357.1359375
21.73125,-335.4046875,-357.1359375
36.6,-321.1078125,-357.7078125
37.171875,-320.25,-357.421875
38.315625,-319.9640625,-358.2796875
38.8875,-319.678125,-358.565625
39.1734375,-320.25,-359.4234375
38.315625,-321.39375,-359.709375
36.3140625,-323.109375,-359.4234375
33.16875,-325.396875,-358.565625
28.8796875,-328.25625,-357.1359375
23.7328125,-330.8296875,-354.5625
19.1578125,-332.83125,-351.9890625
15.1546875,-333.403125,-348.5578125
13.153125,-332.5453125,-345.6984375
13.153125,-329.4,-342.553125
16.0125,-324.253125,-340.265625
21.4453125,-317.1046875,-338.55
28.8796875,-308.8125,-337.6921875
37.4578125,-300.234375,-337.6921875
46.0359375,-291.9421875,-337.978125
53.4703125,-285.0796875,-338.55
77.203125,-282.50625,-359.709375
80.634375,-278.2171875,-358.8515625
82.921875,-274.5,-357.421875
84.065625,-272.2125,-356.278125
84.6375,-270.7828125,-355.4203125
83.7796875,-271.06875,-354.8484375
81.4921875,-273.0703125,-354.5625
77.775,-277.0734375,-354.8484375
72.3421875,-282.7921875,-355.134375
65.4796875,-289.940625,-355.4203125
57.4734375,-297.946875,-355.4203125
49.4671875,-305.6671875,-355.134375
42.0328125,-312.815625,-354.8484375
36.3140625,-317.390625,-353.7046875
33.4546875,-319.3921875,-352.846875
34.3125,-317.390625,-351.703125
38.8875,-311.3859375,-350.2734375
47.7515625,-301.95,-349.7015625
59.7609375,-289.36875,-349.1296875
73.771875,-275.3578125,-349.1296875
88.640625,-261.346875,-349.9875
102.0796875,-249.3375,-351.4171875
112.3734375,-240.1875,-352.5609375
118.6640625,-235.8984375,-354.5625
119.2359375,-236.4703125,-355.70625
114.375,-242.475,-356.85
104.08125,-253.0546875,-357.1359375
89.4984375,-267.3515625,-356.85
72.3421875,-283.65,-355.9921875
54.0421875,-299.6625,-353.7046875
36.8859375,-314.53125,-351.4171875
22.5890625,-325.96875,-348.5578125
12.009375,-333.6890625,-345.6984375
6.0046875,-336.834375,-342.8390625
4.575,-335.9765625,-340.5515625
7.434375,-331.9734375,-339.4078125
12.8671875,-325.96875,-338.8359375
19.44375,-319.3921875,-338.8359375
26.30625,-313.6734375,-339.9796875
31.453125,-310.2421875,-341.6953125
