LEFT,RIGHT,DIFF
276.7875,0.571875,-276.215625
278.503125,0.8578125,-277.6453125
280.790625,0.8578125,-279.9328125
283.078125,0.8578125,-282.2203125
284.5078125,0.8578125,-283.65
285.0796875,0.8578125,-284.221875
284.5078125,0.8578125,-283.65
282.7921875,0.571875,-282.2203125
280.21875,0.2859375,-279.9328125
277.0734375,0.2859375,-276.7875
274.2140625,0.2859375,-273.928125
271.3546875,0.2859375,-271.06875
269.6390625,0.571875,-269.0671875
268.78125,1.14375,-267.6375
269.0671875,1.715625,-267.3515625
269.925,2.5734375,-267.3515625
271.3546875,3.1453125,-268.209375
273.35625,4.003125,-269.353125
275.071875,4.575,-270.496875
276.5015625,4.8609375,-271.640625
277.359375,4.8609375,-272.4984375
277.93125,4.575,-273.35625
278.2171875,4.2890625,-273.928125
278.503125,3.43125,-275.071875
279.075,2.859375,-276.215625
279.9328125,2.0015625,-277.93125
281.3625,1.4296875,-279.9328125
283.3640625,0.8578125,-282.50625
285.365625,0.2859375,-285.0796875
287.08125,0.0,-287.08125
288.5109375,0.0,-288.5109375
288.796875,0.0,-288.796875
288.225,0.0,-288.225
286.2234375,0.2859375,-285.9375
283.078125,0.571875,-282.50625
279.3609375,0.571875,-278.7890625
275.64375,0.8578125,-274.7859375
271.9265625,0.8578125,-271.06875
269.6390625,0.8578125,-268.78125
268.209375,0.8578125,-267.3515625
268.78125,0.8578125,-267.9234375
270.7828125,0.8578125,-269.925
273.928125,0.8578125,-273.0703125
277.6453125,0.8578125,-276.7875
281.0765625,0.571875,-280.5046875
283.65,0.571875,-283.078125
284.79375,0.571875,-284.221875
283.65,0.2859375,-283.3640625
280.5046875,0.2859375,-280.21875
275.64375,0.2859375,-275.3578125
269.0671875,0.2859375,-268.78125
262.2046875,0.571875,-261.6328125
255.628125,0.8578125,-254.7703125
250.48125,1.4296875,-249.0515625
247.3359375,2.0015625,-245.334375
246.7640625,2.5734375,-244.190625
249.0515625,3.43125,-245.6203125
253.9125,4.003125,-249.909375
260.775,4.2890625,-256.4859375
268.78125,4.575,-264.20625
277.0734375,4.575,-272.4984375
284.5078125,4.2890625,-280.21875
290.5125,3.7171875,-286.7953125
293.94375,3.1453125,-290.7984375
295.0875,2.2875,-292.8
293.94375,1.715625,-292.228125
290.5125,1.14375,-289.36875
285.9375,0.571875,-285.365625
280.5046875,0.2859375,-280.21875
275.64375,0.0,-275.64375
271.640625,0.0,-271.640625
269.0671875,0.0,-269.0671875
268.209375,0.2859375,-267.9234375
269.353125,0.2859375,-269.0671875
271.9265625,0.571875,-271.3546875
275.64375,0.571875,-275.071875
279.646875,0.571875,-279.075
283.3640625,0.571875,-282.7921875
286.509375,0.571875,-285.9375
287.9390625,0.2859375,-287.653125
287.653125,0.2859375,-287.3671875
285.6515625,0.571875,-285.0796875
281.934375,0.571875,-281.3625
276.7875,0.8578125,-275.9296875
271.06875,0.8578125,-270.2109375
264.778125,0.8578125,-263.9203125
259.059375,1.14375,-257.915625
254.1984375,1.14375,-253.0546875
250.7671875,0.8578125,-249.909375
249.3375,0.571875,-248.765625
249.6234375,0.571875,-249.0515625
251.625,0.2859375,-251.3390625
255.05625,0.2859375,-254.7703125
259.059375,0.2859375,-258.7734375
263.3484375,0.571875,-262.7765625
266.7796875,0.8578125,-265.921875
269.353125,1.715625,-267.6375
269.925,2.2875,-267.6375
268.4953125,3.1453125,-265.35
265.0640625,4.003125,-261.0609375
259.63125,4.575,-255.05625
253.0546875,4.8609375,-248.19375
245.90625,5.146875,-240.759375
238.7578125,4.8609375,-233.896875
232.4671875,4.2890625,-228.178125
227.8921875,3.7171875,-224.175
225.31875,2.859375,-222.459375
225.31875,2.0015625,-223.3171875
227.3203125,1.4296875,-225.890625
231.0375,0.8578125,-230.1796875
236.184375,0.2859375,-235.8984375
241.903125,0.0,-241.903125
247.3359375,0.0,-247.3359375
251.9109375,0.0,-251.9109375
254.484375,0.0,-254.484375
255.05625,0.2859375,-254.7703125
253.6265625,0.2859375,-253.340625
250.1953125,0.571875,-249.6234375
245.0484375,0.571875,-244.4765625
238.7578125,0.571875,-238.1859375
232.18125,0.571875,-231.609375
225.6046875,0.8578125,-224.746875
220.171875,0.8578125,-219.3140625
215.8828125,0.8578125,-215.025
213.0234375,0.8578125,-212.165625
211.8796875,0.8578125,-211.021875
212.165625,0.8578125,-211.3078125
214.1671875,0.8578125,-213.309375
217.3125,0.571875,-216.740625
221.315625,0.571875,-220.74375
226.1765625,0.2859375,-225.890625
231.3234375,0.2859375,-231.0375
236.75625,0.2859375,-236.4703125
242.1890625,0.2859375,-241.903125
247.3359375,0.571875,-246.7640625
251.9109375,1.14375,-250.7671875
255.9140625,1.715625,-254.1984375
258.7734375,2.5734375,-256.2
260.4890625,3.1453125,-257.34375
260.4890625,4.003125,-256.4859375
259.059375,4.575,-254.484375
255.9140625,5.146875,-250.7671875
251.3390625,5.146875,-246.1921875
245.6203125,4.8609375,-240.759375
239.3296875,4.575,-234.7546875
233.0390625,3.7171875,-229.321875
227.3203125,2.859375,-224.4609375
223.03125,2.0015625,-221.0296875
220.4578125,1.14375,-219.3140625
220.171875,0.571875,-219.6
222.1734375,0.0,-222.1734375
226.1765625,0.0,-226.1765625
231.8953125,0.0,-231.8953125
238.471875,0.0,-238.471875
245.0484375,0.0,-245.0484375
251.053125,0.0,-251.053125
255.628125,0.2859375,-255.3421875
258.2015625,0.571875,-257.6296875
258.7734375,0.571875,-258.2015625
256.771875,0.571875,-256.2
253.340625,0.8578125,-252.4828125
248.4796875,0.8578125,-247.621875
243.3328125,0.8578125,-242.475
238.7578125,0.8578125,-237.9
235.3265625,0.8578125,-234.46875
233.6109375,0.8578125,-232.753125
234.1828125,0.8578125,-233.325
237.0421875,0.8578125,-236.184375
242.1890625,0.571875,-241.6171875
248.765625,0.571875,-248.19375
256.2,0.571875,-255.628125
264.20625,0.2859375,-263.9203125
271.640625,0.2859375,-271.3546875
278.2171875,0.2859375,-277.93125
283.3640625,0.571875,-282.7921875
286.509375,0.8578125,-285.6515625
