LEFT,RIGHT,DIFF
-22.5890625,0.571875,23.1609375
-24.3046875,0.571875,24.8765625
-25.4484375,1.14375,26.5921875
-26.30625,1.4296875,27.7359375
-26.30625,2.0015625,28.3078125
-26.30625,2.5734375,28.8796875
-25.734375,3.43125,29.165625
-24.8765625,3.7171875,28.59375
-24.01875,4.2890625,28.3078125
-23.1609375,4.575,27.7359375
-22.0171875,4.575,26.5921875
-20.5875,4.2890625,24.8765625
-18.871875,4.003125,22.875
-16.8703125,3.43125,20.3015625
-14.5828125,2.859375,17.4421875
-12.2953125,2.2875,14.5828125
-10.29375,1.4296875,11.7234375
-8.2921875,0.8578125,9.15
-6.5765625,0.2859375,6.8625
-5.71875,0.0,5.71875
-5.71875,0.0,5.71875
-6.290625,0.0,6.290625
-7.434375,0.0,7.434375
-9.4359375,0.0,9.4359375
-12.009375,0.2859375,12.2953125
-14.5828125,0.571875,15.1546875
-17.15625,0.8578125,18.0140625
-19.44375,1.14375,20.5875
-21.159375,1.14375,22.303125
-22.303125,1.14375,23.446875
-22.5890625,1.14375,23.7328125
-22.0171875,1.14375,23.1609375
-20.5875,0.8578125,21.4453125
-18.5859375,0.8578125,19.44375
-15.7265625,0.571875,16.2984375
-12.2953125,0.2859375,12.58125
-8.578125,0.2859375,8.8640625
-4.8609375,0.2859375,5.146875
-1.14375,0.2859375,1.4296875
1.4296875,0.2859375,-1.14375
3.43125,0.571875,-2.859375
4.003125,1.14375,-2.859375
3.43125,1.715625,-1.715625
1.14375,2.2875,1.14375
-2.0015625,2.859375,4.8609375
-6.5765625,3.43125,10.0078125
-12.009375,4.003125,16.0125
-17.728125,4.2890625,22.0171875
-23.1609375,4.575,27.7359375
-27.45,4.575,32.025
-30.5953125,4.2890625,34.884375
-31.7390625,3.7171875,35.45625
-31.453125,3.1453125,34.5984375
-29.165625,2.5734375,31.7390625
-25.4484375,2.0015625,27.45
-21.159375,1.14375,22.303125
-16.2984375,0.571875,16.8703125
-12.009375,0.0,12.009375
-8.578125,0.0,8.578125
-6.5765625,0.0,6.5765625
-6.0046875,0.0,6.0046875
-7.1484375,0.0,7.1484375
-9.721875,0.0,9.721875
-13.153125,0.571875,13.725
-16.8703125,0.8578125,17.728125
-20.8734375,1.14375,22.0171875
-24.01875,1.4296875,25.4484375
-26.30625,1.4296875,27.7359375
-27.1640625,1.4296875,28.59375
-27.1640625,1.4296875,28.59375
-25.734375,1.14375,26.878125
-23.7328125,0.8578125,24.590625
-21.159375,0.571875,21.73125
-18.3,0.2859375,18.5859375
-16.0125,0.0,16.0125
-14.296875,0.0,14.296875
-13.153125,0.2859375,13.4390625
-12.8671875,0.571875,13.4390625
-13.153125,0.8578125,14.0109375
-14.0109375,1.4296875,15.440625
-15.1546875,2.2875,17.4421875
-16.0125,2.859375,18.871875
-16.584375,3.7171875,20.3015625
-16.584375,4.2890625,20.8734375
-16.0125,4.8609375,20.8734375
-15.1546875,4.8609375,20.015625
-13.725,4.8609375,18.5859375
-12.009375,4.575,16.584375
-10.29375,4.2890625,14.5828125
-8.578125,3.43125,12.009375
-7.434375,2.859375,10.29375
-6.8625,2.0015625,8.8640625
-6.5765625,1.14375,7.7203125
-6.8625,0.571875,7.434375
-7.434375,0.2859375,7.7203125
-8.00625,0.0,8.00625
-8.578125,0.0,8.578125
-9.15,0.0,9.15
-8.8640625,0.0,8.8640625
-8.2921875,0.2859375,8.578125
-7.1484375,0.571875,7.7203125
-5.71875,0.571875,6.290625
-4.2890625,0.8578125,5.146875
-2.859375,1.14375,4.003125
-2.0015625,1.14375,3.1453125
-2.0015625,1.14375,3.1453125
-2.859375,1.14375,4.003125
-5.146875,1.14375,6.290625
-8.2921875,0.8578125,9.15
-12.58125,0.571875,13.153125
-17.15625,0.571875,17.728125
-22.0171875,0.2859375,22.303125
-26.878125,0.2859375,27.1640625
-30.5953125,0.2859375,30.88125
-33.4546875,0.2859375,33.740625
-34.884375,0.571875,35.45625
-34.884375,0.8578125,35.7421875
-33.740625,1.14375,34.884375
-31.1671875,1.715625,32.8828125
-27.7359375,2.2875,30.0234375
-24.01875,2.859375,26.878125
-20.3015625,3.43125,23.7328125
-17.15625,4.003125,21.159375
-15.1546875,4.2890625,19.44375
-14.0109375,4.2890625,18.3
-14.0109375,4.2890625,18.3
-15.1546875,4.003125,19.1578125
-17.15625,3.7171875,20.8734375
-19.7296875,3.1453125,22.875
-22.303125,2.5734375,24.8765625
-24.3046875,2.0015625,26.30625
-25.4484375,1.4296875,26.878125
-25.734375,0.8578125,26.5921875
-24.590625,0.571875,25.1625
-22.303125,0.2859375,22.5890625
-19.1578125,0.0,19.1578125
-15.1546875,0.0,15.1546875
-11.1515625,0.0,11.1515625
-7.434375,0.0,7.434375
-4.2890625,0.2859375,4.575
-2.2875,0.2859375,2.5734375
-1.715625,0.571875,2.2875
-2.5734375,0.571875,3.1453125
-4.8609375,0.8578125,5.71875
-8.00625,0.8578125,8.8640625
-12.009375,0.8578125,12.8671875
-16.0125,1.14375,17.15625
-19.44375,1.14375,20.5875
-22.0171875,0.8578125,22.875
-23.446875,0.8578125,24.3046875
-23.7328125,0.8578125,24.590625
-22.5890625,0.571875,23.1609375
-20.015625,0.2859375,20.3015625
-17.15625,0.2859375,17.4421875
-13.725,0.2859375,14.0109375
-10.29375,0.2859375,10.5796875
-7.434375,0.571875,8.00625
-5.146875,0.8578125,6.0046875
-3.7171875,1.4296875,5.146875
-3.1453125,2.0015625,5.146875
-3.1453125,2.859375,6.0046875
-3.7171875,3.43125,7.1484375
-4.2890625,4.2890625,8.578125
-4.575,4.575,9.15
-5.146875,4.8609375,10.0078125
-5.71875,4.8609375,10.5796875
-6.0046875,4.575,10.5796875
-6.8625,4.003125,10.865625
-8.2921875,3.43125,11.7234375
-10.29375,2.5734375,12.8671875
-12.8671875,2.0015625,14.86875
-16.0125,1.14375,17.15625
-19.44375,0.571875,20.015625
-22.875,0.0,22.875
-25.734375,0.0,25.734375
-27.7359375,0.0,27.7359375
-28.021875,0.0,28.021875
-26.878125,0.0,26.878125
-24.3046875,0.0,24.3046875
-20.3015625,0.2859375,20.5875
-15.7265625,0.571875,16.2984375
-11.1515625,0.8578125,12.009375
-7.434375,0.8578125,8.2921875
-4.575,1.14375,5.71875
-3.7171875,1.14375,4.8609375
-4.8609375,1.14375,6.0046875
-7.7203125,1.14375,8.8640625
-12.009375,1.14375,13.153125
-17.15625,0.8578125,18.0140625
-22.5890625,0.8578125,23.446875
-27.45,0.571875,28.021875
-30.88125,0.2859375,31.1671875
-32.8828125,0.2859375,33.16875
-32.8828125,0.2859375,33.16875
-31.7390625,0.2859375,32.025
-29.165625,0.571875,29.7375
-26.0203125,0.8578125,26.878125
-22.875,1.4296875,24.3046875
-20.5875,2.0015625,22.5890625
-19.1578125,2.859375,22.0171875
-18.871875,3.43125,22.303125
-19.44375,4.003125,23.446875
-20.3015625,4.575,24.8765625
-21.4453125,4.575,26.0203125
-22.0171875,4.575,26.5921875
-21.159375,4.575,25.734375
-19.1578125,4.003125,23.1609375
-15.7265625,3.43125,19.1578125
-10.865625,2.5734375,13.4390625
-5.4328125,2.0015625,7.434375
0.0,1.14375,1.14375
4.575,0.571875,-4.003125
7.7203125,0.2859375,-7.434375
9.15,0.0,-9.15
8.00625,0.0,-8.00625
4.8609375,0.0,-4.8609375
0.0,0.0,0.0
-6.290625,0.2859375,6.5765625
-13.153125,0.2859375,13.4390625
-19.1578125,0.571875,19.7296875
-24.01875,0.571875,24.590625
-26.878125,0.8578125,27.7359375
-27.45,0.8578125,28.3078125
-25.734375,0.8578125,26.5921875
-22.303125,0.8578125,23.1609375
-17.15625,0.8578125,18.0140625
-11.7234375,0.8578125,12.58125
-6.5765625,0.8578125,7.434375
-2.2875,0.571875,2.859375
0.2859375,0.571875,0.2859375
1.14375,0.2859375,-0.8578125
0.2859375,0.2859375,0.0
-2.2875,0.2859375,2.5734375
-6.290625,0.2859375,6.5765625
-10.865625,0.571875,11.4375
-15.440625,0.8578125,16.2984375
-19.7296875,1.14375,20.8734375
-23.1609375,1.715625,24.8765625
-25.734375,2.2875,28.021875
-26.878125,3.1453125,30.0234375
-27.45,3.7171875,31.1671875
-26.878125,4.2890625,31.1671875
-26.0203125,4.8609375,30.88125
-25.1625,4.8609375,30.0234375
-24.3046875,4.8609375,29.165625
-23.446875,4.2890625,27.7359375
-22.5890625,3.7171875,26.30625
-22.0171875,3.1453125,25.1625
-21.159375,2.2875,23.446875
-20.015625,1.4296875,21.4453125
-18.871875,0.8578125,19.7296875
-17.4421875,0.2859375,17.728125
-15.7265625,0.0,15.7265625
-14.5828125,0.0,14.5828125
-14.296875,0.0,14.296875
-15.1546875,0.0,15.1546875
-17.4421875,0.2859375,17.728125
-21.159375,0.2859375,21.4453125
-26.5921875,0.571875,27.1640625
-33.4546875,0.571875,34.0265625
-40.603125,0.571875,41.175
-47.7515625,0.571875,48.3234375
-53.4703125,0.571875,54.0421875
-57.1875,0.571875,57.759375
-58.0453125,0.571875,58.6171875
-55.471875,0.571875,56.04375
-49.4671875,0.571875,50.0390625
-40.603125,0.571875,41.175
-29.165625,0.8578125,30.0234375
-16.8703125,0.8578125,17.728125
-4.2890625,0.8578125,5.146875
6.290625,0.8578125,-5.4328125
14.5828125,0.571875,-14.0109375
19.7296875,0.571875,-19.1578125
20.8734375,0.2859375,-20.5875
18.5859375,0.2859375,-18.3
13.4390625,0.2859375,-13.153125
6.0046875,0.571875,-5.4328125
-1.715625,0.8578125,2.5734375
-9.15,1.4296875,10.5796875
-15.1546875,2.0015625,17.15625
-18.5859375,2.5734375,21.159375
-19.1578125,3.43125,22.5890625
-17.15625,4.003125,21.159375
-13.153125,4.575,17.728125
-8.00625,4.8609375,12.8671875
-3.1453125,4.8609375,8.00625
0.571875,4.575,4.003125
2.2875,4.003125,1.715625
1.715625,3.43125,1.715625
-1.14375,2.5734375,3.7171875
-6.290625,2.0015625,8.2921875
-12.8671875,1.14375,14.0109375
-19.44375,0.571875,20.015625
-25.1625,0.2859375,25.4484375
-28.59375,0.0,28.59375
-29.4515625,0.0,29.4515625
-27.45,0.0,27.45
-22.303125,0.0,22.303125
-15.440625,0.2859375,15.7265625
-7.434375,0.2859375,7.7203125
0.0,0.571875,0.571875
5.71875,0.8578125,-4.8609375
8.578125,0.8578125,-7.7203125
8.00625,0.8578125,-7.1484375
3.7171875,0.8578125,-2.859375
-3.7171875,0.8578125,4.575
-14.0109375,0.8578125,14.86875
-25.1625,0.8578125,26.0203125
-36.3140625,0.8578125,37.171875
-45.4640625,0.571875,46.0359375
-51.7546875,0.571875,52.3265625
-54.328125,0.2859375,54.6140625
-52.8984375,0.2859375,53.184375
-48.0375,0.2859375,48.3234375
-40.3171875,0.2859375,40.603125
-31.1671875,0.571875,31.7390625
-22.0171875,0.8578125,22.875
-14.0109375,1.4296875,15.440625
-8.2921875,2.2875,10.5796875
-5.71875,2.859375,8.578125
-6.5765625,3.43125,10.0078125
-10.29375,4.003125,14.296875
-16.0125,4.575,20.5875
-23.1609375,4.8609375,28.021875
-30.309375,4.8609375,35.1703125
-36.028125,4.575,40.603125
-40.03125,4.003125,44.034375
-41.4609375,3.43125,44.8921875
-40.3171875,2.859375,43.1765625
-37.171875,2.0015625,39.1734375
-32.596875,1.14375,33.740625
-27.45,0.571875,28.021875
