LEFT,RIGHT,DIFF
33.16875,4.8609375,-28.3078125
31.1671875,4.2890625,-26.878125
30.88125,3.7171875,-27.1640625
32.596875,2.859375,-29.7375
35.7421875,2.0015625,-33.740625
39.459375,1.4296875,-38.0296875
43.7484375,0.8578125,-42.890625
47.1796875,0.2859375,-46.89375
49.753125,0.0,-49.753125
50.6109375,0.0,-50.6109375
49.753125,0.0,-49.753125
47.465625,0.0,-47.465625
44.3203125,0.2859375,-44.034375
40.3171875,0.2859375,-40.03125
36.6,0.571875,-36.028125
33.4546875,0.8578125,-32.596875
31.7390625,1.14375,-30.5953125
31.1671875,1.14375,-30.0234375
31.7390625,1.14375,-30.5953125
33.16875,1.14375,-32.025
35.1703125,1.14375,-34.0265625
37.4578125,0.8578125,-36.6
38.8875,0.8578125,-38.0296875
39.459375,0.571875,-38.8875
39.1734375,0.571875,-38.6015625
37.74375,0.2859375,-37.4578125
35.45625,0.2859375,-35.1703125
32.8828125,0.2859375,-32.596875
30.5953125,0.571875,-30.0234375
28.59375,0.8578125,-27.7359375
28.021875,1.4296875,-26.5921875
28.59375,2.0015625,-26.5921875
30.5953125,2.5734375,-28.021875
33.4546875,3.1453125,-30.309375
37.4578125,3.7171875,-33.740625
41.746875,4.2890625,-37.4578125
45.75,4.575,-41.175
49.18125,4.575,-44.60625
51.7546875,4.575,-47.1796875
53.184375,4.003125,-49.18125
53.75625,3.7171875,-50.0390625
53.184375,2.859375,-50.325
52.040625,2.2875,-49.753125
50.6109375,1.715625,-48.8953125
49.18125,1.14375,-48.0375
47.7515625,0.571875,-47.1796875
46.89375,0.2859375,-46.6078125
46.321875,0.0,-46.321875
46.321875,0.0,-46.321875
46.321875,0.0,-46.321875
46.0359375,0.2859375,-45.75
45.75,0.2859375,-45.4640625
44.8921875,0.571875,-44.3203125
43.7484375,0.571875,-43.1765625
42.31875,0.571875,-41.746875
40.3171875,0.8578125,-39.459375
38.0296875,0.8578125,-37.171875
36.028125,0.8578125,-35.1703125
34.3125,0.8578125,-33.4546875
32.8828125,0.8578125,-32.025
32.025,0.8578125,-31.1671875
31.7390625,0.8578125,-30.88125
32.025,0.8578125,-31.1671875
33.16875,0.571875,-32.596875
34.5984375,0.571875,-34.0265625
36.3140625,0.571875,-35.7421875
38.315625,0.2859375,-38.0296875
40.3171875,0.2859375,-40.03125
42.6046875,0.2859375,-42.31875
44.3203125,0.571875,-43.7484375
46.0359375,1.14375,-44.8921875
47.1796875,1.715625,-45.4640625
47.7515625,2.2875,-45.4640625
48.0375,3.1453125,-44.8921875
47.465625,3.7171875,-43.7484375
46.321875,4.2890625,-42.0328125
44.60625,4.8609375,-39.7453125
42.6046875,5.146875,-37.4578125
40.603125,4.8609375,-35.7421875
38.6015625,4.575,-34.0265625
37.171875,4.003125,-33.16875
36.028125,3.1453125,-32.8828125
35.45625,2.2875,-33.16875
35.45625,1.4296875,-34.0265625
36.028125,0.571875,-35.45625
36.6,0.0,-36.6
37.4578125,0.0,-37.4578125
38.0296875,-0.2859375,-38.315625
38.0296875,0.0,-38.0296875
37.4578125,0.0,-37.4578125
36.028125,0.2859375,-35.7421875
34.5984375,0.571875,-34.0265625
32.596875,0.8578125,-31.7390625
30.5953125,0.8578125,-29.7375
29.165625,0.8578125,-28.3078125
28.3078125,0.8578125,-27.45
28.021875,0.571875,-27.45
28.8796875,0.571875,-28.3078125
30.5953125,0.2859375,-30.309375
32.596875,0.2859375,-32.3109375
35.1703125,0.2859375,-34.884375
37.74375,0.571875,-37.171875
40.03125,0.571875,-39.459375
42.0328125,0.8578125,-41.175
43.4625,1.14375,-42.31875
44.60625,1.14375,-43.4625
45.4640625,1.14375,-44.3203125
46.0359375,1.14375,-44.8921875
46.6078125,0.8578125,-45.75
47.465625,0.571875,-46.89375
48.3234375,0.571875,-47.7515625
49.18125,0.2859375,-48.8953125
50.0390625,0.2859375,-49.753125
50.325,0.2859375,-50.0390625
50.0390625,0.571875,-49.4671875
48.8953125,1.14375,-47.7515625
46.6078125,1.715625,-44.8921875
43.7484375,2.5734375,-41.175
40.03125,3.1453125,-36.8859375
36.3140625,4.003125,-32.3109375
32.8828125,4.2890625,-28.59375
30.0234375,4.575,-25.4484375
