LEFT,RIGHT,DIFF
-261.6328125,-234.1828125,27.45
-259.3453125,-231.609375,27.7359375
-255.628125,-227.60625,28.021875
-250.7671875,-222.7453125,28.021875
-245.6203125,-216.740625,28.8796875
-240.4734375,-210.7359375,29.7375
-236.184375,-205.303125,30.88125
-233.0390625,-200.4421875,32.596875
-231.8953125,-197.0109375,34.884375
-232.4671875,-195.009375,37.4578125
-234.7546875,-195.009375,39.7453125
-237.9,-196.153125,41.746875
-241.903125,-198.7265625,43.1765625
-245.90625,-202.1578125,43.7484375
-248.765625,-205.303125,43.4625
-250.48125,-208.4484375,42.0328125
-250.1953125,-210.45,39.7453125
-248.4796875,-211.3078125,37.171875
-245.0484375,-210.7359375,34.3125
-240.4734375,-209.0203125,31.453125
-235.3265625,-206.446875,28.8796875
-230.7515625,-203.3015625,27.45
-226.7484375,-199.8703125,26.878125
-224.175,-196.725,27.45
-223.03125,-194.1515625,28.8796875
-223.3171875,-192.15,31.1671875
-225.0328125,-191.00625,34.0265625
-227.60625,-190.434375,37.171875
-230.1796875,-190.1484375,40.03125
-232.4671875,-189.8625,42.6046875
-233.896875,-189.290625,44.60625
-234.1828125,-188.4328125,45.75
-233.6109375,-187.003125,46.6078125
-231.8953125,-185.0015625,46.89375
-229.321875,-182.428125,46.89375
-226.1765625,-179.56875,46.6078125
-223.03125,-176.4234375,46.6078125
-220.171875,-173.278125,46.89375
-217.884375,-169.846875,48.0375
-215.596875,-166.7015625,48.8953125
-213.88125,-163.55625,50.325
-212.4515625,-160.4109375,52.040625
-211.021875,-157.5515625,53.4703125
-209.5921875,-155.2640625,54.328125
-208.1625,-153.5484375,54.6140625
-206.446875,-152.9765625,53.4703125
-205.0171875,-153.2625,51.7546875
-204.159375,-154.978125,49.18125
-203.5875,-157.8375,45.75
-203.8734375,-162.1265625,41.746875
-204.73125,-167.2734375,37.4578125
-206.446875,-172.70625,33.740625
-208.1625,-177.853125,30.309375
-209.878125,-182.1421875,27.7359375
-210.7359375,-184.715625,26.0203125
-210.7359375,-185.2875,25.4484375
-209.30625,-183.8578125,25.4484375
-206.446875,-180.140625,26.30625
-202.44375,-175.2796875,27.1640625
-197.296875,-169.5609375,27.7359375
-192.15,-164.4140625,27.7359375
-187.575,-160.4109375,27.1640625
-184.14375,-158.409375,25.734375
-183.0,-158.98125,24.01875
-183.8578125,-162.4125,21.4453125
-187.2890625,-168.13125,19.1578125
-192.721875,-175.565625,17.15625
-199.2984375,-183.8578125,15.440625
-206.7328125,-191.2921875,15.440625
-213.88125,-197.296875,16.584375
-219.3140625,-200.4421875,18.871875
-223.03125,-200.4421875,22.5890625
-224.175,-197.5828125,26.5921875
-222.459375,-191.8640625,30.5953125
-218.7421875,-184.4296875,34.3125
-213.309375,-176.709375,36.6
-207.3046875,-170.1328125,37.171875
-201.5859375,-165.271875,36.3140625
-197.0109375,-163.8421875,33.16875
-194.4375,-165.84375,28.59375
-194.4375,-171.5625,22.875
-196.725,-179.8546875,16.8703125
-201.5859375,-190.1484375,11.4375
-207.8765625,-201.0140625,6.86250000000001
-215.596875,-211.021875,4.57500000000002
-223.03125,-219.028125,4.00312499999998
-229.89375,-224.175,5.71875
-235.3265625,-225.890625,9.43593750000002
-238.7578125,-224.175,14.5828125
-239.9015625,-219.8859375,20.015625
-239.3296875,-213.88125,25.4484375
-237.0421875,-207.3046875,29.7375
-233.896875,-201.0140625,32.8828125
-230.1796875,-196.4390625,33.740625
-227.034375,-194.1515625,32.8828125
-224.4609375,-194.4375,30.0234375
-223.3171875,-197.296875,26.0203125
-223.3171875,-202.1578125,21.159375
-225.0328125,-208.4484375,16.584375
-227.8921875,-215.025,12.8671875
-231.609375,-221.6015625,10.0078125
-235.8984375,-226.7484375,9.14999999999998
-240.1875,-230.465625,9.72187499999998
-243.9046875,-232.4671875,11.4375
-247.05,-232.753125,14.296875
-249.0515625,-231.8953125,17.15625
-250.48125,-230.465625,20.015625
-251.053125,-229.0359375,22.0171875
-251.3390625,-228.4640625,22.875
-251.3390625,-229.0359375,22.303125
-251.9109375,-231.3234375,20.5875
-253.0546875,-235.040625,18.0140625
-254.7703125,-240.4734375,14.296875
-257.915625,-246.7640625,11.1515625
-261.6328125,-253.6265625,8.00624999999999
-265.921875,-260.4890625,5.43281250000001
-270.496875,-266.2078125,4.2890625
-274.7859375,-270.496875,4.2890625
-278.2171875,-273.0703125,5.14687500000002
-280.5046875,-273.35625,7.1484375
-281.3625,-272.2125,9.14999999999998
-280.5046875,-269.0671875,11.4375
-277.93125,-265.0640625,12.8671875
-274.5,-260.4890625,14.0109375
-269.925,-255.9140625,14.0109375
-265.35,-251.9109375,13.4390625
-260.775,-249.3375,11.4375
-257.0578125,-247.621875,9.43593749999999
-254.484375,-247.621875,6.86249999999998
-253.0546875,-248.4796875,4.57499999999999
-252.4828125,-249.909375,2.57343750000001
-252.4828125,-251.3390625,1.14375000000001
-253.0546875,-252.4828125,0.571874999999977
-253.0546875,-252.196875,0.857812499999994
-251.9109375,-250.48125,1.4296875
-249.6234375,-246.7640625,2.859375
-245.6203125,-241.6171875,4.00312500000001
-240.1875,-234.7546875,5.43281249999998
-233.325,-226.7484375,6.57656249999999
-225.890625,-218.7421875,7.1484375
-217.884375,-211.3078125,6.57656249999999
-210.7359375,-205.0171875,5.71875
-204.73125,-201.0140625,3.71718750000002
-200.4421875,-199.2984375,1.14375000000001
-198.440625,-199.8703125,-1.4296875
-198.7265625,-203.015625,-4.2890625
-200.728125,-207.8765625,-7.1484375
-204.159375,-213.5953125,-9.43593749999999
-208.734375,-219.8859375,-11.1515625
-213.5953125,-225.6046875,-12.009375
-218.1703125,-230.1796875,-12.009375
-221.8875,-233.325,-11.4375
-224.4609375,-234.1828125,-9.72187500000001
-225.6046875,-233.325,-7.72031250000001
-225.890625,-230.7515625,-4.86093750000001
-225.0328125,-227.60625,-2.57343750000001
-223.603125,-223.8890625,-0.285937500000017
-222.1734375,-220.4578125,1.71562499999999
-220.74375,-218.1703125,2.57343750000001
-219.6,-217.0265625,2.57343750000001
-219.028125,-217.5984375,1.4296875
-218.7421875,-219.6,-0.857812500000023
-219.028125,-222.7453125,-3.71718749999999
-219.6,-226.7484375,-7.1484375
-220.74375,-231.0375,-10.29375
-221.6015625,-235.040625,-13.4390625
-222.7453125,-238.471875,-15.7265625
-224.175,-241.33125,-17.15625
-225.890625,-243.046875,-17.15625
-227.60625,-244.190625,-16.584375
-229.89375,-244.4765625,-14.5828125
-232.753125,-244.4765625,-11.7234375
-235.8984375,-244.4765625,-8.578125
-239.04375,-244.190625,-5.14687499999999
-242.1890625,-244.190625,-2.00156250000001
-245.334375,-244.4765625,0.857812500000023
-247.9078125,-245.0484375,2.859375
-249.6234375,-245.6203125,4.00312500000001
-250.7671875,-246.478125,4.2890625
-251.053125,-247.3359375,3.71718750000002
-251.053125,-247.9078125,3.14531250000002
-250.7671875,-249.0515625,1.71562499999999
-250.7671875,-250.48125,0.285937499999989
-251.3390625,-252.196875,-0.857812499999994
-252.76875,-254.7703125,-2.00156250000001
-255.05625,-258.4875,-3.43125000000001
-258.4875,-262.7765625,-4.2890625
-262.7765625,-267.9234375,-5.14687500000002
-267.6375,-273.35625,-5.71875
-272.4984375,-278.503125,-6.00468749999999
-277.0734375,-283.3640625,-6.29062499999998
-281.0765625,-286.7953125,-5.71875
-283.65,-288.796875,-5.14687499999997
-285.0796875,-289.0828125,-4.00312499999995
-284.79375,-287.3671875,-2.57343750000001
-283.65,-284.221875,-0.571874999999977
-281.6484375,-279.9328125,1.71562499999999
-279.075,-275.64375,3.43124999999998
-277.0734375,-271.9265625,5.14687500000002
-275.64375,-269.353125,6.29062499999998
-275.3578125,-268.4953125,6.86250000000001
-276.215625,-270.2109375,6.00468749999999
-278.503125,-274.2140625,4.2890625
-281.934375,-280.5046875,1.4296875
-286.2234375,-287.9390625,-1.71562500000005
-290.5125,-295.9453125,-5.43281250000001
-294.8015625,-303.9515625,-9.15000000000003
-298.51875,-310.8140625,-12.2953125
-301.0921875,-315.675,-14.5828125
-302.8078125,-318.534375,-15.7265625
-303.09375,-318.8203125,-15.7265625
-302.521875,-317.390625,-14.86875
-301.378125,-314.53125,-13.153125
-299.9484375,-310.8140625,-10.865625
-298.8046875,-307.3828125,-8.578125
-297.6609375,-304.809375,-7.1484375
-297.375,-303.3796875,-6.00468749999999
-297.6609375,-303.3796875,-5.71875
-298.51875,-304.5234375,-6.00468749999999
-299.6625,-306.8109375,-7.1484375
-300.5203125,-309.384375,-8.86406250000005
-301.0921875,-311.3859375,-10.29375
-300.5203125,-311.9578125,-11.4375
-299.090625,-311.1,-12.009375
-296.5171875,-308.240625,-11.7234375
-292.8,-303.3796875,-10.5796875
-288.5109375,-297.375,-8.86406249999999
-283.65,-290.7984375,-7.1484375
-279.075,-284.5078125,-5.43281250000001
-275.64375,-279.646875,-4.00312500000001
-273.35625,-276.7875,-3.43125000000003
-272.784375,-276.7875,-4.00312500000001
-274.2140625,-279.646875,-5.43281250000001
-277.6453125,-285.6515625,-8.00625000000002
-283.078125,-293.371875,-10.29375
-289.6546875,-302.8078125,-13.153125
-297.0890625,-312.5296875,-15.440625
-304.5234375,-321.1078125,-16.584375
-311.3859375,-328.25625,-16.8703125
-317.1046875,-332.259375,-15.1546875
-311.9578125,-306.2390625,5.71875
-311.671875,-302.8078125,8.86406249999999
-309.6703125,-298.8046875,10.865625
-305.953125,-294.2296875,11.7234375
-301.378125,-289.36875,12.009375
-296.23125,-285.0796875,11.1515625
-290.5125,-281.3625,9.14999999999998
-285.6515625,-278.503125,7.1484375
-281.3625,-276.7875,4.57499999999999
-278.503125,-275.9296875,2.57343750000001
-276.7875,-275.9296875,0.857812500000023
-276.5015625,-276.7875,-0.285937499999989
-277.6453125,-278.2171875,-0.571875000000034
-279.9328125,-279.3609375,0.571874999999977
-282.50625,-280.790625,1.71562499999999
-285.6515625,-281.3625,4.2890625
-288.225,-281.6484375,6.57656250000002
-290.5125,-281.0765625,9.43593749999997
-291.65625,-280.21875,11.4375
-291.9421875,-278.503125,13.4390625
-279.3609375,-276.7875,2.57343750000001
-278.503125,-277.359375,1.14375000000001
-277.93125,-277.0734375,0.857812500000023
-277.359375,-275.9296875,1.4296875
-277.0734375,-274.2140625,2.859375
-277.0734375,-271.640625,5.43281250000001
-277.6453125,-268.78125,8.86406249999999
-278.7890625,-266.2078125,12.58125
-280.5046875,-263.9203125,16.584375
-282.7921875,-262.7765625,20.015625
-285.9375,-262.7765625,23.1609375
-289.0828125,-264.20625,24.8765625
-292.8,-267.065625,25.734375
-296.5171875,-270.7828125,25.734375
