LEFT,RIGHT,DIFF
-213.88125,-189.0046875,24.8765625
-212.4515625,-187.2890625,25.1625
-211.59375,-187.003125,24.590625
-211.59375,-187.8609375,23.7328125
-212.7375,-189.8625,22.875
-214.1671875,-192.15,22.0171875
-216.16875,-195.009375,21.159375
-218.45625,-197.86875,20.5875
-220.74375,-200.15625,20.5875
-223.03125,-202.44375,20.5875
-225.0328125,-204.159375,20.8734375
-226.7484375,-205.5890625,21.159375
-228.178125,-206.7328125,21.4453125
-229.321875,-207.590625,21.73125
-230.1796875,-208.4484375,21.73125
-230.7515625,-209.0203125,21.73125
-230.7515625,-209.30625,21.4453125
-230.465625,-209.30625,21.159375
-229.6078125,-208.734375,20.8734375
-228.178125,-207.8765625,20.3015625
-226.1765625,-206.446875,19.7296875
-223.8890625,-204.4453125,19.44375
-221.315625,-201.871875,19.44375
-218.7421875,-199.0125,19.7296875
-216.4546875,-196.153125,20.3015625
-214.7390625,-193.29375,21.4453125
-213.5953125,-191.00625,22.5890625
-213.0234375,-189.5765625,23.446875
-213.309375,-188.71875,24.590625
-214.453125,-189.0046875,25.4484375
-216.4546875,-189.8625,26.5921875
-218.45625,-191.578125,26.878125
-220.4578125,-193.5796875,26.878125
-222.459375,-195.58125,26.878125
-223.603125,-197.5828125,26.0203125
-224.175,-199.0125,25.1625
-223.8890625,-199.584375,24.3046875
-222.459375,-199.2984375,23.1609375
-220.171875,-198.440625,21.73125
-217.5984375,-196.725,20.8734375
-214.453125,-194.1515625,20.3015625
-211.59375,-191.2921875,20.3015625
-208.734375,-188.4328125,20.3015625
-206.446875,-185.5734375,20.8734375
-204.73125,-182.7140625,22.0171875
-203.5875,-180.4265625,23.1609375
-203.015625,-178.7109375,24.3046875
-203.015625,-177.28125,25.734375
-203.015625,-176.4234375,26.5921875
-203.5875,-175.8515625,27.7359375
-203.5875,-175.565625,28.021875
-203.8734375,-175.8515625,28.021875
-203.5875,-176.4234375,27.1640625
-203.5875,-176.9953125,26.5921875
-203.3015625,-178.1390625,25.1625
-203.3015625,-179.2828125,24.01875
-203.5875,-180.7125,22.875
