LEFT,RIGHT,DIFF
-246.478125,-237.328125,9.15000000000001
-243.046875,-234.1828125,8.86406249999999
-240.4734375,-230.7515625,9.72187500000001
-239.04375,-227.8921875,11.1515625
-238.471875,-225.0328125,13.4390625
-238.471875,-222.459375,16.0125
-238.7578125,-220.4578125,18.3
-239.615625,-218.7421875,20.8734375
-240.759375,-218.1703125,22.5890625
-242.1890625,-218.45625,23.7328125
-244.190625,-219.8859375,24.3046875
-247.05,-222.7453125,24.3046875
-250.48125,-227.034375,23.446875
-254.484375,-232.18125,22.303125
-259.059375,-238.1859375,20.8734375
-263.634375,-243.9046875,19.7296875
-268.209375,-249.3375,18.871875
-271.9265625,-253.340625,18.5859375
-274.5,-255.628125,18.871875
-275.64375,-255.9140625,19.7296875
-275.071875,-254.1984375,20.8734375
-272.784375,-250.7671875,22.0171875
-269.0671875,-246.1921875,22.875
-264.4921875,-241.0453125,23.446875
-259.9171875,-235.8984375,24.01875
-255.9140625,-231.8953125,24.01875
-253.0546875,-229.6078125,23.446875
-251.9109375,-229.321875,22.5890625
-252.4828125,-231.3234375,21.159375
-255.05625,-234.7546875,20.3015625
-258.7734375,-239.9015625,18.871875
-263.3484375,-245.334375,18.0140625
-267.9234375,-250.7671875,17.15625
-271.9265625,-254.7703125,17.15625
-274.2140625,-257.6296875,16.584375
-274.7859375,-258.2015625,16.584375
-273.35625,-257.0578125,16.2984375
-270.2109375,-254.484375,15.7265625
-265.6359375,-250.7671875,14.86875
-260.4890625,-247.05,13.4390625
-255.628125,-243.61875,12.009375
-251.625,-241.6171875,10.0078125
-249.3375,-241.0453125,8.29218749999998
-249.0515625,-242.1890625,6.86250000000001
-250.48125,-244.7625,5.71875
-253.6265625,-248.19375,5.43281249999998
-258.2015625,-252.196875,6.00468750000002
-262.7765625,-255.9140625,6.86250000000001
-267.065625,-258.4875,8.578125
-270.496875,-259.63125,10.865625
-272.4984375,-258.7734375,13.725
-272.4984375,-255.9140625,16.584375
-270.496875,-251.9109375,18.5859375
-267.3515625,-246.478125,20.8734375
-263.0625,-241.0453125,22.0171875
-258.4875,-235.6125,22.875
-253.6265625,-231.0375,22.5890625
-249.6234375,-227.60625,22.0171875
-246.1921875,-225.31875,20.8734375
-243.61875,-224.4609375,19.1578125
-242.1890625,-224.175,18.0140625
-241.0453125,-224.746875,16.2984375
-240.4734375,-225.0328125,15.440625
-239.615625,-224.746875,14.86875
-238.7578125,-224.175,14.5828125
-237.6140625,-222.7453125,14.86875
-235.8984375,-220.4578125,15.440625
-234.1828125,-217.5984375,16.584375
-232.18125,-214.7390625,17.4421875
-230.7515625,-212.165625,18.5859375
-229.321875,-209.878125,19.44375
-228.4640625,-207.8765625,20.5875
-227.8921875,-206.7328125,21.159375
-227.8921875,-206.1609375,21.73125
-227.8921875,-205.875,22.0171875
-227.60625,-205.5890625,22.0171875
-227.034375,-205.0171875,22.0171875
-226.1765625,-204.159375,22.0171875
-224.4609375,-202.7296875,21.73125
-222.459375,-201.0140625,21.4453125
-220.4578125,-199.0125,21.4453125
-218.1703125,-197.296875,20.8734375
-216.740625,-195.8671875,20.8734375
-215.8828125,-195.009375,20.8734375
-215.8828125,-195.2953125,20.5875
-217.0265625,-196.4390625,20.5875
-218.7421875,-198.440625,20.3015625
-221.315625,-201.0140625,20.3015625
-223.8890625,-203.5875,20.3015625
-226.1765625,-206.1609375,20.015625
-227.8921875,-207.8765625,20.015625
-228.4640625,-209.0203125,19.44375
-227.8921875,-209.0203125,18.871875
-226.1765625,-207.8765625,18.3
-223.603125,-206.1609375,17.4421875
-220.74375,-204.159375,16.584375
-217.884375,-202.1578125,15.7265625
-215.8828125,-200.728125,15.1546875
-215.025,-200.15625,14.86875
-215.3109375,-200.728125,14.5828125
-217.5984375,-202.44375,15.1546875
-221.315625,-205.5890625,15.7265625
-226.1765625,-209.5921875,16.584375
-232.18125,-214.453125,17.728125
-238.1859375,-219.3140625,18.871875
-243.9046875,-224.175,19.7296875
-248.765625,-228.178125,20.5875
-252.76875,-231.609375,21.159375
-255.628125,-234.1828125,21.4453125
-257.0578125,-235.6125,21.4453125
-257.0578125,-235.8984375,21.159375
-256.4859375,-235.8984375,20.5875
-255.05625,-235.040625,20.015625
-253.340625,-233.896875,19.44375
-251.3390625,-232.4671875,18.871875
-249.3375,-231.0375,18.3
-247.621875,-229.0359375,18.5859375
-245.90625,-227.034375,18.871875
-244.4765625,-224.746875,19.7296875
-242.7609375,-222.1734375,20.5875
-241.6171875,-219.6,22.0171875
-240.4734375,-216.740625,23.7328125
-239.615625,-214.1671875,25.4484375
-239.3296875,-212.165625,27.1640625
-239.615625,-210.7359375,28.8796875
-240.4734375,-209.878125,30.5953125
-242.475,-210.1640625,32.3109375
-245.0484375,-211.59375,33.4546875
-248.19375,-213.5953125,34.5984375
-251.625,-215.8828125,35.7421875
-254.7703125,-218.7421875,36.028125
-257.34375,-221.0296875,36.3140625
-259.059375,-222.459375,36.6
-259.63125,-223.03125,36.6
-258.4875,-222.7453125,35.7421875
-256.4859375,-221.0296875,35.45625
-253.340625,-218.7421875,34.5984375
-249.6234375,-216.16875,33.4546875
-245.90625,-213.309375,32.596875
-242.7609375,-211.021875,31.7390625
-240.4734375,-209.878125,30.5953125
-239.9015625,-209.5921875,30.309375
-240.4734375,-210.7359375,29.7375
-242.475,-213.0234375,29.4515625
-245.6203125,-216.16875,29.4515625
-249.3375,-219.3140625,30.0234375
-252.76875,-222.459375,30.309375
-255.628125,-224.746875,30.88125
-257.0578125,-225.890625,31.1671875
-256.771875,-225.31875,31.453125
-254.7703125,-223.603125,31.1671875
-250.7671875,-220.171875,30.5953125
-245.6203125,-216.16875,29.4515625
-239.3296875,-211.59375,27.7359375
-232.753125,-207.01875,25.734375
-226.1765625,-202.7296875,23.446875
-220.74375,-199.8703125,20.8734375
-216.4546875,-197.86875,18.5859375
-213.5953125,-197.296875,16.2984375
-212.4515625,-197.86875,14.5828125
-212.7375,-199.2984375,13.4390625
-214.453125,-201.0140625,13.4390625
-216.740625,-203.3015625,13.4390625
-219.8859375,-205.5890625,14.296875
-223.3171875,-207.590625,15.7265625
-227.034375,-209.878125,17.15625
-231.0375,-211.8796875,19.1578125
-235.040625,-214.1671875,20.8734375
-239.04375,-216.740625,22.303125
-243.61875,-219.8859375,23.7328125
